year          day          dechr          hour          min          sec          rh          esh          clong          clat          HGIlong          br          bt          bn          vp1r          vp1t          vp1n          crot          np1          vp1          Tp1          vaz          vel          Bx          By          Bz          sBx          sBy          sBz          nal          val          Tal          np2          vp2
   1978.0000     106.0000       0.0128       0.0000       0.0000      46.0000       0.4200       4.7000     281.4600      -5.1300     135.1088      31.7200     -19.5200      -8.5700     315.2963       7.0450      22.8277    1667.0000      33.7700     316.2000   61220.0000       1.2800      -4.1400     -31.7200      19.5200      -8.5700       1.4100       2.7400       1.9800       1.1700     328.1000  315101.0000      29.3100     314.5000
   1978.0000     106.0000       0.0353       0.0000       2.0000       7.0000       0.4200       4.7000     281.4500      -5.1300     135.1121      30.3600     -21.1800      -9.2800     336.9317      12.7080      26.3583    1667.0000      41.5000     338.2000   95268.0000       2.1600      -4.4700     -30.3600      21.1800      -9.2800       2.5800       3.2400       2.3500       0.0000       0.0000       0.0000      35.3100     336.9000
   1978.0000     106.0000       0.0578       0.0000       3.0000      28.0000       0.4200       4.7000     281.4400      -5.1300     135.1154      24.6800     -26.6700     -11.7500     344.9276      30.9660      27.4380    1667.0000      35.7500     347.4000   78687.0000       5.1300      -4.5300     -24.6800      26.6700     -11.7500       2.5600       3.1100       3.3300       0.0000       0.0000       0.0000      29.6600     342.9000
   1978.0000     106.0000       0.0803       0.0000       4.0000      49.0000       0.4200       4.7100     281.4300      -5.1300     135.1187      29.1500     -19.2800     -16.3800     329.3510      12.4797      37.3769    1667.0000      36.1500     331.7000   68604.0000       2.1700      -6.4700     -29.1500      19.2800     -16.3800       0.7700       1.1600       1.4100       0.0000       0.0000       0.0000      30.0500     329.2000
   1978.0000     106.0000       0.1028       0.0000       6.0000      10.0000       0.4200       4.7100     281.4200      -5.1300     135.1220      27.5700     -20.5600     -17.1300     334.0435      20.0214      33.3428    1667.0000      35.2200     336.3000   65538.0000       3.4300      -5.6900     -27.5700      20.5600     -17.1300       0.7200       1.9300       1.5900       0.0000       0.0000       0.0000      29.3300     333.4000
   1978.0000     106.0000       0.1253       0.0000       7.0000      31.0000       0.4200       4.7100     281.4100      -5.1300     135.1253      26.1800     -17.5300     -21.8500     336.7143      11.4053      58.7997    1667.0000      35.7500     342.0000   81897.0000       1.9400      -9.9000     -26.1800      17.5300     -21.8500       0.9900       1.5400       1.4700       0.0000       0.0000       0.0000      29.5100     340.6000
   1978.0000     106.0000       0.1478       0.0000       8.0000      52.0000       0.4200       4.7100     281.4000      -5.1300     135.1286      25.8500     -14.1900     -24.0300     334.4930       2.6272      61.9965    1667.0000      41.0800     340.2000   83459.0000       0.4500     -10.5000     -25.8500      14.1900     -24.0300       1.3800       0.8100       1.3700       0.0000       0.0000       0.0000      34.1200     340.2000
   1978.0000     106.0000       0.1703       0.0000      10.0000      13.0000       0.4200       4.7200     281.3900      -5.1300     135.1319      25.0100      -6.1200     -27.7400     340.4306     -29.0655      78.6293    1667.0000      32.2900     350.6000   74773.0000      -4.8800     -12.9600     -25.0100       6.1200     -27.7400       1.0600       1.7500       2.2100       0.0000       0.0000       0.0000      28.1600     353.4000
   1978.0000     106.0000       0.1928       0.0000      11.0000      34.0000       0.4200       4.7200     281.3800      -5.1300     135.1352      27.5000     -10.6600     -23.3500     331.1802       1.1560      51.7433    1667.0000      30.2500     335.2000   47577.0000       0.2000      -8.8800     -27.5000      10.6600     -23.3500       1.4800       3.9500       4.8800       0.8100     314.7000  241802.0000      25.8000     335.2000
   1978.0000     106.0000       0.2153       0.0000      12.0000      55.0000       0.4200       4.6400     281.2900      -5.1300     135.0585      25.7500     -17.0300     -22.1100       0.0000       0.0000       0.0000    1667.0000       0.0000       0.0000       0.0000       0.0000       0.0000     -25.7500      17.0300     -22.1100       0.9800       1.1600       1.6700       0.0000       0.0000       0.0000       0.0000       0.0000
   1978.0000     106.0000       0.2231       0.0000      13.0000      23.0000       0.4200       4.7200     281.3700      -5.1300     135.1431      24.9300     -15.9800     -23.3200     336.0809       2.5223      49.3898    1667.0000      32.4200     339.7000   56718.0000       0.4300      -8.3600     -24.9300      15.9800     -23.3200       1.8700       2.7800       2.8700       0.4500     346.6000  217842.0000      26.9000     337.8000
   1978.0000     106.0000       0.2378       0.0000      14.0000      16.0000       0.4200       4.7200     281.3600      -5.1300     135.1418      24.2700     -19.2300     -21.8600     338.8576      28.4547      50.6388    1667.0000      31.8700     343.8000   66905.0000       4.8000      -8.4700     -24.2700      19.2300     -21.8600       1.4500       1.7300       1.5100       0.0000       0.0000       0.0000      26.8000     339.0000
   1978.0000     106.0000       0.2603       0.0000      15.0000      37.0000       0.4200       4.7300     281.3500      -5.1300     135.1451      24.5600     -14.9100     -24.9100     347.2249       7.6977      63.6807    1667.0000      32.7100     353.1000   66363.0000       1.2700     -10.3900     -24.5600      14.9100     -24.9100       1.4300       1.3100       1.2600       0.4500     351.5000  231953.0000      28.2000     352.1000
   1978.0000     106.0000       0.2828       0.0000      16.0000      58.0000       0.4200       4.7300     281.3400      -5.1300     135.1484      29.6000      -7.1900     -21.9100     321.0872      11.5072      50.2557    1667.0000      33.7800     325.2000   65989.0000       0.0000      -8.8900     -29.6000       7.1900     -21.9100       2.2100       3.7500       1.9700       0.8900     325.6000  306291.0000      27.1800     325.2000
   1978.0000     106.0000       0.3053       0.0000      18.0000      19.0000       0.4200       4.7300     281.3300      -5.1300     135.1517      28.2700      -0.6600     -24.2900     335.2771      16.6031      58.2247    1667.0000      27.9200     340.7000   51280.0000       0.0000      -9.8400     -28.2700       0.6600     -24.2900       2.0900       1.9400       2.5700       0.0000       0.0000       0.0000      23.1000     338.5000
   1978.0000     106.0000       0.3278       0.0000      19.0000      40.0000       0.4200       4.7300     281.3200      -5.1300     135.1550      20.9900      -9.1800     -27.7800     347.2747      21.9552      71.8074    1667.0000      37.4200     355.3000   96099.0000       0.0000     -11.6600     -20.9900       9.1800     -27.7800       3.0000       4.7300       4.8700       0.0000       0.0000       0.0000      31.5400     353.9000
