_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ACRNM,V_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ID,V_EF_PROGRAM_FACILITY_EZ.REGISTRY_ID,V_EF_PROGRAM_FACILITY_EZ.STANDZED_PRIM_NAME,V_EF_PROGRAM_FACILITY_EZ.PRIMARY_NAME,V_EF_PROGRAM_FACILITY_EZ.CITY_NAME,V_EF_PROGRAM_FACILITY_EZ.COUNTY_NAME,V_EF_PROGRAM_FACILITY_EZ.STATE_CODE,V_EF_PROGRAM_FACILITY_EZ.POSTAL_CODE
TRIS,75006TLSRC1406H,110000456051,TX FINISHING,TEXAS FINISHING COMPANY,CARROLLTON,DALLAS,TX,75006
TRIS,76501RCRPN2611N,110000460251,VANGUARD CNTRCT ADDITION 8 ER CARPENTER TEMPLE TX,VANGUARD CONTRACTORS ADDITION 8 ER CARPENTER TEMPLE TEXAS,TEMPLE,BELL,TX,76501
TRIS,76503RLPHW10501,110000460297,WILSONART INTERNATIONALTEMPLE NORTH,WILSONART INTERNATIONALTEMPLE NORTH,TEMPLE,BELL,TX,76504
TRIS,76513FLTWD520SP,110000460386,FLEETWOOD HOMES OF TX ; 86,FLEETWOOD HOMES OF TEXAS INC 86,BELTON,BELL,TX,76513
TRIS,76645HMSBY1020I,110000460439,HOMES BY OAKWOOD,HOMES BY OAKWOOD,HILLSBORO,HILL,TX,76645
TRIS,75041BTZLB2222L,110000456168,BETZDEARBORN SPCLTY CHEM PLT,BETZDEARBORN SPECIALTY CHEMICAL PLANT,GARLAND,DALLAS,TX,750411203
TRIS,75041DCKRF3200W,110000456195,DECKER FOOD,DECKER FOOD COMPANY,GARLAND,DALLAS,TX,75041
TRIS,76712CLYTN6800I,110000460572,CLAYTON HOMES WACO 1,CLAYTON HOMES - WACO 1,WACO,MCLENNAN,TX,76712
TRIS,76712PTRTT1001W,110000460634,PATRIOT TX,PATRIOT TEXAS,WACO,MCLENNAN,TX,76712
TRIS,77026WRGRC4750B,110000461269,W R GRACE AND ; CONN DAVIS ON CATALYSTS,W. R. GRACE & CO.-CONN. DAVIS ON CATALYSTS,HOUSTON,HARRIS,TX,77026
TRIS,77028JTLBN4849H,110000461287,JET LUBE,JET LUBE INC,HOUSTON,HARRIS,TX,77028
