CRUISEINFO,,,,,,,,,,,,
35,COUNTRY,France,,,,,,,,,,
224,PROJECT,,,,,,,,,,,
703,INSTITUTE,Recherche Sientifique et Technique Qurte-Mer,,,,,,,,,,
4111,PLATFORM,,,,,,,,,,,
BORA III,CRUISE,,,,,,,,,,,
,REFERENCE,,,,,,,,,,,
,COUNTING,,,,,,,,,,,
,VOUCHER,,,,,,,,,,,
,NUMBER,,,,,,,,,,,


STATION,2A,,,,,,,,,1,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
18,26,,S,170,3,,E,6,5,1966,BORA III,4111

HEADERS,,,,
TOW DISTANCE,15430,m,,
TIME,13,20,,local


DETAILS,TAX COUNT B820,TAX WET WT B820,TAX NAME,
DEPTH,#/haul,mg/haul,,
decimal places,0,0,,
,65,2510,AMPHIPODES,
,1,2855,ANNELIDES,
,27,18978,CARIDES,
,2,1623,CEPHALOPODES,
,72,864,CHETOGNATHES,
,320,3296,COPEPODES,
,362,31915,EUPHAUSIACES,
,0,0,HETEROPODES,
,12,327,CRUSTACEA LARVA,,,,,,,,,
,56,776,FISH LARVA,,,,,,,,,
,0,0,STOMATOPODA LARVA,,,,,,,,,
,3,958,LEPTOCERHALES,,,,,,,,,
,10,2125,MYSIDACES,,,,,,,,,
,,28273,GELATINOUS ANIMALS,,,,,,,,,
,23,4218,PENEIDES,,,,,,,,,
,1,29,PHYLLOSOMES,,,,,,,,,
,323,68336,FISH,,,,,,,,,
,96,2268,PTEROPODES THECOSOMES,,,,,,,,,
,18,5160,SERGESTIDES,,,,,,,,,

STATION,1,,,,,,,,,2,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
20,18,,S,169,36,,E,6,10,1966,BORA III,4111

HEADERS,,,,
TIME,6,0,,local
AIRTEMP,23.9,C,,
BARPRESS,1015.2,mbar,,
WAVEDIR,100,degrees,,
WAVEHT,3,m,,
WAVEPER,9,sec,,
WINDDIR,80,degrees,,
WINDSP,11.3,m/sec,,

DETAILS,TEMP,,,
DEPTH,C,,,
decimal places,2,,,
0,24.4,,,


STATION,2,,,,,,,,,3,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
19,42,,S,169,42,,E,6,10,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,12,0,,local,,,,,,,,
AIRTEMP,24.3,C,,,,,,,,,,
RELAT HUMID,72,percent,,,,,,,,,,
BARPRESS,1015.6,mbar,,,,,,,,,,
WAVEDIR,100,degrees,,,,,,,,,,
WAVEHT,3,m,,,,,,,,,,
WAVEPER,9,sec,,,,,,,,,,
WINDDIR,70,degrees,,,,,,,,,,
WINDSP,14.9,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,24.6,,,,,,,,,,,


STATION,3,,,,,,,,,4,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
19,0,,S,169,48,,E,6,10,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,18,0,,local,,,,,,,,
AIRTEMP,24.5,C,,,,,,,,,,
RELAT HUMID,87,percent,,,,,,,,,,
BARPRESS,1013.9,mbar,,,,,,,,,,
WAVEDIR,90,degrees,,,,,,,,,,
WAVEHT,2.5,m,,,,,,,,,,
WAVEPER,9,sec,,,,,,,,,,
WINDDIR,70,degrees,,,,,,,,,,
WINDSP,14.4,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,24.9,,,,,,,,,,,


STATION,1,,,,,,,,,5,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
20,9,,S,169,38,,E,6,10,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,18,55,,local,,,,,,,,
BOTTOM DEPTH,1075,M,,,,,

DETAILS,TEMP,SAL,OXY,PH,PO4,NO2,NO3
DEPTH,C,psu,ml/l,,ug-at/l,ug-at/l,ug-at/l
decimal places,2,3,2,2,2,2,2
0,24.51,35.368,4.72,8.309,0.37,0.19,0
10,24.5,35.369,4.79,8.315,0.36,0.08,0
24,24.52,35.365,4.67,8.316,0.36,0.1,0.04
48,24.38,35.357,4.78,8.318,0.32,0.12,0
71,24.35,35.363,4.81,8.316,0.31,0.08,0.01
94,23.71,35.465,4.56,8.312,0.4,0.15,0.37
140,21.88,35.609,4.14,8.25,0.52,0.26,3
186,20.6,35.625,4.11,8.252,0.65,0.12,4
232,19.1,35.569,4.16,8.233,0.68,0.08,4.7
277,18.25,35.52,4.16,8.239,0.66,0.02,5.9
323,16.64,35.4,4.39,8.249,0.74,,7
370,15.45,35.319,4.26,8.253,0.83,,8.1,,,,,
417,13.35,35.104,4.23,8.219,1.01,,10.9,,,,,
464,11.57,34.909,4.25,8.155,1.21,,14.6,,,,,
558,8.77,34.635,4.35,8.133,1.49,,19.1,,,,,
653,6.73,34.467,4.47,8.096,1.76,,24.4,,,,,
747,5.8,34.43,4.36,8.079,1.91,,25.2,,,,,
937,4.48,34.466,3.98,,2.32,,26.4,,,,,


STATION,4,,,,,,,,,6,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
18,24,,S,169,36,,E,6,11,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,0,0,,local,,,,,,,,
AIRTEMP,25.5,C,,,,,,,,,,
RELAT HUMID,87,percent,,,,,,,,,,
BARPRESS,1014.8,mbar,,,,,,,,,,
WAVEDIR,70,degrees,,,,,,,,,,
WAVEHT,9,m,,,,,,,,,,
WAVEPER,2.5,sec,,,,,,,,,,
WINDDIR,70,degrees,,,,,,,,,,
WINDSP,10.3,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,24.9,,,,,,,,,,,


STATION,5,,,,,,,,,7,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
17,12,,S,169,0,,E,6,12,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,12,0,,local,,,,,,,,
AIRTEMP,25.3,C,,,,,,,,,,
RELAT HUMID,97,percent,,,,,,,,,,
BARPRESS,1015,mbar,,,,,,,,,,
WAVEDIR,60,degrees,,,,,,,,,,
WAVEHT,7,m,,,,,,,,,,
WAVEPER,1.5,sec,,,,,,,,,,
WINDDIR,30,degrees,,,,,,,,,,
WINDSP,8.2,m/sec,,,,,,,,,,

DETAILS,TEMP,,,,,,,,,,,
DEPTH,C,,,,,,,,,,,
decimal places,2,,,,,,,,,,,
0,25,,,,,,,,,,,


STATION,6,,,,,,,,,8,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LON DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,CRUISE,SHIP
17,0,,S,170,0,,E,6,12,1966,BORA III,4111

HEADERS,,,,,,,,,,,,
TIME,18,0,,local,,,,,,,,
AIRTEMP,25.9,C,,,,,,,,,,
