                                                       29 Apr 2008 15:45:16
Satellite-CALIPSO-Sensor-LIDAR_3deg


       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
30 Apr 2008 03:17:02.416          -77.5021          -162.7249    732.281606
30 Apr 2008 03:17:03.000          -77.4757          -162.8340    732.277151
30 Apr 2008 03:17:04.000          -77.4302          -163.0197    732.269481
30 Apr 2008 03:17:05.000          -77.3846          -163.2042    732.261765
30 Apr 2008 03:17:06.000          -77.3389          -163.3874    732.254001
30 Apr 2008 03:17:07.000          -77.2931          -163.5693    732.246191
30 Apr 2008 03:17:08.000          -77.2472          -163.7500    732.238334
30 Apr 2008 03:17:09.000          -77.2012          -163.9294    732.230431
30 Apr 2008 03:17:10.000          -77.1550          -164.1076    732.222481
30 Apr 2008 03:17:11.000          -77.1087          -164.2846    732.214483
30 Apr 2008 03:17:11.700          -77.0763          -164.4077    732.208859

       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
30 Apr 2008 09:47:25.936          -77.7762          -162.3850    732.283529
30 Apr 2008 09:47:26.000          -77.7790          -162.3974    732.284008
30 Apr 2008 09:47:27.000          -77.8235          -162.5934    732.291510
30 Apr 2008 09:47:28.000          -77.8679          -162.7909    732.298964
30 Apr 2008 09:47:29.000          -77.9121          -162.9897    732.306372
30 Apr 2008 09:47:30.000          -77.9561          -163.1900    732.313733
30 Apr 2008 09:47:31.000          -78.0001          -163.3916    732.321047
30 Apr 2008 09:47:32.000          -78.0439          -163.5947    732.328314
30 Apr 2008 09:47:33.000          -78.0875          -163.7992    732.335534
30 Apr 2008 09:47:34.000          -78.1311          -164.0052    732.342708
30 Apr 2008 09:47:35.000          -78.1744          -164.2126    732.349834
30 Apr 2008 09:47:36.000          -78.2176          -164.4215    732.356913
30 Apr 2008 09:47:37.000          -78.2607          -164.6319    732.363946
30 Apr 2008 09:47:38.000          -78.3037          -164.8438    732.370931
30 Apr 2008 09:47:39.000          -78.3464          -165.0572    732.377869
30 Apr 2008 09:47:40.000          -78.3891          -165.2721    732.384760
30 Apr 2008 09:47:41.000          -78.4315          -165.4885    732.391604
30 Apr 2008 09:47:42.000          -78.4738          -165.7065    732.398401
30 Apr 2008 09:47:43.000          -78.5160          -165.9260    732.405150
30 Apr 2008 09:47:44.000          -78.5580          -166.1471    732.411853
30 Apr 2008 09:47:45.000          -78.5998          -166.3697    732.418508
30 Apr 2008 09:47:46.000          -78.6415          -166.5939    732.425116
30 Apr 2008 09:47:47.000          -78.6830          -166.8198    732.431676
30 Apr 2008 09:47:48.000          -78.7244          -167.0472    732.438189
30 Apr 2008 09:47:48.377          -78.7399          -167.1334    732.440632

       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
 1 May 2008 03:59:50.526          -78.7191          -167.7358    732.492006
 1 May 2008 03:59:51.000          -78.6996          -167.8436    732.489052
 1 May 2008 03:59:52.000          -78.6581          -168.0702    732.482782
 1 May 2008 03:59:53.000          -78.6166          -168.2951    732.476464
 1 May 2008 03:59:54.000          -78.5748          -168.5185    732.470099
 1 May 2008 03:59:55.000          -78.5329          -168.7402    732.463686
 1 May 2008 03:59:56.000          -78.4908          -168.9604    732.457225
 1 May 2008 03:59:57.000          -78.4486          -169.1791    732.450717
 1 May 2008 03:59:58.000          -78.4062          -169.3962    732.444161
 1 May 2008 03:59:59.000          -78.3637          -169.6118    732.437558
 1 May 2008 04:00:00.000          -78.3210          -169.8258    732.430908
 1 May 2008 04:00:01.000          -78.2781          -170.0384    732.424210
 1 May 2008 04:00:02.000          -78.2351          -170.2494    732.417464
 1 May 2008 04:00:03.000          -78.1920          -170.4590    732.410671
 1 May 2008 04:00:04.000          -78.1487          -170.6670    732.403831
 1 May 2008 04:00:04.688          -78.1188          -170.8093    732.399100

       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
 3 May 2008 03:47:30.944          -78.6710          -164.9048    732.472828
 3 May 2008 03:47:31.000          -78.6687          -164.9174    732.472477
 3 May 2008 03:47:32.000          -78.6272          -165.1427    732.466131
 3 May 2008 03:47:33.000          -78.5855          -165.3665    732.459738
 3 May 2008 03:47:34.000          -78.5436          -165.5887    732.453298
 3 May 2008 03:47:35.000          -78.5016          -165.8093    732.446810
 3 May 2008 03:47:36.000          -78.4594          -166.0284    732.440274
 3 May 2008 03:47:37.000          -78.4171          -166.2459    732.433691
 3 May 2008 03:47:38.000          -78.3746          -166.4619    732.427061
 3 May 2008 03:47:39.000          -78.3319          -166.6763    732.420383
 3 May 2008 03:47:40.000          -78.2891          -166.8893    732.413657
 3 May 2008 03:47:41.000          -78.2462          -167.1007    732.406884
 3 May 2008 03:47:42.000          -78.2031          -167.3106    732.400064
 3 May 2008 03:47:43.000          -78.1598          -167.5191    732.393197
 3 May 2008 03:47:44.000          -78.1164          -167.7261    732.386282
 3 May 2008 03:47:45.000          -78.0729          -167.9317    732.379320
 3 May 2008 03:47:46.000          -78.0292          -168.1358    732.372310
 3 May 2008 03:47:47.000          -77.9854          -168.3384    732.365253
 3 May 2008 03:47:48.000          -77.9414          -168.5397    732.358150
 3 May 2008 03:47:49.000          -77.8973          -168.7395    732.350998
 3 May 2008 03:47:50.000          -77.8531          -168.9380    732.343800
 3 May 2008 03:47:51.000          -77.8087          -169.1350    732.336555
 3 May 2008 03:47:52.000          -77.7642          -169.3307    732.329262
 3 May 2008 03:47:53.000          -77.7196          -169.5250    732.321923
 3 May 2008 03:47:54.000          -77.6748          -169.7179    732.314536
 3 May 2008 03:47:55.000          -77.6299          -169.9095    732.307102
 3 May 2008 03:47:56.000          -77.5849          -170.0997    732.299621
 3 May 2008 03:47:57.000          -77.5397          -170.2887    732.292094
 3 May 2008 03:47:58.000          -77.4944          -170.4763    732.284519
 3 May 2008 03:47:58.419          -77.4755          -170.5545    732.281333

       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
 3 May 2008 10:18:02.938          -76.9317          -166.7308    732.196435
 3 May 2008 10:18:03.000          -76.9346          -166.7414    732.196951
 3 May 2008 10:18:04.000          -76.9813          -166.9138    732.205306
 3 May 2008 10:18:05.000          -77.0279          -167.0875    732.213615
 3 May 2008 10:18:06.000          -77.0744          -167.2623    732.221877
 3 May 2008 10:18:07.000          -77.1208          -167.4384    732.230094
 3 May 2008 10:18:08.000          -77.1670          -167.6156    732.238263
 3 May 2008 10:18:09.000          -77.2132          -167.7941    732.246387
 3 May 2008 10:18:10.000          -77.2592          -167.9739    732.254463
 3 May 2008 10:18:11.000          -77.3051          -168.1548    732.262494
 3 May 2008 10:18:12.000          -77.3509          -168.3371    732.270478
 3 May 2008 10:18:13.000          -77.3966          -168.5206    732.278415
 3 May 2008 10:18:14.000          -77.4421          -168.7054    732.286306
 3 May 2008 10:18:15.000          -77.4876          -168.8915    732.294150
 3 May 2008 10:18:16.000          -77.5329          -169.0789    732.301947
 3 May 2008 10:18:17.000          -77.5781          -169.2676    732.309698
 3 May 2008 10:18:18.000          -77.6231          -169.4576    732.317402
 3 May 2008 10:18:19.000          -77.6680          -169.6489    732.325059
 3 May 2008 10:18:20.000          -77.7128          -169.8416    732.332670
 3 May 2008 10:18:21.000          -77.7575          -170.0357    732.340234
 3 May 2008 10:18:22.000          -77.8020          -170.2311    732.347751
 3 May 2008 10:18:23.000          -77.8465          -170.4279    732.355221
 3 May 2008 10:18:24.000          -77.8907          -170.6261    732.362644
 3 May 2008 10:18:25.000          -77.9349          -170.8257    732.370021
 3 May 2008 10:18:25.641          -77.9631          -170.9543    732.374723

       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
 5 May 2008 03:35:16.543          -78.4026          -163.2227    732.424504
 5 May 2008 03:35:17.000          -78.3832          -163.3214    732.421453
 5 May 2008 03:35:18.000          -78.3405          -163.5362    732.414749
 5 May 2008 03:35:19.000          -78.2978          -163.7495    732.407998
 5 May 2008 03:35:20.000          -78.2549          -163.9612    732.401199
 5 May 2008 03:35:21.000          -78.2118          -164.1715    732.394353
 5 May 2008 03:35:22.000          -78.1686          -164.3803    732.387459
 5 May 2008 03:35:23.000          -78.1252          -164.5876    732.380519
 5 May 2008 03:35:24.000          -78.0817          -164.7935    732.373531
 5 May 2008 03:35:25.000          -78.0380          -164.9979    732.366495
 5 May 2008 03:35:26.000          -77.9943          -165.2009    732.359413
 5 May 2008 03:35:27.000          -77.9503          -165.4024    732.352283
 5 May 2008 03:35:28.000          -77.9063          -165.6025    732.345106
 5 May 2008 03:35:29.000          -77.8620          -165.8013    732.337882
 5 May 2008 03:35:30.000          -77.8177          -165.9986    732.330610
 5 May 2008 03:35:31.000          -77.7732          -166.1946    732.323292
 5 May 2008 03:35:32.000          -77.7286          -166.3892    732.315927
 5 May 2008 03:35:33.000          -77.6839          -166.5824    732.308514
 5 May 2008 03:35:34.000          -77.6390          -166.7743    732.301054
 5 May 2008 03:35:35.000          -77.5940          -166.9648    732.293548
