market	freq_block	round_num	bid_amt	bidder_num	date	time	net_bid_amt	sort_col_1	sort_col_2
B007	D	30	619000	2706	9/25/96	09:13:06	619000	1	7
B007	F	30	1221011	2767	9/25/96	09:36:25	915758	1	9
B010	E	30	258000	2702	9/25/96	09:12:33	258000	1	17
B361	F	30	607011	2767	9/25/96	09:36:25	455258	1	24
B245	F	30	781500	2671	9/25/96	09:13:52	664275	2	9
B406	F	30	161011	2767	9/25/96	09:36:25	120758	2	15
B078	F	30	27948000	2716	9/25/96	09:22:37	20961000	3	3
B380	F	30	87002	2609	9/25/96	09:13:29	65251	3	12
B404	D	30	4000000	2702	9/25/96	09:12:33	4000000	4	1
B389	D	30	3328000	2702	9/25/96	09:12:33	3328000	4	4
B389	E	30	3238000	2751	9/25/96	09:40:34	3238000	4	5
B434	D	30	410000	2702	9/25/96	09:12:33	410000	4	10
B458	E	30	169000	2770	9/25/96	09:57:03	169000	4	20
B485	F	30	73000	2749	9/25/96	09:42:43	73000	4	39
B169	D	30	925000	2791	9/25/96	09:24:56	925000	5	4
B101	D	30	3176015	2760	9/25/96	09:47:16	3176015	7	1
B101	E	30	1904249	2717	9/25/96	09:09:20	1904249	7	2
B441	D	30	58143	2727	9/25/96	09:14:00	58143	7	22
B400	E	30	17005	2704	9/25/96	09:54:52	17005	7	44
B296	E	30	12005	2704	9/25/96	09:54:52	12005	7	50
B057	E	30	6305	2704	9/25/96	09:54:52	6305	7	59
B364	D	30	551011	2767	9/25/96	09:36:25	551011	8	4
B364	D	30	400000	2764	9/25/96	09:04:03	400000	8	4
B201	F	30	475011	2767	9/25/96	09:36:25	356258	8	27
B351	F	30	17002	2609	9/25/96	09:13:29	12751	8	36
B346	F	30	10591000	2609	9/25/96	09:13:29	7943250	9	3
B181	E	30	606000	2702	9/25/96	09:12:33	606000	9	5
B025	D	30	67011	2767	9/25/96	09:36:25	67011	9	16
B025	D	30	45000	2609	9/25/96	09:13:29	45000	9	16
B025	D	30	37551	2639	9/25/96	09:31:11	37551	9	16
B479	D	30	58000	2773	9/25/96	09:08:33	58000	10	19
B024	D	30	15985855	2670	9/25/96	09:12:57	15985855	11	1
B024	F	30	3875001	2609	9/25/96	09:13:29	2906250	11	3
B024	F	30	3874999	2636	9/25/96	09:30:36	2906249	11	3
B410	D	30	7705030	2737	9/25/96	09:14:12	7705030	11	4
B410	D	30	7705000	2699	9/25/96	09:27:38	7705000	11	4
B410	E	30	7198000	2714	9/25/96	09:34:23	7198000	11	5
B026	E	30	5957030	2737	9/25/96	09:14:12	5957030	11	11
