V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.OFF_SITE_TOTAL_TRANSFERS,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.POTW_TOT_TRANSFER,V_TRI_FORM_R_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),BONANZA POWER PLANT,0,0,0,0,0,20323,20323,84078BNNZP12500,0
COPPER COMPOUNDS,AUTOLIV NORTH AMERICA,0,1505,0,5,1500,1505,5,84302MRTNT250AM,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),PACIFICORP HUNTER PLANT,0,0,0,0,0,34100,34100,84513PCFCR3MILE,0
NICKEL,SAPA EXTRUSIONS INC,0,18409.3,0,0,5,5.8,.8,84660CRSSN1550N,0
CYANIDE COMPOUNDS,KENNECOTT BARNEYS CANYON MINING CO,1,0,1,0,0,7801,7801,84006KNNCT8200S,0
METHANOL,CHAMPION TECHNOLOGIES INC.,0,0,,0,0,0,0,84078CHMPN2060S,
MANGANESE COMPOUNDS,PABCO BUILDING PRODUCTS LLC INTERSTATE BRICK DIV,0,0,0,0,0,0,0,84088NTRST9780S,0
HYDROGEN FLUORIDE,PABCO BUILDING PRODUCTS LLC INTERSTATE BRICK DIV,0,0,0,0,0,21908.6,21908.6,84088NTRST9780S,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),PABCO BUILDING PRODUCTS LLC INTERSTATE BRICK DIV,0,0,0,0,0,0,0,84088NTRST9780S,0
BARIUM COMPOUNDS,PABCO BUILDING PRODUCTS LLC INTERSTATE BRICK DIV,0,0,0,0,0,0,0,84088NTRST9780S,0
ALUMINUM (FUME OR DUST),ATK LAUNCH SYSTEMS PROMONTORY,209062,211103,0,0,175103,384165,209062,84302MRTNT9160N,0
COPPER COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,69000,0,0,0,0,69255,69255,84624NTRMN850BR,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),INTERMOUNTAIN POWER GENERATING STATION,180000,0,0,0,0,180255,180255,84624NTRMN850BR,0
BARIUM COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,760000,0,0,0,0,760255,760255,84624NTRMN850BR,0
VANADIUM COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,28600,0,0,0,0,28855,28855,84624NTRMN850BR,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),INTERMOUNTAIN POWER GENERATING STATION,0,0,0,0,0,17000,17000,84624NTRMN850BR,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),U.S. ARMY DESERET CHEMICAL DEPOT,0,0,0,0,0,350,350,84074SRMY DESER,0
LEAD COMPOUNDS,U.S. ARMY DESERET CHEMICAL DEPOT,0,1496,0,0,1496,1502,6,84074SRMY DESER,0
XYLENE (MIXED ISOMERS),TESORO REFINING & MARKETING CO,250,4711,250,4200,10,10660,10650,84103MCLCM474WE,0
CARBONYL SULFIDE,TESORO REFINING & MARKETING CO,0,0,0,0,0,255,255,84103MCLCM474WE,0
CARBON DISULFIDE,TESORO REFINING & MARKETING CO,0,0,0,0,0,255,255,84103MCLCM474WE,0
ZINC COMPOUNDS,CYTOZYME LABORATORIES INC,0,0,,0,0,0,0,84104CYTZY134S7,
ETHYLENE GLYCOL,BRENNTAG PACIFIC INC.,0,0,,0,0,0,0,84104GRTWS2334W,
CHROMIUM,EXPRESS METAL FABRICATORS INC.,0,3699,0,0,0,2.1,2.1,84107TTNST4315S,0
NICKEL,EXPRESS METAL FABRICATORS INC.,0,1947,0,0,0,1,1,84107TTNST4315S,0
COPPER COMPOUNDS,PRECISION TECHNOLOGY INC,0,17050.7,0,29.3,0,0,0,84115PRCSN2970S,0
MANGANESE,TOSCA LTD UTAH,0,109,0,13,0,.08,.08,84116TSCLT595WA,0
CHROMIUM,TOSCA LTD UTAH,0,72,0,14,8,8.09,.09,84116TSCLT595WA,0
HYDROQUINONE,THATCHER CO,0,0,,0,0,0,0,84127THTCH1905F,
NITRATE COMPOUNDS,AUTOLIV ASP INC PROMONTORY,0,40429,0,0,40357,40357,0,84302MRTNT9160A,0
NITRIC ACID,WESTERN ZIRCONIUM,0,0,0,0,0,130,130,84404WSTRN10000,0
MERCURY COMPOUNDS,DTE UTAH II LLC,0,0,0,0,0,.004079,.004079,84501DTTHL4722S,0
NITRATE COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,1.5,0,0,0,89,89,84029SFTYK11600,0
N-METHYL-2-PYRROLIDONE,CLEAN HARBORS ARAGONITE LLC,0,30,0,0,24,35,11,84029SFTYK11600,0
FORMIC ACID,CLEAN HARBORS ARAGONITE LLC,0,2,0,0,2,4,2,84029SFTYK11600,0
CYANIDE COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,1,0,0,0,25,25,84029SFTYK11600,0
CHLOROPHENOLS,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,6,6,84029SFTYK11600,0
ARSENIC,CLEAN HARBORS ARAGONITE LLC,0,13283,0,0,13229,13230,1,84029SFTYK11600,0
ALDRIN,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,0,0,84029SFTYK11600,0
1 4-DICHLOROBENZENE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,2,2,84029SFTYK11600,0
CADMIUM COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,34294,0,0,34294,34294,0,84029SFTYK11600,0
ZINC COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,126419,0,0,126419,126432,13,84029SFTYK11600,0
URETHANE,CLEAN HARBORS ARAGONITE LLC,0,13,0,0,13,14,1,84029SFTYK11600,0
METHYL METHACRYLATE,CLEAN HARBORS ARAGONITE LLC,0,7,0,0,7,8,1,84029SFTYK11600,0
LINDANE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,4,4,84029SFTYK11600,0
1 2 4-TRIMETHYLBENZENE,CLEAN HARBORS ARAGONITE LLC,0,8,0,0,8,12,4,84029SFTYK11600,0
DIETHANOLAMINE,HUISH DETERGENTS INC,0,1283,0,1090,193,193,0,84104HSHDT3540W,0
CERTAIN GLYCOL ETHERS,WATSON LABORATORIES INC UTAH,0,78007,0,250,0,302.7,302.7,84108WTSNL575CH,0
DIISOCYANATES,CHROMALOX INC,0,0,,0,0,0,0,84404CHRML2150N,
COPPER,CHROMALOX INC,250,24775.56,250,0,0,250,250,84404CHRML2150N,0
NICKEL COMPOUNDS,FLOWSERVE/SPRINGVILLE,0,0,,0,0,0,0,84663VLTKN1MOUN,
MANGANESE COMPOUNDS,FLOWSERVE/SPRINGVILLE,0,0,,0,0,0,0,84663VLTKN1MOUN,
ALUMINUM (FUME OR DUST),US AIR FORCE UTTR DEMILITARIZATION ACTIVITIES,0,0,0,0,0,0,0,84029SDDTH22MIL,0
STYRENE,COMPANION SYSTEMS INC,0,0,0,0,0,16671,16671,84054CMPNN645WE,0
METHANOL,CLEAN HARBORS GRASSY MOUNTAIN LLC,15883,0,0,0,0,15893,15893,84074PPMNCI80,0
POLYCHLORINATED BIPHENYLS,CLEAN HARBORS GRASSY MOUNTAIN LLC,363394.9,11928.3,0,0,0,363394.9,363394.9,84074PPMNCI80,0
MANGANESE COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,28465,0,0,0,0,28465,28465,84074PPMNCI80,0
TOLUENE,CLEAN HARBORS GRASSY MOUNTAIN LLC,11211,0,0,0,0,11212,11212,84074PPMNCI80,0
DICHLOROMETHANE,CLEAN HARBORS GRASSY MOUNTAIN LLC,12353,0,0,0,0,12375,12375,84074PPMNCI80,0
LEAD COMPOUNDS,FAIRCHILD SEMICONDUCTOR,0,61.036,0,0,61,61.003,.003,84088NTNLS3333W,0
NITRIC ACID,FAIRCHILD SEMICONDUCTOR,0,2701,0,0,0,1000,1000,84088NTNLS3333W,0
ETHYLBENZENE,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,749,0,5,97,1554,1457,84056SRFRC7274W,0
AMMONIA,GENEVA NITROGEN LLC,0,1700,0,1700,0,95550,95550,84057LRCHN1165N,0
XYLENE (MIXED ISOMERS),CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,1005,0,0,5,8605,8600,84116CHVRN2351N,1200
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,5,5,84116CHVRN2351N,0
CARBONYL SULFIDE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,250,250,84116CHVRN2351N,0
NITRATE COMPOUNDS,TTM TECHNOLOGIES INC.,0,71897,0,71647,250,250,0,84321LNDHL710NO,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),NUCOR CORP NUCOR STEEL DIV,22,65471,0,0,65468,65904,436,84330NCRST7285W,3
ZINC COMPOUNDS,KELATRON CORP,0,3190.3,0,81,3109,3109.2,.2,84401KLTRN1675W,0
COPPER,MURPHY-BROWN LLC CIRCLE 4 FEED MILL,0,5.5,0,0,6,9.7,3.7,84751MRPHY585E6,0
TOLUENE,ASHLAND DISTRIBUTION CO.,0,133,0,0,0,244,244,84016SHLNDFREEP,0
STYRENE,ASHLAND DISTRIBUTION CO.,0,2359,0,0,0,6,6,84016SHLNDFREEP,0
METHANOL,ASHLAND DISTRIBUTION CO.,0,1663,0,0,0,518,518,84016SHLNDFREEP,0
BENZO(G H I)PERYLENE,SEMMATERIALS  L.P.  - NORTH SA LT LAKE UT,0,0,,0,0,0,0,84054KCHMT95WES,
STYRENE,BULLFROG INTERNATIONAL L.C.,0,287,0,0,0,11531,11531,84065BLLFR668WE,0
CERTAIN GLYCOL ETHERS,BRODY CHEMICAL,0,0,0,0,0,0,0,84118BRDYC4825S,0
NAPHTHALENE,HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
1 2 4-TRIMETHYLBENZENE,HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
ZINC COMPOUNDS,PACIFIC STATES CAST IRON PIPE CO,776000,57700,0,0,57700,834522,776822,84601PCFCS2550S,62
AMMONIA,NESTLE USA - PREPARED FOODS DIV INC.,0,26217,0,26217,0,3783,3783,84663STFFR815WE,0
LEAD COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,2604300,11001,0,0,11001,2622501,2611500,84006KNNCT8362W,100
ETHYLBENZENE,BIG WEST OIL LLC,0,152,0,152,0,182,182,84054BGWST333WE,0
TETRACHLOROETHYLENE,BIG WEST OIL LLC,0,0,0,0,0,177,177,84054BGWST333WE,0
MERCURY COMPOUNDS,BIG WEST OIL LLC,0,3.1,0,0,0,7,7,84054BGWST333WE,0
N-HEXANE,JARDINE PETROLEUM-NORTH SALT LAKE,0,0,,0,0,0,0,84054JRDNP1117N,
POLYCYCLIC AROMATIC COMPOUNDS,JARDINE PETROLEUM-NORTH SALT LAKE,0,0,,0,0,0,0,84054JRDNP1117N,
METHANOL,POWER LINE INDUSTRIES INC.,0,0,,0,0,0,0,84065PWRLN14717,
MANGANESE,CARGILL SALT,0,659,0,0,659,660,1,84074KZSLT1428H,0
LEAD,CARGILL SALT,0,1,0,0,1,1.0004,.0004,84074KZSLT1428H,0
METHANOL,BRENNTAG PACIFIC INC.,0,0,0,0,0,636.03,636.03,84078QDRCH1575S,0
COPPER COMPOUNDS,CHELATED MINERALS CORP,0,631,0,0,631,663,32,84104CHLTD331W9,0
BARIUM COMPOUNDS,PACIFICORP CARBON PLANT,98700,0,0,0,0,99229,99229,84526PCFCRINTER,80
HYDROGEN FLUORIDE,PACIFICORP CARBON PLANT,0,0,0,0,0,104000,104000,84526PCFCRINTER,0
NITRATE COMPOUNDS,LISBON VALLEY MINING CO LLC,0,0,0,0,0,17,17,84530LSBNV92SCU,0
CUMENE,SILVER EAGLE REFINING WOODS CROSS,0,0,,0,0,0,0,84087CRYSN2355S,
CYCLOHEXANE,SILVER EAGLE REFINING WOODS CROSS,0,0,0,0,0,769.65,769.65,84087CRYSN2355S,0
NAPHTHALENE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,201.6,0,180,0,66,66,84087PHLLP393SO,0
MERCURY COMPOUNDS,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,20,0,0,19,19.9,.9,84087PHLLP393SO,0
AMMONIA,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,39000,0,39000,0,0,0,84087PHLLP393SO,0
LEAD,L-3 COMMUNICATIONS,0,736.51,0,.41,4,4.431,.431,84116L3CMM640N2,0
NITRIC ACID,JOHNSON MATTHEY INC,0,9,0,9,0,157,157,84120JHNSN4601W,0
NICKEL,NUCOR CORP. - VULCRAFT DIV,0,18.74,0,0,19,47.4,28.4,84302VLCRF1875W,0
COPPER,CERRO WIRE INC,0,5187463,0,0,0,38,38,84404CRRWR1160W,38
HYDROGEN FLUORIDE,PACIFICORP HUNTINGTON PLANT,0,0,0,0,0,315000,315000,84528PCFCR10MIL,0
BARIUM COMPOUNDS,PACIFICORP HUNTINGTON PLANT,782224,0,0,0,0,784725,784725,84528PCFCR10MIL,0
LEAD COMPOUNDS,BRUSH RESOURCES INC MILL,423.9,.2,0,0,0,425,425,84624BRSHW10MIL,0
AMMONIA,BRUSH RESOURCES INC MILL,523400,0,0,0,0,727300,727300,84624BRSHW10MIL,0
NITRIC ACID,WESTERN QUALITY FOOD LLC,0,32939.7,0,32939.7,0,0,0,84720WSTRN997NO,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,0,0,0,0,0,0,0,84006KNNCT12300,0
VANADIUM COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,77300,0,70000,0,0,77800,77800,84006KNNCT12300,250
SODIUM NITRITE,UTAH STAMPING CO,0,0,,0,0,0,0,84016THSTMF5SEC,
NITRATE COMPOUNDS,W.R. GRACE & CO. - CONN. GRACE CONSTRUCTION PRODUCTS,0,0,0,0,0,0,0,84016WRGRCFREEP,0
LEAD COMPOUNDS,BONANZA POWER PLANT,41226,16,0,0,16,42406,42390,84078BNNZP12500,0
BARIUM COMPOUNDS,BONANZA POWER PLANT,1432901,611,0,0,611,1434406,1433795,84078BNNZP12500,0
XYLENE (MIXED ISOMERS),VALLEY PAINT MANUFACTURING,0,0,0,0,0,7164,7164,84087VLLYP727SO,0
MANGANESE,STAR FOUNDRY & MACHINE,0,0,,0,0,0,0,84104STRBR976PI,
COPPER,STAR FOUNDRY & MACHINE,0,0,,0,0,0,0,84104STRBR976PI,
CHROMIUM,STAR FOUNDRY & MACHINE,0,0,,0,0,0,0,84104STRBR976PI,
NITRATE COMPOUNDS,EASTON TECHNICAL PRODUCTS,50,180804,0,180804,0,50,50,84116STNLM5040W,0
MANGANESE COMPOUNDS,GREAT SALT LAKE MINERALS CORP,0,0,,0,0,0,0,84404GRTSL765N1,
VANADIUM COMPOUNDS,PACIFICORP HUNTER PLANT,47400,0,0,0,0,47530,47530,84513PCFCR3MILE,0
COPPER,SAPA EXTRUSIONS INC,0,17644.8,0,0,1051,1063.2,12.2,84660CRSSN1550N,3.5
MANGANESE,UNIVERSAL INDUSTRIAL SALES INC.,0,6229,0,0,0,64,64,84042NVRSL165W4,0
LEAD,POINT SOUTH READY-MIX CONCRETE,96.89,0,0,0,0,96.9044,96.9044,84043PNTST1262N,0
AMMONIA,OTTO & SONS WEST JORDAN DIVISION,0,0,,0,0,0,0,84088TTSNS4980W,
PROPYLENE,AIRGAS PIONEER RD,0,0,0,0,0,600,600,84104RGSPN1211S,0
METHANOL,VARIAN MEDICAL SYSTEMS X-RAY PRODUCTS CPI EIMAC,0,17668,0,0,0,2716,2716,84104VRNMC1678S,0
DICHLOROMETHANE,ATK LAUNCH SYSTEMS PROMONTORY,0,0,0,0,0,9768,9768,84302MRTNT9160N,0
LEAD,INOVAR INC,0,1333.116,0,1.516,0,.713,.713,84321NVRNC1073W,0
LEAD,SOUTH WEBER,44.78,0,0,0,0,44.7865,44.7865,84405STHWB7425S,0
1 2 4-TRIMETHYLBENZENE,CASTLE COUNTRY OIL,0,0,,0,0,0,0,84501CSTLC352WM,
NICKEL COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,34700,0,0,0,0,34955,34955,84624NTRMN850BR,0
HYDROGEN FLUORIDE,INTERMOUNTAIN POWER GENERATING STATION,0,0,0,0,0,24000,24000,84624NTRMN850BR,0
ZINC COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,90000,0,0,0,0,90255,90255,84624NTRMN850BR,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),MACA SUPPLY CO,0,0,,0,0,0,0,84663MCSPP1295W,
BENZO(G H I)PERYLENE,TESORO REFINING & MARKETING CO,0,.43,0,0,0,0,0,84103MCLCM474WE,0
1 3-BUTADIENE,TESORO REFINING & MARKETING CO,0,0,0,0,0,500,500,84103MCLCM474WE,0
1 2 4-TRIMETHYLBENZENE,TESORO REFINING & MARKETING CO,250,2105,250,2100,5,1755,1750,84103MCLCM474WE,0
NAPHTHALENE,TESORO REFINING & MARKETING CO,5,255,5,250,5,510,505,84103MCLCM474WE,0
NITRIC ACID,BRENNTAG PACIFIC INC.,0,0,0,0,0,28.56,28.56,84104GRTWS2334W,0
NICKEL,TOSCA LTD UTAH,0,39,0,13,0,.06,.06,84116TSCLT595WA,0
NITRIC ACID,THATCHER CO,0,5,0,5,0,255,255,84127THTCH1905F,0
CHROMIUM,EXPRESS METAL FABRICATORS INC.,0,91127,0,0,0,5.2,5.2,84770STGRG1301E,0
LEAD,U.S. ARMY DUGWAY PROVING GROUN D,2858.6,0,2858.6,0,0,5717.2,5717.2,84022SRMYDSTEDP,0
HYDROGEN FLUORIDE,CLEAN HARBORS ARAGONITE LLC,0,2,0,0,0,1,1,84029SFTYK11600,0
DICHLOROMETHANE,CLEAN HARBORS ARAGONITE LLC,0,2479,0,0,43,125,82,84029SFTYK11600,0
DICHLOROBENZENE (MIXED ISOMERS),CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,1,1,84029SFTYK11600,0
CROTONALDEHYDE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,3,3,84029SFTYK11600,0
ANTIMONY COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,44482,0,0,44482,44484,2,84029SFTYK11600,0
AMMONIA,CLEAN HARBORS ARAGONITE LLC,0,2776,0,0,2401,2408,7,84029SFTYK11600,0
ALUMINUM OXIDE (FIBROUS FORMS),CLEAN HARBORS ARAGONITE LLC,0,273463,0,0,273463,273490,27,84029SFTYK11600,0
2-METHOXYETHANOL,CLEAN HARBORS ARAGONITE LLC,0,71,0,0,71,78,7,84029SFTYK11600,0
2 4-D,CLEAN HARBORS ARAGONITE LLC,0,1,0,0,1,4,3,84029SFTYK11600,0
1 4-DIOXANE,CLEAN HARBORS ARAGONITE LLC,0,53,0,0,53,55,2,84029SFTYK11600,0
CADMIUM,CLEAN HARBORS ARAGONITE LLC,0,14586,0,0,14586,14587,1,84029SFTYK11600,0
VINYL ACETATE,CLEAN HARBORS ARAGONITE LLC,0,24,0,0,24,28,4,84029SFTYK11600,0
MANGANESE COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,13221,0,0,13221,13222,1,84029SFTYK11600,0
LEAD,CLEAN HARBORS ARAGONITE LLC,0,73714,0,0,73714,73721,7,84029SFTYK11600,0
CARBON TETRACHLORIDE,CLEAN HARBORS ARAGONITE LLC,0,29,0,0,1,8,7,84029SFTYK11600,0
1 1 2 2-TETRACHLOROETHANE,CLEAN HARBORS ARAGONITE LLC,0,7,0,0,3,33,30,84029SFTYK11600,0
LEAD,USA INDUSTRIES,0,1255,0,0,0,.49,.49,84104SNDST1291S,0
NITRATE COMPOUNDS,COMPEQ INTERNATIONAL,0,58100,0,58100,0,0,0,84116CMPQN620NO,0
MANGANESE,ROCKY MOUNTAIN FABRICATION,0,36286,0,0,0,33,33,84116RCKYM1125W,0
AMMONIA,BAICOR,0,0,,0,0,0,0,84321BCRXX1895N,
NITRATE COMPOUNDS,BAICOR,0,0,,0,0,0,0,84321BCRXX1895N,
POLYCYCLIC AROMATIC COMPOUNDS,SEMMATERIALS  L.P. - OGDEN UT,0,0,0,0,0,.1,.1,84401STKRP2350S,0
CHROMIUM,CHROMALOX INC,250,13111.33,250,0,0,250,250,84404CHRML2150N,0
MANGANESE,TRINITY HIGHWAY PRODUCTS LLC,0,0,,0,0,0,0,84014SYRST950WE,
NITRATE COMPOUNDS,DYNO NOBEL INC LEHI SITE B,0,1850,0,1850,0,0,0,84043RCNCRPELIC,0
NICKEL COMPOUNDS,ENERGYSOLUTIONS LLC,408154,0,0,0,0,408154,408154,84029NVRCRUSINT,0
LEAD COMPOUNDS,ENERGYSOLUTIONS LLC,2351538,0,0,0,0,2351538,2351538,84029NVRCRUSINT,0
ZINC COMPOUNDS,ENERGYSOLUTIONS LLC,218986,0,0,0,0,218986,218986,84029NVRCRUSINT,0
POLYCYCLIC AROMATIC COMPOUNDS,ENERGYSOLUTIONS LLC,262.4,11.1,0,0,11,273.4,262.4,84029NVRCRUSINT,0
N-HEXANE,ZERO MANUFACTURING,0,0,0,0,0,10000,10000,84054ZRNCL200NO,0
LEAD COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,457517,0,0,0,0,457663,457663,84074PPMNCI80,0
NITRIC ACID,CLEAN HARBORS GRASSY MOUNTAIN LLC,21172,0,0,0,0,21172,21172,84074PPMNCI80,0
MERCURY COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,680.2,0,0,0,0,680.2,680.2,84074PPMNCI80,0
CADMIUM COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,27152,0,0,0,0,27153,27153,84074PPMNCI80,0
CYCLOHEXANE,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,1,0,0,0,938,938,84056SRFRC7274W,0
LEAD,STAKER & PARSON CALIFORNIA READY-MIX CONCRETE,113.59,0,0,0,0,113.607,113.607,84157STKRP3313W,0
NITRATE COMPOUNDS,SCHREIBER FOODS INC,0,34892,0,34892,0,0,0,84321SCHRB885N6,0
POLYCYCLIC AROMATIC COMPOUNDS,SEMMATERIALS LP WOODS CROSS,0,35.9,0,0,0,.6,.6,84087SMMTR991W1,0
NITRATE COMPOUNDS,DANNON CO,0,104462,0,104462,0,0,0,84088DNNNC6165A,0
BENZENE,HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
NITRIC ACID,KENNECOTT UTAH COPPER SMELTER & REFINERY,0,0,0,0,0,22,22,84006KNNCT8362W,0
CRESOL (MIXED ISOMERS),KENNECOTT UTAH COPPER SMELTER & REFINERY,0,510,0,0,510,1010,500,84006KNNCT8362W,250
SILVER COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,6140,70000,0,0,70000,76689,6689,84006KNNCT8362W,250
MERCURY COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,598.22,13,0,0,13,801.65,788.65,84006KNNCT8362W,2.42
XYLENE (MIXED ISOMERS),BIG WEST OIL LLC,0,1364,0,1364,0,4647,4647,84054BGWST333WE,0
N-HEXANE,BIG WEST OIL LLC,0,0,0,0,0,2404,2404,84054BGWST333WE,0
CERTAIN GLYCOL ETHERS,POWER LINE INDUSTRIES INC.,0,0,,0,0,0,0,84065PWRLN14717,
ALUMINUM (FUME OR DUST),U.S. ARMY TOOELE ARMY DEPOT MUNITION TREATMENT,3249,1201,3249,0,0,3363,3363,84074TLRMYSDSTE,0
SELENIUM COMPOUNDS,CHELATED MINERALS CORP,0,0,0,0,0,0,0,84104CHLTD331W9,0
MANGANESE COMPOUNDS,CHELATED MINERALS CORP,0,927,0,0,927,974,47,84104CHLTD331W9,0
BENZENE,JARDINE PETROLEUM-LOGAN,0,0,,0,0,0,0,84321JRDNP1070W,
DIOXIN AND DIOXIN-LIKE COMPOUNDS,SUNNYSIDE COGENERATION ASSOCIA TES,0,0,0,0,0,.661,.661,84539SNNYSONEPO,0
POLYCYCLIC AROMATIC COMPOUNDS,CHEMICAL LIME GRANTSVILLE PLANT & QUARRY,0,0,0,0,0,.1,.1,84029CHMCLOLDHW,0
NITRATE COMPOUNDS,POINT WEST READY-MIX CONCRETE,780.58,0,0,0,0,780.58,780.58,84043STKRP11700,0
MERCURY,POINT WEST READY-MIX CONCRETE,.696,0,0,0,0,.696,.696,84043STKRP11700,0
ETHYLENE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,4200,4200,84087PHLLP393SO,0
BENZO(G H I)PERYLENE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,1.104,1.104,84087PHLLP393SO,0
MERCURY COMPOUNDS,JOHNSON MATTHEY INC,0,2.3,0,.43,0,.032,.032,84120JHNSN4601W,0
LEAD,NUCOR CORP. - VULCRAFT DIV,0,3.3103,0,0,3,5.1,2.1,84302VLCRF1875W,0
BARIUM COMPOUNDS,INTERPACE HOLDINGS LLC,0,0,,0,0,0,0,84315NTRPC736WH,
COPPER COMPOUNDS,KILFOYLE KRAFTS,0,0,,0,0,0,0,84501KLFGL1510S,
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),PACIFICORP HUNTINGTON PLANT,0,0,0,0,0,878000,878000,84528PCFCR10MIL,0
LEAD COMPOUNDS,ASH GROVE CEMENT- LEAMINGTON UTAH,0,0,0,0,0,5.4755,5.4755,84648STHWSHIWAY,0
COPPER,CERRO FLOW PRODUCTS INC CEDAR CITY FACILITY,0,19,0,0,19,19,0,84720CRRCP888N5,0
NITRATE COMPOUNDS,AMERICAN PACIFIC CORP UTAH OPERATIONS,0,0,,0,0,0,0,84720MRCNZ10622,
NICKEL,LIFETIME PRODUCTS INC,0,108504.7,0,0,0,0,0,84016LFTMPBUILD,0
LEAD COMPOUNDS,VALLEY PAINT MANUFACTURING,0,0,0,0,0,163,163,84087VLLYP727SO,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),GRAYMONT WESTERN U.S. INC. CRICKET MOUNTAIN,0,0,0,0,0,31584.6,31584.6,84624GRYMN32MIL,0
BENZO(G H I)PERYLENE,KEIGLEY ASPHALT PLANT,0,0,0,0,0,.0074,.0074,84655KGLYS1237S,0
LEAD,STAKER & PARSON COS ST GEORGE READY-MIX & ASPHALT,54.74,0,0,0,0,73.1475,73.1475,84770STKRP1843E,0
ZINC COMPOUNDS,UNIVERSAL INDUSTRIAL SALES INC.,0,136747,0,0,0,8.7,8.7,84042NVRSL165W4,1.5
TOLUENE,RT MANUFACTURING INC,0,0,0,0,0,10075,10075,84057RTMNF1186N,0
XYLENE (MIXED ISOMERS),CHEMCENTRAL/SALT LAKE CITY,0,0,,0,0,0,0,84087CHMCN2465S,
