SPECIES	ABUNDANCE	LATIN	COMMON	SP_CODE
31553	2	Spirobranchus gigante	Christmas tree worm	600    Spirobranchus gigante
22391	1	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
1834	1	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
7750	1	Agaricia	Sheet coral	672    Agaricia
51379	1	Gramma loreto	Fairy basslet	476    Gramma loreto
51380	1	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
57463	2	Haemulon sciurus	Bluestriped grunt	439    Haemulon sciurus
68318	1		Sponges - ball	675    Sponges - ball
71784	1	Gorgonia ventalina	Common sea fan	664    Gorgonia ventalina
73515	2	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
13572	1	Palythoa sp.	Zoanthid	668    Palythoa sp.
28624	2	Spirobranchus gigante	Christmas tree worm	600    Spirobranchus gigante
31896	1	Stegastes partitus	Bicolor damselfish	455    Stegastes partitus
31906	1	Mullidae	Goatfish	671    Mullidae
32006	1	Holocentrus rufus	Longspine squirrelfish	496    Holocentrus rufus
44228	2	Udotea flabellum	Green algae - blade like	201    Udotea flabellum
48555	1	Holocentrus rufus	Longspine squirrelfish	496    Holocentrus rufus
51598	1	Amphinomidae	Fire worms	751    Amphinomidae
51608	1	Thalassoma bifasciatum	Bluehead wrasse	489    Thalassoma bifasciatum
55534	3	Wrangelia argus	Red algae	634    Wrangelia argus
56477	2		Branching rods	662    Branching rods
61735	2	Agaricia tenuifolia	Ribbon coral	107    Agaricia tenuifolia
64686	1	Holacanthus ciliaris	Queen angelfish	670    Holacanthus ciliaris
4373	1	Ginglymostoma cirratum	Nurse shark	167    Ginglymostoma cirratum
6453	2	Acanthurus coeruleus	Blue tang	428    Acanthurus coeruleus
35722	1	Penicillus capitatus	Green algae - brush like	195    Penicillus capitatus
3746	1	Porites astreoides	Mustard hill coral	116    Porites astreoides
18834	1	Acropora cervicornis	Staghorn coral	102    Acropora cervicornis
43627	1	Ocyurus chrysurus	Yellowtail snapper	438    Ocyurus chrysurus
71231	1	Agaricia	Sheet coral	672    Agaricia
73983	1	Haemulon flavolineatum	French grunt	445    Haemulon flavolineatum
74083	1	Acropora cervicornis	Staghorn coral	102    Acropora cervicornis
997	2	Halimeda copiosa	Green algae - calcified	213    Halimeda copiosa
12335	1	Cheatodon ocellatus	Spotfin butterfly fish	423    Cheatodon ocellatus
12622	2	Thalassoma bifasciatum	Bluehead wrasse	489    Thalassoma bifasciatum
18163	1		Sponges - branching	124    Sponges - branching
47824	1		Branching rods	662    Branching rods
34319	1	Dichocoenia stokesii	Elliptical star coral	112    Dichocoenia stokesii
34320	1	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
1546	1		Sponges - branching	124    Sponges - branching
47751	2	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
64929	1	Agaricia undata	Scroll coral	414    Agaricia undata
64930	1	Agaricites agaricites	Purple leaf coral	415    Agaricites agaricites
65029	1	Scarus taeniopterus	Princess parrotfish	480    Scarus taeniopterus
65030	1	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
66754	1	Palythoa caribaeorum	False coral	45     Palythoa caribaeorum
2490	2	Agaricia tenuifolia	Ribbon coral	107    Agaricia tenuifolia
2500	1	Meandrina meandrites	Butterprint coral	342    Meandrina meandrites
25646	2	Halichoeres garnoti	Yellowhead wrasse	488    Halichoeres garnoti
32667	1	Hypoplectrus unicolor	Butter Hamlet	694    Hypoplectrus unicolor
39589	1	Abudefduf saxatilis	Sergeant major	457    Abudefduf saxatilis
39590	1	Hypoplectrus puella	Barred hamlet	459    Hypoplectrus puella
39600	4	Thallasia testudinum	Turtle grass	142    Thallasia testudinum
40589	2	Oreaster reticulatus	Cushion sea star	592    Oreaster reticulatus
40590	1	Chaetodon capistratus	Foureye butterflyfish	604    Chaetodon capistratus
40600	1	Ginglymostoma cirratum	Nurse shark	167    Ginglymostoma cirratum
42872	1	Cephalopholis cruentata	Graysby	472    Cephalopholis cruentata
2489	2	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
47553	1	Sargocentron coruscus	Reef squirrelfish	498    Sargocentron coruscus
49133	1	Siderastrea radians	Rough starlet coral	402    Siderastrea radians
50133	2	Sparisoma aurofrenatum	Redband parrotfish	484    Sparisoma aurofrenatum
55475	1	Sparisoma aurofrenatum	Redband parrotfish	484    Sparisoma aurofrenatum
9757	3	Gorgonion	Branching gorgonion	59     Gorgonion
18971	2	Plexaura flexuosa	Sea rods	120    Plexaura flexuosa
19071	2		Sponges - vase	122    Sponges - vase
21355	2	Chaetodontidae	Butterflyfish	157    Chaetodontidae
26952	3	Chromis cyanea	Blue chromis	658    Chromis cyanea
27052	1		Branching plumes	663    Branching plumes
36577	3	Haemulon plumieri	White grunt	442    Haemulon plumieri
8756	1	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
20071	1	Caranx batholomaei	Yellow jack	430    Caranx batholomaei
53721	1	Dichocoenia stokesii	Elliptical star coral	112    Dichocoenia stokesii
58562	2	Porites furcata	Finger coral	111    Porites furcata
66299	3	Agaricia tenuifolia	Ribbon coral	107    Agaricia tenuifolia
66309	2	Cheatodon ocellatus	Spotfin butterfly fish	423    Cheatodon ocellatus
66310	2	Chaetodon capistratus	Foureye butterflyfish	604    Chaetodon capistratus
68367	1	Microspathodon chrysurus	Yellowtail damselfish	451    Microspathodon chrysurus
9525	3		Sea fans	118    Sea fans
10267	1	Acropora palmata	Elkhorn coral	101    Acropora palmata
29323	1	Acanthurus chirurgus	Doctorfish	427    Acanthurus chirurgus
30323	2	Halichoeres garnoti	Yellowhead wrasse	488    Halichoeres garnoti
35537	1	Labridae	Wrasse	654    Labridae
5484	1	Lachnolaimus maximus	Hogfish	71     Lachnolaimus maximus
21692	2	Chromis cyanea	Blue chromis	658    Chromis cyanea
41286	3	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
21702	1	Agaricia	Sheet coral	672    Agaricia
44881	1	Eusmilia fastigiata	Flower coral	386    Eusmilia fastigiata
53813	1	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
59472	1	Acropora cervicornis	Staghorn coral	102    Acropora cervicornis
60472	3	Lobophora variegata	Brown algae - blade like	227    Lobophora variegata
62539	2	Mullidae	Goatfish	671    Mullidae
62540	1	Ventricara ventricosa	Green algae	608    Ventricara ventricosa
68222	1	Rhipocephalus phoenix	Green algae - brush like	194    Rhipocephalus phoenix
31586	1	Agaricia fragilis	Fragile saucer coral	416    Agaricia fragilis
38967	1	Lobophora variegata	Brown algae - blade like	227    Lobophora variegata
39067	2	Porites porites	Club finger coral	56     Porites porites
40067	4	Thallasia testudinum	Turtle grass	142    Thallasia testudinum
43931	1	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
44031	2	Wrangelia argus	Red algae	634    Wrangelia argus
55378	1	Halimeda incrassata	Green algae - calcified	209    Halimeda incrassata
72178	2	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
6419	1	Diploria labyrinthiformis	Grooved brain coral	105    Diploria labyrinthiformis
21292	1	Calamus pennatula	Pluma	587    Calamus pennatula
21302	2	Millepora sp	Fire 'coral'	117    Millepora sp
21638	1		Sponges - vase	122    Sponges - vase
28222	2	Porites furcata	Finger coral	111    Porites furcata
28363	3	Lutjanus apodus	Schoolmaster fish	432    Lutjanus apodus
34225	3	Halichoeres garnoti	Yellowhead wrasse	488    Halichoeres garnoti
35859	1	Halimeda monile	Green algae - calcified	211    Halimeda monile
35860	1	Halimeda tuna	Green algae - calcified	214    Halimeda tuna
39389	3	Rhipocephalus phoenix	Green algae - brush like	194    Rhipocephalus phoenix
39390	4	Penicillus dumetosus	Green algae - brush like	196    Penicillus dumetosus
39400	2	Udotea cyathiformis	Green algae - cup like	205    Udotea cyathiformis
40389	1		Anemones	637    Anemones
40390	1	Sabellidae	Feather duster worm	60     Sabellidae
40400	2	Udotea flabellum	Green algae - blade like	201    Udotea flabellum
6420	2	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
44586	1	Thalassoma bifasciatum	Bluehead wrasse	489    Thalassoma bifasciatum
48693	2	Thalassoma bifasciatum	Bluehead wrasse	489    Thalassoma bifasciatum
48703	1	Porites furcata	Finger coral	111    Porites furcata
49423	1		Sponges - ball	675    Sponges - ball
50423	1	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
57429	2	Rhodophycota	Red algae - filamentous	221    Rhodophycota
57430	3	Dictyota sp.	Brown algae - fine branched	225    Dictyota sp.
61137	2	Porites porites	Club finger coral	56     Porites porites
