Dataset:              Fish Species Abundance Data
File Name:            CB93_4_2.txt
Date Created:         12/17/96
# Variables:          4
# Header Records:     14
# Data Records:       462
Missing Value Symbol: .

Variables:    SITE         Station name
              MONTH        Month (JUN,AUG,SEP) of data collection
              SPECIES      Common name of species collected
              ABUN         No. of individuals collected of the species

SITE    MONTH   SPECIES                         ABUN
STN_19  SEP     Etropis sp.                        2
STN_19  SEP     Inshore lizardfish                 1
STN_19  SEP     Mojara sp.                         2
STN_19  AUG     Mullet sp.                        17
STN_19  SEP     Mullet white                      47
STN_19  AUG     Mummichog                        906
STN_19  JUL     Mummichog                         19
STN_19  SEP     Mummichog                         95
STN_19  SEP     Northern kingfish                  4
STN_19  SEP     Northern pipefish                  1
STN_19  SEP     Northern sea robin                 1
STN_19  AUG     Sheepshead minnow                  1
STN_19  SEP     Sheepshead minnow                 38
STN_19  AUG     Spot                               6
STN_19  SEP     Spot                               2
STN_19  AUG     Striped killifish                462
STN_19  JUL     Striped killifish                  2
STN_19  SEP     Striped killifish               1266
STN_19  AUG     Striped sea robin                  1
STN_19  AUG     Winter flounder                   19
STN_19  JUL     Winter flounder                    1
STN_19  SEP     Winter flounder                    8
STN_2   AUG     Atlantic silverside               58
STN_2   JUL     Atlantic silverside                7
STN_2   SEP     Atlantic silverside               40
STN_2   AUG     Bay anchovy                        3
STN_2   JUL     Bay anchovy                        2
STN_2   SEP     Bay anchovy                        9
STN_2   AUG     Inland silverside                  1
STN_2   SEP     Inland silverside                  1
STN_2   AUG     Mullet sp.                         1
STN_2   JUL     Mullet sp.                        26
STN_2   AUG     Mummichog                        602
STN_2   JUL     Mummichog                         30
STN_2   SEP     Mummichog                         85
STN_2   AUG     Naked goby                         1
STN_2   SEP     Silver perch                       8
STN_2   JUL     Spot                               2
STN_2   AUG     Striped bass                       1
STN_2   JUL     Striped bass                       1
STN_2   SEP     Striped bass                       7
STN_2   AUG     Striped killifish                  4
STN_2   JUL     Striped killifish                  1
STN_2   SEP     Striped killifish                  1
STN_20  JUL     Atlantic silverside                4
STN_20  AUG     Mullet sp.                         3
STN_20  SEP     Mullet white                       3
STN_20  AUG     Mummichog                         11
STN_20  AUG     Naked goby                         1
STN_20  SEP     Northern kingfish                  7
STN_20  AUG     Spot                               3
STN_20  SEP     Spot                               5
STN_20  AUG     Striped killifish                134
STN_20  JUL     Striped killifish                 11
STN_20  SEP     Summer flounder                   19
STN_20  AUG     Winter flounder                    3
STN_20  SEP     Winter flounder                    2
STN_21  SEP     American eel                       1
STN_21  AUG     Atlantic silverside                9
STN_21  SEP     Atlantic silverside               20
STN_21  AUG     Butterflyfish                      1
STN_21  JUL     Lookdown                           1
STN_21  SEP     Mojara sp.                         1
STN_21  AUG     Mullet sp.                         1
STN_21  AUG     Mummichog                        231
STN_21  JUL     Mummichog                          1
STN_21  SEP     Mummichog                         62
STN_21  AUG     Northern kingfish                  1
STN_21  SEP     Northern kingfish                  1
STN_21  JUL     Northern pipefish                  1
STN_21  SEP     Northern puffer                    1
STN_21  AUG     Sheepshead minnow                  1
STN_21  SEP     Silver perch                     235
STN_21  AUG     Spot                               3
STN_21  SEP     Spot                               1
STN_21  SEP     Striped blenny                     1
STN_21  AUG     Striped killifish                 13
STN_21  JUL     Striped killifish                 14
STN_21  SEP     Striped killifish                 70
STN_21  AUG     Striped sea robin                  1
STN_21  AUG     Winter flounder                   11
STN_22  AUG     Bluefish                           1
STN_22  AUG     Mummichog                         28
STN_22  JUL     Mummichog                          1
STN_22  SEP     Mummichog                          3
STN_22  JUL     Naked goby                         1
STN_22  SEP     Northern kingfish                  1
STN_22  JUL     Spot                               1
STN_22  AUG     Striped bass                       1
STN_22  AUG     Winter flounder                    1
STN_22  JUL     Winter flounder                   11
STN_23  JUL     Atlantic silverside                5
STN_23  JUL     Mummichog                          8
STN_23  JUL     Striped bass                       1
STN_23  JUL     Striped killifish                  1
STN_24  SEP     Mullet white                       1
STN_24  AUG     Mummichog                          5
STN_24  JUL     Mummichog                          3
