# StationID,Lat(deg.NAD27),Lon(deg.NAD27),Elev(m.NGVD29),Obs_grav(mGal),Free_air_anom(mGal),Inner_terr_corr(mGal),Total_terr_corr(mGal),Complete_Bouguer_anom(mGal),Isostatic_anom(mGal) -- see USGS OFR2006-1396 for more info
33039gwk,36.8133,-114.6567,531.9,979661.92,-62.52,0.33,1.11,-121.60,-1.70
33040azn,36.7050,-114.6533,544.7,979655.43,-55.67,0.09,0.14,-117.17,-2.95
33040bao,36.7183,-114.6917,528.5,979667.60,-49.66,0.01,0.29,-109.17,6.48
33040dcq,36.7300,-114.7250,553.2,979666.89,-43.75,0.04,0.51,-105.84,11.27
33040edr,36.7383,-114.7383,558.7,979667.97,-41.70,0.13,0.72,-104.20,13.66
33040fes,36.7483,-114.7517,602.3,979658.79,-38.30,0.40,0.88,-105.57,13.12
33040gft,36.7583,-114.7650,639.8,979651.83,-34.55,0.38,0.81,-106.12,13.41
33040hgu,36.7633,-114.7833,677.9,979644.43,-30.63,0.17,0.55,-106.76,13.58
33040ihv,36.7700,-114.7967,687.0,979641.50,-31.33,0.10,0.52,-108.52,12.56
33041aiw,36.7750,-114.8133,680.0,979638.14,-37.28,0.11,0.61,-113.59,8.30
33041bjx,36.7817,-114.8300,726.6,979626.82,-34.80,0.31,0.75,-116.23,6.55
33041cky,36.7883,-114.8983,670.6,979628.57,-50.91,0.08,1.13,-125.64,0.09
33041dlz,36.7900,-114.8850,662.9,979638.46,-43.54,0.19,1.16,-117.36,7.94
33041ema,36.8083,-114.8583,782.7,979611.03,-35.60,0.09,0.59,-123.51,1.38
33041fnb,36.8217,-114.8617,764.7,979612.93,-40.41,0.22,0.81,-126.07,-0.50
33041goc,36.8350,-114.8667,750.1,979614.86,-44.14,0.43,1.21,-127.76,-1.43
33043crf,36.4533,-114.8633,599.8,979620.79,-51.54,0.01,0.63,-118.77,-6.67
33045fcq,36.4517,-114.7000,667.8,979604.22,-46.99,0.02,0.12,-122.40,-15.43
33045hdr,36.4867,-114.7483,622.4,979612.75,-55.48,0.01,0.08,-125.81,-16.59
33046aes,36.4233,-114.4950,563.9,979643.07,-37.74,0.14,0.50,-101.04,3.11
33046bft,36.4250,-114.4683,509.3,979653.26,-44.54,0.24,0.52,-101.66,2.65
33046cgu,36.4367,-114.4333,473.7,979652.17,-57.62,0.07,0.15,-111.09,-6.18
