Cleveland-Elyria-Mentor, OH 	Residual 	2459761075 	3070493845 	1631599409
Columbus, OH 	Canada 	1717294807 	-2 	-2
Columbus, OH 	China 	157663355 	-2 	-2
Columbus, OH 	Federal Republic of Germany 	267518310 	-2 	-2
Columbus, OH 	Japan 	199514119 	-2 	-2
Columbus, OH 	Mexico 	424821030 	-2 	-2
Columbus, OH 	Residual 	1169177825 	-2 	-2
Dallas-Fort Worth-Arlington, TX 	Canada 	3235571626 	3502055506 	1647323950
Dallas-Fort Worth-Arlington, TX 	China 	-2 	1430027805 	628441814
Dallas-Fort Worth-Arlington, TX 	Japan 	1227873770 	-2 	-2
Dallas-Fort Worth-Arlington, TX 	Malaysia 	-2 	-2 	531119382
Dallas-Fort Worth-Arlington, TX 	Mexico 	3005394711 	2984160621 	1348510537
Dallas-Fort Worth-Arlington, TX 	Philippines 	-1 	-1 	-1
Dallas-Fort Worth-Arlington, TX 	Residual 	10627447994 	12238506199 	-1
Dallas-Fort Worth-Arlington, TX 	United Arab Emirates 	-1 	-1 	-2
Davenport-Moline-Rock Island, IA-IL 	Canada 	-2 	-2 	599953880
Davenport-Moline-Rock Island, IA-IL 	Federal Republic of Germany 	-2 	-2 	-1
Davenport-Moline-Rock Island, IA-IL 	Kazakhstan 	-2 	-2 	-1
Davenport-Moline-Rock Island, IA-IL 	Mexico 	-2 	-2 	119914368
Davenport-Moline-Rock Island, IA-IL 	Residual 	-2 	-2 	955067643
Davenport-Moline-Rock Island, IA-IL 	Russia 	-2 	-2 	-1
Dayton, OH 	Canada 	-2 	1209402532 	-2
Dayton, OH 	Chile 	-2 	-1 	-2
Dayton, OH 	Israel 	-2 	-1 	-2
Dayton, OH 	Oman 	-2 	-1 	-2
Dayton, OH 	Poland 	-2 	-1 	-2
Dayton, OH 	Residual 	-2 	1348134406 	-2
Decatur, IL 	China 	-1 	-1 	-1
Decatur, IL 	Egypt 	-1 	-1 	-1
Decatur, IL 	Federal Republic of Germany 	-1 	-2 	-2
Decatur, IL 	Japan 	190931154 	265757673 	162326539
Decatur, IL 	Mexico 	-1 	-1 	-1
Decatur, IL 	Netherlands 	-2 	-1 	-1
Decatur, IL 	Residual 	2108836302 	2405404316 	-1
Denver-Aurora, CO 	Canada 	-2 	570399259 	294970593
Denver-Aurora, CO 	Federal Republic of Germany 	-2 	175901954 	69428365
Denver-Aurora, CO 	Japan 	-2 	227836718 	121844746
Denver-Aurora, CO 	Mexico 	-2 	247266812 	128913293
Denver-Aurora, CO 	Residual 	-2 	-1 	-1
Denver-Aurora, CO 	Switzerland 	-2 	-1 	-1
Detroit-Warren-Livonia, MI 	Austria 	-1 	-1 	-1
Detroit-Warren-Livonia, MI 	Canada 	15026583388 	17557839208 	9895587060
Detroit-Warren-Livonia, MI 	China 	524690772 	-2 	-2
Detroit-Warren-Livonia, MI 	Mexico 	15466258344 	15248457986 	8341806899
Detroit-Warren-Livonia, MI 	Residual 	7012547213 	7215236936 	-1
Detroit-Warren-Livonia, MI 	Saudi Arabia 	-1 	-1 	495685718
Detroit-Warren-Livonia, MI 	Venezuela 	-2 	659355204 	488194033
El Paso, TX 	Canada 	1053155573 	1086666471 	583451839
El Paso, TX 	China 	98493535 	120491327 	58456203
El Paso, TX 	Federal Republic of Germany 	103166384 	123554297 	59898723
El Paso, TX 	Honduras 	-2 	-1 	-1
El Paso, TX 	Mexico 	7442100952 	7800250391 	3789347252
El Paso, TX 	Philippines 	97725197 	-2 	-2
El Paso, TX 	Residual 	859997025 	-1 	-1
Greenville, SC 	Canada 	-2 	597545403 	298278634
Greenville, SC 	Federal Republic of Germany 	-2 	-1 	-1
Greenville, SC 	Japan 	-2 	228890682 	-2
Greenville, SC 	Mexico 	-2 	480957953 	261096761
Greenville, SC 	Residual 	-2 	-1 	1253891795
Greenville, SC 	Saudi Arabia 	-2 	-2 	-1
