JD,Date,Time,Lat,Long,"xCO2,w","xCO2,a",EqTemp,Pressure,SST(TSG),Sal(TSG),"fCO2w,eq","fCO2w,in situ",fCO2a,dfCO2
308.032188,11/04/01,00:46:21,35.482235,-134.4152799,350.2537394,373.8701211,15.585282,1021.630859,15.51606753,31.98876712,345.9214125,344.9319426,369.157008,-24.22506536
308.035301,11/04/01,00:50:50,35.47604406,-134.4214528,350.3711598,373.8701211,15.473398,1021.438599,15.40418353,31.99027397,346.0118121,345.021351,369.157008,-24.13565699
308.038426,11/04/01,00:55:20,35.46982925,-134.4276494,349.5964492,373.8701211,15.499896,1021.484375,15.43068153,31.99178082,345.2528965,344.2646874,369.157008,-24.89232059
308.041551,11/04/01,00:59:50,35.46361445,-134.433846,348.4707093,373.8701211,15.54406,1021.731567,15.47484553,31.99328767,344.2098965,343.2248328,369.157008,-25.93217523
308.073854,11/04/01,01:46:21,35.39937224,-134.4979005,349.2160185,374.0959261,15.50284,1021.731567,15.43362553,32.00986301,344.9610747,343.9736834,369.4163074,-25.44262402
308.076956,11/04/01,01:50:49,35.39320317,-134.5040515,347.1292645,374.0959261,15.499896,1021.31958,15.43068153,32.01136986,342.7601738,341.7787843,369.4163074,-27.6375231
308.080081,11/04/01,01:55:19,35.38698837,-134.5102481,347.9259187,374.0959261,15.473398,1021.511841,15.40418353,32.01287671,343.6221267,342.6382038,369.4163074,-26.7781036
308.083218,11/04/01,01:59:50,35.3807497,-134.5164686,350.2728366,374.0959261,15.446902,1021.374512,15.37768753,32.01438356,345.9023038,344.9119661,369.4163074,-24.50434132
308.115521,11/04/01,02:46:21,35.31650749,-134.580523,350.3665366,373.2784546,15.638284,1022.116089,15.56906953,32.0309589,346.1807747,345.1909486,368.6821433,-23.49119474
308.118623,11/04/01,02:50:49,35.31033843,-134.586674,349.2860754,373.2784546,15.461622,1021.951294,15.39240753,32.03246575,345.1207162,344.1326148,368.6821433,-24.54952851
308.121759,11/04/01,02:55:20,35.30410174,-134.5928925,349.0044132,373.2784546,15.54406,1021.694946,15.47484553,32.0339726,344.724638,343.7381665,368.6821433,-24.94397678
308.124884,11/04/01,02:59:50,35.29788694,-134.5990891,350.5780716,373.2784546,15.694236,1021.969604,15.62502153,32.03547945,346.3187784,345.3289477,368.6821433,-23.35319566
308.157188,11/04/01,03:46:21,35.23364274,-134.6631455,352.3109758,374.7375195,15.873898,1022.134399,15.80468353,32.05205479,348.0211012,347.0278234,370.2064413,-23.17861785
308.160301,11/04/01,03:50:50,35.2274518,-134.6693183,352.216651,374.7375195,15.876843,1021.713257,15.80762853,32.05356164,347.780961,346.7883578,370.2064413,-23.41808344
308.163426,11/04/01,03:55:20,35.221237,-134.675515,351.650899,374.7375195,15.83266,1021.969604,15.76344553,32.05506849,347.327423,346.3357618,370.2064413,-23.87067946
308.166551,11/04/01,03:59:50,35.21502219,-134.6817116,351.2739187,374.7375195,15.977004,1021.841431,15.90778953,32.05657534,346.8570058,345.8675904,370.2064413,-24.33885091
308.198854,11/04/01,04:46:21,35.15077998,-134.745766,350.3933663,372.6834592,15.697181,1022.399902,15.62796653,32.07315068,346.2836284,345.2939132,368.1493957,-22.85548249
308.201956,11/04/01,04:50:49,35.14461092,-134.7519171,350.0405325,372.6834592,15.655953,1022.473145,15.58673853,32.07465753,345.9752539,344.9861068,368.1493957,-23.1632889
308.205081,11/04/01,04:55:19,35.13839611,-134.7581137,350.2757403,372.6834592,15.767862,1022.198486,15.69864753,32.07616438,346.0720139,345.083347,368.1493957,-23.06604877
308.208218,11/04/01,04:59:50,35.13215744,-134.7643341,350.6757283,372.6834592,15.785534,1022.729492,15.71631953,32.07767123,346.6437998,345.6536897,368.1493957,-22.49570603
308.240521,11/04/01,05:46:21,35.06791524,-134.8283885,352.5537179,373.8106877,15.143715,1022.619629,15.07450053,32.09424658,348.6959886,347.6959764,369.6508448,-21.95486843
308.243623,11/04/01,05:50:49,35.06174617,-134.8345396,351.614148,373.8106877,15.273221,1022.344971,15.20400653,32.09575342,347.6254052,346.6291929,369.6508448,-23.02165192
308.246759,11/04/01,05:55:20,35.05550949,-134.840758,351.8959203,373.8106877,15.16726,1022.335815,15.09804553,32.09726027,347.9387837,346.9410045,369.6508448,-22.7098403
308.249884,11/04/01,05:59:50,35.04929468,-134.8469547,350.9570079,373.8106877,14.693485,1022.363281,14.62427053,32.09876712,347.1862766,346.1873982,369.6508448,-23.46344663
