Time,Speed,Location,County,State,Lat,Lon,Comments
0615,UNK,ENID,GARFIELD,OK,36.4,-97.88,WEST FACING WINDOWS AT AN AUTO DEALERSHIP BLOWN IN ON THE WEST SIDE OF ENID. 45-50 FOOT TALL PINE TREES UPROOTED. SOME TREES FELL THROUGH ROOFS OF HOMES. REPORTED BY OF (OUN)
0624,60,7 NW CALDWELL,SUMNER,KS,37.11,-97.7,(ICT)
0630,64,3 SE BRECKENRIDGE,GARFIELD,OK,36.41,-97.69,(OUN)
0638,60,4 W STROTHER FIELD AIRP,COWLEY,KS,37.16,-97.1,NICKEL SIZE HAIL (ICT)
0645,70,OXFORD,SUMNER,KS,37.27,-97.17,(ICT)
0700,70,2 S SOUTH HAVEN,SUMNER,KS,37.02,-97.4,(ICT)
0702,70,GEUDA SPRINGS,SUMNER,KS,37.11,-97.15,(ICT)
0709,UNK,ARKANSAS CITY,COWLEY,KS,37.07,-97.04,NUMEROUS LARGE TREES AND POWER LINES DOWN ACROSS MUCH OF THE CITY. SEVERAL ROOFS BLOWN OFF OF HOMES AND SEMI TRACTOR TRAILOR BLOWN OFF THE HIGHWAY. (ICT)
0718,UNK,GEUDA SPRINGS,SUMNER,KS,37.11,-97.15,SVERAL TREES AND POWER LINES DOWN IN GEUDA SPRINGS ALSO A BARN WAS MISSING MOST OF ITS ROOF (ICT)
0718,69,STROTHER FIELD AIRPORT,COWLEY,KS,37.16,-97.03,(ICT)
0735,90,5 SSW DEXTER,COWLEY,KS,37.12,-96.75,TWO TREES UPROOTED AND A MACHINE SHED BUILDING HAD MAJOR DAMAGE. STRAIGHT LINE WIND FROM THE WEST. (ICT)
0740,65,BURBANK,OSAGE,OK,36.69,-96.73,(TSA)
0742,UNK,FAIRFAX,OSAGE,OK,36.57,-96.7,POWER LINES DOWN (TSA)
0742,60,HOWARD,ELK,KS,37.47,-96.26,(ICT)
0750,UNK,PAWNEE,PAWNEE,OK,36.34,-96.8,LARGE TREE LIMBS DOWN (TSA)
0755,65,FORAKER,OSAGE,OK,36.87,-96.57,(TSA)
0803,60,SEDAN,CHAUTAUQUA,KS,37.13,-96.18,(ICT)
0808,60,2 N HOWARD,ELK,KS,37.5,-96.26,(ICT)
0825,60,LONGTON,ELK,KS,37.38,-96.08,(ICT)
0830,UNK,SHAMROCK,CREEK,OK,35.91,-96.58,TREE LIMBS DOWN (TSA)
0835,69,2 ENE COPAN,WASHINGTON,OK,36.91,-95.89,(TSA)
0841,60,INDEPENDENCE,MONTGOMERY,KS,37.23,-95.71,VERY HEAVY RAIN (ICT)
0844,UNK,WANN,NOWATA,OK,36.92,-95.8,LARGE TREE DOWN ON HIGHWAY 10 IN THE CITY LIMITS. (TSA)
0850,UNK,3 SW OOLOGAH,ROGERS,OK,36.42,-95.75,TREE BLOWN DOWN (TSA)
0900,UNK,TULSA,TULSA,OK,36.13,-95.92,SEVERAL TREES DOWN AT 14TH AND MEMORIAL. (TSA)
0907,60,MOUND VALLEY,LABETTE,KS,37.21,-95.4,(ICT)
0930,UNK,6 N VINITA,CRAIG,OK,36.73,-95.15,TREE BLOWN DOWN (TSA)
1004,60,FORT SCOTT,BOURBON,KS,37.84,-94.71,(SGF)
1006,UNK,FORT SCOTT,BOURBON,KS,37.84,-94.71,LARGE TREE DOWN. (SGF)
