UT	Glat	Glon	Radius	Dst	Kp	E22.7-29.8eV	E29.8-39.2eV	E39.2-51.5eV	E51.5-67.7eV	E67.7-88.9eV	E88.9-115.0eV	E115.0-151.0eV	E151.0-196.0eV	E196.0-259.0eV	E259.0-342.0eV	E342.0-447.0eV	E447.0-593.0eV	E593.0-776.0eV	E.776-1.03keV	E1.03-1.35kev	E1.35-1.77keV	E1.77-2.31keV	E2.31-3.05keV	E3.05-4.00keV	E4.00-5.28keV	E5.28-6.94keV	E6.94-9.12keV	E9.12-12.0keV	E12.0-15.8keV	E15.8-20.7keV	E20.7-27.3keV	E27.3-35.8keV	E35.8-47.1keV	E50-75keV	E75-105keV	E105-150keV	E150-225keV	E225-315keV	E315-500keV	E500-750keV	E0.75-1.1MeV	E1.1-1.5MeV	E>1.5MeV	E0.7-1.8MeV	E1.8-3.5MeV	E3.5-6.0MeV	E6.0-7.8MeV	E7.8-10.8	E10.8-25.8	P0.70-1.27eV	P1.27-2.3eV	P2.3-3.3eV	P3.3-3.9eV	P3.94.8eV	P4.8-6.1eV	P6.1-8.1eV	P8.1-10.5eV	P10.5-12.3eV	P12.3-15.8eV	P15.8-20.4eV	P20.4-26.2eV	P26.2-33.1eV	P33.1-42.7eV	P42.7-55.6eV	P55.6-72.2	P72.2-93.6eV	P93.6-124.0eV	P124.0-161.0eV	P161.0-211.0eV	P211.0-276.0eV	P276.0-365.0eV	P365.0-480.0eV	P480.0-626.0eV	P626.0-825.0eV	P.825-1.090keV	P1.09-1.42keV	P1.42-1.87keV	P1.87-2.45keV	P2.45-3.20keV	P3.20-4.20keV	P4.20-5.53keV	P5.53-7.26keV	P7.26-9.53keV	P9.53-12.5keV	P12.5-16.4keV	P16.4-21.6keV	P21.6-28.3keV	P28.3-37.1keV	P37.1-48.7keV	P50-75keV	P75-113keV	P113-170keV	P170-250keV	P250-400keV	P400-670keV	P0.67-1.2MeV	P1.2-1.9MeV	P1.9-3.1MeV	P3.1-5.0MeV	P5.0-7.7MeV	P7.7-50.0MeV	P11-14MeV	P14-20MeV	P>20Mev	DENLP	DENHP	DENHE	TPARHP	TPERHP	TPARHE	TPERHE	THETA_P	PHI_P	THETA_E	PHI_E	SC_POTEN
3.577100	0.412310	103.740000	6.601700 -60	4.0	4.4442e+08	3.427e+08	2.3074e+08	1.5766e+08	9.3435e+07	6.1498e+07	4.2151e+07	2.7878e+07	1.6898e+07	1.0627e+07	8.1031e+06	5.1708e+06	3.0726e+06	2.1102e+06	1.3687e+06	974260	875180	845190	1.2157e+06	1.3232e+06	1.6397e+06	1.7305e+06	1.2435e+06	825020	668800	375080	142540	57933	201774	43391.9	22912.5	12026.6	5229.75	2290.18	982.983	451.52	178.912	82.0911	93.66	9.80433	0.318044	0.0212861	0.00200084	0.00122287	-999	6.2455e+07	2.159e+07	5.6155e+07	4.1086e+07	1.0975e+07	2.358e+07	6.4321e+06	1.4626e+07	7.6657e+06	9.9116e+06	1.6921e+07	5.2321e+06	7.2496e+06	5.5921e+06	5.4205e+06	2.1599e+06	2.1963e+06	585650	1.9863e+06	342130	333900	842180	363460	211300	318920	334870	225860	79998	117190	67193	32114	51577	96611	77022	91142	85341	79432	51939	41646	66645.7	8705.36	1803.62	446.703	86.5594	260.363	13.5732	3.08954	0.341888	0.110639	0.0772754	0.0112679	-999	-999	-999	5.479	0.61403	0.53376	5376.3	4637.2	683.12	943.37	13.143	-18.869	107.5	-3.2591	-0.15179	
3.601000	0.410950	103.740000	6.601700 -60	4.0	3.6528e+08	2.5609e+08	1.601e+08	8.785e+07	6.9646e+07	5.1738e+07	3.5149e+07	2.6095e+07	1.7657e+07	9.5324e+06	8.2531e+06	5.1311e+06	3.4805e+06	1.8146e+06	1.1766e+06	1.0881e+06	687950	1.0177e+06	1.0837e+06	1.5769e+06	1.6846e+06	1.646e+06	1.1247e+06	830860	645130	397720	134710	44824	204142	43741	23236.7	11946	5204.08	2273.52	985.386	453.625	175.772	81.7493	93.9563	9.7991	0.318372	0.0205693	0.00186995	0.00134628	1.3824e+08	2.0818e+07	4.3179e+07	1.9819e+07	3.013e+07	4.3898e+06	3.8739e+07	2.7015e+07	2.0894e+07	4.2587e+06	2.6431e+06	9.7421e+06	4.8297e+06	6.6192e+06	5.349e+06	4.486e+06	1.872e+06	2.4159e+06	1.0876e+06	256300	-999	482300	842180	662770	617650	98128	390680	296440	160000	32329	33597	2293.9	41262	108200	101090	97601	91742	75085	51064	43148	66301.1	8715.27	1791.52	448.366	84.2752	265.303	13.6116	3.82624	0.355552	0.110639	0.094415	0.0121675	-999	-999	-999	5.3134	0.64451	0.44903	4263.7	5021.4	762.45	1101.8	98.992	-4.1499	109.13	-2.6591	-0.15336	
3.624900	0.410950	103.740000	6.601700 -60	4.0	3.7437e+08	2.6026e+08	1.7046e+08	1.1339e+08	8.2167e+07	5.973e+07	3.8243e+07	2.2551e+07	1.6287e+07	9.9832e+06	7.5066e+06	5.3841e+06	3.2902e+06	2.3039e+06	1.3927e+06	1.2083e+06	840340	1.0349e+06	1.3507e+06	1.6796e+06	1.7404e+06	1.6934e+06	1.1159e+06	880370	628900	383750	122180	52859	205991	44112.1	23472.7	11724.6	5145.9	2243.76	993.021	454.489	174.965	82.1588	94.3146	9.77088	0.316923	0.0214731	0.00164555	0.00136124	1.131e+08	1.7349e+08	2.6042	5.2851e+07	4.9304e+07	6.5847e+06	1.0106e+07	2.5728e+06	1.776e+07	2.1294e+07	9.2508e+06	1.128e+07	6.842e+06	5.6736e+06	6.8078e+06	6.1682e+06	2.3039e+06	1.6472e+06	2.5099e+06	768900	1.564e+06	1.6324e+06	926400	192420	471370	417050	167440	218800	202660	109110	91627	80286	56735	78577	64506	83965	89608	73900	56608	41216	65445.8	8822.89	1759.3	449.195	88.6756	265.873	14.3509	3.68085	0.342686	-999	0.110372	0.0153717	-999	-999	-999	4.8483	0.60684	0.46384	4371.4	5050.8	735	1050.5	91.027	-3.1994	109.36	-5.6661	-0.1617	
3.648700	0.410950	103.740000	6.601700 -60	4.0	3.659e+08	2.653e+08	1.738e+08	1.1353e+08	7.645e+07	5.7162e+07	3.8514e+07	2.3199e+07	1.406e+07	1.0176e+07	7.2134e+06	5.5286e+06	3.2902e+06	1.8655e+06	1.1206e+06	1.0438e+06	953550	1.0597e+06	1.3838e+06	1.6268e+06	1.8443e+06	1.5438e+06	1.1713e+06	758570	642110	334700	126350	54127	207448	44699.1	23494.6	11534.7	5114.9	2240.36	998.646	449.053	175.997	81.1742	94.161	9.71705	0.313591	0.0210991	0.00198214	0.00127897	1.3824e+08	3.4697e+07	1.7272e+07	6.9367e+07	1.9174e+07	1.5364e+07	2.6949e+07	-999	1.0447e+06	1.1924e+07	9.2508e+06	1.5382e+06	1.1672e+07	3.4672e+06	3.8902e+06	1.1215e+06	575990	2.1963e+06	1.757e+06	2.2426e+06	879770	185500	196510	384840	438860	404780	288360	218800	154660	177810	82465	38996	51577	103050	78947	77507	82141	65206	55441	51520	64619	8751.95	1781.37	444.773	92.0495	263.227	14.8819	3.00576	0.285904	-999	0.0908054	0.0140603	-999	-999	-999	5.4165	0.64682	0.48393	4175.4	4826	700.66	993.27	93.384	-10.614	106.94	-0.6385	-0.14751	
3.672600	0.410950	103.740000	6.601700 -60	4.0	3.9041e+08	2.5033e+08	1.7555e+08	1.1555e+08	7.7195e+07	5.1339e+07	3.4818e+07	1.9607e+07	1.4235e+07	9.2103e+06	6.997e+06	4.3723e+06	3.2358e+06	2.049e+06	1.6489e+06	923650	1.0319e+06	993530	1.4557e+06	1.4747e+06	1.8905e+06	1.6242e+06	1.0478e+06	834570	585380	344900	131050	64699	208495	44992.3	23381.1	11306.3	5056.72	2244.07	985.898	440.674	172.686	79.6566	93.4987	9.48036	0.303308	0.019385	0.00177645	0.00127896	3.5188e+08	2.0818e+08	1.1658e+08	6.6064e+07	2.4652e+07	3.0729e+07	7.2424e+07	2.8301e+07	2.6118e+07	-999	2.7092e+07	8.7166e+06	1.4891e+07	1.1978e+07	7.0509e+06	4.486e+06	2.3039e+06	3.9533e+06	2.1753e+06	1.73e+06	977520	1.113e+06	477240	962090	763940	220790	399990	381140	229330	157600	85519	61935	75646	100480	96277	95448	87475	77456	63611	42075	63651.1	8566.55	1758.34	435.118	84.9687	256.24	14.3062	2.98005	0.228591	0.108333	0.0761968	0.00982253	-999	-999	-999	6.2264	0.68739	0.43785	3936.4	4607.1	766.61	1050	84.886	-1.0482	109.38	-1.1915	-0.13362	
3.696500	0.409590	103.740000	6.601700 -60	4.0	3.9458e+08	2.9438e+08	1.9716e+08	1.2478e+08	8.3277e+07	5.7131e+07	3.9054e+07	2.0196e+07	1.4977e+07	1.111e+07	6.8768e+06	3.9929e+06	2.8007e+06	1.784e+06	1.1926e+06	1.1451e+06	923070	914180	1.3099e+06	1.4593e+06	1.7109e+06	1.5293e+06	1.1178e+06	798450	569530	331760	113300	80768	210910	45488	23384	11129.8	5032.93	2245.48	979.527	440.031	170.53	77.8362	93.1492	9.32498	0.294781	0.0190733	0.0016601	0.00124323	2.1364e+08	1.5961e+08	1.0363e+08	4.9548e+07	4.9304e+07	2.4144e+07	1.179e+07	4.1165e+07	1.3581e+07	1.8738e+07	1.3876e+07	6.6657e+06	1.2074e+06	5.6736e+06	7.0509e+06	-999	4.1759e+06	1.757e+06	1.5896e+06	1.2174e+06	1.9062e+06	1.0759e+06	954470	256560	422610	453840	176740	84698	229330	177810	113010	43584	77366	64407	89538	98318	79474	78247	45812	39499	62873.9	8476.23	1723.09	445.269	78.9138	252.131	13.2431	2.83752	0.259309	0.109486	0.0763298	0.00929601	-999	-999	-999	6.3824	0.66995	0.4915	3864.9	4633.1	681.24	946.58	91.605	4.0671	109.64	-1.4023	-0.1319	
3.720400	0.409590	103.740000	6.601700 -60	4.0	3.0592e+08	2.2355e+08	1.6262e+08	8.8627e+07	5.5432e+07	4.3607e+07	2.4581e+07	1.2482e+07	1.0829e+07	8.8561e+06	6.997e+06	3.6135e+06	2.6512e+06	1.6005e+06	1.1846e+06	1.0881e+06	879530	993530	1.3295e+06	1.5774e+06	1.7354e+06	1.5487e+06	1.094e+06	781410	568740	297690	107040	67236	214302	46112.8	23232.9	10967.8	5000.95	2255.61	986.328	441.452	171.519	77.2837	93.0672	9.30892	0.294358	0.0196343	0.00200084	0.00114808	1.0054e+08	9.7152e+07	6.0451e+07	3.6335e+07	5.2043e+07	1.7559e+07	3.2001e+07	5.1456e+06	-999	6.8139e+06	9.2508e+06	1.3331e+07	804940	4.728e+06	4.1333e+06	2.243e+06	3.3119e+06	549060	334660	1.0252e+06	146630	779100	477240	363460	178790	380250	418590	218800	149330	105070	9162.7	2293.9	24069	95323	100130	91142	68806	64415	48730	42719	62465.4	8351.22	1711.8	443.227	79.9896	254.289	12.5386	2.72784	0.232713	0.110639	0.104086	0.00883016	-999	-999	-999	6.5543	0.65273	0.39989	3932.3	4787.9	817.69	1135.4	89.142	3.9334	107.12	-0.97915	-0.12941	
3.744300	0.409590	103.740000	6.601700 -60	4.0	4.1202e+08	2.9804e+08	1.7381e+08	9.4913e+07	6.6214e+07	3.8286e+07	2.0313e+07	1.6486e+07	1.2008e+07	8.9849e+06	5.7708e+06	4.011e+06	2.3928e+06	1.6719e+06	1.1526e+06	936300	818570	965930	1.3821e+06	1.7328e+06	1.7119e+06	1.4728e+06	1.1089e+06	808750	578370	296950	118000	61316	220906	47439.8	22991.1	10894	5002.88	2261.69	979.632	445.2	172.547	78.192	93.2541	9.34002	0.292362	0.0201018	0.00207564	0.00126775	2.6391e+08	1.0409e+08	9.4995e+07	4.6245e+07	1.6435e+07	5.7067e+07	1.6843e+07	2.3155e+07	2.9252e+07	8.5174e+06	1.5198e+07	1.0768e+07	5.6346e+06	1.0717e+07	2.4314e+06	2.9906e+06	1.152e+06	0.34587	2.4263e+06	320380	635390	742000	1.3194e+06	470360	406350	294390	186040	324680	112000	117190	67193	41290	72208	92746	103020	80377	85341	75085	46979	43578	62163.6	8343.99	1718.9	425.685	84.5258	252.04	13.2203	2.69947	0.214428	0.108333	0.116817	0.0107723	-999	-999	-999	6.3915	0.6808	0.43933	4038.4	4689.2	745.65	1024.8	95.811	4.2084	111.16	-2.2817	-0.1303	
3.768200	0.408230	103.740000	6.601700 -60	4.0	3.7307e+08	2.8314e+08	1.6159e+08	1.0451e+08	6.8704e+07	3.7633e+07	2.1736e+07	1.5544e+07	1.227e+07	8.2442e+06	5.2418e+06	3.9026e+06	2.6919e+06	1.5291e+06	1.2327e+06	1.1767e+06	770680	1.066e+06	1.4512e+06	1.746e+06	1.7018e+06	1.4239e+06	1.0292e+06	813600	561080	282590	125310	65968	227069	48881.4	22662.3	10766.6	4981.04	2256.37	971.042	446.473	169.78	75.6874	93.4842	9.26078	0.286799	0.0194473	0.00203824	0.00135002	1.6337e+08	1.3185e+08	1.1658e+08	3.3032e+07	4.1086e+07	5.4873e+07	2.0211e+07	2.5728e+07	3.4476e+07	1.1924e+07	4.6254e+06	-999	8.8544e+06	6.304e+06	-999	6.9159e+06	1.728e+06	1.4276e+06	418320	1.666e+06	1.3685e+06	742000	617600	277940	585150	269850	325570	232920	53332	189930	73302	73404	75646	101760	72208	95448	84275	67181	57192	42075	61476.5	8203.43	1702.58	426.385	83.496	245.358	13.2683	2.71897	0.237367	0.108333	0.101984	0.0115348	-999	-999	-999	5.3652	0.63136	0.42103	4159	4893.9	771.65	1032	98.09	1.2287	110.25	-2.1605	-0.14124	
3.792100	0.408230	103.740000	6.601700 -60	4.0	4.0345e+08	2.7039e+08	1.6225e+08	8.1523e+07	5.4932e+07	3.5651e+07	2.2131e+07	1.5485e+07	1.2139e+07	8.1476e+06	5.4582e+06	3.0895e+06	2.5424e+06	1.3049e+06	1.2086e+06	974260	949200	1.1764e+06	1.6052e+06	1.6319e+06	1.7741e+06	1.3726e+06	989650	749770	527190	266880	115910	66813	231204	49651.4	22044	10543.3	4868.78	2227.44	958.523	437.057	166.057	73.6668	93.156	9.07744	0.279182	0.0180449	0.00181385	0.00130514	8.7969e+07	4.8576e+07	1.1658e+08	5.5339	5.4782e+06	3.7313e+07	5.0528e+06	9.0049e+06	3.4476e+07	2.1294e+07	6.6077e+06	9.2294e+06	1.4086e+07	6.9344e+06	4.8627e+06	3.9252e+06	1.584e+06	878500	2.1753e+06	1.3456e+06	1.3197e+06	1.0388e+06	1.0668e+06	235180	520130	122660	325570	176450	112000	133360	61085	50465	58454	114640	97240	104060	96009	63230	44644	44651	60426.3	7962.82	1638.55	421.265	78.0383	244.419	12.761	2.59929	0.224855	-999	0.0906155	0.0105452	-999	-999	-999	4.3278	0.64113	0.39329	4123.8	4653.4	769.2	1069.3	86.419	9.5003	110.74	-4.8126	-0.15945	
