                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
   Acoelorraphe arborescens (Sarg.) Becc.                                                      Acoelorraphe wrightii (Griseb. & H. Wendl.) H. Wendl. ex Becc.                             KAR94    
   Acomastylis calthifolia (Menzies ex Sm.) Bolle                                              Geum calthifolium Menzies ex Sm.                                                           KAR94    
   Acomastylis peckii (Pursh) Bolle                                                            Geum peckii Pursh                                                                          KAR94    
   Aconogonum alaskanum (W. Wight ex Hultén) Soják                                             Polygonum alpinum All.                                                                     KAR94    
   Aconogonum alpinum (All.) Schur                                                             Polygonum alpinum All.                                                                     KAR94    
   Aconogonum davisiae (Brewer ex Gray) Soják                                                  Polygonum davisiae Brewer ex Gray                                                          KAR94    
   Aconogonum davisiae var. glabrum (G.N. Jones) S.-P. Hong                                    Polygonum davisiae Brewer ex Gray                                                          KAR94    
   Aconogonum hultenianum (Yurtsev) Tzvelev                                                    Polygonum alpinum All.                                                                     KAR94    
   Aconogonum hultenianum var. lapathifolium (Cham. & Schlecht.) S.-P. Hong                    Polygonum alpinum All.                                                                     KAR94    
   Aconogonum newberryi (Small) Soják                                                          Polygonum davisiae Brewer ex Gray                                                          KAR94    
   Aconogonum phytolaccifolium (Meisn. ex Small) Small ex Rydb.                                Polygonum phytolaccifolium Meisn. ex Small                                                 KAR94    
   Aconogonum phytolaccifolium var. glabrum S.-P. Hong                                         Polygonum phytolaccifolium Meisn. ex Small                                                 KAR94    
   Aconogonum polystachyum (Wallich ex Meisn.) Haraldson                                       Polygonum polystachyum Wallich ex Meisn.                                                   KAR94    
*  Acorus calamus auct. non L.                                                                 Acorus americanus (Raf.) Raf.                                                              KAR94    
   Acorus calamus var. americanus (Raf.) H.D. Wulff.                                           Acorus americanus (Raf.) Raf.                                                              KAR94    
   Acrostichum excelsum Maxon                                                                  Acrostichum danaeifolium Langsd. & Fisch.                                                  KAR94    
   Actaea alba auct. non (L.) P. Mill.                                                         Actaea pachypoda Ell.                                                                      KAR94    
