                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
   Coreopsis aurea Ait.                                                                        Bidens aurea (Ait.) Sherff                                                                 KAR94    
   Coreopsis crassifolia Ait.                                                                  Coreopsis lanceolata L.                                                                    KAR94    
   Coreopsis gladiata var. linifolia (Nutt.) Cronq.                                            Coreopsis linifolia Nutt.                                                                  KAR94    
   Coreopsis helianthoides Beadle                                                              Coreopsis gladiata Walt.                                                                   KAR94    
   Coreopsis heterogyna Fern.                                                                  Coreopsis lanceolata L.                                                                    KAR94    
   Coreopsis lanceolata var. villosa Michx.                                                    Coreopsis lanceolata L.                                                                    KAR94    
   Coreopsis leavenworthii var. curtissii Sherff                                               Coreopsis leavenworthii Torr. & Gray                                                       KAR94    
   Coreopsis leavenworthii var. garberi Gray                                                   Coreopsis leavenworthii Torr. & Gray                                                       KAR94    
   Coreopsis leavenworthii var. lewtonii (Small) Sherff                                        Coreopsis leavenworthii Torr. & Gray                                                       KAR94    
   Coreopsis lewtonii Small                                                                    Coreopsis leavenworthii Torr. & Gray                                                       KAR94    
   Coreopsis longifolia Small                                                                  Coreopsis gladiata Walt.                                                                   KAR94    
   Coreopsis longifolia var. godfreyi Sherff                                                   Coreopsis gladiata Walt.                                                                   KAR94    
   Coreopsis oniscicarpa Fern.                                                                 Coreopsis linifolia Nutt.                                                                  KAR94    
   Coreopsis oniscicarpa var. simulans Fern.                                                   Coreopsis linifolia Nutt.                                                                  KAR94    
   Coreopsis parviflora Jacq.                                                                  Cosmos parviflorus (Jacq.) Pers.                                                           KAR94    
   Coreopsis saxicoloidea Sherff                                                               Coreopsis linifolia Nutt.                                                                  KAR94    
   Coreopsis tripteris var. deamii Standl.                                                     Coreopsis tripteris L.                                                                     KAR94    
   Coreopsis tripteris var. intercedens Standl.                                                Coreopsis tripteris L.                                                                     KAR94    
   Coreopsis tripteris var. smithii Sherff                                                     Coreopsis tripteris L.                                                                     KAR94    
   Coreopsis tripteris var. subrhomboidea Sherff                                               Coreopsis tripteris L.                                                                     KAR94    
   Coriflora addisonii (Britt.) W.A. Weber                                                     Clematis addisonii Britt.                                                                  KAR94    
   Coriflora crispa (L.) W.A. Weber                                                            Clematis crispa L.                                                                         KAR94    
   Coriflora glaucophylla (Small) W.A. Weber                                                   Clematis glaucophylla Small                                                                KAR94    
   Corispermum americanum (Nutt.) Nutt.                                                        Corispermum hyssopifolium L.                                                               KAR94    
   Corispermum hyssopifolium var. rubricaule Hook.                                             Corispermum hyssopifolium L.                                                               KAR94    
   Corispermum nitidum auct. non Kit. ex J.A. Schultes                                         Corispermum hyssopifolium L.                                                               KAR94    
   Corispermum simplicissimum Lunell                                                           Corispermum hyssopifolium L.                                                               KAR94    
   Cornella canadensis (L.) Rydb.                                                              Cornus canadensis L.                                                                       KAR94    
   Cornella suecica (L.) Rydb.                                                                 Cornus suecica L.                                                                          KAR94    
   Cornucopiae hyemalis Walt.                                                                  Agrostis hyemalis (Walt.) B.S.P.                                                           KAR94    
   Cornucopiae perennans Walt.                                                                 Agrostis perennans (Walt.) Tuckerman                                                       KAR94    
   Cornus alba L. p.p.                                                                         Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus alba ssp. stolonifera (Michx.) Wangerin                                              Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus alba var. baileyi (Coult. & Evans) Boivin                                            Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus alba var. californica (C.A. Mey.) Boivin                                             Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus alba var. interior (Rydb.) Boivin                                                    Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus baileyi Coult. & Evans                                                               Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus X californica C.A. Mey.                                                              Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus canadensis var. dutillyi (Lepage) Boivin                                             Cornus canadensis L.                                                                       KAR94    
   Cornus foemina ssp. microcarpa (Nash) J.S. Wilson                                           Cornus asperifolia Michx.                                                                  KAR94    
*  Cornus foemina ssp. racemosa (Lam.) J.S. Wilson                                             Cornus racemosa Lam.                                                                       KAR94    
   Cornus instolonea A. Nels.                                                                  Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus interior (Rydb.) N. Petersen                                                         Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus paniculata L'Hér.                                                                    Cornus racemosa Lam.                                                                       KAR94    
   Cornus priceae Small                                                                        Cornus drummondii C.A. Mey.                                                                KAR94    
   Cornus sericea ssp. stolonifera (Michx.) Fosberg                                            Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus sericea var. interior (Rydb.) St. John                                               Cornus sericea ssp. sericea L.                                                             KAR94    
*  Cornus stolonifera Michx.                                                                   Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus stolonifera var. baileyi (Coult. & Evans) Drescher                                   Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus stolonifera var. interior (Rydb.) St. John                                           Cornus sericea ssp. sericea L.                                                             KAR94    
   Cornus stricta Lam.                                                                         Cornus foemina P. Mill.                                                                    KAR94    
   Coronaria flos-cuculi (L.) A. Braun                                                         Lychnis flos-cuculi L.                                                                     KAR94    
   Corydalis pauciflora var. albiflora Porsild                                                 Corydalis pauciflora (Steph.) Pers.                                                        KAR94    
   Corydalis pauciflora var. chamissonis Fedde                                                 Corydalis pauciflora (Steph.) Pers.                                                        KAR94    
   Corylus americana var. indehiscens Palmer & Steyermark                                      Corylus americana Walt.                                                                    KAR94    
   Corylus californica (A. DC.) Rose                                                           Corylus cornuta var. californica (A. DC.) Sharp                                            KAR94    
   Corypha minor Jacq.                                                                         Sabal minor (Jacq.) Pers.                                                                  KAR94    
   Corypha palmetto Walt.                                                                      Sabal palmetto (Walt.) Lodd. ex J.A. & J.H. Schultes                                       KAR94    
   Corypha repens Bartr.                                                                       Serenoa repens (Bartr.) Small                                                              KAR94    
*  Costus cylindricus Jacq.                                                                    Costus spicatus (Jacq.) Sw.                                                                KAR94    
*  Costus macrostrobilus K. Schum.                                                             Costus guanaiensis var. macrostrobilus (K. Schum.) Maas                                    KAR94    
   Cotula verbesina L.                                                                         Adenostemma verbesina (L.) Schultz-Bip.                                                    KAR94    
   Cotula viscosa L.                                                                           Egletes viscosa (L.) Less.                                                                 KAR94    
   Cotyledon pinnata Lam.                                                                      Kalanchoe pinnata (Lam.) Pers.                                                             KAR94    
   Cranichis oligantha Sw.                                                                     Prescotia oligantha (Sw.) Lindl.                                                           KAR94    
   Cranichis stachyodes Sw.                                                                    Prescotia stachyodes (Sw.) Lindl.                                                          KAR94    
   Crantzia ambigua (Urban) Britt.                                                             Columnea ambiguus (Urban) Morley                                                           KAR94    
*  Crassula erecta (Hook. & Arn.) Berger                                                       Crassula connata var. connata (Ruiz & Pavon) Berger                                        KAR94    
   Crassula muscosa (L.) Roth                                                                  Crassula tillaea Lester-Garland                                                            KAR94    
   Crataegus acutifolia Sarg.                                                                  Crataegus crus-galli L.                                                                    KAR94    
   Crataegus acutifolia var. insignis (Sarg.) Palmer                                           Crataegus crus-galli L.                                                                    KAR94    
   Crataegus albicans Ashe                                                                     Crataegus mollis Scheele                                                                   KAR94    
   Crataegus algens Beadle                                                                     Crataegus crus-galli L.                                                                    KAR94    
   Crataegus arkansana Sarg.                                                                   Crataegus mollis Scheele                                                                   KAR94    
   Crataegus barrettiana Sarg.                                                                 Crataegus crus-galli L.                                                                    KAR94    
   Crataegus berberifolia var. edita (Sarg.) Palmer                                            Crataegus berberifolia Torr. & Gray                                                        KAR94    
   Crataegus brachyphylla Sarg.                                                                Crataegus mollis Scheele                                                                   KAR94    
   Crataegus bushii Sarg.                                                                      Crataegus crus-galli L.                                                                    KAR94    
   Crataegus canbyi Sarg.                                                                      Crataegus crus-galli L.                                                                    KAR94    
   Crataegus cherokeensis Sarg.                                                                Crataegus crus-galli L.                                                                    KAR94    
   Crataegus cibaria Beadle                                                                    Crataegus mollis Scheele                                                                   KAR94    
   Crataegus cocksii Sarg.                                                                     Crataegus crus-galli L.                                                                    KAR94    
   Crataegus cordata Ait.                                                                      Crataegus phaenopyrum (L. f.) Medik.                                                       KAR94    
   Crataegus crocina Beadle                                                                    Crataegus berberifolia Torr. & Gray                                                        KAR94    
   Crataegus crus-galli var. barrettiana (Sarg.) Palmer                                        Crataegus crus-galli L.                                                                    KAR94    
   Crataegus crus-galli var. bellica (Sarg.) Palmer                                            Crataegus crus-galli L.                                                                    KAR94    
   Crataegus crus-galli var. capillata Sarg.                                                   Crataegus crus-galli L.                                                                    KAR94    
   Crataegus crus-galli var. exigua (Sarg.) Egglest.                                           Crataegus crus-galli L.                                                                    KAR94    
   Crataegus crus-galli var. leptophylla (Sarg.) Palmer                                        Crataegus crus-galli L.                                                                    KAR94    
   Crataegus crus-galli var. macra (Beadle) Palmer                                             Crataegus crus-galli L.                                                                    KAR94    
   Crataegus crus-galli var. oblongata Sarg.                                                   Crataegus crus-galli L.                                                                    KAR94    
   Crataegus crus-galli var. pachyphylla (Sarg.) Palmer                                        Crataegus crus-galli L.                                                                    KAR94    
   Crataegus crus-galli var. pyracanthifolia Ait.                                              Crataegus crus-galli L.                                                                    KAR94    
   Crataegus danielsii Palmer                                                                  Crataegus crus-galli L.                                                                    KAR94    
   Crataegus denaria Beadle                                                                    Crataegus crus-galli L.                                                                    KAR94    
   Crataegus douglasii var. suksdorfii Sarg.                                                   Crataegus suksdorfii (Sarg.) Kruschke                                                      KAR94    
   Crataegus edita Sarg.                                                                       Crataegus berberifolia Torr. & Gray                                                        KAR94    
   Crataegus edura Beadle                                                                      Crataegus berberifolia Torr. & Gray                                                        KAR94    
   Crataegus fecunda Sarg.                                                                     Crataegus crus-galli L.                                                                    KAR94    
   Crataegus fera Beadle                                                                       Crataegus berberifolia Torr. & Gray                                                        KAR94    
   Crataegus fontanesiana auct. non (Spach) Steud.                                             Crataegus crus-galli L.                                                                    KAR94    
   Crataegus gravida Beadle                                                                    Crataegus mollis Scheele                                                                   KAR94    
   Crataegus hannibalensis Palmer                                                              Crataegus crus-galli L.                                                                    KAR94    
   Crataegus induta Sarg.                                                                      Crataegus mollis Scheele                                                                   KAR94    
   Crataegus invisa Sarg.                                                                      Crataegus mollis Scheele                                                                   KAR94    
   Crataegus lacera Sarg.                                                                      Crataegus mollis Scheele                                                                   KAR94    
   Crataegus limaria Sarg.                                                                     Crataegus mollis Scheele                                                                   KAR94    
   Crataegus luculenta Sarg.                                                                   Crataegus aestivalis (Walt.) Torr. & Gray                                                  KAR94    
   Crataegus maloides Sarg.                                                                    Crataegus aestivalis (Walt.) Torr. & Gray                                                  KAR94    
   Crataegus mohrii Beadle                                                                     Crataegus crus-galli L.                                                                    KAR94    
   Crataegus mollis var. dumetosa (Sarg.) Kruschke                                             Crataegus mollis Scheele                                                                   KAR94    
   Crataegus mollis var. gigantea Kruschke                                                     Crataegus mollis Scheele                                                                   KAR94    
   Crataegus mollis var. incisifolia Kruschke                                                  Crataegus mollis Scheele                                                                   KAR94    
   Crataegus mollis var. sera (Sarg.) Egglest.                                                 Crataegus mollis Scheele                                                                   KAR94    
   Crataegus noelensis Sarg.                                                                   Crataegus mollis Scheele                                                                   KAR94    
   Crataegus operta Ashe                                                                       Crataegus crus-galli L.                                                                    KAR94    
   Crataegus opima Beadle                                                                      Crataegus pulcherrima Ashe                                                                 KAR94    
   Crataegus palliata Sarg.                                                                    Crataegus crus-galli L.                                                                    KAR94    
   Crataegus palmeri Sarg.                                                                     Crataegus crus-galli L.                                                                    KAR94    
   Crataegus pedicellata var. albicans (Ashe) Palmer                                           Crataegus mollis Scheele                                                                   KAR94    
   Crataegus permixta Palmer                                                                   Crataegus crus-galli L.                                                                    KAR94    
   Crataegus populifolia Walt.                                                                 Crataegus phaenopyrum (L. f.) Medik.                                                       KAR94    
   Crataegus pyracanthoides (Ait.) Beadle                                                      Crataegus crus-galli L.                                                                    KAR94    
   Crataegus regalis Beadle                                                                    Crataegus crus-galli L.                                                                    KAR94    
   Crataegus regalis var. paradoxa (Sarg.) Palmer                                              Crataegus crus-galli L.                                                                    KAR94    
   Crataegus robur Beadle                                                                      Crataegus pulcherrima Ashe                                                                 KAR94    
   Crataegus sabineana Ashe                                                                    Crataegus crus-galli L.                                                                    KAR94    
   Crataegus schizophylla Egglest.                                                             Crataegus crus-galli L.                                                                    KAR94    
   Crataegus signata Beadle                                                                    Crataegus crus-galli L.                                                                    KAR94    
   Crataegus subpilosa Sarg.                                                                   Crataegus crus-galli L.                                                                    KAR94    
   Crataegus tantula Sarg.                                                                     Crataegus crus-galli L.                                                                    KAR94    
   Crataegus tenax Ashe                                                                        Crataegus crus-galli L.                                                                    KAR94    
   Crataegus tersa Beadle                                                                      Crataegus berberifolia Torr. & Gray                                                        KAR94    
   Crataegus torva Beadle                                                                      Crataegus berberifolia Torr. & Gray                                                        KAR94    
   Crataegus triumphalis Sarg.                                                                 Crataegus crus-galli L.                                                                    KAR94    
   Crataegus uniqua Sarg.                                                                      Crataegus crus-galli L.                                                                    KAR94    
   Crataegus vallicola Sarg.                                                                   Crataegus crus-galli L.                                                                    KAR94    
   Crataegus youngii Sarg.                                                                     Crataegus phaenopyrum (L. f.) Medik.                                                       KAR94    
   Crepis japonica (L.) Benth.                                                                 Youngia japonica (L.) DC.                                                                  KAR94    
   Cressa depressa Goodding                                                                    Cressa truxillensis Kunth                                                                  KAR94    
*  Cressa insularis House                                                                      Cressa truxillensis Kunth                                                                  KAR94    
   Cressa truxillensis var. minima (Heller) Munz                                               Cressa truxillensis Kunth                                                                  KAR94    
   Cressa truxillensis var. vallicola (Heller) Munz                                            Cressa truxillensis Kunth                                                                  KAR94    
   Crinum floridanum Fraser ex Steud.                                                          Crinum americanum L.                                                                       KAR94    
   Criosanthes arietina (Ait. f.) House                                                        Cypripedium arietinum Ait. f.                                                              KAR94    
   Criosanthes arietinum (R.BR.)HOUSE                                                          Cypripedium arietinum Ait. f.                                                              NLSPN    
   Critesion arizonicum (Covas) A. Löve                                                        Hordeum arizonicum Covas                                                                   KAR94    
   Critesion brachyantherum (Nevski) Barkworth & Dewey                                         Hordeum brachyantherum Nevski                                                              KAR94    
   Critesion californicum (Covas & Stebbins) A. Löve                                           Hordeum californicum Covas & Stebbins                                                      KAR94    
   Critesion depressum (Scribn. & J.G. Sm.) A. Löve                                            Hordeum depressum (Scribn. & J.G. Sm.) Rydb.                                               KAR94    
   Critesion geniculatum (All.) A. Löve                                                        Hordeum marinum ssp. gussonianum (Parl.) Thellung                                          KAR94    
   Critesion hystrix (Roth) A. Löve                                                            Hordeum marinum ssp. gussonianum (Parl.) Thellung                                          KAR94    
   Critesion marinum ssp. gussonianum (Parl.) Barkworth & Dewey                                Hordeum marinum ssp. gussonianum (Parl.) Thellung                                          KAR94    
   Critesion murinum ssp. leporinum (Link) A. Löve                                             Hordeum murinum ssp. leporinum (Link) Arcang.                                              KAR94    
   Crockeria chrysantha Greene ex Gray                                                         Lasthenia chrysantha (Greene ex Gray) Greene                                               KAR94    
   Crookea microsepala (Torr. & Gray) Small                                                    Hypericum microsepalum (Torr. & Gray) Gray ex S. Wats.                                     KAR94    
   Crossandra fascicularis Benth.                                                              Stenandrium dulce (Cav.) Nees                                                              KAR94    
   Crossopetalum floridanum J.R. Gardner                                                       Crossopetalum ilicifolium (Poir.) Kuntze                                                   KAR94    
   Crotalaria angulata auct. non P. Mill.                                                      Crotalaria rotundifolia Walt. ex J.F. Gmel.                                                KAR94    
   Crotalaria linaria Small                                                                    Crotalaria rotundifolia Walt. ex J.F. Gmel.                                                KAR94    
   Crotalaria maritima Chapman                                                                 Crotalaria rotundifolia Walt. ex J.F. Gmel.                                                KAR94    
   Crotalaria maritima var. linaria (Small) Senn                                               Crotalaria rotundifolia Walt. ex J.F. Gmel.                                                KAR94    
   Crotalaria retzii A.S. Hitchc.                                                              Crotalaria spectabilis Roth                                                                KAR94    
   Crotalaria rotundifolia var. vulgaris Windler                                               Crotalaria rotundifolia Walt. ex J.F. Gmel.                                                KAR94    
   Croton palustris L.                                                                         Caperonia palustris (L.) St.-Hil.                                                          KAR94    
   Croton sebiferum L.                                                                         Sapium sebiferum (L.) Roxb.                                                                KAR94    
   Crunocallis chamissoi (Ledeb. ex Spreng.) Rydb.                                             Montia chamissoi (Ledeb. ex Spreng.) Greene                                                KAR94    
   Cruzeta vermicularis (L.) G. Maza                                                           Blutaparon vermiculare (L.) Mears                                                          KAR94    
   Crypsis aculeata auct. non (L.) Ait.                                                        Crypsis vaginiflora (Forsk.) Opiz                                                          KAR94    
   Crypsis niliacea auct. non Fig. & de Not.                                                   Crypsis vaginiflora (Forsk.) Opiz                                                          KAR94    
   Ctenitis effusa (Sw.) Copeland                                                              Lastreopsis effusa (Sw.) Tindale                                                           KAR94    
*  Ctenitis subincisa (Willd.) Ching                                                           Megalastrum subincisa (Willd.) A.R. Sm. & R.C. Moran                                       KAR94    
   Cubelium concolor (T.F. Forst.) Raf.                                                        Hybanthus concolor (T.F. Forst.) Spreng.                                                   KAR94    
   Cuphea petiolata (L.) Koehne                                                                Cuphea viscosissima Jacq.                                                                  KAR94    
*  Curcuma domestica Val.                                                                      Curcuma longa L.                                                                           KAR94    
   Cyanea angustifolia var. racemosa Hbd.                                                      Cyanea angustifolia (Cham.) Hbd.                                                           KAR94    
*  Cyanea bishopii Rock                                                                        Cyanea kunthiana (Gaud.) Hbd.                                                              KAR94    
*  Cyanea bondiana (Rock) Rock                                                                 Cyanea degeneriana F. Wimmer                                                               KAR94    
   Cyanea chockii Rock                                                                         Cyanea hirtella (Mann) Hbd.                                                                KAR94    
*  Cyanea densiflora (Rock) Rock                                                               Cyanea degeneriana F. Wimmer                                                               KAR94    
*  Cyanea floribunda F. Wimmer                                                                 Cyanea degeneriana F. Wimmer                                                               KAR94    
   Cyanea hirtella var. striata F. Wimmer                                                      Cyanea hirtella (Mann) Hbd.                                                                KAR94    
   Cyanea hirtella var. subglabra F. Wimmer                                                    Cyanea hirtella (Mann) Hbd.                                                                KAR94    
   Cyanea holophylla Hbd.                                                                      Cyanea scabra Hbd.                                                                         KAR94    
   Cyanea magnifica F. Wimmer                                                                  Cyanea tritomantha Gray                                                                    KAR94    
   Cyanea ovatisepala F. Wimmer                                                                Cyanea solenocalyx Hbd.                                                                    KAR94    
   Cyanea solenocalyx var. latifolia F. Wimmer                                                 Cyanea solenocalyx Hbd.                                                                    KAR94    
   Cyanea submuricata F. Wimmer                                                                Cyanea tritomantha Gray                                                                    KAR94    
   Cyanea wailauensis Rock                                                                     Cyanea solenocalyx Hbd.                                                                    KAR94    
   Cyanococcus amoenus (Ait.) Small                                                            Vaccinium virgatum Ait.                                                                    KAR94    
   Cyanococcus atrococcus (Gray) Small                                                         Vaccinium fuscatum Ait.                                                                    KAR94    
   Cyanococcus canadensis (Kalm ex A. Rich.) Rydb.                                             Vaccinium myrtilloides Michx.                                                              KAR94    
   Cyanococcus corymbosus (L.) Rydb.                                                           Vaccinium corymbosum L.                                                                    KAR94    
   Cyanococcus cuthbertii Small                                                                Vaccinium corymbosum L.                                                                    KAR94    
   Cyanococcus elliottii (Chapman) Small                                                       Vaccinium elliottii Chapman                                                                KAR94    
   Cyanococcus fuscatus (Ait.) Small                                                           Vaccinium fuscatum Ait.                                                                    KAR94    
   Cyanococcus myrsinites (Lam.) Small                                                         Vaccinium myrsinites Lam.                                                                  KAR94    
   Cyanococcus simulatus (Small) Small                                                         Vaccinium simulatum Small                                                                  KAR94    
   Cyanococcus tenellus (Ait.) Small                                                           Vaccinium tenellum Ait.                                                                    KAR94    
   Cyanococcus virgatus sensu Small                                                            Vaccinium fuscatum Ait.                                                                    KAR94    
   Cyanococcus virgatus (Ait.) Small                                                           Vaccinium virgatum Ait.                                                                    KAR94    
*  Cyathea brittoniana Maxon                                                                   Cyathea tenera (J. Sm. ex Hook.) T. Moore                                                  KAR94    
   Cyathea brooksii Maxon                                                                      Alsophila brooksii (Maxon) R. Tryon                                                        KAR94    
   Cyathea bryophila (R. Tryon) Proctor                                                        Alsophila bryophila R. Tryon                                                               KAR94    
   Cyathea dryopteroides Maxon                                                                 Alsophila amintae Conant                                                                   KAR94    
   Cyathea escuquensis (Karst.) Domin                                                          Cyathea andina (Karst.) Domin                                                              KAR94    
   Cyathea horrida (L.) Sm.                                                                    Cnemidaria horrida (L.) K. Presl                                                           KAR94    
   Cyathea portoricensis Spreng. ex Kuhn                                                       Alsophila portoricensis (Spreng. ex Kuhn) Conant                                           KAR94    
   Cyclachaena xanthifolia (Nutt.) Fresen.                                                     Iva xanthifolia Nutt.                                                                      KAR94    
   Cyclopogon cranichoides (Griseb.) Schlechter                                                Spiranthes cranichoides (Griseb.) Cogn.                                                    KAR94    
   Cyclopogon elatum (SWARTZ)SCHLECHTER                                                        Spiranthes elata (Sw.) L.C. Rich.                                                          NLSPN    
   Cyclopogon elatus (Sw.) Schlechter                                                          Spiranthes elata (Sw.) L.C. Rich.                                                          KAR94    
   Cyclosorus cyatheoides (Kaulfuss) Farw.                                                     Thelypteris cyatheoides (Kaulfuss) Fosberg                                                 KAR94    
   Cyclosorus dentatus (Forsk.) Ching                                                          Thelypteris dentata (Forsk.) E. St. John                                                   KAR94    
   Cyclosorus gongylodes (Schkuhr) Link                                                        Thelypteris interrupta (Willd.) K. Iwats.                                                  KAR94    
   Cyclosorus sandwicensis (Brack.) Copeland                                                   Pneumatopteris sandwicensis (Brack.) Holttum                                               KAR94    
   Cylactis arctica ssp. acaulis (Michx.) W.A. Weber                                           Rubus arcticus ssp. acaulis (Michx.) Focke                                                 KAR94    
   Cymburus urticifolius sensu Salisb. (excl. type)                                            Stachytarpheta urticifolia Sims                                                            KAR94    
   Cymodocea manatorum Aschers.                                                                Cymodocea filiformis (Kuetz.) Correll                                                      KAR94    
*  Cymophyllus fraseri (Andr.) Mackenzie ex Britt.                                             Cymophyllus fraserianus (Ker-Gawl.) Kartesz & Gandhi                                       KAR94    
   Cynanchum palustre (Pursh) Heller                                                           Cynanchum angustifolium Pers.                                                              KAR94    
   Cynoctonum angustifolium (Torr. & Gray) Small                                               Mitreola sessilifolia (J.F. Gmel.) G. Don                                                  KAR94    
*  Cynoctonum mitreola (L.) Britt.                                                             Mitreola petiolata (J.F. Gmel.) Torr. & Gray                                               KAR94    
*  Cynoctonum sessilifolium J.F. Gmel.                                                         Mitreola sessilifolia (J.F. Gmel.) G. Don                                                  KAR94    
   Cynoctonum sessilifolium var. angustifolium Torr. & Gray                                    Mitreola sessilifolia (J.F. Gmel.) G. Don                                                  KAR94    
   Cynoctonum sessilifolium var. microphyllum R.W. Long                                        Mitreola sessilifolia (J.F. Gmel.) G. Don                                                  KAR94    
   Cynoctonum succulentum R.W. Long                                                            Mitreola petiolata (J.F. Gmel.) Torr. & Gray                                               KAR94    
*  Cynodendron argenteum (Jacq.) Baehni                                                        Chrysophyllum argenteum Jacq.                                                              KAR94    
   Cynosciadium pinnatum DC.                                                                   Limnosciadium pinnatum (DC.) Mathias & Constance                                           KAR94    
