output/r000485_001_out.datSun Sep 17 13:48:44 2000

cops number to output is    134528094
#Event:  1
Sun Sep 17 13:50:54 2000

dcopsId 13 ccd4 566.768 108.774 0.185583
#0007--
dcopsId 12 ccd1 874.128 118.111 -1.45045
dcopsId 12 ccd2 992.208 111.902 1.78807
dcopsId 12 ccd3 870.506 114.939 3.19161
dcopsId 12 ccd4 1938.4 572.336 -36.0178
#0006--
dcopsId 11 ccd1 700.515 100.21 0.478356
dcopsId 11 ccd2 943.54 97.7774 0.80603
dcopsId 11 ccd3 659.896 100.939 -0.733047
dcopsId 11 ccd4 1014.75 94.7214 -0.00463626
#0005--
dcopsId 10 ccd1 421.321 116.335 1.28511
dcopsId 10 ccd2 917.709 -162.702 4.92026
dcopsId 10 ccd3 381.385 109.914 1.30927
dcopsId 10 ccd4 952.392 125.868 1.57775
#0004--
dcopsId 9 ccd1 1382.06 151.325 -1.98648
dcopsId 9 ccd2 886.164 124.278 0.135737
dcopsId 9 ccd3 1427.83 153.223 -1.82299
dcopsId 9 ccd4 849.102 127.555 1.61634
#0003--
dcopsId 8 ccd1 1276.57 136.273 -1.16959
dcopsId 8 ccd2 751.586 137.803 -0.3915
dcopsId 8 ccd3 1322.51 143.578 0.25854
dcopsId 8 ccd4 662.933 132.181 1.22843
#0002--
dcopsId 7 ccd1 1271.76 182.418 -0.305109
dcopsId 7 ccd2 537.11 158.394 1.00838
dcopsId 7 ccd3 1297.4 199.314 -4.9529
dcopsId 7 ccd4 449.149 158.006 0.664601
#0001--
dcopsId 6 ccd1 22097.7 -2.50323e+06 20469.1
dcopsId 6 ccd2 778.839 210.969 3.5904
dcopsId 6 ccd3 1666.01 162.752 0.909539
dcopsId 6 ccd4 -622.684 183.142 -762.692
#0005--
dcopsId 5 ccd1 3558.58 714.444 1660.53
dcopsId 5 ccd2 3277.06 1179.74 1427.26
dcopsId 5 ccd3 793.243 219.845 -11.0163
dcopsId 5 ccd4 1365 167.746 -17.4428
#0004--
dcopsId 4 ccd1 1845.06 289.843 -99.2473
dcopsId 4 ccd2 1056.03 150.788 -14.2315
dcopsId 4 ccd3 1181.22 188.55 -8.91714
dcopsId 4 ccd4 1159.3 162.138 -13.107
#0003--
dcopsId 3 ccd1 1470.4 67.9391 0.560304
dcopsId 3 ccd2 1404.56 68.2847 -1.48261
dcopsId 3 ccd3 1483.68 60.3105 -1.17133
dcopsId 3 ccd4 -622.583 485.898 -659.232
#0002--
dcopsId 2 ccd1 1205.51 90.2109 0.204569
dcopsId 2 ccd2 469.902 91.5699 1.70557
dcopsId 2 ccd3 1145.8 92.8534 -1.27659
dcopsId 2 ccd4 467.794 87.1356 0.619782
#0001--
dcopsId 1 ccd1 247.578 -125.604 1.81464
dcopsId 1 ccd2 1584.74 111.817 -1.33405
dcopsId 1 ccd3 204.034 98.21 1.96348
dcopsId 1 ccd4 1537.76 116.576 0.0643328
#Event:  4
Sun Sep 17 13:54:47 2000

969216887 4 1 0
#0008--
dcopsId 13 ccd1 1309.04 148.645 -4.02286
dcopsId 13 ccd2 610.088 173.666 -2.41614
dcopsId 13 ccd3 1330.59 152.909 7.7231
dcopsId 13 ccd4 566.51 108.621 0.206411
#0007--
dcopsId 12 ccd1 874.215 118.027 -2.22997
dcopsId 12 ccd2 992.152 111.864 1.89503
dcopsId 12 ccd3 870.923 114.71 2.97627
dcopsId 12 ccd4 2221.14 850.488 708.266
#0006--
dcopsId 11 ccd1 700.23 100.152 0.405366
dcopsId 11 ccd2 944.177 97.4297 0.00176996
dcopsId 11 ccd3 659.594 101.059 0.505075
dcopsId 11 ccd4 1015.53 94.6128 2.1258
#0005--
dcopsId 10 ccd1 420.756 116.58 2.22506
dcopsId 10 ccd2 919.207 -166.249 7.03112
dcopsId 10 ccd3 380.864 110.585 1.67736
dcopsId 10 ccd4 952.337 126.056 -0.161266
#0004--
dcopsId 9 ccd1 1383.76 151.368 -0.81911
dcopsId 9 ccd2 887.059 124.157 0.201638
dcopsId 9 ccd3 1429.96 153.006 -1.88312
dcopsId 9 ccd4 849.96 128.004 -0.643257
#0003--
dcopsId 8 ccd1 1279.19 136.158 -2.22464
dcopsId 8 ccd2 753.454 137.786 0.188294
dcopsId 8 ccd3 1325.17 143.801 0.524954
dcopsId 8 ccd4 663.469 132.154 0.994787
#0002--
dcopsId 7 ccd1 1273.35 183.69 -0.700408
dcopsId 7 ccd2 541.639 158.211 0.955583
dcopsId 7 ccd3 1300.1 199.09 -3.88746
dcopsId 7 ccd4 450.651 157.642 0.629036
#0001--
dcopsId 6 ccd1 1619.63 169.906 -2.65502
dcopsId 6 ccd2 776.712 210.685 0.904978
dcopsId 6 ccd3 1664.76 163.528 1.37603
dcopsId 6 ccd4 3504.15 461.322 1565.24
#0005--
dcopsId 5 ccd1 2130.72 265.569 328.105
dcopsId 5 ccd2 201.97 295.803 -50.2582
dcopsId 5 ccd3 792.846 220.282 -8.66231
dcopsId 5 ccd4 1367.7 168.465 -17.9486
#0004--
dcopsId 4 ccd1 1839.05 283.101 -81.2689
dcopsId 4 ccd2 1057.23 150.94 -13.3355
dcopsId 4 ccd3 1184.49 187.799 -10.9745
dcopsId 4 ccd4 1161.33 161.707 -12.5635
#0003--
dcopsId 3 ccd1 1470.16 67.7577 0.0082081
dcopsId 3 ccd2 1404.52 68.1189 -2.20937
dcopsId 3 ccd3 1483.64 60.2952 0.124965
dcopsId 3 ccd4 254.049 81.3054 -389.206
#0002--
dcopsId 2 ccd1 1205.57 90.5135 -0.67825
dcopsId 2 ccd2 470.153 91.4124 -1.12662
dcopsId 2 ccd3 1145.77 92.938 -1.23628
dcopsId 2 ccd4 468.227 86.849 0.646743
#0001--
dcopsId 1 ccd1 247.436 -125.515 1.99728
dcopsId 1 ccd2 1584.85 112.437 -2.60288
dcopsId 1 ccd3 203.936 98.2381 2.24142
dcopsId 1 ccd4 1537.51 115.783 -1.1436
#Event:  5
Sun Sep 17 13:55:55 2000

969216955 5 0 1
#0008--
