Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	85
Date	2004MAR25
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78270	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.44131	[p_s^-1]
ForeOptic_temperature	28.16	[ns]
Front_temperature	28.16	[ns]
Back_temperature	30.82	[ns]
Inside_temperature	30.44	[ns]
Shelter_temperature	28.61	[ns]
PSUnit_temperature	33.28	[ns]
AirCond_temperature	15.61	[ns]
Outside_temperature	32.38	[ns]
Comments	none
Formatted_file	2004085f05.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.019	0.00087	0.1338	0.0000
290.119	-0.00069	0.1505	-0.0000
290.219	-0.00069	0.1505	-0.0000
290.318	0.00242	0.0801	-0.0000
290.418	-0.00068	0.1505	-0.0000
290.518	-0.00068	0.1505	-0.0000
290.618	0.00087	0.1338	-0.0000
290.718	-0.00068	0.1505	-0.0000
290.818	-0.00068	0.1505	-0.0000
290.918	-0.00068	0.1505	-0.0000
291.018	-0.00068	0.1505	-0.0000
291.118	0.00086	0.1338	0.0000
291.218	0.00086	0.1338	0.0000
291.318	-0.00068	0.1505	0.0000
291.418	-0.00068	0.1505	0.0000
291.518	-0.00068	0.1505	0.0000
291.618	-0.00068	0.1505	0.0000
291.718	0.00086	0.1338	0.0000
291.818	0.00086	0.1338	0.0000
291.918	0.00086	0.1338	0.0000
292.018	-0.00068	0.1505	0.0000
292.118	-0.00068	0.1505	-0.0000
292.217	-0.00068	0.1505	-0.0000
292.317	-0.00068	0.1505	-0.0000
292.417	0.00086	0.1338	-0.0000
292.517	-0.00068	0.1505	-0.0000
292.617	0.00085	0.1338	-0.0000
292.717	0.00238	0.0801	-0.0000
292.817	-0.00067	0.1505	-0.0000
292.917	0.00085	0.1338	-0.0000
293.017	-0.00067	0.1505	-0.0000
293.117	0.00085	0.1338	0.0000
293.217	0.00085	0.1338	0.0000
293.317	0.00237	0.0801	0.0000
293.417	0.00237	0.0801	0.0000
293.517	-0.00067	0.1505	0.0000
293.617	-0.00067	0.1505	0.0000
293.717	0.00085	0.1338	0.0000
293.817	0.00085	0.1338	0.0000
293.917	0.00237	0.0801	0.0000
294.017	0.00085	0.1338	0.0000
294.117	0.00085	0.1338	-0.0000
294.216	-0.00067	0.1505	-0.0000
294.316	0.00085	0.1338	-0.0000
294.416	0.00085	0.1338	-0.0000
294.516	0.00085	0.1338	-0.0000
294.616	0.00084	0.1338	-0.0000
294.716	-0.00067	0.1505	-0.0000
294.816	-0.00067	0.1505	-0.0000
294.916	-0.00067	0.1505	-0.0000
295.016	0.00235	0.0801	-0.0000
295.116	0.00235	0.0801	0.0000
295.216	0.00084	0.1338	0.0000
295.316	0.00386	0.0625	0.0000
295.416	0.00084	0.1338	0.0000
295.516	0.00235	0.0801	0.0000
295.616	0.00235	0.0801	0.0000
295.716	0.00084	0.1338	0.0000
295.816	0.00385	0.0625	0.0000
295.916	0.00685	0.0468	0.0000
296.016	0.00384	0.0625	0.0000
296.116	0.00534	0.0530	-0.0000
