Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	85
Date	2004MAR25
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	19.50000	[UTC]
Stop_time	19.78278	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.44131	[p_s^-1]
ForeOptic_temperature	34.25	[ns]
Front_temperature	34.25	[ns]
Back_temperature	28.22	[ns]
Inside_temperature	27.07	[ns]
Shelter_temperature	22.59	[ns]
PSUnit_temperature	24.84	[ns]
AirCond_temperature	23.36	[ns]
Outside_temperature	29.64	[ns]
Comments	none
Formatted_file	2004085f13.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.060	0.00087	0.1338	0.0000
290.160	-0.00069	0.1505	-0.0000
290.260	0.00087	0.1338	-0.0000
290.360	-0.00068	0.1505	-0.0000
290.460	0.00087	0.1338	-0.0000
290.560	-0.00068	0.1505	-0.0000
290.660	0.00086	0.1338	-0.0000
290.760	0.00086	0.1338	-0.0000
290.860	0.00241	0.0801	-0.0000
290.960	-0.00068	0.1505	-0.0000
291.060	-0.00068	0.1505	-0.0000
291.160	0.00086	0.1338	0.0000
291.260	0.00086	0.1338	0.0000
291.360	0.00240	0.0801	0.0000
291.460	0.00086	0.1338	0.0000
291.560	0.00086	0.1338	0.0000
291.660	-0.00068	0.1505	0.0000
291.759	-0.00068	0.1505	0.0000
291.859	-0.00068	0.1505	0.0000
291.959	0.00086	0.1338	0.0000
292.059	0.00086	0.1338	0.0000
292.159	0.00086	0.1338	-0.0000
292.259	0.00239	0.0801	-0.0000
292.359	0.00239	0.0801	-0.0000
292.459	0.00239	0.0801	-0.0000
292.559	0.00085	0.1338	-0.0000
292.659	0.00238	0.0801	-0.0000
292.759	0.00238	0.0801	-0.0000
292.859	0.00238	0.0801	-0.0000
292.959	0.00543	0.0530	-0.0000
293.059	0.00390	0.0625	-0.0000
293.159	0.00390	0.0625	0.0000
293.259	0.00694	0.0468	0.0000
293.359	0.00694	0.0468	0.0000
293.459	0.00541	0.0530	0.0000
293.559	0.01149	0.0364	0.0000
293.659	0.00845	0.0424	0.0000
293.758	0.00996	0.0390	0.0000
293.858	0.01299	0.0342	0.0000
293.958	0.01450	0.0323	0.0000
294.058	0.01601	0.0308	0.0000
294.158	0.01297	0.0342	-0.0000
294.258	0.02357	0.0254	-0.0000
294.358	0.02053	0.0272	-0.0000
294.458	0.01446	0.0323	-0.0000
294.558	0.02656	0.0239	-0.0000
294.658	0.03712	0.0202	-0.0000
294.758	0.02049	0.0272	-0.0000
294.858	0.02199	0.0262	-0.0000
294.958	0.02650	0.0239	-0.0000
295.058	0.04308	0.0187	-0.0000
295.158	0.06116	0.0157	0.0000
295.258	0.07921	0.0138	0.0000
295.358	0.05357	0.0168	0.0000
295.458	0.07462	0.0142	0.0000
295.558	0.11221	0.0116	0.0000
295.658	0.06853	0.0148	0.0000
295.757	0.08353	0.0134	0.0000
295.857	0.12708	0.0109	0.0000
295.957	0.12402	0.0110	0.0000
296.057	0.11195	0.0116	0.0000
296.157	0.15242	0.0099	-0.0000
296.257	0.20486	0.0086	-0.0000
