Figure 3A Example Problem with Static Travel Time,,,,
3A,,,,
"Time,
t (seconds)",In (travel time),,,
,y,mu,,
"6,727",5.16,5.08
"6,734",4.98,5.08
"6,774",5.19,5.08
"6,843",5.07,5.08
"6,896",5.02,5.08
"6,919",5.11,5.08
"6,944",5.05,5.08

3B: Mean Parameter,,
?|y~ (seconds),"Count, B = 2,000",
5.06,7,
5.06,24,
5.07,111,
5.07,500,
5.08,527,
5.08,557,
5.09,133,
5.09,38,
5.10,2,
,
3C: Log Variance,
"In(?2)?y, 2In (seconds)","Count, B = 2,000"
-5.5,3
-5.4,44
-5.3,411
-5.2,792
-5.1,586
-5.0,136
-4.9,28
,
