table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,
"Table 2: Annual Estimates of the Population by Age and Sex for Utah: April 1, 2000 to July 1, 2006",,,,,,,,,
Sex and Age,Population Estimates,,,,,,,"April 1, 2000",
,"July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.18 years and over,"876,116","852,909","827,646","803,914","790,488","773,256","753,577","749,243","749,235"
.15 to 44 years,"592,840","581,716","570,019","559,127","556,567","550,691","543,891","541,534","541,528"
,,,,,,,,,
.Median age (years),27.6,27.2,27.0,26.9,26.8,26.8,26.7,26.7,26.7
FEMALE,"1,267,662","1,239,249","1,205,876","1,173,334","1,159,036","1,140,957","1,119,064","1,114,151","1,114,138"
.Under 5 years,"120,990","119,886","116,175","111,500","108,530","105,729","101,995","101,715","101,715"
.5 to 9 years,"106,948","102,761","99,226","95,647","94,785","94,026","93,298","93,431","93,430"
.10 to 14 years,"97,128","95,716","94,680","94,027","94,380","94,479","94,330","93,747","93,747"
.15 to 19 years,"102,858","101,839","100,565","99,791","101,359","103,874","108,722","108,359","108,357"
.20 to 24 years,"112,268","116,479","119,652","122,028","123,975","120,700","113,860","112,707","112,706"
.25 to 29 years,"112,795","106,464","100,288","93,917","89,270","86,527","85,468","85,744","85,742"
.30 to 34 years,"87,508","85,592","82,721","79,810","77,763","75,214","71,982","71,737","71,737"
.35 to 39 years,"78,260","74,366","71,400","70,044","71,389","72,706","74,136","74,190","74,188"
.40 to 44 years,"75,095","76,022","76,301","75,609","75,632","75,661","74,185","73,775","73,772"
.45 to 49 years,"77,636","75,850","73,940","72,110","70,746","68,632","66,171","65,614","65,613"
.50 to 54 years,"69,492","66,824","63,835","60,537","58,833","57,646","53,770","53,149","53,149"
.55 to 59 years,"58,933","54,846","50,815","47,980","45,885","42,269","41,043","40,679","40,679"
.60 to 64 years,"42,758","41,297","39,496","36,808","34,967","33,788","32,541","32,309","32,309"
.65 to 69 years,"34,052","32,681","31,320","30,164","29,235","28,743","28,212","28,169","28,169"
.70 to 74 years,"28,544","27,887","27,074","26,560","26,313","26,064","25,718","25,663","25,663"
.75 to 79 years,"24,620","24,121","23,371","22,996","23,000","22,757","22,512","22,389","22,388"
.80 to 84 years,"19,143","18,860","18,176","17,646","17,345","16,884","16,369","16,200","16,200"
.85 years and over,"18,634","17,758","16,841","16,160","15,629","15,258","14,752","14,574","14,574"
,,,,,,,,,
