"Table 27.  PAD District 3— Imports of Crude Oil and Petroleum Products by Country of Origin, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Origin,,,Crude Oila,,Liquefied Petroleum Gases,Unfinished Oilsa,Finished Motor Gasoline,,,Motor Gasoline Blend. Comp.,,,Oxygenates,,,Distillate Fuel Oil,,,,,Kerosene,Finished Aviation Gasoline,Aviation Gasoline Blend. Comp.,Kerosene-Type Jet Fuel,Special Naphthas,Residual Fuel Oil,,,,Petrochemical Feedstocks,,Waxes,"Petrol-
eum
 Coke",Asphalt and Road Oil,"Lubri-
cants",Misc. Products,Total Products,Total Crude Oil and Products,Daily Average,,
,,,,Pentanes Plus,,,Reformulated,Conventional,Total,Reform-ulated ,Conven-tional,Total,Fuel Ethanol (FE),Methyl Tertiary Butyl Ether (MTBE),Other Oxygen-ates,15 ppm sulfur and under,Greater than 15 ppm to 500 ppm sulfur,501 to 2000 ppm,Greater than 2000 ppm,Total,,,,,,Less than  0.31 % sulfur,0.31 to 1.00 % sulfur,Greater than 1.00 % sulfur,Total,Naphtha,Other Oils,,,,,,,,Crude Oil,Products,Total
,Brunei,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cameroon,,150,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,789,0,2,2
,Canada,,"21,630",0,0,"1,826",0,0,0,0,0,0,0,0,0,"1,059",0,0,0,"1,059",0,0,0,0,463,100,0,0,100,"2,373",1,0,174,0,0,0,"5,996","27,626",59,16,76
,Chad,,"8,417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,417",23,0,23
,China,,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,781,0,0,0,868,"1,076",1,2,3
,Colombia,,"31,515",0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,54,"31,569",86,0,86
,Congo (Brazzaville),,"6,645",0,0,301,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,80,0,166,246,0,0,0,0,0,0,0,587,"7,232",18,2,20
,Denmark,,0,0,0,595,0,0,0,0,264,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,859,0,2,2
,Ecuador,,"21,288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,288",58,0,58
,Egypt,,147,0,0,788,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,818,965,0,2,3
,Equatorial Guinea,,"13,360",0,0,0,0,"1,063","1,063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,063","14,423",37,3,40
,Estonia,,0,0,0,"2,332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,696","1,696",0,0,0,0,0,0,0,"4,028","4,028",0,11,11
,Finland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,France,,0,0,49,"1,273",0,"1,132","1,132",8,986,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,210,4,0,0,30,0,"3,756","3,756",0,10,10
,Gabon,,"4,836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,836",13,0,13
,Germany,,0,0,0,"7,862",0,226,226,0,641,641,0,0,0,0,0,0,0,0,0,0,0,0,22,374,0,0,374,116,0,0,0,0,56,0,"9,297","9,297",0,25,25
,Guatemala,,"5,644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,644",15,0,15
,India,,0,0,0,"1,630",0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"1,688","1,688",0,5,5
,Italy,,0,0,107,"1,247",0,"1,302","1,302",413,537,950,0,0,0,0,0,0,0,0,0,0,0,0,58,76,167,468,711,393,0,0,0,0,101,0,"4,869","4,869",0,13,13
,"Korea, South",,0,0,0,615,0,0,0,0,626,626,0,0,0,0,0,0,0,0,91,0,0,554,597,0,0,0,0,352,82,0,0,0,"2,084",0,"5,001","5,001",0,14,14
,Latvia,,0,0,0,0,0,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,308,0,1,1
,Lithuania,,0,0,0,0,0,185,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,185,0,1,1
,Malaysia,,0,0,0,"2,021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,"2,235","2,235",0,6,6
,Mexico,,"552,516",3,"1,098","12,259",0,784,784,0,"1,363","1,363",0,0,0,0,0,0,0,0,0,0,0,192,46,0,649,"3,381","4,030","17,873",924,6,6,24,0,0,"38,608","591,124","1,514",106,"1,620"
,Netherlands,,0,252,23,"2,142",0,324,324,208,"2,396","2,604",0,0,0,"1,045",292,0,0,"1,337",0,0,0,0,45,61,0,142,203,"2,349",0,0,0,0,8,0,"9,287","9,287",0,25,25
,Netherlands Antilles,,0,104,0,143,0,74,74,0,402,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,753,296,0,0,0,0,335,0,"2,107","2,107",0,6,6
,Norway,,"13,666",4,"8,133","5,817",0,584,584,0,250,250,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,280,"6,003",0,0,0,0,0,"21,096","34,762",37,58,95
,Oman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Portugal,,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,32,32,0,0,0
,Russia,,"31,277",0,0,"39,467",0,61,61,0,306,306,0,0,0,0,227,"1,093",0,"1,320",0,0,0,0,0,218,"1,941","3,254","5,413","1,447","5,067",0,0,0,105,0,"53,186","84,463",86,146,231
,Spain,,0,0,38,386,0,"1,075","1,075",0,"3,640","3,640",0,0,0,121,0,92,0,213,0,0,0,0,0,0,0,0,0,144,0,0,0,0,7,1,"5,504","5,504",0,15,15
,Sweden,,0,0,0,"1,462",0,0,0,61,"1,636","1,697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,265,0,0,0,0,0,0,"3,571","3,571",0,10,10
,Syria,,"1,178",0,0,769,0,0,0,0,0,0,0,0,0,0,0,215,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,"2,162",3,3,6
,Trinidad and Tobago,,"23,970","2,316",141,774,0,0,0,0,629,629,0,0,0,0,0,0,0,0,0,0,0,240,0,0,320,331,651,229,0,0,0,0,0,1,"4,981","28,951",66,14,79
