table with row headers in column A and column headers in row 3.  (leading dots indicate sub-parts),,,,,,,,,,,
"Table 1: Estimates of the Population by Selected Age Groups for the United States and States and for Puerto Rico: July 1, 2006",,,,,,,,,,,
Geographic Area,Total,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,16 Years and Over,18 Years and Over,15 to 44 Years,45 to 64 Years,65 Years and Over,85 Years and Over
.Washington,"6,395,798","408,158","752,192","365,917","607,219","5,053,713","4,869,531","2,725,800","1,680,777","738,369","107,032"
.West Virginia,"1,818,470","104,964","189,651","94,456","163,498","1,476,847","1,429,399","712,433","509,356","278,692","36,073"
.Wisconsin,"5,556,506","348,764","641,675","322,091","560,926","4,407,148","4,243,976","2,313,209","1,450,541","724,034","111,159"
.Wyoming,"515,004","33,553","58,481","29,760","54,262","408,269","393,210","210,200","142,797","62,750","8,367"
,,,,,,,,,,,
Puerto Rico,"3,927,776","251,604","526,576","240,471","407,134","3,028,007","2,909,125","1,667,242","917,478","503,884",(X)
Note: (X) Not applicable,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,
"Table 1: Estimates of the Population by Selected Age Groups for the United States and States and for Puerto Rico: July 1, 2006 (SC-EST2006-01)",,,,,,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,,,,,
"Release Date: May 17, 2007",,,,,,,,,,,
