stcty,reg,div,stname,ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem
24009,3,5,Maryland,Calvert County,2,74563,36767,37796,5077,2528,2549,11886,6129,5757,5093,2668,2425,4768,2448,2320,54965,26735,28230,52507,25442,27065,32181,15727,16454,6627,2772,3855,664,180,484
24011,3,5,Maryland,Caroline County,2,29772,14571,15201,1843,932,911,4258,2207,2051,1877,1009,868,2279,1149,1130,22723,10932,11791,21794,10423,11371,12283,6131,6152,4031,1685,2346,492,142,350
24013,3,5,Maryland,Carroll County,2,150897,74470,76427,10110,5203,4907,22314,11516,10798,9414,4904,4510,10491,5491,5000,113685,55290,58395,109059,52847,56212,63639,31747,31892,16267,6627,9640,2011,502,1509
24015,3,5,Maryland,Cecil County,2,85951,42594,43357,5957,2998,2959,12680,6559,6121,5152,2637,2515,6406,3195,3211,64684,31686,32998,62162,30400,31762,37047,18280,18767,8995,3965,5030,807,233,574
24017,3,5,Maryland,Charles County,2,120546,58878,61668,8603,4471,4132,18157,9197,8960,7891,4001,3890,9108,4566,4542,89734,43156,46578,85895,41209,44686,55028,26776,28252,9402,3916,5486,902,237,665
24019,3,5,Maryland,Dorchester County,2,30674,14510,16164,1650,850,800,3760,1865,1895,1741,891,850,2070,1006,1064,24368,11342,13026,23523,10904,12619,11605,5626,5979,5423,2263,3160,629,190,439
24021,3,5,Maryland,Frederick County,2,195276,96079,99197,14056,7174,6882,28129,14421,13708,11702,6008,5694,14503,7102,7401,147092,71450,75642,141389,68476,72913,87013,43081,43932,18835,7639,11196,2088,585,1503
24023,3,5,Maryland,Garrett County,2,29846,14708,15138,1810,934,876,3827,1974,1853,1847,974,873,2339,1213,1126,23309,11338,11971,22362,10826,11536,11955,6021,5934,4461,1895,2566,558,161,397
24025,3,5,Maryland,Harford County,2,218590,107081,111509,15776,8054,7722,31919,16457,15462,13270,6809,6461,14767,7440,7327,164103,79100,85003,157625,75761,81864,93607,45946,47661,22160,9336,12824,1888,533,1355
24027,3,5,Maryland,Howard County,2,247842,121774,126068,18248,9432,8816,36816,19004,17812,14479,7464,7015,15575,7927,7648,185346,89534,95812,178299,85874,92425,111482,54643,56839,18468,7755,10713,2143,585,1558
24029,3,5,Maryland,Kent County,2,19197,9192,10005,888,483,405,2130,1067,1063,967,485,482,2098,989,1109,15684,7376,8308,15212,7157,8055,7349,3510,3839,3708,1601,2107,466,150,316
24031,3,5,Maryland,Montgomery County,2,873341,418622,454719,60173,30679,29494,114327,58566,55761,47258,24220,23038,60139,30388,29751,674658,316995,357663,651583,305157,346426,377494,183382,194112,98157,39957,58200,12983,3828,9155
24033,3,5,Maryland,Prince George's County,2,801515,383050,418465,57940,29477,28463,112366,57488,54878,44296,22725,21571,83346,42178,41168,608802,284626,324176,586913,273360,313553,380677,183403,197274,61951,25497,36454,5686,1489,4197
24035,3,5,Maryland,Queen Anne's County,2,40563,20195,20368,2591,1330,1261,5443,2796,2647,2272,1190,1082,2348,1227,1121,31361,15455,15906,30257,14879,15378,16208,8112,8096,5227,2402,2825,517,178,339
24037,3,5,Maryland,St. Mary's County,2,86211,43495,42716,6237,3189,3048,12656,6495,6161,5187,2623,2564,7704,3887,3817,64702,32485,32217,62131,31188,30943,39668,20180,19488,7825,3541,4284,775,266,509
24039,3,5,Maryland,Somerset County,2,24747,13213,11534,1198,576,622,2330,1157,1173,1051,516,535,3884,2026,1858,20711,11232,9479,20168,10964,9204,11972,7040,4932,3503,1474,2029,388,112,276
24041,3,5,Maryland,Talbot County,2,33812,16125,17687,1752,882,870,3848,1944,1904,1724,927,797,1886,965,921,27332,12836,14496,26488,12372,14116,11679,5739,5940,6897,2946,3951,821,268,553
24043,3,5,Maryland,Washington County,2,131923,67410,64513,8108,4194,3914,15864,8228,7636,6942,3501,3441,10652,6019,4633,104402,53202,51200,101009,51487,49522,57137,31198,25939,18690,7585,11105,2246,600,1646
24045,3,5,Maryland,Wicomico County,2,84644,40335,44309,5317,2641,2676,10784,5605,5179,4864,2492,2372,9999,4715,5284,66104,30838,35266,63679,29597,34082,37376,17965,19411,10823,4366,6457,1189,299,890
24047,3,5,Maryland,Worcester County,2,46543,22695,23848,2273,1177,1096,5040,2560,2480,2246,1202,1044,2863,1466,1397,38121,18375,19746,36984,17756,19228,16829,8427,8402,9351,4208,5143,829,235,594
24510,3,5,Maryland,Baltimore city,2,651154,303687,347467,41694,21149,20545,84959,43204,41755,34700,17265,17435,71141,33542,37599,506954,230508,276446,489801,222069,267732,291789,139105,152684,85921,32497,53424,9956,2727,7229
24001,3,5,Maryland,Allegany County,3,74806,37248,37558,3732,1953,1779,7754,3992,3762,3836,2044,1792,8427,4211,4216,61449,30327,31122,59484,29259,30225,31265,16713,14552,13402,5301,8101,1690,432,1258
24003,3,5,Maryland,Anne Arundel County,3,491383,244575,246808,33330,17082,16248,63934,32630,31304,26944,13888,13056,40100,21947,18153,380385,187797,192588,367175,180975,186200,220241,112338,107903,49076,20760,28316,4525,1244,3281
24005,3,5,Maryland,Baltimore County,3,755917,358195,397722,45276,23047,22229,92665,47319,45346,40408,20612,19796,64980,31252,33728,597600,277427,320173,577568,267217,310351,319437,153778,165659,110547,44649,65898,12961,3665,9296
24009,3,5,Maryland,Calvert County,3,75191,37101,38090,5111,2545,2566,11947,6160,5787,5143,2693,2450,4852,2496,2356,55478,27011,28467,52990,25703,27287,32393,15845,16548,6666,2789,3877,677,185,492
24011,3,5,Maryland,Caroline County,3,29853,14612,15241,1837,927,910,4261,2208,2053,1888,1014,874,2298,1160,1138,22804,10976,11828,21867,10463,11404,12294,6137,6157,4030,1688,2342,499,145,354
24013,3,5,Maryland,Carroll County,3,151612,74842,76770,10083,5190,4893,22279,11500,10779,9449,4923,4526,10591,5542,5049,114454,55686,58768,109801,53229,56572,63842,31859,31983,16359,6671,9688,2051,517,1534
24015,3,5,Maryland,Cecil County,3,86468,42872,43596,5984,3016,2968,12702,6571,6131,5184,2652,2532,6479,3235,3244,65143,31930,33213,62598,30633,31965,37186,18358,18828,9060,3997,5063,826,241,585
24017,3,5,Maryland,Charles County,3,121281,59259,62022,8728,4537,4191,18290,9265,9025,7961,4038,3923,9229,4625,4604,90175,43384,46791,86302,41419,44883,55159,26853,28306,9472,3945,5527,920,243,677
24019,3,5,Maryland,Dorchester County,3,30597,14476,16121,1629,839,790,3730,1850,1880,1735,888,847,2068,1007,1061,24347,11336,13011,23503,10899,12604,11550,5602,5948,5410,2260,3150,638,194,444
24021,3,5,Maryland,Frederick County,3,196595,96738,99857,14232,7257,6975,28307,14515,13792,11792,6051,5741,14675,7186,7489,148024,71917,76107,142264,68915,73349,87296,43225,44071,18971,7701,11270,2130,603,1527
24023,3,5,Maryland,Garrett County,3,29831,14698,15133,1777,919,858,3788,1955,1833,1835,970,865,2346,1218,1128,23373,11365,12008,22431,10854,11577,11925,6010,5915,4474,1900,2574,569,165,404
24025,3,5,Maryland,Harford County,3,219491,107564,111927,15900,8119,7781,32013,16510,15503,13341,6841,6500,14932,7528,7404,164762,79454,85308,158237,76094,82143,93649,45992,47657,22354,9425,12929,1937,551,1386
24027,3,5,Maryland,Howard County,3,249567,122606,126961,18531,9571,8960,37118,19156,17962,14593,7518,7075,15786,8036,7750,186438,90052,96386,179325,86361,92964,111810,54803,57007,18679,7846,10833,2190,603,1587
24029,3,5,Maryland,Kent County,3,19278,9237,10041,884,483,401,2130,1067,1063,967,487,480,2107,991,1116,15767,7419,8348,15297,7200,8097,7359,3515,3844,3714,1606,2108,473,153,320
24031,3,5,Maryland,Montgomery County,3,877781,420852,456929,60749,30970,29779,114747,58770,55977,47467,24300,23167,60913,30801,30112,678028,318704,359324,654818,306812,348006,378455,183936,194519,98909,40320,58589,13199,3930,9269
24033,3,5,Maryland,Prince George's County,3,803649,384134,419515,57865,29450,28415,112187,57399,54788,44465,22788,21677,84041,42589,41452,611097,285781,325316,589132,274497,314635,381046,183701,197345,62565,25773,36792,5788,1527,4261
24035,3,5,Maryland,Queen Anne's County,3,40772,20294,20478,2582,1325,1257,5454,2801,2653,2282,1194,1088,2365,1239,1126,31563,15552,16011,30454,14974,15480,16260,8135,8125,5241,2410,2831,527,182,345
24037,3,5,Maryland,St. Mary's County,3,86513,43645,42868,6293,3222,3071,12706,6516,6190,5222,2639,2583,7775,3917,3858,64886,32574,32312,62292,31268,31024,39703,20201,19502,7843,3546,4297,786,270,516
24039,3,5,Maryland,Somerset County,3,24730,13207,11523,1189,573,616,2321,1154,1167,1052,517,535,3894,2034,1860,20712,11231,9481,20168,10963,9205,11959,7036,4923,3483,1467,2016,391,114,277
24041,3,5,Maryland,Talbot County,3,33902,16179,17723,1752,882,870,3836,1937,1899,1729,927,802,1929,997,932,27434,12899,14535,26585,12433,14152,11707,5765,5942,6909,2951,3958,834,275,559
24043,3,5,Maryland,Washington County,3,132112,67483,64629,8136,4210,3926,15827,8210,7617,6962,3509,3453,10725,6053,4672,104599,53278,51321,101187,51554,49633,57049,31131,25918,18717,7600,11117,2279,615,1664
24045,3,5,Maryland,Wicomico County,3,84883,40458,44425,5335,2653,2682,10797,5618,5179,4890,2507,2383,10076,4752,5324,66302,30931,35371,63861,29680,34181,37431,17998,19433,10818,4361,6457,1207,305,902
24047,3,5,Maryland,Worcester County,3,46762,22801,23961,2279,1181,1098,5041,2563,2478,2259,1207,1052,2900,1485,1415,38326,18471,19855,37183,17850,19333,16863,8444,8419,9394,4228,5166,845,241,604
24510,3,5,Maryland,Baltimore city,3,648557,302560,345997,41133,20871,20262,84088,42761,41327,34602,17212,17390,71370,33717,37653,505849,230132,275717,488734,221716,267018,290541,138624,151917,85553,32366,53187,10031,2770,7261
24001,3,5,Maryland,Allegany County,4,74404,37040,37364,3700,1933,1767,7509,3865,3644,3835,2009,1826,8591,4298,4293,61280,30236,31044,59360,29233,30127,31182,16722,14460,13330,5288,8042,1765,448,1317
24003,3,5,Maryland,Anne Arundel County,4,497383,247758,249625,33365,17124,16241,63861,32539,31322,27642,14267,13375,41679,22916,18763,386216,190943,195273,372515,183828,188687,221176,112965,108211,49914,21247,28667,4736,1369,3367
24005,3,5,Maryland,Baltimore County,4,762728,361553,401175,45228,23019,22209,92493,47177,45316,41063,20991,20072,67072,32496,34576,604420,280789,323631,583944,270366,313578,321040,154634,166406,111101,44970,66131,13529,4008,9521
24009,3,5,Maryland,Calvert County,4,77694,38295,39399,5034,2505,2529,11912,6133,5779,5403,2781,2622,5767,2976,2791,58028,28241,29787,55345,26876,28469,33856,16601,17255,6891,2890,4001,742,212,530
