SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,10,001,Delaware,Kent County,3,7,9048,4422,4626,3390,3421,854,998,32,29,94,121,3,3,49,54,3428,3463,876,1027,55,57,110,136,3,3,3256,3299,836,970,30,24,94,117,2,2,49,50,3294,3338,858,996,53,49,110,132,2,2,134,122,18,28,2,5,0,4,1,1,0,4,134,125,18,31,2,8,0,4,1,1
050,10,001,Delaware,Kent County,3,8,10537,5080,5457,3973,4108,930,1103,35,42,98,137,0,3,44,64,4007,4157,948,1133,59,79,111,154,0,3,3843,3985,910,1086,33,41,95,134,0,2,44,63,3877,4033,928,1115,57,78,108,151,0,2,130,123,20,17,2,1,3,3,0,1,0,1,130,124,20,18,2,1,3,3,0,1
050,10,001,Delaware,Kent County,3,9,10059,4848,5211,3819,3934,869,1070,36,36,80,112,2,2,42,57,3852,3976,885,1097,61,71,91,127,2,2,3708,3844,849,1048,34,33,79,111,1,1,41,56,3740,3885,864,1074,59,68,90,126,1,1,111,90,20,22,2,3,1,1,1,1,1,1,112,91,21,23,2,3,1,1,1,1
050,10,001,Delaware,Kent County,3,10,8316,3963,4353,3127,3291,735,881,32,24,37,116,0,1,32,40,3153,3322,747,899,52,51,43,124,0,1,3067,3233,717,865,32,24,35,116,0,1,31,40,3092,3264,728,883,52,51,41,124,0,1,60,58,18,16,0,0,2,0,0,0,1,0,61,58,19,16,0,0,2,0,0,0
050,10,001,Delaware,Kent County,3,11,7631,3699,3932,2947,3039,646,732,29,26,44,93,0,2,33,40,2975,3071,658,750,52,56,49,98,0,2,2885,2976,636,722,27,24,44,92,0,2,33,40,2913,3008,648,740,50,54,49,97,0,2,62,63,10,10,2,2,0,1,0,0,0,0,62,63,10,10,2,2,0,1,0,0
050,10,001,Delaware,Kent County,3,12,6015,2900,3115,2341,2477,474,518,19,17,36,78,2,2,28,23,2364,2495,484,527,37,34,41,82,2,2,2299,2433,468,514,19,17,36,78,2,2,28,23,2322,2451,478,523,37,34,41,82,2,2,42,44,6,4,0,0,0,0,0,0,0,0,42,44,6,4,0,0,0,0,0,0
050,10,001,Delaware,Kent County,3,13,5081,2387,2694,1927,2185,390,413,20,17,31,58,0,1,19,20,1941,2200,397,421,33,32,35,62,0,1,1889,2143,387,406,20,17,29,57,0,0,19,20,1903,2158,394,414,33,32,33,61,0,0,38,42,3,7,0,0,2,1,0,1,0,0,38,42,3,7,0,0,2,1,0,1
050,10,001,Delaware,Kent County,3,14,4668,2272,2396,1854,1922,364,390,17,19,23,46,0,1,14,18,1864,1934,369,397,26,31,27,51,0,1,1824,1901,359,389,16,19,23,45,0,0,14,18,1834,1913,364,396,25,31,27,50,0,0,30,21,5,1,1,0,0,1,0,1,0,0,30,21,5,1,1,0,0,1,0,1
050,10,001,Delaware,Kent County,3,15,3765,1690,2075,1451,1759,213,260,9,14,12,30,1,0,4,12,1455,1768,213,263,13,23,12,33,1,0,1434,1731,209,257,9,14,12,29,0,0,4,12,1438,1740,209,260,13,23,12,32,0,0,17,28,4,3,0,0,0,1,1,0,0,0,17,28,4,3,0,0,0,1,1,0
050,10,001,Delaware,Kent County,3,16,2928,1195,1733,1015,1493,168,215,5,9,4,12,0,0,3,4,1018,1496,168,216,8,13,4,12,0,0,1004,1479,168,213,5,9,4,12,0,0,3,4,1007,1482,168,214,8,13,4,12,0,0,11,14,0,2,0,0,0,0,0,0,0,0,11,14,0,2,0,0,0,0,0,0
050,10,001,Delaware,Kent County,3,17,1939,725,1214,627,1081,90,122,4,4,2,3,0,0,2,4,629,1084,90,123,5,7,3,4,0,0,623,1065,90,121,4,4,2,3,0,0,2,4,625,1068,90,122,5,7,3,4,0,0,4,16,0,1,0,0,0,0,0,0,0,0,4,16,0,1,0,0,0,0,0,0
050,10,001,Delaware,Kent County,3,18,1560,436,1124,357,954,73,154,2,5,2,2,0,0,2,9,359,961,73,159,3,12,3,4,0,1,354,947,73,154,2,5,2,2,0,0,2,9,356,954,73,159,3,12,3,4,0,1,3,7,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
050,10,001,Delaware,Kent County,4,0,129065,62224,66841,46799,49382,12996,14579,403,413,969,1338,19,28,1038,1101,47684,50299,13592,15239,746,819,1247,1615,36,38,45075,47721,12670,14213,374,379,952,1318,12,19,1010,1061,45933,48598,13241,14838,715,780,1228,1595,29,29,1724,1661,326,366,29,34,17,20,7,9,28,40,1751,1701,351,401,31,39,19,20,7,9
050,10,001,Delaware,Kent County,4,1,9020,4552,4468,3171,3000,1081,1138,17,20,76,89,1,2,206,219,3361,3201,1232,1298,44,47,124,143,4,6,2969,2811,1048,1098,15,17,75,88,0,1,201,210,3154,3003,1194,1249,42,44,123,142,3,5,202,189,33,40,2,3,1,1,1,1,5,9,207,198,38,49,2,3,1,1,1,1
050,10,001,Delaware,Kent County,4,2,9310,4791,4519,3321,3182,1202,1092,23,31,75,67,1,1,169,146,3470,3312,1321,1193,54,64,119,100,5,3,3152,3007,1173,1056,21,22,75,63,0,1,162,138,3295,3129,1286,1151,52,53,117,96,4,3,169,175,29,36,2,9,0,4,1,0,7,8,175,183,35,42,2,11,2,4,1,0
050,10,001,Delaware,Kent County,4,3,9942,5034,4908,3538,3475,1241,1215,36,30,84,70,0,1,135,117,3657,3577,1323,1290,73,62,121,100,2,1,3382,3321,1203,1167,32,26,81,69,0,1,130,111,3496,3417,1282,1238,67,56,118,99,2,1,156,154,38,48,4,4,3,1,0,0,5,6,161,160,41,52,6,6,3,1,0,0
050,10,001,Delaware,Kent County,4,4,9649,4830,4819,3232,3160,1404,1452,22,29,64,66,2,1,106,111,3323,3252,1467,1523,57,67,93,93,4,1,3083,3027,1369,1411,21,27,61,65,2,0,103,106,3171,3114,1429,1478,56,64,90,92,4,0,149,133,35,41,1,2,3,1,0,1,3,5,152,138,38,45,1,3,3,1,0,1
050,10,001,Delaware,Kent County,4,5,9623,4662,4961,3220,3210,1213,1558,30,29,95,76,8,6,96,82,3299,3276,1263,1611,57,58,129,97,14,6,3047,3055,1171,1509,27,25,94,75,4,3,92,79,3122,3118,1217,1559,54,54,128,96,10,3,173,155,42,49,3,4,1,1,4,3,4,3,177,158,46,52,3,4,1,1,4,3
050,10,001,Delaware,Kent County,4,6,8086,3825,4261,2892,3074,771,981,27,29,86,111,1,2,48,64,2930,3126,795,1018,47,55,102,129,1,2,2718,2901,733,945,21,27,83,110,0,1,47,60,2755,2949,756,978,41,53,99,128,0,1,174,173,38,36,6,2,3,1,1,1,1,4,175,177,39,40,6,2,3,1,1,1
050,10,001,Delaware,Kent County,4,7,9026,4415,4611,3347,3339,887,1046,37,34,92,132,2,3,50,57,3385,3384,910,1077,60,60,108,149,2,3,3196,3204,864,1017,35,29,92,129,2,2,49,55,3233,3247,886,1046,58,55,108,146,2,2,151,135,23,29,2,5,0,3,0,1,1,2,152,137,24,31,2,5,0,3,0,1
