table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,
"Annual Estimates of the Population by Sex and Age for Tennessee: April 1, 2000 to July 1, 2003",,,,,,
Sex and age,Population estimates,,,,"April 1, 2000",
,"July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
.85 years or more,"62,676","61,885","60,934","60,109","59,620","59,622"
,,,,,,
.Under 18 years,"679,121","679,064","679,721","679,689","679,983","679,987"
..Under 5 years,"186,602","185,188","183,813","182,731","182,596","182,597"
..5 to 13 years,"339,417","342,462","345,018","346,391","346,680","346,682"
..14 to 17 years,"153,102","151,414","150,890","150,567","150,707","150,708"
.18 to 64 years,"1,879,157","1,857,913","1,839,089","1,823,126","1,817,587","1,817,592"
..18 to 24 years,"279,770","277,957","275,864","272,824","271,704","271,705"
..25 to 44 years,"856,655","857,464","860,899","865,745","866,446","866,449"
..45 to 64 years,"742,732","722,492","702,326","684,557","679,437","679,438"
.65 years and over,"431,075","428,094","425,268","422,410","421,429","421,429"
,,,,,,
.16 years and over,"2,386,529","2,362,072","2,339,632","2,320,400","2,313,839","2,313,845"
.18 years and over,"2,310,232","2,286,007","2,264,357","2,245,536","2,239,016","2,239,021"
.15 to 44 years,"1,250,389","1,249,133","1,249,911","1,251,217","1,250,673","1,250,678"
,,,,,,
.Median age(years),38.1,37.8,37.5,37.3,37.2,37.2
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.",,,,,,
Suggested Citation:,,,,,,
"Table 2:  Annual Estimates of the Population by Sex and Age for Tennessee: April 1, 2000 to July 1, 2003 (SC-EST2003-02-47)",,,,,,
"Source:  Population Division, U.S. Census Bureau",,,,,,
"Release Date:  September 30, 2004",,,,,,
