#callSign,cycle_number,julian_day,ocean,date,time,time_qc,latitude,longitude,position_qc,data_center,data_mode
1900149,000,2452611.689572,indian,2002-12-03,04:32:59,1,-46.000,74.720,0,AO,R
1900149,000,2452611.703843,unknown,2002-12-03,04:53:32,1,99999.000,99999.000,9,AO,R
1900149,000,2452611.742396,indian,2002-12-03,05:49:03,1,-46.002,74.619,1,AO,R
1900149,000,2452611.778692,indian,2002-12-03,06:41:19,1,-46.002,74.641,1,AO,R
1900149,000,2452611.813368,indian,2002-12-03,07:31:15,1,-46.001,74.656,1,AO,R
1900149,000,2452611.828600,indian,2002-12-03,07:53:11,1,-45.996,74.664,1,AO,R
1900149,000,2452611.903461,unknown,2002-12-03,09:40:59,1,99999.000,99999.000,9,AO,R
1900149,001,2452616.980532,unknown,2002-12-08,11:31:58,8,99999.000,99999.000,9,AO,R
1900149,001,2452622.057604,unknown,2002-12-13,13:22:57,1,99999.000,99999.000,9,AO,R
1900149,001,2452622.062465,indian,2002-12-13,13:29:57,1,-46.220,75.906,1,AO,R
1900149,001,2452622.067975,indian,2002-12-13,13:37:53,1,-46.219,75.911,1,AO,R
1900149,001,2452622.131493,indian,2002-12-13,15:09:21,1,-46.222,75.963,1,AO,R
1900149,001,2452622.136991,indian,2002-12-13,15:17:16,1,-46.220,75.964,1,AO,R
1900149,001,2452622.201157,indian,2002-12-13,16:49:40,1,-46.204,76.021,1,AO,R
1900149,001,2452622.205370,indian,2002-12-13,16:55:44,1,-46.215,76.028,1,AO,R
1900149,001,2452622.229352,indian,2002-12-13,17:30:16,1,-46.199,76.042,1,AO,R
1900149,001,2452622.270185,indian,2002-12-13,18:29:04,1,-46.185,76.083,1,AO,R
1900149,001,2452622.299039,indian,2002-12-13,19:10:37,1,-46.175,76.104,1,AO,R
1900149,001,2452622.300012,indian,2002-12-13,19:12:01,1,-46.179,76.107,1,AO,R
1900149,001,2452622.368056,indian,2002-12-13,20:50:00,1,-46.149,76.145,1,AO,R
1900149,001,2452622.369676,indian,2002-12-13,20:52:20,1,-46.149,76.149,1,AO,R
1900149,001,2452622.443252,unknown,2002-12-13,22:38:17,1,99999.000,99999.000,9,AO,R
1900149,002,2452627.518113,unknown,2002-12-19,00:26:05,8,99999.000,99999.000,9,AO,R
1900149,002,2452632.592975,unknown,2002-12-24,02:13:53,1,99999.000,99999.000,9,AO,R
1900149,002,2452632.594907,indian,2002-12-24,02:16:40,1,-45.277,78.278,1,AO,R
1900149,002,2452632.659410,indian,2002-12-24,03:49:33,1,-45.259,78.304,1,AO,R
1900149,002,2452632.680799,indian,2002-12-24,04:20:21,1,-45.248,78.312,1,AO,R
1900149,002,2452632.727454,indian,2002-12-24,05:27:32,1,-45.228,78.346,1,AO,R
1900149,002,2452632.751111,indian,2002-12-24,06:01:36,1,-45.227,78.358,1,AO,R
1900149,002,2452632.805231,indian,2002-12-24,07:19:32,1,-45.205,78.382,1,AO,R
1900149,002,2452632.875243,indian,2002-12-24,09:00:21,1,-45.188,78.413,1,AO,R
1900149,002,2452632.945231,indian,2002-12-24,10:41:08,1,-45.169,78.470,1,AO,R
1900149,002,2452632.945880,indian,2002-12-24,10:42:04,1,-45.165,78.466,1,AO,R
1900149,002,2452632.949444,unknown,2002-12-24,10:47:12,1,99999.000,99999.000,9,AO,R
1900149,003,2452638.044294,unknown,2002-12-29,13:03:47,8,99999.000,99999.000,9,AO,R
1900149,003,2452643.139144,unknown,2003-01-03,15:20:22,1,99999.000,99999.000,9,AO,R
1900149,003,2452643.143368,indian,2003-01-03,15:26:27,1,-44.164,80.906,1,AO,R
1900149,003,2452643.151458,indian,2003-01-03,15:38:06,1,-44.157,80.910,1,AO,R
1900149,003,2452643.158275,indian,2003-01-03,15:47:55,1,-44.161,80.915,1,AO,R
1900149,003,2452643.167998,indian,2003-01-03,16:01:55,1,-44.149,80.908,1,AO,R
1900149,003,2452643.237986,indian,2003-01-03,17:42:42,1,-44.140,80.956,1,AO,R
1900149,003,2452643.277211,indian,2003-01-03,18:39:11,1,-44.132,80.983,1,AO,R
1900149,003,2452643.290162,indian,2003-01-03,18:57:50,1,-44.128,80.990,1,AO,R
1900149,003,2452643.307350,indian,2003-01-03,19:22:35,1,-44.121,80.996,1,AO,R
1900149,003,2452643.345903,indian,2003-01-03,20:18:06,1,-44.110,81.006,1,AO,R
1900149,003,2452643.416551,indian,2003-01-03,21:59:50,1,-44.101,81.023,1,AO,R
1900149,003,2452643.479109,indian,2003-01-03,23:29:55,1,-44.102,81.051,1,AO,R
1900149,003,2452643.496921,indian,2003-01-03,23:55:34,1,-44.100,81.053,1,AO,R
1900149,003,2452643.545220,indian,2003-01-04,01:05:07,1,-44.097,81.068,1,AO,R
1900149,003,2452643.547488,unknown,2003-01-04,01:08:23,1,99999.000,99999.000,9,AO,R
1900149,004,2452648.611609,unknown,2003-01-09,02:40:43,8,99999.000,99999.000,9,AO,R
1900149,004,2452653.675729,unknown,2003-01-14,04:13:03,1,99999.000,99999.000,9,AO,R
1900149,004,2452653.679294,indian,2003-01-14,04:18:11,1,-43.470,82.660,1,AO,R
1900149,004,2452653.688368,indian,2003-01-14,04:31:15,1,-43.470,82.673,1,AO,R
1900149,004,2452653.747998,indian,2003-01-14,05:57:07,1,-43.456,82.703,1,AO,R
1900149,004,2452653.759005,indian,2003-01-14,06:12:58,1,-43.453,82.703,1,AO,R
1900149,004,2452653.852674,indian,2003-01-14,08:27:51,1,-43.436,82.756,1,AO,R
1900149,004,2452653.922674,indian,2003-01-14,10:08:39,1,-43.426,82.790,1,AO,R
1900149,004,2452653.992338,indian,2003-01-14,11:48:58,1,-43.417,82.816,1,AO,R
1900149,004,2452654.009525,indian,2003-01-14,12:13:43,1,-43.409,82.826,1,AO,R
1900149,004,2452654.033831,indian,2003-01-14,12:48:43,1,-43.416,82.837,1,AO,R
1900149,004,2452654.062998,indian,2003-01-14,13:30:43,1,-43.404,82.846,1,AO,R
1900149,004,2452654.076921,unknown,2003-01-14,13:50:46,1,99999.000,99999.000,9,AO,R
1900149,005,2452659.156343,unknown,2003-01-19,15:45:08,8,99999.000,99999.000,9,AO,R
1900149,005,2452664.235752,unknown,2003-01-24,17:39:29,1,99999.000,99999.000,9,AO,R
1900149,005,2452664.240613,indian,2003-01-24,17:46:29,1,-43.786,83.789,1,AO,R
1900149,005,2452664.245799,indian,2003-01-24,17:53:57,1,-43.780,83.809,1,AO,R
1900149,005,2452664.251644,indian,2003-01-24,18:02:22,1,-43.782,83.783,1,AO,R
1900149,005,2452664.309329,indian,2003-01-24,19:25:26,1,-43.806,83.799,1,AO,R
1900149,005,2452664.314838,indian,2003-01-24,19:33:22,1,-43.804,83.785,1,AO,R
1900149,005,2452664.383854,indian,2003-01-24,21:12:45,1,-43.818,83.772,1,AO,R
1900149,005,2452664.392928,indian,2003-01-24,21:25:49,1,-43.825,83.784,1,AO,R
1900149,005,2452664.453542,indian,2003-01-24,22:53:06,1,-43.837,83.785,1,AO,R
1900149,005,2452664.483993,indian,2003-01-24,23:36:57,1,-43.846,83.793,1,AO,R
1900149,005,2452664.522882,indian,2003-01-25,00:32:57,1,-43.862,83.815,1,AO,R
1900149,005,2452664.553356,indian,2003-01-25,01:16:50,1,-43.867,83.824,1,AO,R
1900149,005,2452664.593218,indian,2003-01-25,02:14:14,1,-43.874,83.836,1,AO,R
1900149,005,2452664.625301,unknown,2003-01-25,03:00:26,1,99999.000,99999.000,9,AO,R
1900149,006,2452669.694352,unknown,2003-01-30,04:39:52,8,99999.000,99999.000,9,AO,R
1900149,006,2452674.763414,unknown,2003-02-04,06:19:19,1,99999.000,99999.000,9,AO,R
1900149,006,2452674.766991,indian,2003-02-04,06:24:28,1,-43.909,83.586,1,AO,R
1900149,006,2452674.829525,indian,2003-02-04,07:54:31,1,-43.888,83.597,1,AO,R
1900149,006,2452674.899201,indian,2003-02-04,09:34:51,1,-43.860,83.627,1,AO,R
