year          day          dechr          hour          min          sec          rh          esh          clong          clat          HGIlong          br          bt          bn          vp1r          vp1t          vp1n          crot          np1          vp1          Tp1          vaz          vel          Bx          By          Bz          sBx          sBy          sBz          nal          val          Tal          np2          vp2
   1976.0000     241.0000       0.0039       0.0000       0.0000      14.0000       0.7200     151.4000      10.4500      -5.5700      50.1925     -12.0400       9.5100       3.2600     562.6453     -15.9127     -12.0853    1644.0000       8.1800     563.0000  259201.0000      -1.6200       1.2300      12.0400      -9.5100       3.2600       0.5200       0.3700       1.1400       0.0000       0.0000       0.0000       7.5700     562.2000
   1976.0000     241.0000       0.0264       0.0000       1.0000      35.0000       0.7200     151.4000      10.4400      -5.5700      50.1958     -11.2200      10.2000       3.9800     579.3048      -4.2466       9.6064    1644.0000       7.5100     579.4000  303153.0000      -0.4200      -0.9500      11.2200     -10.2000       3.9800       0.6200       0.6300       0.3500       0.2100     633.7000  595520.0000       7.2700     576.6000
   1976.0000     241.0000       0.0489       0.0000       2.0000      56.0000       0.7200     151.4000      10.4200      -5.5700      50.1891     -12.8100       9.2400       1.9600     555.0610     -13.3715      -9.3037    1644.0000       7.6800     555.3000  187040.0000      -1.3800       0.9600      12.8100      -9.2400       1.9600       0.3200       0.4900       0.2400       0.2500     640.4000  760464.0000       6.8700     554.1000
   1976.0000     241.0000       0.0714       0.0000       4.0000      17.0000       0.7200     151.4000      10.4100      -5.5700      50.1924      -8.9300      12.2100       1.3100     596.2041       7.4925      13.3226    1644.0000       8.2300     596.4000  317556.0000       0.7200      -1.2800       8.9300     -12.2100       1.3100       0.9500       1.2500       2.9100       0.2300     635.3000  731319.0000       7.8300     593.6000
   1976.0000     241.0000       0.0939       0.0000       5.0000      38.0000       0.7200     151.4000      10.4000      -5.5700      50.1957      -8.5100      13.2700      -0.1000     593.6066      18.9660     -10.3667    1644.0000       7.7800     594.0000  260471.0000       1.8300       1.0000       8.5100     -13.2700      -0.1000       0.6100       0.3900       0.8900       0.1900     650.1000  725914.0000       7.4700     595.3000
   1976.0000     241.0000       0.1158       0.0000       6.0000      57.0000       0.7200     151.4000      10.3900      -5.5700      50.1987     -13.7500       6.9700       4.7100     553.1394     -16.7067     -29.9222    1644.0000       7.5100     554.2000  131436.0000       0.0000       0.0000      13.7500      -6.9700       4.7100       0.3100       0.3600       0.2800       0.2000     625.7000  623730.0000       7.2500     552.5000
   1976.0000     241.0000       1.3008       1.0000      18.0000       3.0000       0.7200     151.4200       9.7500      -5.5700      50.2591      -8.9800       2.9100      -7.1400     610.5641     -56.5328     -55.6955    1644.0000       9.4300     615.7000  381876.0000      -5.2900       5.1900       8.9800      -2.9100      -7.1400       0.1900       0.1000       0.8000       0.2900     659.5000 1045536.0000       9.1600     617.9000
   1976.0000     241.0000       1.3233       1.0000      19.0000      24.0000       0.7200     151.4200       9.7400      -5.5700      50.2624      -5.3400       5.0300       5.8100     645.7417     -45.4944       8.6437    1644.0000       9.7800     647.4000  416988.0000      -4.0300       0.0000       5.3400      -5.0300       5.8100       2.1100       1.4800       6.7000       0.0000       0.0000       0.0000       9.8000     649.1000
   1976.0000     241.0000       1.3458       1.0000      20.0000      45.0000       0.7200     151.4200       9.7300      -5.5700      50.2657      -2.6100       5.2300      10.9200     647.4465     -40.5070      76.4358    1644.0000       9.9300     653.2000  494337.0000      -3.5800      -6.7200       2.6100      -5.2300      10.9200       0.9800       0.7900       0.4400       0.0000       0.0000       0.0000       9.5900     654.9000
   1976.0000     241.0000       1.3683       1.0000      22.0000       6.0000       0.7200     151.4200       9.7200      -5.5700      50.2690      -6.7700       8.9300       4.8100     625.8053     -36.5221      65.6655    1644.0000       8.0700     630.3000  356119.0000      -3.3400      -5.9800       6.7700      -8.9300       4.8100       0.9700       1.3400       2.9000       0.2300     673.9000  857177.0000       7.4600     625.7000
