2005 Colorado River interpolated elevation		
easting (m)	northing (m)	elev (ft)
624122.251	4273883.688	3948.91283
624124.251	4273883.688	3948.200889
624126.251	4273883.688	3948.958762
624128.251	4273883.688	3949.326215
624130.251	4273883.688	3949.585401
624132.251	4273883.688	3950.294061
624134.251	4273883.688	3950.294061
624136.251	4273883.688	3949.759285
624138.251	4273883.688	3950.540124
624140.251	4273883.688	3950.070964
624142.251	4273883.688	3950.038156
624144.251	4273883.688	3950.021752
624146.251	4273883.688	3950.107054
624148.251	4273883.688	3950.339993
624150.251	4273883.688	3950.996159
624152.251	4273883.688	3951.061776
624154.251	4273883.688	3951.406264
624156.251	4273883.688	3951.583429
624158.251	4273883.688	3951.763874
624160.251	4273883.688	3951.803244
624162.251	4273883.688	3951.721224
624164.251	4273883.688	3951.537497
624166.251	4273883.688	3951.150359
624168.251	4273883.688	3950.750097
624170.251	4273883.688	3950.976474
624172.251	4273883.688	3950.612302
624174.251	4273883.688	3950.159547
624176.251	4273883.688	3949.319654
624178.251	4273883.688	3948.945639
624180.251	4273883.688	3948.312438
624182.251	4273883.688	3947.538161
624184.251	4273883.688	3947.236324
624186.251	4273883.688	3947.042755
624188.251	4273883.688	3947.036193
624190.251	4273883.688	3947.039474
623646.251	4273881.688	3952.518466
623648.251	4273881.688	3952.459411
623650.251	4273881.688	3952.679227
623652.251	4273881.688	3952.738282
623654.251	4273881.688	3952.68907
623656.251	4273881.688	3952.77109
623658.251	4273881.688	3952.725159
623660.251	4273881.688	3952.675946
623662.251	4273881.688	3952.659542
623664.251	4273881.688	3952.882639
623666.251	4273881.688	3953.131982
623668.251	4273881.688	3953.394449
623670.251	4273881.688	3953.627388
623672.251	4273881.688	3953.630669
623674.251	4273881.688	3953.919382
623676.251	4273881.688	3954.18841
623678.251	4273881.688	3954.119513
623680.251	4273881.688	3954.18841
623682.251	4273881.688	3954.139198
623684.251	4273881.688	3954.060458
623686.251	4273881.688	3953.460065
623688.251	4273881.688	3953.351798
623690.251	4273881.688	3953.24353
623692.251	4273881.688	3953.174633
623694.251	4273881.688	3953.089331
623696.251	4273881.688	3952.974502
623698.251	4273881.688	3953.253373
623700.251	4273881.688	3953.118859
623702.251	4273881.688	3953.036838
623704.251	4273881.688	3952.856392
623706.251	4273881.688	3952.61033
623708.251	4273881.688	3952.505343
623710.251	4273881.688	3952.334739
623712.251	4273881.688	3952.295369
623714.251	4273881.688	3952.236314
623716.251	4273881.688	3952.160855
623718.251	4273881.688	3952.157574
623720.251	4273881.688	3952.154294
623722.251	4273881.688	3952.134609
623724.251	4273881.688	3952.128047
623726.251	4273881.688	3952.003375
623728.251	4273881.688	3951.941039
623730.251	4273881.688	3951.911512
623732.251	4273881.688	3951.941039
623734.251	4273881.688	3951.937759
623736.251	4273881.688	3951.891827
623738.251	4273881.688	3951.862299
623740.251	4273881.688	3951.793402
623742.251	4273881.688	3951.66873
623744.251	4273881.688	3951.626079
623746.251	4273881.688	3951.498127
623748.251	4273881.688	3951.350489
623750.251	4273881.688	3951.537497
