    1
41.646133 -87.429283  41.646481 -87.429893  41.646824 -87.430443
41.647331 -87.431190  41.647873 -87.431709  41.648537 -87.432411
41.648930 -87.432861  41.649406 -87.433296  41.649536 -87.433372
41.649986 -87.433571  41.650604 -87.433784  41.650959 -87.434692
41.650932 -87.434692  41.650967 -87.434814  41.651119 -87.434967
41.651661 -87.434906  41.652119 -87.434845  41.652557 -87.434875
41.653164 -87.435127  41.653690 -87.435478  41.653831 -87.435738
41.653923 -87.435974  41.653896 -87.436150  41.653812 -87.436378
41.653633 -87.436478  41.653381 -87.436478  41.653278 -87.436516
41.653130 -87.436813  41.653072 -87.437134  41.653137 -87.437584
41.653297 -87.437897  41.653839 -87.438309  41.654034 -87.438347
41.654308 -87.438095  41.654644 -87.437637  41.654858 -87.437134
41.655102 -87.436638  41.655411 -87.435913  41.655720 -87.435188
41.655941 -87.434380  41.656216 -87.433731  41.656616 -87.432472
41.656830 -87.431274  41.657085 -87.430412  41.657177 -87.429626
41.657383 -87.428810  41.657738 -87.427597  41.658047 -87.426636
41.658337 -87.425652  41.658543 -87.424995  41.658703 -87.424232
41.658924 -87.423462  41.659027 -87.422951  41.659111 -87.422577
41.659283 -87.421837  41.659393 -87.421501  41.659431 -87.421303
41.659439 -87.421288  41.660263 -87.420258  41.660561 -87.419952
41.660934 -87.419403  41.661648 -87.418350  41.662704 -87.417336
41.663826 -87.416466  41.664562 -87.415543  41.665226 -87.414742
41.665985 -87.414032  41.666714 -87.413338  41.667473 -87.412575
41.668163 -87.411812  41.668873 -87.410957  41.669575 -87.410233
41.670322 -87.409431  41.670799 -87.408783  41.671360 -87.408096
41.671875 -87.407387  41.672520 -87.406578  41.673157 -87.405869
41.673763 -87.405167  41.674183 -87.404556  41.674847 -87.403633
41.675285 -87.403183  41.675774 -87.402611  41.676285 -87.402130
41.676735 -87.401627  41.677101 -87.401390  41.677380 -87.401428
41.677792 -87.401520  41.678173 -87.401817  41.678604 -87.402115
41.678978 -87.402489  41.679363 -87.402802  41.679752 -87.403290
41.680145 -87.403801  41.680557 -87.404495  41.680840 -87.404984
41.681232 -87.405594  41.681820 -87.406204  41.682297 -87.406792
41.682812 -87.407425  41.683334 -87.408127  41.683716 -87.408707
41.684109 -87.409492  41.684521 -87.410156  41.684933 -87.410805
41.685398 -87.411476  41.685913 -87.412216  41.686428 -87.412926
41.686913 -87.413521  41.687325 -87.414131  41.687595 -87.414558
41.687988 -87.415131  41.688484 -87.415794  41.688831 -87.416214
41.689137 -87.416740  41.689445 -87.417290  41.689766 -87.418007
41.690083 -87.418930  41.690334 -87.419609  41.690559 -87.420219
41.690689 -87.420769  41.690857 -87.421440  41.690941 -87.422050
41.690952 -87.422684  41.690933 -87.423805  41.690792 -87.424393
41.690643 -87.424767  41.690372 -87.425316  41.690052 -87.425842
41.689735 -87.426453  41.689445 -87.426910  41.689007 -87.427612
41.688549 -87.428185  41.687950 -87.428970  41.687389 -87.429733
41.686878 -87.430428  41.686428 -87.431114  41.686073 -87.431740
41.685661 -87.432297  41.685101 -87.432983  41.684559 -87.433716
41.684017 -87.434555  41.683323 -87.435867  41.682896 -87.436378
41.682400 -87.436920  41.681820 -87.437546  41.681400 -87.438187
41.681072 -87.438583  41.681072 -87.438591  41.681072 -87.438591
41.680859 -87.439133  41.680588 -87.439476  41.680332 -87.439781
41.680222 -87.439919  41.679783 -87.439941  41.679482 -87.439880
41.679035 -87.439690  41.678669 -87.439629  41.678185 -87.439468
41.677494 -87.439133  41.677120 -87.438957  41.676922 -87.438866
41.676792 -87.438820  41.676426 -87.438591  41.676025 -87.438446
41.675381 -87.438133  41.674885 -87.437897  41.674259 -87.437645
41.673828 -87.437408  41.673241 -87.437233  41.672680 -87.437027
41.672173 -87.436813  41.671688 -87.436478  41.671200 -87.436028
41.670826 -87.435631  41.670502 -87.435326  41.670033 -87.434967
41.669659 -87.434639  41.669292 -87.434418  41.669071 -87.434280
41.668911 -87.434181  41.668770 -87.434479  41.668358 -87.435043
41.668015 -87.435501  41.667770 -87.435890  41.667526 -87.436150
41.667229 -87.436584  41.666855 -87.437073  41.666656 -87.437309
41.666313 -87.437744  41.665836 -87.438408  41.665516 -87.438881
41.665359 -87.439232  41.665405 -87.439476  41.665482 -87.439919
41.665752 -87.440437  41.666145 -87.440964  41.666489 -87.441383
41.666843 -87.441872  41.667068 -87.442307  41.667107 -87.442398
41.667217 -87.442543  41.666920 -87.443260  41.666145 -87.444267
41.665310 -87.444962  41.664612 -87.445984  41.663891 -87.446922
41.663067 -87.447830  41.662312 -87.448883  41.661804 -87.449806
41.661404 -87.450401  41.661095 -87.450859//
    1
41.661095 -87.450859  41.660694 -87.451500  41.660625 -87.451599
41.660664 -87.451759  41.660748 -87.451988  41.660934 -87.452187
41.660954 -87.452171  41.661205 -87.451836  41.661442 -87.451813
41.661636 -87.451645  41.661880 -87.451744  41.662029 -87.451782
41.662357 -87.451210  41.662796 -87.450539  41.663486 -87.449905
41.664246 -87.448967  41.664715 -87.448296  41.665535 -87.447121
41.666378 -87.446075  41.666946 -87.445427  41.667416 -87.444878
41.667744 -87.444344  41.667938 -87.444069  41.667984 -87.444016
41.668526 -87.443855  41.669769 -87.443680  41.670536 -87.443420
41.671127 -87.443245  41.671276 -87.443184  41.671623 -87.443031
41.672237 -87.442833  41.672688 -87.442680  41.672977 -87.442650
41.673332 -87.442543  41.673454 -87.442513  41.673565 -87.442520
41.674641 -87.442757  41.675510 -87.442986  41.676483 -87.443398
41.676960 -87.443558  41.677567 -87.443810  41.678139 -87.444031
41.678482 -87.444206  41.678501 -87.444206  41.678501 -87.444229
41.679100 -87.444519  41.679874 -87.444817  41.680511 -87.445099
41.680756 -87.445251  41.681080 -87.445442  41.681454 -87.445717
41.681999 -87.445938  41.682323 -87.446037  41.682980 -87.446175
41.683308 -87.446251  41.683643 -87.446297  41.683979 -87.446465
41.684624 -87.446785  41.685184 -87.447197  41.685539 -87.447685
41.685753 -87.448166  41.685661 -87.448753  41.685333 -87.449394
41.684959 -87.450012  41.684650 -87.450737  41.684204 -87.451607
41.683784 -87.452408  41.683361 -87.453178  41.683052 -87.453804
41.682735 -87.454491  41.682251 -87.455391  41.681793 -87.456276
41.681232 -87.457230  41.680763 -87.458031  41.680473 -87.458565
41.680183 -87.459114  41.680016 -87.459427  41.679821 -87.459816
41.679596 -87.460213  41.679268 -87.460701  41.678856 -87.461311
41.678596 -87.461922  41.678429 -87.462242  41.678379 -87.462372
41.678360 -87.462593  41.678391 -87.462784  41.678463 -87.463020
41.678520 -87.463303  41.678520 -87.463478  41.678444 -87.463554
41.678326 -87.463455  41.678185 -87.463356  41.678005 -87.463120
41.678005 -87.463120  41.677952 -87.463097  41.677708 -87.463181
41.677475 -87.463531  41.677090 -87.464165  41.676689 -87.464699
41.676277 -87.465385  41.675808 -87.465912  41.675503 -87.466232
41.675304 -87.466423  41.674801 -87.466957  41.674324 -87.467560
41.673847 -87.467995  41.673584 -87.468117  41.673473 -87.468178
41.673203 -87.468330  41.672939 -87.468605  41.672745 -87.469193
41.672752 -87.469711  41.672745 -87.470222  41.672913 -87.470886
41.673119 -87.471672  41.673332 -87.472420  41.673615 -87.473106
41.674007 -87.474068  41.674408 -87.475037  41.674706 -87.475647
41.675045 -87.476074  41.675182 -87.476273  41.675407 -87.476418
41.675529 -87.476471  41.675827 -87.476318  41.676220 -87.476097
41.676689 -87.475998  41.677006 -87.475906  41.677444 -87.476006
41.677940 -87.476318  41.678577 -87.477066  41.678856 -87.477493
41.679146 -87.477867  41.679585 -87.478516  41.679867 -87.478867
41.680042 -87.479111  41.680035 -87.479111  41.679829 -87.479317
41.679466 -87.479538  41.679176 -87.480087  41.679127 -87.480148
41.679024 -87.480247  41.679035 -87.480324  41.679157 -87.481049
41.679577 -87.481941  41.680145 -87.483002  41.680519 -87.483803
41.680885 -87.484337  41.681149 -87.484772  41.681484 -87.485100
41.682045 -87.485008  41.682503 -87.484734  41.682762 -87.484550
41.682922 -87.484474  41.683212 -87.484550  41.683258 -87.484802
41.683258 -87.485077  41.683353 -87.485023  41.683716 -87.485123
41.683895 -87.485947  41.683830 -87.486031  41.683735 -87.486145
41.683689 -87.486633  41.683811 -87.487190  41.683971 -87.487953
41.684109 -87.488518  41.684326 -87.489151  41.684345 -87.489365
41.684326 -87.489563  41.684334 -87.490051  41.684624 -87.490356
41.685043 -87.491005  41.685005 -87.491158  41.684952 -87.491333
41.685101 -87.492218  41.685333 -87.493301  41.685635 -87.493973
41.686092 -87.494759  41.686558 -87.495560  41.687016 -87.496307
41.687614 -87.497238  41.687962 -87.497887  41.688240 -87.498314
