Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	86
Date	2004MAR26
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	18.99984	[UTC]
Stop_time	19.28262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.36310	[p_s^-1]
ForeOptic_temperature	32.97	[ns]
Front_temperature	32.97	[ns]
Back_temperature	24.90	[ns]
Inside_temperature	24.30	[ns]
Shelter_temperature	22.33	[ns]
PSUnit_temperature	25.36	[ns]
AirCond_temperature	18.97	[ns]
Outside_temperature	26.49	[ns]
Comments	none
Formatted_file	2004086f12.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
303.969	31.08713	0.0007	0.0000
304.069	25.09552	0.0008	0.0000
304.169	20.41292	0.0008	0.0000
304.269	28.83844	0.0007	0.0000
304.369	37.86074	0.0006	0.0000
304.469	37.92553	0.0006	0.0000
304.569	42.26405	0.0006	0.0000
304.669	38.28609	0.0006	0.0000
304.769	17.98626	0.0009	0.0000
304.869	34.09813	0.0007	0.0000
304.969	52.08378	0.0005	0.0000
305.069	39.53129	0.0006	0.0000
305.169	58.98652	0.0005	0.0000
305.269	68.53049	0.0005	0.0000
305.369	41.81493	0.0006	0.0000
305.469	45.21984	0.0006	0.0000
305.569	55.77685	0.0005	0.0000
305.669	47.88435	0.0006	0.0000
305.769	22.89208	0.0008	0.0000
305.869	27.30036	0.0007	0.0000
305.969	32.35299	0.0007	0.0000
306.068	50.97519	0.0005	0.0000
306.168	63.46747	0.0005	0.0000
306.268	60.98677	0.0005	0.0000
306.368	48.88192	0.0005	0.0000
306.468	42.53068	0.0006	0.0000
306.568	59.57516	0.0005	0.0000
306.668	37.14096	0.0006	0.0000
306.768	44.31479	0.0006	0.0000
306.868	61.13181	0.0005	0.0000
306.968	76.98008	0.0004	0.0000
307.068	77.56309	0.0004	0.0000
307.168	77.40054	0.0004	0.0000
307.268	67.41727	0.0005	0.0000
307.368	87.49744	0.0004	0.0000
307.468	83.15903	0.0004	0.0000
307.568	54.36294	0.0005	0.0000
307.668	93.85371	0.0004	0.0000
307.768	87.75703	0.0004	0.0000
307.868	79.83687	0.0004	0.0000
307.968	98.11905	0.0004	0.0000
308.068	83.68763	0.0004	0.0000
308.167	64.55425	0.0005	0.0000
308.267	69.35907	0.0005	0.0000
308.367	71.20708	0.0005	0.0000
308.467	117.59348	0.0004	0.0000
308.567	113.52586	0.0004	0.0000
308.667	95.31637	0.0004	0.0000
308.767	76.22886	0.0004	0.0000
308.867	87.76105	0.0004	0.0000
308.967	88.28207	0.0004	0.0000
309.067	77.40413	0.0004	0.0000
309.167	70.59988	0.0005	0.0000
309.267	45.57007	0.0006	0.0000
309.367	61.48484	0.0005	0.0000
309.467	103.83047	0.0004	0.0000
309.567	121.78252	0.0003	0.0000
309.667	70.01292	0.0005	0.0000
309.767	82.08364	0.0004	0.0000
309.867	114.20084	0.0004	0.0000
309.967	73.22708	0.0004	0.0000
310.067	47.53085	0.0006	0.0000
310.167	56.29095	0.0005	0.0000
310.267	101.68861	0.0004	0.0000
310.367	140.80453	0.0003	0.0000
310.466	140.54175	0.0003	0.0000
310.566	135.95683	0.0003	0.0000
310.666	150.92654	0.0003	0.0000
310.766	158.29240	0.0003	0.0000
310.866	182.47842	0.0003	0.0000
310.966	164.51494	0.0003	0.0000
311.066	139.18730	0.0003	0.0000
311.166	164.12013	0.0003	0.0000
311.266	178.12773	0.0003	0.0000
311.366	157.40610	0.0003	0.0000
311.466	145.45743	0.0003	0.0000
311.566	181.95959	0.0003	0.0000
311.666	129.32414	0.0003	0.0000
311.766	138.74747	0.0003	0.0000
311.866	138.86154	0.0003	0.0000
311.966	130.20383	0.0003	0.0000
312.066	137.58588	0.0003	0.0000
312.166	138.82695	0.0003	0.0000
312.266	145.85706	0.0003	0.0000
312.366	187.40746	0.0003	0.0000
312.466	195.96054	0.0003	0.0000
312.566	134.68558	0.0003	0.0000
312.665	161.60150	0.0003	0.0000
312.765	189.08813	0.0003	0.0000
312.865	164.62456	0.0003	0.0000
312.965	194.05798	0.0003	0.0000
313.065	161.58354	0.0003	0.0000
313.165	181.00940	0.0003	0.0000
313.265	163.08272	0.0003	0.0000
313.365	159.62048	0.0003	0.0000
313.465	146.72888	0.0003	0.0000
313.565	179.57693	0.0003	0.0000
313.665	161.37799	0.0003	0.0000
313.765	202.80486	0.0003	0.0000
313.865	222.49860	0.0003	0.0000
313.965	211.08661	0.0003	0.0000
314.065	205.32262	0.0003	0.0000
314.165	234.17218	0.0003	0.0000
314.265	179.73740	0.0003	0.0000
314.365	93.08173	0.0004	0.0000
314.465	88.62511	0.0004	0.0000
314.565	162.44568	0.0003	0.0000
314.665	198.12566	0.0003	0.0000
314.765	172.75168	0.0003	0.0000
314.865	231.59552	0.0003	0.0000
314.965	246.31602	0.0002	0.0000
315.064	210.36896	0.0003	0.0000
315.164	226.73784	0.0003	0.0000
315.264	220.02194	0.0003	0.0000
315.364	226.00650	0.0003	0.0000
315.464	191.89020	0.0003	0.0000
315.564	203.85687	0.0003	0.0000
315.664	175.42514	0.0003	0.0000
315.764	121.51713	0.0003	0.0000
315.864	120.72104	0.0004	0.0000
315.964	135.99548	0.0003	0.0000
316.064	149.08286	0.0003	0.0000
316.164	150.22914	0.0003	0.0000
316.264	190.05075	0.0003	0.0000
316.364	241.94315	0.0002	0.0000
316.464	196.37869	0.0003	0.0000
316.564	227.29996	0.0003	0.0000
316.664	246.98616	0.0002	0.0000
316.764	247.32722	0.0002	0.0000
316.864	199.69762	0.0003	0.0000
316.964	237.75977	0.0002	0.0000
317.064	290.62469	0.0002	0.0000
317.164	309.58218	0.0002	0.0000
317.264	317.42578	0.0002	0.0000
317.363	290.86139	0.0002	0.0000
317.463	276.79245	0.0002	0.0000
317.563	258.92285	0.0002	0.0000
317.663	319.56686	0.0002	0.0000
317.763	273.70468	0.0002	0.0000
317.863	206.71898	0.0003	0.0000
317.963	165.23380	0.0003	0.0000
318.063	191.11417	0.0003	0.0000
318.163	165.83672	0.0003	0.0000
318.263	211.69685	0.0003	0.0000
318.363	219.62463	0.0003	0.0000
318.463	235.03815	0.0003	0.0000
318.563	271.52252	0.0002	0.0000
318.663	261.01205	0.0002	0.0000
318.763	287.18976	0.0002	0.0000
318.863	284.75323	0.0002	0.0000
318.963	403.44382	0.0002	0.0000
319.063	291.89023	0.0002	0.0000
319.163	215.53430	0.0003	0.0000
319.263	162.37082	0.0003	0.0000
319.363	232.00981	0.0003	0.0000
319.463	243.75706	0.0002	0.0000
319.563	263.18948	0.0002	0.0000
319.663	245.74216	0.0002	0.0000
319.763	267.58990	0.0002	0.0000
319.862	373.90744	0.0002	0.0000
319.962	290.24649	0.0002	0.0000
320.062	236.69392	0.0003	0.0000
320.162	349.46765	0.0002	0.0000
320.262	282.55658	0.0002	0.0000
320.362	362.47021	0.0002	0.0000
320.462	381.73389	0.0002	0.0000
320.562	340.12607	0.0002	0.0000
320.662	391.79205	0.0002	0.0000
