                   ,        YTD         , ,        YTD         , ,        YTD         , ,     September      , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , ,      January       , ,       Total        , ,      December      , ,      November      , ,      October       , ,     September      , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , 
Michigan                                ,0,NA,560959,  ,657094,  ,0,NA,0,NA,33981,R,36206,R,45715,R,71154,R,99823,R,126925,R,102125,R,767403,R,85634,R,70643,R,50167,R,31740,R,39459,R,43332,R,35824,R,43901,R,65814,R,96633,R,99454,R
Minnesota                               ,0,NA,228084,  ,244012,  ,0,NA,18122,,17760,R,15974,R,17562,R,30132,R,38105,R,54235,R,50730,R,332242,R,41325,R,34462,R,28371,R,16211,R,17970,R,18418,R,16382,R,15506,R,21908,R,35090,R,44696,R
Mississippi                             ,0,NA,214674,  ,216152,  ,0,NA,41674,,29123,R,27123,R,27270,R,22949,R,23156,R,28854,R,26515,R,278509,R,22474,R,19289,R,22072,R,22867,R,36208,R,32122,R,28139,R,20120,R,19880,R,20268,R,18372,R
Missouri                                ,0,NA,182808,  ,199352,  ,0,NA,18334,,14201,R,12523,R,15006,R,20016,R,28464,R,42741,R,36676,R,248305,R,30135,R,21672,R,13690,R,10105,R,16198,R,15778,R,13046,R,13729,R,18714,R,28712,R,32302,R
Montana                                 ,0,NA,41302,  ,38641,  ,0,NA,2664,,2539,R,2717,R,3558,R,4682,R,6749,R,8233,R,8885,R,60600,R,8194,R,6560,R,4545,R,3197,R,2675,R,2643,R,2786,R,3562,R,4972,R,7344,R,7060,R
Nebraska                                ,0,NA,86991,  ,86363,  ,0,NA,0,NA,8150,R,6379,R,7982,R,9276,R,14709,R,17978,R,16053,R,115656,R,12677,R,9515,R,6473,R,5870,R,7963,R,8704,R,6676,R,6770,R,10014,R,13308,R,12984,R
Nevada                                  ,0,NA,187672,  ,167753,  ,0,NA,21806,,22464,R,19569,R,18075,R,17447,R,20137,R,22416,R,25767,R,246424,R,23869,R,16784,R,18099,R,20275,R,23014,R,23453,R,20713,R,17142,R,18176,R,21653,R,20590,R
New Hampshire                           ,0,NA,46488,  ,55222,  ,0,NA,5422,,5644,  ,4224,  ,3828,  ,5432,  ,0,NA,5332,  ,6648,  ,62517,R,6263,R,3850,R,5917,R,5407,R,5107,R,3895,R,2608,R,2505,R,4511,R,7852,R,6823,R
New Jersey                              ,0,NA,415284,  ,456208,  ,0,NA,0,NA,36952,R,32409,R,31836,R,49569,R,65536,R,84596,R,71122,R,546653,R,55894,R,41875,R,33601,R,30124,R,36992,R,38852,R,32072,R,32942,R,41108,R,64522,R,67121,R
New Mexico                              ,0,NA,94816,  ,94582,  ,0,NA,11783,,9965,R,9317,R,9212,R,9862,R,13155,R,15857,R,16798,R,128028,R,14000,R,10396,R,8816,R,7779,R,10049,R,10535,R,9120,R,9225,R,10809,R,11746,R,12788,R
New York                                ,0,NA,825950,  ,834767,  ,0,NA,83433,,74238,R,70986,R,75653,R,104256,R,136636,R,143586,R,123059,R,1082292,R,99716,R,81800,R,74825,R,63354,R,79345,R,85597,R,71803,R,72223,R,88492,R,125713,R,122348,R
North Carolina                          ,0,NA,162935,  ,172248,  ,0,NA,22340,,14212,R,14044,R,0,NA,17779,R,21926,R,30875,R,26868,R,218351,R,22896,R,18461,R,14060,R,11440,R,19139,R,17464,R,13107,R,13079,R,15871,R,23286,R,23924,R
North Dakota                            ,0,NA,22459,  ,22152,  ,0,NA,1543,,1176,R,1809,R,2618,R,3419,  ,3417,  ,4571,R,4631,  ,33304,R,3672,R,3833,R,3340,R,1770,R,971,R,1132,R,1945,R,2395,R,2658,R,3685,R,4128,R
Ohio                                    ,0,NA,515737,  ,589877,  ,0,NA,40583,,33433,R,34970,R,41870,R,70534,R,87828,R,127941,R,104968,R,728861,R,88329,R,69951,R,54845,R,35048,R,36307,R,36271,R,33443,R,42766,R,52957,R,85732,R,97666,R
Oklahoma                                ,0,NA,407042,  ,382189,  ,0,NA,58247,,47319,R,41720,R,41145,R,43195,R,44188,R,56597,R,54275,R,522310,R,45867,R,34408,R,34992,R,36892,R,55815,R,51472,R,44047,R,43246,R,45270,R,43081,R,45067,R
Oregon                                  ,0,NA,149389,  ,160980,  ,0,NA,17383,,15324,R,13686,R,12898,R,15724,R,17215,R,25157,  ,28071,R,214166,R,26011,R,19557,R,19209,R,17231,R,16894,R,16913,R,10669,R,10230,R,12842,R,22860,R,21431,R
Pennsylvania                            ,0,NA,471110,  ,489740,  ,0,NA,49548,,42603,R,36974,R,41676,R,62867,R,81440,R,95997,R,78362,R,625620,R,63941,R,49703,R,40867,R,31545,R,41471,R,44307,R,36803,R,37224,R,49039,R,76877,R,77324,R
Rhode Island                            ,0,NA,57700,  ,62086,  ,0,NA,7620,,7037,R,0,NA,5999,R,7169,R,8366,R,9766,R,7962,  ,76247,R,6230,R,5472,R,6845,R,5724,  ,5512,R,6982,R,5619,R,5935,R,5579,R,7405,R,6737,R
