NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  9/ 1/2000
Date processed: 29-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 295
Relative Std Dev Filter Aerosol[%]: 5.0
Relative Std Dev Filter H2O [%]: 10.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
AOD smoothing parameter 0.99
aerosol wavelengths [10^-6 m]  0.353  0.380  0.449  0.499  0.525  0.606  0.675  0.778  0.865  1.019  1.241  1.557
UT[h]     Lat[deg]  Lon[deg]  GPS_Alt p_Alt[km] p[hPa]  AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557 Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557 a2_fit  a1_fit  a0_fit  Ext0354 Ext0380 Ext0449 Ext0499 Ext0525 Ext0606 Ext0675 Ext0778 Ext0865 Ext1019 Ext1241 Ext1557 a2_fit  a1_fit  a0_fit
10.89667 -17.40319  25.08010  3.325   3.299     691.96  0.2269  0.2135  0.1575  0.1293  0.1191  0.0950  0.0734  0.0568  0.0557  0.0560  0.0282  0.0203  0.0111  0.0223  0.0259  0.0311  0.0537  0.0344  0.0050  0.0031  0.0039  0.0031  0.0040  0.0111  0.0174 -1.5842 -3.1428  0.1201  0.1073  0.0796  0.0651  0.0577  0.0437  0.0332  0.0246  0.0188  0.0137  0.0099  0.0069  0.0996 -1.9477 -4.1890
10.89556 -17.40319  25.08010  3.325   3.315     690.61  0.2237  0.2101  0.1556  0.1256  0.1189  0.0929  0.0721  0.0559  0.0552  0.0563  0.0279  0.0194  0.0110  0.0223  0.0259  0.0311  0.0537  0.0344  0.0049  0.0030  0.0038  0.0030  0.0039  0.0111 -0.0069 -1.6038 -3.1572  0.1230  0.1100  0.0814  0.0667  0.0588  0.0450  0.0342  0.0252  0.0194  0.0139  0.0102  0.0073  0.1269 -1.9148 -4.1573
10.89444 -17.39852  25.07965  3.353   3.341     688.46  0.2227  0.2095  0.1543  0.1246  0.1178  0.0935  0.0724  0.0559  0.0556  0.0565  0.0285  0.0207  0.0107  0.0223  0.0255  0.0310  0.0535  0.0344  0.0047  0.0026  0.0036  0.0027  0.0037  0.0110  0.0423 -1.5375 -3.1424  0.1279  0.1147  0.0844  0.0694  0.0605  0.0474  0.0359  0.0262  0.0204  0.0143  0.0108  0.0082  0.1774 -1.8545 -4.1041
10.89361 -17.39573  25.07937  3.368   3.367     686.30  0.2172  0.2055  0.1496  0.1241  0.1119  0.0928  0.0715  0.0549  0.0548  0.0544  0.0281  0.0219  0.0128  0.0225  0.0277  0.0318  0.0546  0.0346  0.0059  0.0044  0.0050  0.0045  0.0051  0.0116  0.0981 -1.4724 -3.1514  0.1326  0.1194  0.0872  0.0720  0.0619  0.0497  0.0377  0.0272  0.0215  0.0146  0.0114  0.0091  0.2345 -1.7886 -4.0536
10.89222 -17.38580  25.07783  3.385   3.386     684.69  0.2082  0.2007  0.1423  0.1192  0.1019  0.0902  0.0708  0.0509  0.0547  0.0480  0.0274  0.0233  0.0153  0.0229  0.0304  0.0329  0.0560  0.0348  0.0072  0.0061  0.0066  0.0061  0.0066  0.0123  0.2027 -1.3753 -3.1883  0.1358  0.1226  0.0890  0.0737  0.0627  0.0513  0.0389  0.0278  0.0223  0.0146  0.0118  0.0098  0.2768 -1.7419 -4.0218
10.88800 -17.37523  25.07503  3.431   3.420     681.90  0.2078  0.1952  0.1460  0.1177  0.1134  0.0860  0.0672  0.0528  0.0523  0.0550  0.0262  0.0173  0.0120  0.0224  0.0269  0.0315  0.0542  0.0345  0.0055  0.0038  0.0046  0.0039  0.0046  0.0114 -0.0777 -1.6583 -3.2205  0.1398  0.1267  0.0914  0.0759  0.0638  0.0534  0.0405  0.0285  0.0233  0.0147  0.0124  0.0107  0.3203 -1.6942 -3.9839
10.88472 -17.36688  25.07273  3.453   3.439     680.38  0.2050  0.1929  0.1432  0.1142  0.1110  0.0852  0.0665  0.0520  0.0520  0.0548  0.0263  0.0179  0.0106  0.0223  0.0256  0.0310  0.0536  0.0344  0.0047  0.0026  0.0036  0.0027  0.0037  0.0110 -0.0325 -1.6005 -3.2212  0.1412  0.1280  0.0923  0.0765  0.0643  0.0540  0.0410  0.0288  0.0236  0.0147  0.0125  0.0109  0.3269 -1.6860 -3.9719
10.88333 -17.36224  25.07146  3.466   3.451     679.37  0.2002  0.1892  0.1400  0.1144  0.1069  0.0840  0.0653  0.0509  0.0511  0.0527  0.0255  0.0177  0.0112  0.0223  0.0261  0.0312  0.0538  0.0344  0.0050  0.0032  0.0040  0.0032  0.0041  0.0112 -0.0274 -1.5992 -3.2434  0.1417  0.1285  0.0926  0.0767  0.0645  0.0543  0.0412  0.0289  0.0237  0.0148  0.0126  0.0109  0.3275 -1.6845 -3.9676
10.88181 -17.35630  25.06987  3.478   3.472     677.66  0.1955  0.1850  0.1368  0.1121  0.1046  0.0824  0.0642  0.0501  0.0504  0.0522  0.0252  0.0176  0.0132  0.0226  0.0281  0.0320  0.0549  0.0346  0.0061  0.0047  0.0053  0.0047  0.0053  0.0117 -0.0225 -1.5831 -3.2561  0.1416  0.1284  0.0925  0.0766  0.0645  0.0543  0.0412  0.0289  0.0238  0.0148  0.0126  0.0109  0.3248 -1.6859 -3.9675
10.87958 -17.34575  25.06725  3.510   3.485     676.55  0.1845  0.1750  0.1300  0.1063  0.1005  0.0782  0.0610  0.0481  0.0486  0.0516  0.0243  0.0168  0.0137  0.0227  0.0288  0.0323  0.0553  0.0347  0.0064  0.0049  0.0056  0.0049  0.0056  0.0119 -0.0466 -1.5839 -3.2921  0.1409  0.1277  0.0921  0.0761  0.0642  0.0540  0.0411  0.0287  0.0237  0.0148  0.0125  0.0108  0.3211 -1.6883 -3.9721
10.87778 -17.34128  25.06617  3.537   3.507     674.73  0.1807  0.1715  0.1267  0.1022  0.0979  0.0772  0.0599  0.0470  0.0481  0.0514  0.0243  0.0170  0.0106  0.0223  0.0256  0.0310  0.0536  0.0344  0.0047  0.0027  0.0036  0.0027  0.0037  0.0111 -0.0216 -1.5437 -3.3009  0.1388  0.1257  0.0907  0.0748  0.0635  0.0532  0.0404  0.0283  0.0233  0.0147  0.0124  0.0106  0.3140 -1.6925 -3.9856
10.87667 -17.33879  25.06557  3.556   3.546     671.57  0.1695  0.1616  0.1186  0.0964  0.0912  0.0733  0.0568  0.0446  0.0463  0.0497  0.0235  0.0169  0.0108  0.0223  0.0258  0.0311  0.0537  0.0344  0.0048  0.0028  0.0038  0.0029  0.0038  0.0111  0.0057 -1.4904 -3.3383  0.1335  0.1207  0.0873  0.0714  0.0615  0.0511  0.0389  0.0273  0.0225  0.0145  0.0120  0.0101  0.3000 -1.6988 -4.0204
10.87556 -17.33484  25.06463  3.589   3.570     669.61  0.1586  0.1520  0.1113  0.0907  0.0857  0.0695  0.0538  0.0424  0.0446  0.0483  0.0227  0.0165  0.0112  0.0223  0.0262  0.0312  0.0539  0.0345  0.0051  0.0032  0.0040  0.0033  0.0041  0.0112  0.0126 -1.4566 -3.3775  0.1298  0.1172  0.0850  0.0691  0.0602  0.0497  0.0377  0.0266  0.0219  0.0143  0.0117  0.0097  0.2884 -1.7045 -4.0449
10.87472 -17.32894  25.06320  3.622   3.598     667.39  0.1729  0.1639  0.1222  0.0971  0.0960  0.0731  0.0571  0.0454  0.0467  0.0512  0.0236  0.0154  0.0105  0.0223  0.0256  0.0310  0.0536  0.0344  0.0047  0.0026  0.0036  0.0027  0.0037  0.0111 -0.0774 -1.5875 -3.3393  0.1268  0.1143  0.0833  0.0672  0.0595  0.0483  0.0368  0.0261  0.0214  0.0144  0.0114  0.0093  0.2651 -1.7214 -4.0653
10.87278 -17.32527  25.06231  3.632   3.622     665.41  0.1702  0.1627  0.1203  0.0982  0.0926  0.0733  0.0575  0.0449  0.0466  0.0493  0.0235  0.0175  0.0122  0.0225  0.0271  0.0316  0.0544  0.0346  0.0056  0.0040  0.0047  0.0040  0.0048  0.0115  0.0127 -1.4893 -3.3330  0.1260  0.1133  0.0832  0.0666  0.0600  0.0477  0.0365  0.0260  0.0213  0.0146  0.0113  0.0090  0.2345 -1.7476 -4.0705
10.87139 -17.31916  25.06079  3.663   3.646     663.49  0.1891  0.1780  0.1339  0.1066  0.1053  0.0785  0.0616  0.0490  0.0491  0.0533  0.0245  0.0154  0.0144  0.0228  0.0295  0.0325  0.0556  0.0348  0.0068  0.0055  0.0061  0.0056  0.0061  0.0121 -0.1228 -1.6733 -3.2902  0.1272  0.1142  0.0845  0.0672  0.0616  0.0478  0.0368  0.0264  0.0215  0.0151  0.0114  0.0088  0.1963 -1.7837 -4.0616
10.87000 -17.31528  25.05978  3.686   3.669     661.67  0.1775  0.1694  0.1251  0.1037  0.0956  0.0759  0.0596  0.0464  0.0477  0.0494  0.0236  0.0168  0.0136  0.0227  0.0287  0.0322  0.0552  0.0347  0.0064  0.0051  0.0056  0.0051  0.0057  0.0119 -0.0255 -1.5543 -3.3178  0.1299  0.1164  0.0868  0.0688  0.0639  0.0485  0.0375  0.0271  0.0219  0.0157  0.0116  0.0086  0.1558 -1.8243 -4.0432
10.86833 -17.30797  25.05785  3.705   3.696     659.49  0.1753  0.1669  0.1246  0.1040  0.0962  0.0745  0.0591  0.0465  0.0476  0.0498  0.0234  0.0168  0.0165  0.0231  0.0319  0.0336  0.0570  0.0350  0.0079  0.0069  0.0073  0.0069  0.0074  0.0128 -0.0345 -1.5533 -3.3186  0.1342  0.1201  0.0903  0.0715  0.0671  0.0497  0.0388  0.0282  0.0227  0.0165  0.0118  0.0085  0.1098 -1.8717 -4.0141
10.86694 -17.30313  25.05656  3.711   3.709     658.44  0.1667  0.1579  0.1192  0.0945  0.0950  0.0700  0.0550  0.0443  0.0453  0.0508  0.0225  0.0137  0.0136  0.0227  0.0286  0.0322  0.0552  0.0347  0.0064  0.0050  0.0056  0.0051  0.0056  0.0119 -0.1646 -1.6744 -3.3799  0.1365  0.1220  0.0921  0.0729  0.0688  0.0504  0.0394  0.0287  0.0230  0.0169  0.0120  0.0085  0.0891 -1.8933 -3.9989
10.86556 -17.30073  25.05591  3.736   3.732     656.56  0.1651  0.1578  0.1160  0.0940  0.0896  0.0717  0.0556  0.0437  0.0456  0.0494  0.0231  0.0164  0.0105  0.0222  0.0256  0.0310  0.0536  0.0344  0.0047  0.0026  0.0036  0.0027  0.0037  0.0111 -0.0131 -1.5000 -3.3563  0.1407  0.1256  0.0953  0.0754  0.0716  0.0517  0.0406  0.0297  0.0238  0.0175  0.0123  0.0085  0.0605 -1.9232 -3.9711
10.86343 -17.29031  25.05305  3.764   3.753     654.88  0.1635  0.1567  0.1153  0.0955  0.0882  0.0709  0.0553  0.0434  0.0452  0.0480  0.0225  0.0160  0.0121  0.0225  0.0271  0.0316  0.0544  0.0346  0.0056  0.0039  0.0047  0.0040  0.0047  0.0115 -0.0250 -1.5223 -3.3723  0.1443  0.1288  0.0980  0.0776  0.0738  0.0529  0.0417  0.0305  0.0244  0.0180  0.0125  0.0086  0.0472 -1.9376 -3.9469
10.86069 -17.28217  25.05085  3.788   3.773     653.30  0.1587  0.1527  0.1123  0.0929  0.0862  0.0689  0.0543  0.0422  0.0447  0.0470  0.0221  0.0166  0.0133  0.0227  0.0285  0.0322  0.0551  0.0347  0.0062  0.0047  0.0054  0.0048  0.0055  0.0118  0.0142 -1.4718 -3.3849  0.1474  0.1316  0.1003  0.0795  0.0755  0.0540  0.0426  0.0312  0.0249  0.0184  0.0127  0.0088  0.0435 -1.9424 -3.9260
10.85889 -17.27610  25.04920  3.802   3.798     651.31  0.1634  0.1559  0.1152  0.0923  0.0898  0.0703  0.0547  0.0433  0.0452  0.0494  0.0227  0.0154  0.0107  0.0223  0.0258  0.0311  0.0538  0.0345  0.0048  0.0028  0.0038  0.0029  0.0038  0.0111 -0.0536 -1.5435 -3.3739  0.1505  0.1345  0.1025  0.0815  0.0772  0.0551  0.0436  0.0319  0.0255  0.0187  0.0130  0.0091  0.0461 -1.9403 -3.9042
10.85806 -17.27368  25.04856  3.815   3.808     650.57  0.1480  0.1433  0.1042  0.0873  0.0789  0.0660  0.0511  0.0401  0.0428  0.0459  0.0214  0.0160  0.0105  0.0223  0.0256  0.0311  0.0537  0.0345  0.0048  0.0027  0.0037  0.0028  0.0037  0.0111  0.0145 -1.4386 -3.4255  0.1514  0.1353  0.1031  0.0820  0.0777  0.0555  0.0439  0.0321  0.0257  0.0188  0.0131  0.0091  0.0485 -1.9379 -3.8979
10.85556 -17.26350  25.04589  3.838   3.829     648.89  0.1278  0.1246  0.0911  0.0753  0.0706  0.0577  0.0450  0.0359  0.0394  0.0441  0.0198  0.0140  0.0115  0.0224  0.0266  0.0314  0.0542  0.0345  0.0053  0.0035  0.0043  0.0036  0.0044  0.0113 -0.0392 -1.4317 -3.5194  0.1525  0.1364  0.1039  0.0828  0.0782  0.0559  0.0443  0.0324  0.0259  0.0189  0.0132  0.0093  0.0552 -1.9307 -3.8889
10.85333 -17.25627  25.04402  3.855   3.854     646.87  0.1374  0.1331  0.0969  0.0788  0.0753  0.0619  0.0479  0.0381  0.0413  0.0462  0.0212  0.0155  0.0105  0.0223  0.0257  0.0311  0.0537  0.0345  0.0048  0.0027  0.0037  0.0028  0.0037  0.0111  0.0134 -1.3884 -3.4572  0.1530  0.1368  0.1042  0.0831  0.0783  0.0562  0.0445  0.0325  0.0260  0.0189  0.0132  0.0094  0.0626 -1.9221 -3.8842
10.85111 -17.24680  25.04164  3.863   3.876     645.19  0.1362  0.1312  0.0975  0.0791  0.0767  0.0593  0.0464  0.0374  0.0400  0.0455  0.0197  0.0126  0.0119  0.0224  0.0270  0.0316  0.0544  0.0346  0.0055  0.0038  0.0046  0.0039  0.0046  0.0114 -0.1379 -1.5784 -3.5153  0.1530  0.1369  0.1042  0.0831  0.0783  0.0562  0.0445  0.0325  0.0260  0.0189  0.0133  0.0094  0.0654 -1.9186 -3.8829
