NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  9/ 1/2000
Date processed: 29-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 295
Relative Std Dev Filter Aerosol[%]: 5.0
Relative Std Dev Filter H2O [%]: 10.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
AOD smoothing parameter 0.99
aerosol wavelengths [10^-6 m]  0.353  0.380  0.449  0.499  0.525  0.606  0.675  0.778  0.865  1.019  1.241  1.557
UT[h]     Lat[deg]  Lon[deg]  GPS_Alt p_Alt[km] p[hPa]  AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557 Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557 a2_fit  a1_fit  a0_fit  Ext0354 Ext0380 Ext0449 Ext0499 Ext0525 Ext0606 Ext0675 Ext0778 Ext0865 Ext1019 Ext1241 Ext1557 a2_fit  a1_fit  a0_fit
10.96000 -17.60937  25.10796  2.302   2.282     780.98  0.3741  0.3436  0.2587  0.2069  0.1976  0.1461  0.1140  0.0878  0.0798  0.0754  0.0408  0.0263  0.0140  0.0227  0.0284  0.0320  0.0547  0.0345  0.0063  0.0049  0.0055  0.0050  0.0056  0.0117 -0.0392 -1.7763 -2.7777  0.1612  0.1416  0.1114  0.0857  0.0861  0.0528  0.0432  0.0330  0.0262  0.0199  0.0130  0.0059 -0.2847 -2.3468 -3.9462
10.95889 -17.60750  25.10828  2.315   2.306     778.83  0.3526  0.3264  0.2413  0.1964  0.1805  0.1421  0.1100  0.0835  0.0775  0.0713  0.0402  0.0298  0.0113  0.0223  0.0256  0.0309  0.0534  0.0342  0.0048  0.0028  0.0037  0.0029  0.0038  0.0110  0.0927 -1.6113 -2.7942  0.1690  0.1486  0.1169  0.0897  0.0906  0.0562  0.0457  0.0350  0.0278  0.0215  0.0140  0.0066 -0.2568 -2.2964 -3.8753
10.95778 -17.60329  25.10913  2.345   2.328     776.81  0.3446  0.3193  0.2362  0.1919  0.1772  0.1392  0.1077  0.0818  0.0761  0.0706  0.0395  0.0291  0.0116  0.0224  0.0258  0.0310  0.0535  0.0343  0.0049  0.0030  0.0039  0.0031  0.0040  0.0111  0.0851 -1.6133 -2.8121  0.1751  0.1542  0.1210  0.0928  0.0939  0.0591  0.0478  0.0367  0.0291  0.0228  0.0148  0.0073 -0.2142 -2.2331 -3.8165
10.95667 -17.59915  25.11013  2.374   2.360     773.92  0.3422  0.3166  0.2345  0.1893  0.1768  0.1376  0.1067  0.0812  0.0758  0.0710  0.0396  0.0288  0.0111  0.0223  0.0254  0.0309  0.0533  0.0342  0.0047  0.0026  0.0036  0.0027  0.0037  0.0110  0.0818 -1.6113 -2.8164  0.1820  0.1606  0.1254  0.0962  0.0971  0.0628  0.0503  0.0386  0.0307  0.0243  0.0159  0.0085 -0.1403 -2.1309 -3.7452
10.95556 -17.59365  25.11161  2.403   2.377     772.37  0.3292  0.3070  0.2241  0.1868  0.1644  0.1353  0.1045  0.0787  0.0740  0.0664  0.0387  0.0311  0.0118  0.0224  0.0261  0.0311  0.0536  0.0343  0.0051  0.0033  0.0041  0.0033  0.0042  0.0112  0.1688 -1.5145 -2.8345  0.1847  0.1632  0.1270  0.0976  0.0982  0.0645  0.0514  0.0394  0.0313  0.0249  0.0164  0.0092 -0.0974 -2.0737 -3.7131
10.95444 -17.59135  25.11222  2.413   2.396     770.62  0.3303  0.3063  0.2265  0.1838  0.1706  0.1336  0.1035  0.0788  0.0737  0.0692  0.0384  0.0281  0.0114  0.0223  0.0257  0.0310  0.0534  0.0343  0.0049  0.0029  0.0038  0.0030  0.0039  0.0111  0.0828 -1.6034 -2.8439  0.1871  0.1657  0.1284  0.0989  0.0991  0.0662  0.0525  0.0402  0.0320  0.0255  0.0170  0.0100 -0.0526 -2.0141 -3.6821
10.95278 -17.58564  25.11375  2.435   2.417     768.74  0.3329  0.3087  0.2281  0.1861  0.1710  0.1345  0.1044  0.0794  0.0741  0.0689  0.0386  0.0285  0.0112  0.0223  0.0256  0.0309  0.0534  0.0342  0.0048  0.0027  0.0037  0.0028  0.0038  0.0110  0.0875 -1.6025 -2.8389  0.1893  0.1678  0.1296  0.1000  0.0998  0.0678  0.0535  0.0409  0.0326  0.0260  0.0175  0.0107 -0.0133 -1.9609 -3.6540
10.95056 -17.57853  25.11555  2.449   2.434     767.12  0.3319  0.3072  0.2283  0.1856  0.1726  0.1332  0.1035  0.0792  0.0736  0.0695  0.0380  0.0271  0.0136  0.0227  0.0281  0.0319  0.0547  0.0345  0.0061  0.0046  0.0052  0.0046  0.0053  0.0117  0.0498 -1.6450 -2.8491  0.1908  0.1694  0.1305  0.1008  0.1003  0.0690  0.0543  0.0414  0.0330  0.0264  0.0178  0.0112  0.0134 -1.9242 -3.6343
10.94889 -17.57395  25.11667  2.463   2.459     764.90  0.3295  0.3044  0.2273  0.1830  0.1731  0.1311  0.1022  0.0784  0.0728  0.0698  0.0375  0.0256  0.0120  0.0224  0.0264  0.0312  0.0538  0.0343  0.0052  0.0035  0.0043  0.0035  0.0044  0.0112  0.0123 -1.6859 -2.8639  0.1921  0.1709  0.1312  0.1016  0.1007  0.0702  0.0550  0.0419  0.0334  0.0268  0.0182  0.0118  0.0418 -1.8849 -3.6143
10.94778 -17.56936  25.11769  2.486   2.472     763.76  0.3277  0.3031  0.2258  0.1816  0.1715  0.1308  0.1017  0.0779  0.0726  0.0693  0.0375  0.0258  0.0112  0.0223  0.0255  0.0309  0.0534  0.0343  0.0048  0.0027  0.0036  0.0028  0.0038  0.0110  0.0217 -1.6743 -2.8670  0.1924  0.1713  0.1312  0.1018  0.1006  0.0707  0.0553  0.0421  0.0336  0.0269  0.0183  0.0121  0.0548 -1.8674 -3.6072
