table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for New Mexico: April 1, 2000 to July 1, 2005",,,,,,,,
Sex and Age,Population estimates,,,,,,"April 1, 2000",
,"July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
.15 to 19 years,"72,625","72,405","72,235","72,388","71,878","71,260","71,004","71,004"
.20 to 24 years,"71,911","70,367","68,213","65,250","62,670","60,489","59,945","59,945"
.25 to 29 years,"60,834","58,579","57,048","56,119","56,405","57,450","57,734","57,734"
.30 to 34 years,"58,050","58,621","59,074","58,993","59,030","59,386","59,564","59,564"
.35 to 39 years,"60,380","60,897","62,460","64,716","67,420","70,341","70,974","70,974"
.40 to 44 years,"72,351","73,202","73,282","72,943","72,983","72,308","72,143","72,143"
.45 to 49 years,"74,585","72,903","71,719","70,059","68,671","67,536","67,311","67,311"
.50 to 54 years,"70,256","67,866","65,798","63,605","62,668","59,316","58,585","58,585"
.55 to 59 years,"62,199","58,088","54,504","51,240","46,992","45,519","45,191","45,191"
.60 to 64 years,"47,396","45,082","42,828","40,375","38,740","37,581","37,366","37,366"
.65 to 69 years,"35,940","35,151","34,197","33,333","32,701","32,998","33,101","33,101"
.70 to 74 years,"32,369","31,573","31,274","30,947","30,470","29,656","29,420","29,420"
.75 to 79 years,"25,359","25,223","24,957","24,711","24,765","24,747","24,701","24,701"
.80 to 84 years,"20,266","19,646","18,812","18,191","17,142","16,340","16,115","16,115"
.85 years and over,"17,773","17,175","17,112","16,565","16,371","15,877","15,689","15,689"
,,,,,,,,
.Under 18 years,"240,938","243,064","244,761","247,150","245,910","248,499","249,324","249,324"
.Under 5 years,"66,293","66,080","65,653","65,350","64,141","64,224","64,437","64,437"
.5 to 13 years,"117,094","119,441","121,704","124,044","124,313","126,370","126,961","126,961"
.14 to 17 years,"57,551","57,543","57,404","57,756","57,456","57,905","57,926","57,926"
.18 to 64 years,"607,335","595,046","584,076","572,160","564,235","557,745","556,379","556,379"
.18 to 24 years,"101,284","99,808","97,363","94,110","91,326","88,308","87,511","87,511"
.25 to 44 years,"251,615","251,299","251,864","252,771","255,838","259,485","260,415","260,415"
