   yr mo da hr mn sc                S_40                T_28
 2004  2 11  4 57 30           32.762413            2.180033
 2004  2 11  5 57 30           32.772221            2.225358
 2004  2 11  6 57 30           32.766342            2.197700
 2004  2 11  7 57 30           32.754242            2.131058
 2004  2 11  8 57 30           32.760731            2.092858
 2004  2 11  9 57 30           32.759037            2.161092
 2004  2 11 10 57 30           32.743046            2.093050
 2004  2 11 11 57 30           32.729858            1.993850
 2004  2 11 12 57 30           32.741592            2.129483
 2004  2 11 13 57 30           32.752827            2.121583
 2004  2 11 14 57 30           32.763512            2.180033
 2004  2 11 15 57 30           32.763054            2.205875
 2004  2 11 16 57 30           32.766880            2.226175
 2004  2 11 17 57 30           32.776585            2.250133
 2004  2 11 18 57 30           32.774082            2.193608
 2004  2 11 19 57 30           32.717014            2.137225
 2004  2 11 20 57 30           32.715553            2.151525
 2004  2 11 21 57 30           32.718697            2.166042
 2004  2 11 22 57 30           32.758930            2.199350
 2004  2 11 23 57 30           32.742363            2.139692
 2004  2 12  0 57 30           32.716064            2.137617
 2004  2 12  1 57 30           32.724228            2.159192
 2004  2 12  2 57 30           32.740288            2.160108
 2004  2 12  3 57 30           32.734783            2.171292
 2004  2 12  4 57 30           32.699463            2.163933
 2004  2 12  5 57 30           32.698326            2.163117
 2004  2 12  6 57 30           32.694725            2.129658
 2004  2 12  7 57 30           32.690857            2.079050
 2004  2 12  8 57 30           32.684734            2.075058
 2004  2 12  9 57 30           32.684879            2.095392
 2004  2 12 10 57 30           32.692104            2.118125
 2004  2 12 11 57 30           32.712173            2.147775
 2004  2 12 12 57 30           32.706917            2.130617
 2004  2 12 13 57 30           32.722435            2.138358
 2004  2 12 14 57 30           32.699600            2.092525
 2004  2 12 15 57 30           32.669350            2.077825
 2004  2 12 16 57 30           32.706642            2.144617
 2004  2 12 17 57 30           32.716991            2.165667
 2004  2 12 18 57 30           32.732586            2.127133
 2004  2 12 19 57 30           32.740368            2.129175
 2004  2 12 20 57 30           32.747429            2.130642
 2004  2 12 21 57 30           32.742908            2.114575
 2004  2 12 22 57 30           32.718880            2.077675
 2004  2 12 23 57 30           32.724491            2.130617
