SUMLEV,STATE,COUNTY,STNAME,CTYNAME,Sex,Origin,Race,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005
050,17,003,Illinois,Alexander County,0,2,1,127,127,128,127,130,129,131,143
050,17,003,Illinois,Alexander County,0,2,2,10,10,10,10,12,12,12,12
050,17,003,Illinois,Alexander County,0,2,3,1,1,1,1,1,1,1,1
050,17,003,Illinois,Alexander County,0,2,4,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,0,2,5,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,0,2,6,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,0,1,3028,3028,3058,3008,3005,2924,2889,2781
050,17,003,Illinois,Alexander County,1,0,2,1662,1662,1662,1634,1618,1624,1604,1528
050,17,003,Illinois,Alexander County,1,0,3,16,16,5,4,5,10,10,12
050,17,003,Illinois,Alexander County,1,0,4,16,16,18,19,19,19,19,19
050,17,003,Illinois,Alexander County,1,0,5,1,1,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,0,6,37,37,23,24,23,24,24,25
050,17,003,Illinois,Alexander County,1,1,1,2931,2931,2960,2911,2906,2825,2789,2675
050,17,003,Illinois,Alexander County,1,1,2,1659,1659,1659,1631,1613,1619,1599,1523
050,17,003,Illinois,Alexander County,1,1,3,16,16,5,4,5,10,10,12
050,17,003,Illinois,Alexander County,1,1,4,16,16,18,19,19,19,19,19
050,17,003,Illinois,Alexander County,1,1,5,1,1,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,1,6,37,37,23,24,23,24,24,25
050,17,003,Illinois,Alexander County,1,2,1,97,97,98,97,99,99,100,106
050,17,003,Illinois,Alexander County,1,2,2,3,3,3,3,5,5,5,5
050,17,003,Illinois,Alexander County,1,2,3,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,2,4,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,2,5,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,2,6,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,2,0,1,3067,3067,3086,3059,3067,2998,2984,2925
050,17,003,Illinois,Alexander County,2,0,2,1690,1690,1690,1682,1664,1651,1640,1580
050,17,003,Illinois,Alexander County,2,0,3,11,11,4,4,5,9,10,9
050,17,003,Illinois,Alexander County,2,0,4,20,20,23,24,22,22,22,22
050,17,003,Illinois,Alexander County,2,0,5,1,1,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,2,0,6,41,41,19,20,24,25,26,26
050,17,003,Illinois,Alexander County,2,1,1,3037,3037,3056,3029,3036,2968,2953,2888
050,17,003,Illinois,Alexander County,2,1,2,1683,1683,1683,1675,1657,1644,1633,1573
050,17,003,Illinois,Alexander County,2,1,3,10,10,3,3,4,8,9,8
050,17,003,Illinois,Alexander County,2,1,4,20,20,23,24,22,22,22,22
050,17,003,Illinois,Alexander County,2,1,5,1,1,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,2,1,6,41,41,19,20,24,25,26,26
050,17,003,Illinois,Alexander County,2,2,1,30,30,30,30,31,30,31,37
050,17,003,Illinois,Alexander County,2,2,2,7,7,7,7,7,7,7,7
050,17,003,Illinois,Alexander County,2,2,3,1,1,1,1,1,1,1,1
050,17,003,Illinois,Alexander County,2,2,4,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,2,2,5,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,2,2,6,0,0,0,0,0,0,0,0
050,17,005,Illinois,Bond County,0,0,1,16077,16075,16118,16153,16355,16425,16540,16527
050,17,005,Illinois,Bond County,0,0,2,1317,1317,1330,1262,1289,1282,1286,1278
050,17,005,Illinois,Bond County,0,0,3,81,81,78,79,79,81,82,83
050,17,005,Illinois,Bond County,0,0,4,46,46,54,54,58,61,60,69
050,17,005,Illinois,Bond County,0,0,5,8,8,4,5,4,5,5,4
050,17,005,Illinois,Bond County,0,0,6,104,104,62,62,59,62,68,66
050,17,005,Illinois,Bond County,0,1,1,15851,15849,15890,15915,16092,16154,16276,16264
050,17,005,Illinois,Bond County,0,1,2,1302,1302,1315,1247,1274,1267,1271,1263
050,17,005,Illinois,Bond County,0,1,3,73,73,70,71,71,73,74,75
050,17,005,Illinois,Bond County,0,1,4,44,44,54,54,58,60,59,68
050,17,005,Illinois,Bond County,0,1,5,8,8,0,1,0,0,0,0
050,17,005,Illinois,Bond County,0,1,6,102,102,62,62,59,62,67,66
050,17,005,Illinois,Bond County,0,2,1,226,226,228,238,263,271,264,263
050,17,005,Illinois,Bond County,0,2,2,15,15,15,15,15,15,15,15
050,17,005,Illinois,Bond County,0,2,3,8,8,8,8,8,8,8,8
050,17,005,Illinois,Bond County,0,2,4,2,2,0,0,0,1,1,1
050,17,005,Illinois,Bond County,0,2,5,0,0,4,4,4,5,5,4
050,17,005,Illinois,Bond County,0,2,6,2,2,0,0,0,0,1,0
050,17,005,Illinois,Bond County,1,0,1,8270,8269,8290,8299,8406,8459,8510,8495
050,17,005,Illinois,Bond County,1,0,2,1082,1082,1087,1018,1040,1037,1039,1039
050,17,005,Illinois,Bond County,1,0,3,55,55,48,48,49,49,51,51
050,17,005,Illinois,Bond County,1,0,4,19,19,24,25,27,27,27,30
050,17,005,Illinois,Bond County,1,0,5,3,3,0,0,0,0,0,0
050,17,005,Illinois,Bond County,1,0,6,52,52,34,34,33,36,37,39
050,17,005,Illinois,Bond County,1,1,1,8121,8120,8141,8142,8233,8278,8330,8316
050,17,005,Illinois,Bond County,1,1,2,1074,1074,1079,1010,1032,1029,1031,1031
050,17,005,Illinois,Bond County,1,1,3,50,50,43,43,44,44,46,46
050,17,005,Illinois,Bond County,1,1,4,19,19,24,25,27,27,27,30
050,17,005,Illinois,Bond County,1,1,5,3,3,0,0,0,0,0,0
050,17,005,Illinois,Bond County,1,1,6,52,52,34,34,33,36,37,39
050,17,005,Illinois,Bond County,1,2,1,149,149,149,157,173,181,180,179
050,17,005,Illinois,Bond County,1,2,2,8,8,8,8,8,8,8,8
050,17,005,Illinois,Bond County,1,2,3,5,5,5,5,5,5,5,5
050,17,005,Illinois,Bond County,1,2,4,0,0,0,0,0,0,0,0
050,17,005,Illinois,Bond County,1,2,5,0,0,0,0,0,0,0,0
050,17,005,Illinois,Bond County,1,2,6,0,0,0,0,0,0,0,0
050,17,005,Illinois,Bond County,2,0,1,7807,7806,7828,7854,7949,7966,8030,8032
050,17,005,Illinois,Bond County,2,0,2,235,235,243,244,249,245,247,239
050,17,005,Illinois,Bond County,2,0,3,26,26,30,31,30,32,31,32
050,17,005,Illinois,Bond County,2,0,4,27,27,30,29,31,34,33,39
050,17,005,Illinois,Bond County,2,0,5,5,5,4,5,4,5,5,4
050,17,005,Illinois,Bond County,2,0,6,52,52,28,28,26,26,31,27
050,17,005,Illinois,Bond County,2,1,1,7730,7729,7749,7773,7859,7876,7946,7948
050,17,005,Illinois,Bond County,2,1,2,228,228,236,237,242,238,240,232
050,17,005,Illinois,Bond County,2,1,3,23,23,27,28,27,29,28,29
050,17,005,Illinois,Bond County,2,1,4,25,25,30,29,31,33,32,38
050,17,005,Illinois,Bond County,2,1,5,5,5,0,1,0,0,0,0
050,17,005,Illinois,Bond County,2,1,6,50,50,28,28,26,26,30,27
050,17,005,Illinois,Bond County,2,2,1,77,77,79,81,90,90,84,84
050,17,005,Illinois,Bond County,2,2,2,7,7,7,7,7,7,7,7
050,17,005,Illinois,Bond County,2,2,3,3,3,3,3,3,3,3,3
050,17,005,Illinois,Bond County,2,2,4,2,2,0,0,0,1,1,1
050,17,005,Illinois,Bond County,2,2,5,0,0,4,4,4,5,5,4
050,17,005,Illinois,Bond County,2,2,6,2,2,0,0,0,0,1,0
050,17,007,Illinois,Boone County,0,0,1,40667,40667,40962,42045,43267,44918,46579,48341
050,17,007,Illinois,Boone County,0,0,2,402,402,428,505,604,663,735,850
050,17,007,Illinois,Boone County,0,0,3,145,145,164,180,200,210,221,247
050,17,007,Illinois,Boone County,0,0,4,212,212,172,226,262,307,394,436
050,17,007,Illinois,Boone County,0,0,5,6,6,2,3,2,3,3,5
050,17,007,Illinois,Boone County,0,0,6,354,354,355,405,449,495,539,604
050,17,007,Illinois,Boone County,0,1,1,35606,35606,35791,36445,37234,38105,39108,40127
050,17,007,Illinois,Boone County,0,1,2,352,352,375,446,536,574,626,725
050,17,007,Illinois,Boone County,0,1,3,90,90,100,105,116,116,115,120
050,17,007,Illinois,Boone County,0,1,4,203,203,172,225,259,306,388,429
050,17,007,Illinois,Boone County,0,1,5,4,4,0,0,0,0,0,0
050,17,007,Illinois,Boone County,0,1,6,312,312,329,372,413,443,477,519
050,17,007,Illinois,Boone County,0,2,1,5061,5061,5171,5600,6033,6813,7471,8214
050,17,007,Illinois,Boone County,0,2,2,50,50,53,59,68,89,109,125
050,17,007,Illinois,Boone County,0,2,3,55,55,64,75,84,94,106,127
050,17,007,Illinois,Boone County,0,2,4,9,9,0,1,3,1,6,7
050,17,007,Illinois,Boone County,0,2,5,2,2,2,3,2,3,3,5
050,17,007,Illinois,Boone County,0,2,6,42,42,26,33,36,52,62,85
050,17,007,Illinois,Boone County,1,0,1,20338,20338,20501,21077,21699,22575,23445,24320
050,17,007,Illinois,Boone County,1,0,2,207,207,225,263,314,346,383,440
050,17,007,Illinois,Boone County,1,0,3,77,77,88,97,104,109,113,125
050,17,007,Illinois,Boone County,1,0,4,99,99,79,104,124,143,190,216
050,17,007,Illinois,Boone County,1,0,5,4,4,1,2,2,3,3,3
050,17,007,Illinois,Boone County,1,0,6,184,184,188,206,230,253,276,311
050,17,007,Illinois,Boone County,1,1,1,17577,17577,17676,18005,18392,18835,19344,19831
050,17,007,Illinois,Boone County,1,1,2,181,181,196,229,276,297,325,374
050,17,007,Illinois,Boone County,1,1,3,47,47,54,57,61,61,60,62
050,17,007,Illinois,Boone County,1,1,4,93,93,79,103,121,142,185,210
050,17,007,Illinois,Boone County,1,1,5,2,2,0,0,0,0,0,0
050,17,007,Illinois,Boone County,1,1,6,159,159,170,187,209,224,244,267
050,17,007,Illinois,Boone County,1,2,1,2761,2761,2825,3072,3307,3740,4101,4489
050,17,007,Illinois,Boone County,1,2,2,26,26,29,34,38,49,58,66
050,17,007,Illinois,Boone County,1,2,3,30,30,34,40,43,48,53,63
050,17,007,Illinois,Boone County,1,2,4,6,6,0,1,3,1,5,6
050,17,007,Illinois,Boone County,1,2,5,2,2,1,2,2,3,3,3
050,17,007,Illinois,Boone County,1,2,6,25,25,18,19,21,29,32,44
050,17,007,Illinois,Boone County,2,0,1,20329,20329,20461,20968,21568,22343,23134,24021
050,17,007,Illinois,Boone County,2,0,2,195,195,203,242,290,317,352,410
050,17,007,Illinois,Boone County,2,0,3,68,68,76,83,96,101,108,122
050,17,007,Illinois,Boone County,2,0,4,113,113,93,122,138,164,204,220
050,17,007,Illinois,Boone County,2,0,5,2,2,1,1,0,0,0,2
050,17,007,Illinois,Boone County,2,0,6,170,170,167,199,219,242,263,293
050,17,007,Illinois,Boone County,2,1,1,18029,18029,18115,18440,18842,19270,19764,20296
050,17,007,Illinois,Boone County,2,1,2,171,171,179,217,260,277,301,351
050,17,007,Illinois,Boone County,2,1,3,43,43,46,48,55,55,55,58
050,17,007,Illinois,Boone County,2,1,4,110,110,93,122,138,164,203,219
050,17,007,Illinois,Boone County,2,1,5,2,2,0,0,0,0,0,0
050,17,007,Illinois,Boone County,2,1,6,153,153,159,185,204,219,233,252
050,17,007,Illinois,Boone County,2,2,1,2300,2300,2346,2528,2726,3073,3370,3725
050,17,007,Illinois,Boone County,2,2,2,24,24,24,25,30,40,51,59
050,17,007,Illinois,Boone County,2,2,3,25,25,30,35,41,46,53,64
050,17,007,Illinois,Boone County,2,2,4,3,3,0,0,0,0,1,1
050,17,007,Illinois,Boone County,2,2,5,0,0,1,1,0,0,0,2
050,17,007,Illinois,Boone County,2,2,6,17,17,8,14,15,23,30,41
050,17,009,Illinois,Brown County,0,0,1,5631,5631,5664,5631,5540,5577,5563,5528
050,17,009,Illinois,Brown County,0,0,2,1269,1269,1273,1272,1272,1274,1276,1278
050,17,009,Illinois,Brown County,0,0,3,6,6,0,0,0,0,0,0
050,17,009,Illinois,Brown County,0,0,4,12,12,6,11,11,13,14,13
050,17,009,Illinois,Brown County,0,0,5,5,5,4,4,4,5,4,6
050,17,009,Illinois,Brown County,0,0,6,27,27,9,10,11,10,9,10
050,17,009,Illinois,Brown County,0,1,1,5369,5369,5402,5364,5267,5299,5280,5240
050,17,009,Illinois,Brown County,0,1,2,1259,1259,1263,1262,1262,1264,1266,1268
050,17,009,Illinois,Brown County,0,1,3,6,6,0,0,0,0,0,0
050,17,009,Illinois,Brown County,0,1,4,11,11,6,11,11,13,14,13
050,17,009,Illinois,Brown County,0,1,5,5,5,1,1,1,1,1,1
050,17,009,Illinois,Brown County,0,1,6,27,27,9,10,11,10,9,10
050,17,009,Illinois,Brown County,0,2,1,262,262,262,267,273,278,283,288
050,17,009,Illinois,Brown County,0,2,2,10,10,10,10,10,10,10,10
050,17,009,Illinois,Brown County,0,2,3,0,0,0,0,0,0,0,0
050,17,009,Illinois,Brown County,0,2,4,1,1,0,0,0,0,0,0
050,17,009,Illinois,Brown County,0,2,5,0,0,3,3,3,4,3,5
050,17,009,Illinois,Brown County,0,2,6,0,0,0,0,0,0,0,0
050,17,009,Illinois,Brown County,1,0,1,3128,3128,3151,3148,3109,3128,3128,3116
050,17,009,Illinois,Brown County,1,0,2,1264,1264,1268,1267,1267,1269,1271,1273
050,17,009,Illinois,Brown County,1,0,3,5,5,0,0,0,0,0,0
050,17,009,Illinois,Brown County,1,0,4,5,5,0,3,3,4,4,5
050,17,009,Illinois,Brown County,1,0,5,2,2,0,0,0,0,0,0
050,17,009,Illinois,Brown County,1,0,6,16,16,5,6,6,6,5,6
050,17,009,Illinois,Brown County,1,1,1,2881,2881,2904,2896,2852,2866,2861,2844
050,17,009,Illinois,Brown County,1,1,2,1254,1254,1258,1257,1257,1259,1261,1263
050,17,009,Illinois,Brown County,1,1,3,5,5,0,0,0,0,0,0
050,17,009,Illinois,Brown County,1,1,4,5,5,0,3,3,4,4,5
050,17,009,Illinois,Brown County,1,1,5,2,2,0,0,0,0,0,0
050,17,009,Illinois,Brown County,1,1,6,16,16,5,6,6,6,5,6
050,17,009,Illinois,Brown County,1,2,1,247,247,247,252,257,262,267,272
050,17,009,Illinois,Brown County,1,2,2,10,10,10,10,10,10,10,10
