SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85997457.5   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S1             (2)0( 0.5)        0.0 
     2          2P6 3P1             (2)1( 0.5)   106188.1 
     3          2P6 3P1             (2)1( 1.5)   107487.4 
     4          2P6 3D1             (2)2( 1.5)   248208.2*
     5          2P6 3D1             (2)2( 2.5)   248376.5*

   IC RESOLVED LEVEL INDEXING           BWNR=  86578705.4   NLVL= 411
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
             2.92E-19  7.74E-19  5.99E-19  3.13E-19  1.00E-19  3.83E-20  1.41E-20  3.65E-21  1.30E-21
   278       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.96E-33  1.19E-23  1.06E-20
             1.88E-19  5.00E-19  3.87E-19  2.03E-19  6.48E-20  2.48E-20  9.11E-21  2.36E-21  8.41E-22
   279       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.67E-32  2.63E-22  2.24E-19
             3.91E-18  1.03E-17  7.93E-18  4.14E-18  1.32E-18  5.06E-19  1.86E-19  4.82E-20  1.72E-20
   280       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.51E-31  2.72E-21  2.46E-18
             4.41E-17  1.18E-16  9.11E-17  4.77E-17  1.53E-17  5.84E-18  2.15E-18  5.56E-19  1.98E-19
   281       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.77E-32  1.56E-22  1.32E-19
             2.28E-18  5.97E-18  4.60E-18  2.40E-18  7.68E-19  2.94E-19  1.08E-19  2.79E-20  9.96E-21
   282       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.71E-30  1.15E-20  1.04E-17
             1.86E-16  4.96E-16  3.85E-16  2.01E-16  6.45E-17  2.47E-17  9.06E-18  2.35E-18  8.37E-19
   283       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.86E-31  7.93E-22  7.21E-19
             1.29E-17  3.45E-17  2.67E-17  1.40E-17  4.48E-18  1.71E-18  6.30E-19  1.63E-19  5.82E-20
   284       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.68E-31  7.20E-22  6.55E-19
             1.17E-17  3.13E-17  2.43E-17  1.27E-17  4.07E-18  1.56E-18  5.73E-19  1.48E-19  5.29E-20
   285       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.70E-30  1.15E-20  1.04E-17
             1.87E-16  4.99E-16  3.87E-16  2.02E-16  6.48E-17  2.48E-17  9.11E-18  2.36E-18  8.41E-19
   286       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.70E-33  7.11E-24  6.43E-21
             1.15E-19  3.07E-19  2.38E-19  1.24E-19  3.99E-20  1.52E-20  5.60E-21  1.45E-21  5.17E-22
   287       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.70E-33  1.34E-23  1.16E-20
             2.04E-19  5.37E-19  4.15E-19  2.17E-19  6.93E-20  2.65E-20  9.75E-21  2.52E-21  8.99E-22
   288       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.18E-32  8.34E-23  7.43E-20
             1.32E-18  3.52E-18  2.73E-18  1.43E-18  4.57E-19  1.75E-19  6.43E-20  1.67E-20  5.93E-21
   289       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.06E-32  2.45E-22  2.02E-19
             3.46E-18  9.01E-18  6.93E-18  3.61E-18  1.15E-18  4.41E-19  1.62E-19  4.20E-20  1.50E-20
   290       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.47E-31  2.19E-21  1.96E-18
             3.51E-17  9.35E-17  7.25E-17  3.80E-17  1.22E-17  4.65E-18  1.71E-18  4.43E-19  1.58E-19
   291       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.92E-30  1.24E-20  1.12E-17
             2.02E-16  5.39E-16  4.18E-16  2.19E-16  7.00E-17  2.68E-17  9.85E-18  2.55E-18  9.09E-19
   292       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.00E-30  2.49E-20  2.39E-17
             4.41E-16  1.20E-15  9.36E-16  4.92E-16  1.58E-16  6.04E-17  2.22E-17  5.76E-18  2.05E-18
   293       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.23E-30  1.10E-20  1.06E-17
             1.97E-16  5.39E-16  4.21E-16  2.21E-16  7.11E-17  2.72E-17  1.00E-17  2.59E-18  9.24E-19
   294       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.76E-30  1.39E-20  1.35E-17
             2.52E-16  6.90E-16  5.40E-16  2.84E-16  9.13E-17  3.50E-17  1.29E-17  3.33E-18  1.19E-18
   295       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.52E-30  7.68E-21  7.43E-18
             1.38E-16  3.77E-16  2.94E-16  1.55E-16  4.97E-17  1.90E-17  7.00E-18  1.81E-18  6.46E-19
   296       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.45E-30  1.25E-20  1.21E-17
             2.26E-16  6.18E-16  4.83E-16  2.54E-16  8.16E-17  3.12E-17  1.15E-17  2.98E-18  1.06E-18
   297       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.71E-30  8.88E-21  8.78E-18
             1.66E-16  4.60E-16  3.62E-16  1.91E-16  6.14E-17  2.35E-17  8.66E-18  2.24E-18  8.00E-19
   298       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.83E-30  2.02E-20  1.98E-17
             3.71E-16  1.02E-15  7.99E-16  4.20E-16  1.35E-16  5.17E-17  1.90E-17  4.93E-18  1.76E-18
   299       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.13E-30  3.76E-20  3.67E-17
             6.82E-16  1.86E-15  1.46E-15  7.66E-16  2.46E-16  9.41E-17  3.46E-17  8.97E-18  3.20E-18
   300       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.24E-30  1.17E-20  1.15E-17
             2.17E-16  5.97E-16  4.68E-16  2.47E-16  7.92E-17  3.03E-17  1.12E-17  2.89E-18  1.03E-18
   301       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.11E-31  3.76E-21  3.74E-18
             7.06E-17  1.95E-16  1.53E-16  8.09E-17  2.60E-17  9.96E-18  3.66E-18  9.49E-19  3.38E-19
   302       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.53E-30  3.18E-20  3.20E-17
             6.05E-16  1.67E-15  1.31E-15  6.90E-16  2.22E-16  8.49E-17  3.12E-17  8.10E-18  2.89E-18
   303       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.45E-30  1.93E-20  1.94E-17
             3.67E-16  1.01E-15  7.95E-16  4.19E-16  1.35E-16  5.16E-17  1.90E-17  4.92E-18  1.75E-18
   304       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.95E-30  1.12E-20  1.13E-17
             2.16E-16  5.97E-16  4.69E-16  2.47E-16  7.95E-17  3.05E-17  1.12E-17  2.90E-18  1.04E-18
   305       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.51E-30  3.63E-20  3.63E-17
             6.85E-16  1.89E-15  1.48E-15  7.79E-16  2.50E-16  9.59E-17  3.53E-17  9.14E-18  3.26E-18
   306       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.87E-30  3.42E-20  3.46E-17
             6.56E-16  1.81E-15  1.42E-15  7.49E-16  2.41E-16  9.21E-17  3.39E-17  8.79E-18  3.13E-18
   307       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.55E-30  2.05E-20  2.08E-17
             3.96E-16  1.10E-15  8.65E-16  4.56E-16  1.47E-16  5.62E-17  2.07E-17  5.36E-18  1.91E-18
   308       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.13E-30  4.04E-20  4.06E-17
             7.69E-16  2.12E-15  1.67E-15  8.78E-16  2.82E-16  1.08E-16  3.98E-17  1.03E-17  3.67E-18
   309       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.53E-30  1.48E-20  1.51E-17
             2.89E-16  8.03E-16  6.32E-16  3.33E-16  1.07E-16  4.11E-17  1.51E-17  3.92E-18  1.40E-18
   310       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.66E-30  1.59E-20  1.62E-17
             3.08E-16  8.55E-16  6.72E-16  3.54E-16  1.14E-16  4.36E-17  1.61E-17  4.16E-18  1.48E-18
   311       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-30  6.09E-21  6.18E-18
             1.17E-16  3.25E-16  2.55E-16  1.34E-16  4.32E-17  1.65E-17  6.08E-18  1.58E-18  5.62E-19
   312       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.93E-30  4.68E-20  4.75E-17
             9.04E-16  2.50E-15  1.96E-15  1.03E-15  3.33E-16  1.27E-16  4.69E-17  1.21E-17  4.33E-18
   313       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.78E-31  3.89E-21  3.90E-18
             7.36E-17  2.03E-16  1.59E-16  8.36E-17  2.69E-17  1.03E-17  3.78E-18  9.80E-19  3.49E-19
   314       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.70E-31  3.28E-21  3.30E-18
             6.23E-17  1.72E-16  1.35E-16  7.08E-17  2.27E-17  8.71E-18  3.20E-18  8.30E-19  2.96E-19
   315       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.41E-30  8.55E-21  8.83E-18
             1.70E-16  4.75E-16  3.74E-16  1.98E-16  6.36E-17  2.44E-17  8.96E-18  2.32E-18  8.28E-19
   316       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.88E-32  1.70E-22  2.11E-19
             4.56E-18  1.38E-17  1.12E-17  6.00E-18  1.95E-18  7.50E-19  2.76E-19  7.17E-20  2.56E-20
   317       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.81E-30  1.07E-20  1.09E-17
             2.06E-16  5.67E-16  4.44E-16  2.34E-16  7.52E-17  2.88E-17  1.06E-17  2.74E-18  9.78E-19
   318       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.78E-32  5.30E-22  6.59E-19
             1.42E-17  4.27E-17  3.46E-17  1.85E-17  6.02E-18  2.31E-18  8.53E-19  2.21E-19  7.88E-20
   319       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.69E-31  1.57E-21  1.58E-18
             3.00E-17  8.29E-17  6.50E-17  3.42E-17  1.10E-17  4.21E-18  1.55E-18  4.02E-19  1.43E-19
   320       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.01E-31  1.18E-21  1.19E-18
             2.25E-17  6.20E-17  4.86E-17  2.56E-17  8.22E-18  3.15E-18  1.16E-18  3.00E-19  1.07E-19
   321       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.26E-31  3.12E-21  3.15E-18
             5.97E-17  1.64E-16  1.29E-16  6.79E-17  2.18E-17  8.35E-18  3.07E-18  7.96E-19  2.84E-19
   322       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.12E-32  1.23E-22  1.24E-19
             2.35E-18  6.49E-18  5.09E-18  2.68E-18  8.60E-19  3.29E-19  1.21E-19  3.14E-20  1.12E-20
   323       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.36E-30  8.04E-21  8.14E-18
             1.54E-16  4.24E-16  3.32E-16  1.75E-16  5.62E-17  2.15E-17  7.92E-18  2.05E-18  7.31E-19
   324       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.84E-33  2.13E-23  2.12E-20
             3.98E-19  1.09E-18  8.53E-19  4.49E-19  1.44E-19  5.52E-20  2.03E-20  5.26E-21  1.87E-21
   325       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.32E-33  1.34E-23  1.34E-20
             2.53E-19  6.95E-19  5.45E-19  2.87E-19  9.20E-20  3.52E-20  1.30E-20  3.36E-21  1.20E-21
   326       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.34E-32  4.30E-22  4.34E-19
             8.20E-18  2.26E-17  1.77E-17  9.31E-18  2.99E-18  1.14E-18  4.21E-19  1.09E-19  3.89E-20
   327       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.16E-32  5.34E-22  5.38E-19
             1.01E-17  2.79E-17  2.19E-17  1.15E-17  3.70E-18  1.42E-18  5.21E-19  1.35E-19  4.81E-20
   328       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.80E-31  2.23E-21  2.27E-18
             4.30E-17  1.19E-16  9.32E-17  4.91E-17  1.58E-17  6.04E-18  2.22E-18  5.76E-19  2.05E-19
   329       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.28E-30  7.68E-21  7.82E-18
             1.49E-16  4.10E-16  3.22E-16  1.70E-16  5.45E-17  2.09E-17  7.68E-18  1.99E-18  7.09E-19
   330       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.41E-30  2.07E-20  2.12E-17
             4.03E-16  1.11E-15  8.73E-16  4.60E-16  1.48E-16  5.66E-17  2.08E-17  5.39E-18  1.92E-18
   331       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.64E-32  4.60E-22  6.12E-19
             1.41E-17  4.54E-17  3.78E-17  2.06E-17  6.73E-18  2.60E-18  9.58E-19  2.49E-19  8.87E-20
   332       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.76E-31  1.61E-21  1.64E-18
             3.11E-17  8.60E-17  6.75E-17  3.55E-17  1.14E-17  4.37E-18  1.61E-18  4.17E-19  1.49E-19
   333       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.91E-31  1.76E-21  1.79E-18
             3.40E-17  9.38E-17  7.36E-17  3.88E-17  1.25E-17  4.77E-18  1.75E-18  4.54E-19  1.62E-19
   334       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.95E-32  3.63E-22  4.55E-19
             9.93E-18  3.05E-17  2.49E-17  1.34E-17  4.35E-18  1.67E-18  6.17E-19  1.60E-19  5.71E-20
   335       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.33E-31  3.78E-21  3.84E-18
             7.28E-17  2.01E-16  1.57E-16  8.29E-17  2.66E-17  1.02E-17  3.75E-18  9.72E-19  3.46E-19
   336       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.76E-31  1.62E-21  1.64E-18
             3.12E-17  8.62E-17  6.76E-17  3.56E-17  1.14E-17  4.38E-18  1.61E-18  4.18E-19  1.49E-19
   337       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.78E-32  1.67E-22  1.70E-19
             3.22E-18  8.88E-18  6.96E-18  3.66E-18  1.18E-18  4.51E-19  1.66E-19  4.30E-20  1.53E-20
   338       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.69E-32  2.19E-22  2.23E-19
             4.22E-18  1.16E-17  9.12E-18  4.80E-18  1.54E-18  5.90E-19  2.17E-19  5.63E-20  2.01E-20
   339       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.23E-32  2.53E-22  2.58E-19
             4.91E-18  1.36E-17  1.07E-17  5.61E-18  1.80E-18  6.90E-19  2.54E-19  6.58E-20  2.35E-20
   340       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.85E-33  2.79E-23  2.81E-20
             5.30E-19  1.46E-18  1.14E-18  6.01E-19  1.93E-19  7.39E-20  2.72E-20  7.05E-21  2.51E-21
   341       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.70E-33  1.60E-23  1.62E-20
             3.08E-19  8.49E-19  6.66E-19  3.50E-19  1.13E-19  4.31E-20  1.59E-20  4.11E-21  1.46E-21
   342       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.46E-32  8.44E-23  8.53E-20
             1.62E-18  4.46E-18  3.50E-18  1.84E-18  5.92E-19  2.27E-19  8.34E-20  2.16E-20  7.70E-21
   343       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.97E-31  1.78E-21  1.81E-18
             3.45E-17  9.52E-17  7.47E-17  3.93E-17  1.26E-17  4.84E-18  1.78E-18  4.61E-19  1.64E-19
   344       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.61E-30  9.73E-21  9.92E-18
             1.88E-16  5.20E-16  4.08E-16  2.15E-16  6.90E-17  2.64E-17  9.72E-18  2.52E-18  8.98E-19
   345       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.45E-31  8.80E-22  8.98E-19
             1.71E-17  4.71E-17  3.70E-17  1.95E-17  6.25E-18  2.39E-18  8.81E-19  2.28E-19  8.13E-20
   346       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.31E-31  7.95E-22  8.12E-19
             1.54E-17  4.27E-17  3.35E-17  1.76E-17  5.67E-18  2.17E-18  7.98E-19  2.07E-19  7.37E-20
   347       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.54E-30  9.45E-21  9.69E-18
             1.85E-16  5.10E-16  4.01E-16  2.11E-16  6.78E-17  2.60E-17  9.55E-18  2.48E-18  8.82E-19
   348       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.31E-33  7.82E-24  7.96E-21
             1.51E-19  4.17E-19  3.27E-19  1.72E-19  5.54E-20  2.12E-20  7.80E-21  2.02E-21  7.20E-22
   349       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.41E-33  1.32E-23  1.31E-20
             2.46E-19  6.76E-19  5.29E-19  2.78E-19  8.94E-20  3.42E-20  1.26E-20  3.26E-21  1.16E-21
   350       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.71E-33  5.21E-23  5.35E-20
             1.02E-18  2.83E-18  2.22E-18  1.17E-18  3.77E-19  1.44E-19  5.31E-20  1.37E-20  4.90E-21
   351       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.36E-32  8.20E-23  8.43E-20
             1.61E-18  4.48E-18  3.52E-18  1.85E-18  5.96E-19  2.28E-19  8.40E-20  2.18E-20  7.76E-21
   352       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.06E-31  1.84E-21  1.89E-18
             3.59E-17  9.94E-17  7.81E-17  4.11E-17  1.32E-17  5.06E-18  1.86E-18  4.83E-19  1.72E-19
   353       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.63E-30  1.00E-20  1.03E-17
             1.97E-16  5.45E-16  4.28E-16  2.25E-16  7.24E-17  2.77E-17  1.02E-17  2.64E-18  9.42E-19
   354       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.93E-30  1.96E-20  2.07E-17
             4.01E-16  1.12E-15  8.86E-16  4.67E-16  1.50E-16  5.76E-17  2.12E-17  5.50E-18  1.96E-18
   355       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.45E-30  9.61E-21  1.02E-17
             1.98E-16  5.57E-16  4.39E-16  2.32E-16  7.47E-17  2.86E-17  1.05E-17  2.73E-18  9.73E-19
   356       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.57E-30  1.05E-20  1.13E-17
             2.20E-16  6.19E-16  4.89E-16  2.59E-16  8.32E-17  3.19E-17  1.17E-17  3.04E-18  1.08E-18
   357       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.70E-31  5.89E-21  6.28E-18
             1.22E-16  3.43E-16  2.71E-16  1.43E-16  4.61E-17  1.77E-17  6.50E-18  1.68E-18  6.00E-19
   358       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.37E-30  9.25E-21  9.88E-18
             1.93E-16  5.42E-16  4.28E-16  2.26E-16  7.29E-17  2.79E-17  1.03E-17  2.66E-18  9.50E-19
   359       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-30  7.07E-21  7.65E-18
             1.51E-16  4.30E-16  3.42E-16  1.81E-16  5.84E-17  2.24E-17  8.24E-18  2.14E-18  7.61E-19
   360       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.31E-30  1.62E-20  1.75E-17
             3.44E-16  9.72E-16  7.68E-16  4.06E-16  1.31E-16  5.01E-17  1.85E-17  4.78E-18  1.70E-18
   361       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.28E-30  3.02E-20  3.25E-17
             6.35E-16  1.78E-15  1.41E-15  7.44E-16  2.39E-16  9.18E-17  3.38E-17  8.75E-18  3.12E-18
   362       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.41E-30  9.80E-21  1.06E-17
             2.08E-16  5.87E-16  4.64E-16  2.45E-16  7.91E-17  3.03E-17  1.12E-17  2.89E-18  1.03E-18
   363       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.55E-31  3.19E-21  3.48E-18
             6.88E-17  1.96E-16  1.55E-16  8.21E-17  2.65E-17  1.01E-17  3.74E-18  9.68E-19  3.45E-19
   364       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.72E-30  2.73E-20  2.99E-17
             5.89E-16  1.66E-15  1.32E-15  6.95E-16  2.24E-16  8.58E-17  3.16E-17  8.19E-18  2.92E-18
   365       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.12E-30  1.52E-20  1.65E-17
             3.25E-16  9.19E-16  7.27E-16  3.85E-16  1.24E-16  4.75E-17  1.75E-17  4.53E-18  1.61E-18
   366       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.24E-30  3.02E-20  3.27E-17
             6.41E-16  1.81E-15  1.43E-15  7.56E-16  2.44E-16  9.33E-17  3.44E-17  8.90E-18  3.17E-18
   367       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.22E-30  8.94E-21  9.82E-18
             1.94E-16  5.51E-16  4.36E-16  2.31E-16  7.44E-17  2.85E-17  1.05E-17  2.72E-18  9.70E-19
   368       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.58E-30  2.68E-20  2.94E-17
             5.81E-16  1.64E-15  1.30E-15  6.88E-16  2.22E-16  8.50E-17  3.13E-17  8.11E-18  2.89E-18
   369       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.14E-30  1.58E-20  1.74E-17
             3.45E-16  9.83E-16  7.80E-16  4.13E-16  1.33E-16  5.11E-17  1.88E-17  4.87E-18  1.74E-18
   370       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.52E-31  3.27E-21  3.55E-18
             6.97E-17  1.96E-16  1.55E-16  8.19E-17  2.64E-17  1.01E-17  3.72E-18  9.63E-19  3.43E-19
   371       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.18E-30  3.02E-20  3.29E-17
             6.47E-16  1.83E-15  1.45E-15  7.67E-16  2.47E-16  9.48E-17  3.49E-17  9.04E-18  3.22E-18
   372       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.59E-30  1.19E-20  1.31E-17
             2.60E-16  7.42E-16  5.89E-16  3.12E-16  1.01E-16  3.85E-17  1.42E-17  3.68E-18  1.31E-18
   373       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.31E-31  2.40E-21  2.60E-18
             5.11E-17  1.44E-16  1.14E-16  6.01E-17  1.93E-17  7.41E-18  2.73E-18  7.07E-19  2.52E-19
   374       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.55E-30  1.19E-20  1.32E-17
             2.61E-16  7.42E-16  5.88E-16  3.11E-16  1.00E-16  3.85E-17  1.42E-17  3.67E-18  1.31E-18
   375       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.13E-30  8.39E-21  9.17E-18
             1.80E-16  5.09E-16  4.02E-16  2.12E-16  6.84E-17  2.62E-17  9.64E-18  2.50E-18  8.90E-19
   376       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.66E-31  5.05E-21  5.57E-18
