SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85997457.5   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S1             (2)0( 0.5)        0.0 
     2          2P6 3P1             (2)1( 0.5)   106188.1 
     3          2P6 3P1             (2)1( 1.5)   107487.4 
     4          2P6 3D1             (2)2( 1.5)   248208.2*
     5          2P6 3D1             (2)2( 2.5)   248376.5*

   IC RESOLVED LEVEL INDEXING           BWNR=  86578705.4   NLVL= 411
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
    85     4    2P6 3D2             (1)2( 2.0)   495532.0 
    86     4    2P6 3D2             (1)4( 4.0)   496085.1 
    87     2    2P6 3P1 4D1         (1)2( 2.0)   498633.2 
    88     1    2P6 3S1 6D1         (1)2( 2.0)   500003.8 
    89     2    2P6 3P1 4D1         (3)3( 2.0)   500703.9 
    90     1    2P6 3S1 6D1         (3)2( 1.0)   500926.8 
    91     1    2P6 3S1 6D1         (3)2( 2.0)   500931.8 
    92     1    2P6 3S1 6D1         (3)2( 3.0)   500939.2 
    93     2    2P6 3P1 4D1         (3)3( 3.0)   500987.3 
    94     2    2P6 3P1 4D1         (3)2( 1.0)   501232.8 
    95     3    2P6 3P1 4D1         (3)2( 2.0)   501586.3 
    96     3    2P6 3P1 4D1         (3)3( 4.0)   501861.0 
    97     3    2P6 3P1 4D1         (3)2( 3.0)   501921.1 
    98     1    2P6 3S1 6G1         (1)4( 4.0)   503829.7 
    99     1    2P6 3S1 7S1         (3)0( 1.0)   504066.3 
   100     1    2P6 3S1 6F1         (3)3( 2.0)   504413.6 
   101     1    2P6 3S1 6F1         (3)3( 3.0)   504415.7 
   102     1    2P6 3S1 6F1         (3)3( 4.0)   504418.5 
   103     1    2P6 3S1 6G1         (3)4( 3.0)   504972.7 
   104     1    2P6 3S1 6G1         (3)4( 4.0)   504973.6 
   105     1    2P6 3S1 6G1         (3)4( 5.0)   504974.8 
   106     1    2P6 3S1 6H1         (3)5( 4.0)   505037.3 
   107     1    2P6 3S1 6H1         (3)5( 5.0)   505037.8 
   108     1    2P6 3S1 6H1         (3)5( 6.0)   505038.7 
   109     1    2P6 3S1 6H1         (1)5( 5.0)   505040.6 
   110     1    2P6 3S1 7S1         (1)0( 0.0)   505143.9 
   111     3    2P6 3P1 4D1         (3)1( 2.0)   505773.7 
   112     3    2P6 3P1 4D1         (3)1( 1.0)   506122.6 
   113     1    2P6 3S1 6F1         (1)3( 3.0)   506152.2 
   114     3    2P6 3P1 4D1         (3)1( 0.0)   506307.7 
   115     2    2P6 3P1 4F1         (1)3( 3.0)   510883.7 
   116     3    2P6 3P1 4D1         (1)3( 3.0)   511883.2 
   117     2    2P6 3P1 5S1         (3)1( 0.0)   513666.4 
   118     2    2P6 3P1 4F1         (3)4( 3.0)   513668.1 
   119     2    2P6 3P1 5S1         (3)1( 1.0)   513952.9 
   120     2    2P6 3P1 4F1         (3)4( 4.0)   514011.9 
   121     3    2P6 3P1 4F1         (3)4( 5.0)   514678.2 
   122     3    2P6 3P1 5S1         (3)1( 2.0)   514965.6 
   123     2    2P6 3P1 4F1         (3)3( 2.0)   515079.3 
   124     3    2P6 3P1 4D1         (1)1( 1.0)   515091.7 
   125     3    2P6 3P1 4F1         (3)3( 3.0)   515264.0 
   126     1    2P6 3S1 7P1         (3)1( 0.0)   515384.0 
   127     1    2P6 3S1 7P1         (3)1( 1.0)   515399.3 
   128     1    2P6 3S1 7P1         (3)1( 2.0)   515432.1 
   129     3    2P6 3P1 4F1         (3)3( 4.0)   515509.1 
   130     1    2P6 3S1 7P1         (1)1( 1.0)   516081.6 
   131     3    2P6 3P1 5S1         (1)1( 1.0)   516655.9 
   132     3    2P6 3P1 4F1         (3)2( 3.0)   518060.9 
   133     3    2P6 3P1 4F1         (3)2( 2.0)   518426.8 
   134     3    2P6 3P1 4F1         (3)2( 1.0)   518668.6 
   135     4    2P6 3D1 4S1         (3)2( 1.0)   520314.5 
   136     4    2P6 3D1 4S1         (3)2( 2.0)   520380.2 
   137     5    2P6 3D1 4S1         (3)2( 3.0)   520482.7 
   138     1    2P6 3S1 7D1         (3)2( 1.0)   522668.3 
   139     1    2P6 3S1 7D1         (3)2( 2.0)   522671.4 
   140     1    2P6 3S1 7D1         (3)2( 3.0)   522676.2 
   141     1    2P6 3S1 7D1         (1)2( 2.0)   523339.5 
   142     5    2P6 3D1 4S1         (1)2( 2.0)   524550.3 
   143     1    2P6 3S1 8S1         (3)0( 1.0)   524646.2 
   144     1    2P6 3S1 7F1         (3)3( 2.0)   524838.5 
   145     1    2P6 3S1 7F1         (3)3( 3.0)   524839.7 
   146     1    2P6 3S1 7F1         (3)3( 4.0)   524841.4 
   147     1    2P6 3S1 7G1         (3)4( 3.0)   525207.2 
   148     1    2P6 3S1 7G1         (3)4( 4.0)   525207.8 
   149     1    2P6 3S1 7G1         (3)4( 5.0)   525208.5 
   150     1    2P6 3S1 7H1         (3)5( 4.0)   525255.9 
   151     1    2P6 3S1 7H1         (3)5( 5.0)   525256.2 
   152     1    2P6 3S1 7H1         (3)5( 6.0)   525256.7 
   153     1    2P6 3S1 7H1         (1)5( 5.0)   525259.2 
   154     1    2P6 3S1 8S1         (1)0( 0.0)   525282.8 
   155     1    2P6 3S1 7G1         (1)4( 4.0)   525413.8 
   156     1    2P6 3S1 7F1         (1)3( 3.0)   525831.3 
   157     3    2P6 3P1 4F1         (1)2( 2.0)   530671.1 
   158     1    2P6 3S1 8P1         (3)1( 0.0)   531894.5 
   159     1    2P6 3S1 8P1         (3)1( 1.0)   531904.4 
   160     1    2P6 3S1 8P1         (3)1( 2.0)   531925.9 
   161     1    2P6 3S1 8P1         (1)1( 1.0)   532318.5 
   162     5    2P6 3D2             (1)0( 0.0)   533751.1 
   163     3    2P6 3P1 4F1         (1)4( 4.0)   535555.6 
   164     1    2P6 3S1 8D1         (3)2( 1.0)   536646.9 
   165     1    2P6 3S1 8D1         (3)2( 2.0)   536649.0 
   166     1    2P6 3S1 8D1         (3)2( 3.0)   536652.2 
   167     1    2P6 3S1 8D1         (1)2( 2.0)   536988.2 
   168     1    2P6 3S1 8F1         (3)3( 2.0)   538089.6 
   169     1    2P6 3S1 8F1         (3)3( 3.0)   538090.5 
   170     1    2P6 3S1 8F1         (3)3( 4.0)   538091.6 
   171     1    2P6 3S1 8G1         (3)4( 3.0)   538342.8 
   172     1    2P6 3S1 8G1         (3)4( 4.0)   538343.2 
   173     1    2P6 3S1 8G1         (3)4( 5.0)   538343.7 
   174     1    2P6 3S1 8H1         (3)5( 4.0)   538378.8 
   175     1    2P6 3S1 8H1         (3)5( 5.0)   538379.0 
   176     1    2P6 3S1 8H1         (3)5( 6.0)   538379.4 
   177     1    2P6 3S1 8H1         (1)5( 5.0)   538381.7 
   178     1    2P6 3S1 8G1         (1)4( 4.0)   538453.8 
   179     1    2P6 3S1 8F1         (1)3( 3.0)   538717.7 
   180     2    2P6 3P1 5P1         (1)1( 1.0)   546271.4 
   181     2    2P6 3P1 5P1         (3)2( 1.0)   547462.6 
   182     2    2P6 3P1 5P1         (3)2( 2.0)   547729.2 
   183     3    2P6 3P1 5P1         (3)2( 3.0)   548525.5 
   184     3    2P6 3P1 5P1         (3)0( 1.0)   550013.5 
   185     2    2P6 3P1 5P1         (3)1( 0.0)   550140.6 
   186     3    2P6 3P1 5P1         (3)1( 1.0)   550827.9 
   187     3    2P6 3P1 5P1         (3)1( 2.0)   550885.5 
   188     3    2P6 3P1 5P1         (1)2( 2.0)   554129.9 
   189     3    2P6 3P1 5P1         (1)0( 0.0)   563828.7 
   190     2    2P6 3P1 5D1         (1)2( 2.0)   569398.5 
   191     2    2P6 3P1 5D1         (3)2( 2.0)   570008.4 
   192     2    2P6 3P1 5D1         (3)2( 1.0)   570105.6 
   193     2    2P6 3P1 5D1         (3)2( 3.0)   570221.8 
   194     3    2P6 3P1 5D1         (3)3( 2.0)   570876.9 
   195     3    2P6 3P1 5D1         (3)3( 3.0)   571151.6 
   196     3    2P6 3P1 5D1         (3)3( 4.0)   571461.5 
   197     3    2P6 3P1 5D1         (3)1( 2.0)   572631.4 
   198     3    2P6 3P1 5D1         (3)1( 1.0)   572921.4 
   199     3    2P6 3P1 5D1         (3)1( 0.0)   573103.8 
   200     3    2P6 3P1 5D1         (1)3( 3.0)   574169.3 
   201     2    2P6 3P1 5F1         (1)3( 3.0)   575371.7 
   202     3    2P6 3P1 5D1         (1)1( 1.0)   575393.2 
   203     2    2P6 3P1 5F1         (3)4( 3.0)   576164.5 
   204     2    2P6 3P1 5F1         (3)4( 4.0)   576365.7 
   205     2    2P6 3P1 6S1         (3)1( 0.0)   576457.7 
   206     2    2P6 3P1 5F1         (3)3( 2.0)   576486.9 
   207     2    2P6 3P1 6S1         (3)1( 1.0)   576652.3 
