UT	Glat	Glon	Radius	Dst	Kp	E23.1-30.5eV	E30.5-42.5eV	E42.5-55.2eV	E55.2-71.9eV	E71.9-93.6eV	E93.6-122.0eV	E122.0-161.0eV	E161.0-210.0eV	E210.0-275.0eV	E275.0-360.0eV	E360.0-471.0eV	E471.0-617.0eV	E617.0-815.0eV	E.815-1.07keV	E1.07-1.40kev	E1.40-1.82keV	E1.82-2.39keV	E2.39-3.12keV	E3.12-4.09keV	E4.09-5.36keV	E5.36-7.02keV	E7.02-9.19keV	E9.19-12.0keV	E12.0-15.8keV	E15.8-20.6keV	E20.6-27.0keV	E27.0-35.4keV	E35.4-46.4-43.37keV	E50-75keV	E75-105keV	E105-150keV	E150-225keV	E225-315keV	E315-500keV	E500-750keV	E0.75-1.1MeV	E1.1-1.5MeV	E>1.5MeV	E0.7-1.8MeV	E1.8-3.5MeV	E3.5-6.0MeV	E6.0-7.8MeV	E7.8-10.8	E10.8-25.8	P.03-.06eV	P.06-.13eV	P13-.25V	P.25-.52eV	P.52-1.0eV	P1.0-2.3eV	P2.3-4.1eV	P4.1-6.1eV	P6.1-9.0eV	P9.0-12.9eV	P12.9-18.5eV	P18.5-25.5eV	P25.5-34.5eV	P34.5-45.8eV	P45.8-61.2eV	P61.2-80.9eV	P80.9-105.0eV	P105.0-139.0eV	P139.0-182.0eV	P182.0-237.0eV	P237.0-314.0eV	P314.0-408.0eV	P408.0-538.0eV	P538.0-703.0eV	P703.0-925.0eV	P.925-1.22keV	P1.22-1.51keV	P1.51-1.98keV	P1.98-2.58keV	P2.58-3.36keV	P3.36-4.36keV	P4.36-5.82keV	P5.82-7.60keV	P7.60-9.92keV	P9.92-13.0keV	P13.0-16.9keV	P16.9-22.1keV	P22.1-28.8keV	P28.8-37.6keV	P37.6-49.1keV	P50-75keV	P75-113keV	P113-170keV	P170-250keV	P250-400keV	P400-670keV	P0.67-1.2MeV	P1.2-1.9MeV	P1.9-3.1MeV	P3.1-5.0MeV	P5.0-7.7MeV	P7.7-50.0MeV	P11-14MeV	P14-20MeV	P>20Mev	DENLP	DENHP	DENHE	TPARHP	TPERHP	TPARHE	TPERHE	THETA_P	PHI_P	THETA_E	PHI_E	SC_POTEN
0.288300	-1.521000	69.460000	6.615900 -16	2.0	1.8351e+08	1.2099e+08	7.63e+07	5.8223e+07	4.0001e+07	2.7675e+07	1.9565e+07	1.5352e+07	1.219e+07	9.7317e+06	5.6248e+06	3.3836e+06	1.9681e+06	1.8634e+06	1.6812e+06	879610	501760	442280	482120	536770	489730	255690	111950	74035	57767	-999	-999	-999	86599.2	17557.5	6720.82	3273.14	1338.84	637.497	220.428	61.724	23.1985	4812.69	19.2477	1.06927	0.0315851	0.00673177	0.00465616	0.00214282	0	0	0	0	0	1.8316e+07	6.1244e+07	1.034e+08	4.7441e+07	1.0203e+07	1.0145e+07	7.4297e+06	5.2227e+06	2.9187e+06	2.6099e+06	2.1994e+06	949910	700160	542380	367190	383560	214060	208820	179270	167620	130960	108510	99251	139900	179160	137530	30123	22245	37153	45685	43298	55479	35394	38728	37188	52486.6	6392.09	2229.92	687.04	108.198	42.5905	1.03097	0.36129	-999	-999	0.128387	0.0156903	-999	-999	-999	2.695	0.32941	0.25749	4597.7	7216.8	283.85	411.21	111.09	-5.2783	110.29	-11.169	-0.10829	
0.312200	-1.521000	69.460000	6.615900 -16	2.0	1.913e+08	1.1969e+08	7.82e+07	5.5214e+07	4.004e+07	2.6223e+07	2.2033e+07	1.5492e+07	1.2657e+07	9.787e+06	5.9836e+06	3.2849e+06	1.8186e+06	1.8021e+06	1.64e+06	737330	502960	428800	465180	528730	506440	238380	131040	67435	48483	-999	-999	-999	87033.3	17448.1	6683.57	3310.04	1330.02	647.878	212.139	63.0839	22.6258	4769.66	19.255	1.07411	0.031423	0.00590588	0.00449722	0.00230363	0	0	0	0	0	1.6976e+07	6.2104e+07	1.3533e+08	4.9808e+07	1.8048e+07	1.0732e+07	5.9893e+06	3.4285e+06	3.6236e+06	1.898e+06	1.7178e+06	2.3781e+06	823190	536860	238300	101200	192090	89595	186340	125900	47691	80168	121520	128950	210300	125510	13980	29461	36211	38341	45436	51990	37002	40177	40409	52411.3	6381.45	2185.34	683.249	110.382	42.0968	1.03172	0.36129	-999	-999	0.146155	0.0121048	-999	-999	-999	2.7011	0.33638	0.25825	4841.6	7126.1	287.4	420.49	111.05	-5.0547	110.12	-11.92	-0.10866	
0.336000	-1.534500	69.460000	6.616000 -16	2.0	1.7335e+08	1.174e+08	7.6254e+07	5.7907e+07	3.9606e+07	2.8078e+07	2.0095e+07	1.5124e+07	1.2985e+07	9.5893e+06	6.0459e+06	3.3838e+06	1.7763e+06	1.6784e+06	1.5012e+06	723340	496110	446310	522370	526020	482690	219060	113390	54241	38763	-999	-999	-999	87012.1	17444.6	6641.66	3309.64	1331.48	645.515	204.467	65.4724	22.3082	4980.32	19.2897	1.07684	0.0304732	0.00616646	0.00391182	0.00230986	0	0	0	0	0	4.6862e+07	2.857e+07	8.8715e+07	3.572e+07	1.498e+07	1.0921e+07	2.5846e+06	1.5568e+06	2.5951e+06	1.4571e+06	1.1036e+06	810540	258360	359040	217200	20239	192090	223700	169920	175470	130960	57707	87300	165130	149930	143720	32824	16402	43832	45252	39572	43956	39030	39838	41300	52076.8	6329.52	2121.67	677.455	111.649	42.0427	1.08821	0.479839	-999	-999	0.182264	0.0134073	-999	-999	-999	2.6578	0.32148	0.2565	4948.4	7498.4	274.13	415.31	109.29	-9.8169	109.52	-7.253	-0.10839	
0.359900	-1.534500	69.460000	6.616000 -16	2.0	1.6707e+08	1.0923e+08	7.5546e+07	5.6239e+07	3.7668e+07	2.6665e+07	2.0297e+07	1.5027e+07	1.2361e+07	8.8277e+06	6.0191e+06	3.2894e+06	1.9406e+06	1.7335e+06	1.5565e+06	817570	474090	420780	458790	545720	463440	211750	108590	64985	37690	-999	-999	-999	86424.9	17392.3	6631.16	3279.1	1333.91	639.615	208.571	65.1762	22.628	4864.61	19.3433	1.07379	0.0308122	0.00626428	0.00460007	0.00234103	0	0	0	0	0	-999	5.6478e+07	1.0883e+08	3.8719e+07	1.7288e+07	3.4635e+06	6.1233e+06	3.4491e+06	859930	783490	892070	1.5169e+06	806410	370070	106490	262120	122430	200800	238850	140520	119100	38407	113180	170490	181440	138680	12417	15393	28139	35398	38016	45054	39713	43656	36420	52099.2	6328.86	2111.1	680.392	113.332	41.7439	1.15911	0.479839	-999	-999	0.175529	0.0122581	-999	-999	-999	2.5554	0.31385	0.25327	4844.3	7505.3	286.3	417.78	107.12	-7.736	109.92	-6.8829	-0.10917	
0.383800	-1.548100	69.460000	6.616000 -16	2.0	1.6016e+08	1.0527e+08	8.1691e+07	5.0179e+07	3.6249e+07	2.7945e+07	1.8697e+07	1.6485e+07	1.263e+07	9.0482e+06	6.1705e+06	2.8446e+06	1.7075e+06	1.9261e+06	1.409e+06	750330	437060	379580	449530	551630	482310	218220	98000	47642	39840	-999	-999	-999	87237.8	17471.6	6499.12	3209.62	1321.86	640.203	210.512	65.7577	23.773	4725.77	19.2985	1.07315	0.0308184	0.00582797	0.00469356	0.00237468	0	0	0	0	0	1.9478e+07	3.8101e+07	1.1012e+08	5.2734e+07	9.6873e+06	5.489e+06	4.4553e+06	1.7051e+06	2.0213e+06	1.0762e+06	340290	737920	799140	415910	88307	20239	138580	54387	103720	111280	170850	106620	112680	135290	147960	95074	5614.5	15477	16910	30200	37469	42296	32568	42165	38575	52342.1	6351.89	2164.67	669.345	108.407	40.6884	1.17302	0.359678	0.233548	-999	0.169846	0.0126871	-999	-999	-999	2.5166	0.2915	0.24915	5244.5	7867.5	280.39	409.73	108.31	-2.6875	108.2	-8.991	-0.1088	
0.407700	-1.548100	69.460000	6.616000 -16	2.0	1.6939e+08	1.143e+08	7.8373e+07	5.4238e+07	4.078e+07	2.7405e+07	2.125e+07	1.5798e+07	1.3246e+07	9.4161e+06	6.379e+06	3.0774e+06	1.8646e+06	1.7883e+06	1.3795e+06	860840	461830	397830	491220	585590	484620	216560	115580	56411	47668	-999	-999	-999	87704.3	17454.3	6447.83	3208.73	1306.25	635.503	210.608	66.6044	23.3756	4694	19.225	1.07923	0.0299458	0.00584355	0.00407648	0.00231859	0	0	0	0	0	2.5643e+07	6.334e+07	9.9768e+07	3.4339e+07	1.8048e+07	7.589e+06	8.0626e+06	1.0843e+06	2.6905e+06	2.0744e+06	1.1949e+06	608090	968030	1.0406e+06	264920	161910	184020	224270	368440	212890	87580	121100	153470	171350	159110	117880	33524	34334	26557	37998	41057	53114	33911	40637	38648	52460.9	6373.13	2206.48	665.765	102.587	39.02	1.10553	0.359409	0.233548	0.120645	0.158979	0.013531	-999	-999	-999	2.4201	0.34506	0.25955	4629.4	6717.3	281.86	419.33	111.02	-6.0111	107.82	-11.032	-0.11067	
0.431600	-1.561700	69.460000	6.616100 -16	2.0	1.5635e+08	1.0522e+08	7.3845e+07	5.1187e+07	3.7933e+07	2.6545e+07	2.0172e+07	1.4649e+07	1.3091e+07	8.5324e+06	5.2878e+06	3.0749e+06	1.9691e+06	1.8766e+06	1.4535e+06	746850	446780	374710	491610	529590	447840	231110	97686	55621	43892	-999	-999	-999	86948	17360.4	6397.37	3263.14	1321.05	627.345	217.408	66.1011	22.8538	4703.74	19.1686	1.07529	0.0301876	0.00562539	0.00450657	0.00233355	0	0	0	0	0	3.279e+07	7.2363e+06	8.5152e+07	2.7272e+07	8.4112e+06	3.218e+06	5.6526e+06	3.8531e+06	3.0583e+06	1.8929e+06	1.0747e+06	449650	883580	161270	330830	184370	244850	192790	87299	228250	71412	69472	96482	127340	166870	106510	25046	13984	33876	42652	43385	42909	40487	37712	40463	52212.7	6356.16	2159.28	645.938	102.965	40.1297	0.985787	0.433549	-999	0.120645	0.15246	0.0127178	-999	-999	-999	2.1159	0.31887	0.24765	4870.2	7264	289.42	422.09	108.54	-15.2	106.74	-4.9499	-0.11293	
0.455500	-1.561700	69.460000	6.616100 -16	2.0	1.7102e+08	1.1283e+08	7.7201e+07	5.5513e+07	3.6891e+07	2.5425e+07	2.0408e+07	1.5187e+07	1.3583e+07	8.8045e+06	4.8694e+06	2.8079e+06	1.8962e+06	1.7597e+06	1.3e+06	737610	427050	433110	463120	546490	475420	204720	95874	66027	35185	-999	-999	-999	86473	17354.1	6381.14	3269	1319.11	630.676	216.974	65.6626	23.5842	5123.87	19.1131	1.06298	0.030578	0.00550419	0.00455643	0.00236637	0	0	0	0	0	3.3371e+07	2.6099e+07	1.0047e+08	2.0918e+07	1.4113e+07	6.984e+06	9.8397e+06	2.5132e+06	1.6466e+06	2.3006e+06	1.714e+06	668240	555320	346310	30843	0.0050863	99707	197080	192860	131600	102940	51630	106460	148710	205850	137470	21595	25307	27562	45231	43432	39331	40582	45013	40589	52066.3	6237.98	2102.57	640.343	99.9924	41.4755	0.817849	0.433549	-999	0.120645	0.168508	0.0153664	-999	-999	-999	2.4195	0.30124	0.24734	5206.9	7792.9	280.34	414.43	108.43	-8.2379	112.31	-6.8486	-0.1095	
0.479400	-1.575200	69.460000	6.616100 -16	2.0	1.7092e+08	1.1018e+08	8.072e+07	5.5258e+07	3.9861e+07	2.4973e+07	1.9137e+07	1.5658e+07	1.2595e+07	9.1993e+06	6.2375e+06	3.1289e+06	2.0759e+06	1.7395e+06	1.4193e+06	739580	503350	454700	502480	570970	485160	208410	125290	67264	41130	-999	-999	-999	86266.5	17443	6370.88	3229.57	1316.5	639.641	211.463	65.6695	23.3353	5039.32	19.1354	1.06583	0.0308733	0.00536048	0.00415128	0.0024233	0	0	0	0	0	3.8196e+07	3.21e+07	1.0603e+08	3.1578e+07	1.6961e+07	7.5145e+06	4.711e+06	3.1341e+06	3.7718e+06	2.1025e+06	1.5063e+06	1.2573e+06	593900	445190	441540	-999	214810	138400	146440	179020	135830	84154	99745	109800	189940	111190	20295	28733	35606	41421	44339	44569	38840	39422	38517	52227.7	6232.71	2108.9	666.611	103.87	41.4715	0.872394	0.481721	-999	-999	0.148448	0.0158972	-999	-999	-999	2.2454	0.30782	0.25099	5112.3	7339.3	289.79	420.38	110.47	-6.7357	110.18	-15.098	-0.11178	
0.503300	-1.575200	69.460000	6.616100 -16	2.0	1.6255e+08	1.0282e+08	7.7384e+07	5.5352e+07	4.1589e+07	2.8177e+07	2.1082e+07	1.5609e+07	1.2934e+07	8.4964e+06	5.7601e+06	3.3312e+06	1.8658e+06	1.7251e+06	1.319e+06	707100	500230	422400	461850	582330	492450	218030	92763	64201	55404	-999	-999	-999	87455.1	17460	6310.12	3242.08	1306.43	644.285	216.081	63.1355	23.2687	5052.64	19.1767	1.07144	0.0308533	0.00582797	0.00416998	0.00243452	0	0	0	0	0	2.9708e+07	3.8101e+07	9.0828e+07	4.7916e+07	2.182e+07	8.3475e+06	255660	4.3462e+06	3.1468e+06	1.2526e+06	2.1167e+06	1.4949e+06	729240	785980	114930	184370	188900	297270	190580	171580	120480	139580	89766	142260	152410	140550	19382	31272	37427	46462	35248	46921	33529	41683	38025	52725.2	6273.54	2157.44	680.642	112.302	42.6726	1.13942	0.464516	0.233548	-999	0.164496	0.0133167	-999	-999	-999	2.8053	0.35223	0.25217	4520.7	6839.8	290.12	426.78	111.75	-8.2378	108.77	-7.7904	-0.10787	
