UT	Glat	Glon	Radius	Dst	Kp	E23.1-30.5eV	E30.5-42.5eV	E42.5-55.2eV	E55.2-71.9eV	E71.9-93.6eV	E93.6-122.0eV	E122.0-161.0eV	E161.0-210.0eV	E210.0-275.0eV	E275.0-360.0eV	E360.0-471.0eV	E471.0-617.0eV	E617.0-815.0eV	E.815-1.07keV	E1.07-1.40kev	E1.40-1.82keV	E1.82-2.39keV	E2.39-3.12keV	E3.12-4.09keV	E4.09-5.36keV	E5.36-7.02keV	E7.02-9.19keV	E9.19-12.0keV	E12.0-15.8keV	E15.8-20.6keV	E20.6-27.0keV	E27.0-35.4keV	E35.4-46.4-43.37keV	E50-75keV	E75-105keV	E105-150keV	E150-225keV	E225-315keV	E315-500keV	E500-750keV	E0.75-1.1MeV	E1.1-1.5MeV	E>1.5MeV	E0.7-1.8MeV	E1.8-3.5MeV	E3.5-6.0MeV	E6.0-7.8MeV	E7.8-10.8	E10.8-25.8	P.03-.06eV	P.06-.13eV	P13-.25V	P.25-.52eV	P.52-1.0eV	P1.0-2.3eV	P2.3-4.1eV	P4.1-6.1eV	P6.1-9.0eV	P9.0-12.9eV	P12.9-18.5eV	P18.5-25.5eV	P25.5-34.5eV	P34.5-45.8eV	P45.8-61.2eV	P61.2-80.9eV	P80.9-105.0eV	P105.0-139.0eV	P139.0-182.0eV	P182.0-237.0eV	P237.0-314.0eV	P314.0-408.0eV	P408.0-538.0eV	P538.0-703.0eV	P703.0-925.0eV	P.925-1.22keV	P1.22-1.51keV	P1.51-1.98keV	P1.98-2.58keV	P2.58-3.36keV	P3.36-4.36keV	P4.36-5.82keV	P5.82-7.60keV	P7.60-9.92keV	P9.92-13.0keV	P13.0-16.9keV	P16.9-22.1keV	P22.1-28.8keV	P28.8-37.6keV	P37.6-49.1keV	P50-75keV	P75-113keV	P113-170keV	P170-250keV	P250-400keV	P400-670keV	P0.67-1.2MeV	P1.2-1.9MeV	P1.9-3.1MeV	P3.1-5.0MeV	P5.0-7.7MeV	P7.7-50.0MeV	P11-14MeV	P14-20MeV	P>20Mev	DENLP	DENHP	DENHE	TPARHP	TPERHP	TPARHE	TPERHE	THETA_P	PHI_P	THETA_E	PHI_E	SC_POTEN
3.728900	-1.819500	69.460000	6.617000 -15	2.0	1.0456e+08	7.0246e+07	4.5361e+07	3.1849e+07	2.4694e+07	1.8189e+07	1.2753e+07	8.4366e+06	5.771e+06	4.2011e+06	3.2029e+06	1.8724e+06	1.6372e+06	1.1093e+06	712210	490720	527400	441130	424980	345690	204780	179600	134460	129560	115260	-999	-999	-999	87250.6	17290.7	6182.98	3289.23	1361.92	692.867	247.755	78.7805	30.5717	5753.55	22.391	1.29526	0.0389657	0.00582796	0.00443281	0.00215093	0	0	0	0	0	1.2732e+07	3.2475e+07	2.5726e+08	1.4607e+08	3.4789e+07	1.4516e+07	7.941e+06	3.0451e+06	1.272e+06	2.9793e+06	1.6351e+06	747460	837730	514790	340570	137480	314520	66123	53488	78811	64671	94024	59945	60056	42380	26773	18894	38806	67324	50704	12667	18905	20159	30333	36368	97459.8	7889.52	2569.8	816.343	141.139	70.3052	2.09585	0.675572	0.239387	-999	0.165833	0.0122785	-999	-999	-999	1.7998	0.22544	0.16443	4836	8016.7	663.81	872.39	102.45	-4.8205	108.21	-7.236	-5.001	
3.752800	-1.819500	69.460000	6.617000 -15	2.0	9.1834e+07	6.3094e+07	4.1961e+07	3.0527e+07	2.583e+07	1.7742e+07	1.181e+07	8.7636e+06	6.2767e+06	3.9901e+06	2.6891e+06	2.1147e+06	1.5208e+06	1.0829e+06	680460	542320	503690	463400	385470	320790	199400	173590	135790	102400	97285	-999	-999	-999	86421.1	17118.3	6036.03	3278.33	1337.46	690.206	247.279	78.7955	31.0968	5926.68	22.3981	1.31018	0.0385962	0.00610845	0.00435698	0.0021503	0	0	0	0	0	8.488e+06	4.1807e+07	2.6047e+08	1.63e+08	2.844e+07	1.0807e+07	6.9589e+06	4.474e+06	2.4112e+06	419220	1.166e+06	946970	869040	294950	616530	84165	135380	236010	164700	103760	34770	15946	59111	77223	48998	18855	30336	41223	60953	46229	21417	24015	19634	30440	32466	98470.1	7873.38	2525.94	791.724	134.536	71.4142	1.99191	0.475925	0.280258	-999	0.150434	0.0133318	-999	-999	-999	1.9374	0.23558	0.16395	4901.6	7526.5	648.18	896.73	109.73	-7.4831	107.28	-11.606	-5.001	
3.776700	-1.819500	69.460000	6.617000 -15	2.0	9.7984e+07	6.6033e+07	4.0596e+07	3.2359e+07	2.274e+07	1.7299e+07	1.3157e+07	9.1182e+06	6.0427e+06	4.2899e+06	2.9126e+06	1.9561e+06	1.4936e+06	1.0402e+06	701700	670540	546630	472560	414280	337530	199490	163850	133750	115350	110840	-999	-999	-999	86437.4	16925.2	6032.43	3270.89	1326.9	692.063	248.804	80.9515	30.2222	6406.57	22.3804	1.3137	0.0382297	0.00624869	0.00398299	0.00217087	0	0	0	0	0	1.2732e+07	4.419e+07	3.3446e+08	1.4666e+08	3.5795e+07	1.1885e+07	6.7968e+06	2.552e+06	859930	1.2909e+06	1.3612e+06	851620	656540	635740	406470	198200	196970	70416	79798	31392	55245	53089	49132	63051	16742	12236	15168	37116	67415	35351	15981	21050	23146	32615	36593	98700.9	7823.82	2478.14	794.766	129.254	69.3428	2.08905	0.568417	0.321778	-999	0.143847	0.0128885	-999	-999	-999	2.0169	0.2298	0.16364	4898.1	7862.2	671.98	918.15	107.13	-4.7205	107.48	-11.324	-5.001	
3.800600	-1.819500	69.460000	6.617000 -15	2.0	1.0138e+08	6.8645e+07	4.4035e+07	3.2782e+07	2.3749e+07	1.8779e+07	1.3135e+07	7.4071e+06	6.0299e+06	4.2594e+06	2.9839e+06	2.1334e+06	1.6819e+06	1.1044e+06	668400	518940	542200	453080	432870	313050	226940	197820	141420	122440	134060	-999	-999	-999	86750.5	16832.7	6060.14	3280.02	1338.15	694.109	250.599	81.1466	29.7714	6478.81	22.5578	1.31162	0.0383033	0.00627986	0.00422608	0.00209608	0	0	0	0	0	3.8955e+07	3.2387e+07	2.2071e+08	9.3976e+07	4.2659e+07	1.0921e+07	5.5185e+06	3.3897e+06	2.2716e+06	242840	1.739e+06	829610	548040	745660	336350	274960	138580	116790	96214	138370	63048	75549	45528	47497	38216	16121	22833	46666	58886	46895	14888	20426	19167	28318	33325	98236.1	7768.77	2485.23	805.301	134.385	68.6019	2.19102	0.602356	-999	-999	0.145535	0.0123489	-999	-999	-999	1.5222	0.24621	0.16507	4472.8	7178.8	664.39	919.9	105.37	-11.596	107.07	-9.6984	-5.001	
3.824500	-1.806000	69.460000	6.616900 -15	2.0	1.0026e+08	6.4567e+07	4.4915e+07	3.2014e+07	2.3544e+07	1.7972e+07	1.1534e+07	9.0804e+06	5.7671e+06	4.8704e+06	3.327e+06	1.8536e+06	1.4463e+06	1.0831e+06	661700	607870	463640	483650	401360	331550	210870	181750	160330	130200	142830	-999	-999	-999	88916	16789.2	6062.12	3262.83	1330.94	698.516	246.004	78.5691	29.8665	6401.78	22.8232	1.31909	0.0379654	0.00648244	0.00467487	0.00214657	0	0	0	0	0	4.6684e+07	3.5718e+07	2.1094e+08	1.3125e+08	2.9823e+07	1.0202e+07	7.9815e+06	2.4539e+06	3.6543e+06	1.4622e+06	1.6726e+06	1.7164e+06	692890	657810	336350	396390	155660	280520	80232	97729	52560	84786	50119	91768	37844	30658	22133	26521	73335	42151	18119	20349	21995	29443	34683	98842.9	7950.34	2551.33	818.607	141.313	73.8102	2.08805	0.511979	-999	-999	0.158344	0.0111866	-999	-999	-999	1.7517	0.27087	0.1667	4449.1	6946.2	698.11	973	104.67	-8.6822	105.31	-7.9668	-5.001	
3.848400	-1.806000	69.460000	6.616900 -15	2.0	1.0024e+08	6.357e+07	4.6456e+07	3.1478e+07	2.401e+07	1.5186e+07	1.2301e+07	8.0459e+06	5.6948e+06	4.5421e+06	3.007e+06	2.0594e+06	1.5585e+06	998130	681610	567980	520300	459480	419750	339700	222130	144700	120390	130530	130110	-999	-999	-999	91119.4	16782.5	6051.28	3285.57	1337.84	703.738	244.954	80.3593	30.5862	6164.19	22.9171	1.33069	0.0386584	0.00644608	0.00459176	0.00228514	0	0	0	0	0	3.0467e+07	1.4384e+07	2.2697e+08	9.5667e+07	2.2851e+07	1.128e+07	3.7289e+06	3.9809e+06	1.0217e+06	1.1478e+06	1.4525e+06	1.5389e+06	1.2264e+06	357340	459720	398610	158100	183480	80232	114500	22098	47012	92877	76474	36989	28790	18732	40262	56735	40803	13470	18319	17978	29980	33104	99448.6	7967.73	2576.94	825.593	138.203	76.4124	2.1335	0.536462	-999	-999	0.150396	0.0150366	-999	-999	-999	1.6392	0.24187	0.16182	4602.9	7334.2	715.41	971.05	102.84	-10.836	108.27	-9.3579	-5.001	
3.872300	-1.806000	69.460000	6.616900 -15	2.0	1.0049e+08	6.3209e+07	4.063e+07	3.1097e+07	2.4081e+07	1.706e+07	1.3069e+07	8.2746e+06	5.6274e+06	4.6474e+06	3.1787e+06	1.8057e+06	1.6413e+06	894500	649240	598940	488640	466540	416780	329300	207590	157890	144620	121870	127840	-999	-999	-999	91055.8	16713	6071.22	3304.9	1329.31	702.604	251.522	80.8489	30.923	6194.29	22.9697	1.33304	0.0392009	0.0058903	0.00469356	0.00221388	0	0	0	0	0	3.4131e+07	2.7048e+07	2.7557e+08	1.2401e+08	3.2293e+07	7.874e+06	5.559e+06	2.3945e+06	580670	2.2789e+06	1.639e+06	418110	1.067e+06	498240	292840	191780	384180	128520	84472	58489	85957	56249	85669	76214	46828	18421	18031	39170	62592	35034	15042	19698	18007	32863	35055	98801.9	7713.98	2559.11	821.601	144.072	73.9272	2.26402	0.636296	0.241333	-999	0.166928	0.0166199	-999	-999	-999	1.832	0.2403	0.16185	4610.1	7381	729.43	991.33	103.71	-7.6175	109.28	-10.547	-5.001	
3.896200	-1.806000	69.460000	6.616900 -15	2.0	9.4725e+07	6.4482e+07	3.8974e+07	2.9658e+07	2.1059e+07	1.6837e+07	1.1263e+07	8.7477e+06	6.2346e+06	4.6452e+06	2.9727e+06	2.0224e+06	1.5632e+06	1.047e+06	825930	605450	483230	477630	368170	306660	231860	169200	129660	126700	141430	-999	-999	-999	90004.3	16620.9	6048.57	3271.09	1323.42	698.731	248.811	79.2645	30.0733	5829.85	22.8821	1.3258	0.0395113	0.00578122	0.00504885	0.00221762	0	0	0	0	0	2.8546e+07	2.8195e+07	3.6937e+08	1.5487e+08	2.2933e+07	1.1925e+07	4.4553e+06	2.148e+06	3.639e+06	971370	1.0872e+06	848680	357350	410390	389590	299390	97266	169310	91974	53862	46068	77445	73224	47382	36617	28640	20407	48402	71697	50657	15965	19698	22041	31761	37283	98621.1	7639.46	2543.13	826.826	147.872	71.0774	2.34209	0.603991	0.241333	0.120771	0.1598	0.013191	-999	-999	-999	1.9791	0.25069	0.16181	4559.8	7509.2	749.11	1050.2	107.56	-8.6713	106.32	-12.812	-5.001	
3.920100	-1.792400	69.460000	6.616900 -15	2.0	1.1148e+08	6.2401e+07	3.9711e+07	3.2282e+07	2.4234e+07	1.7675e+07	1.3509e+07	8.3311e+06	6.3157e+06	4.4328e+06	3.4798e+06	2.1818e+06	1.499e+06	1.063e+06	784960	626820	622430	426320	417080	332210	205420	156970	142440	136780	149190	-999	-999	-999	90248.4	16496.1	5930.67	3284.13	1325.28	700.917	246.4	78.6487	29.3168	5818.75	22.6861	1.32265	0.03859	0.00609287	0.00491796	0.00234851	0	0	0	0	0	6.6921e+07	4.9904e+07	2.5802e+08	1.5251e+08	3.235e+07	1.4025e+07	6.5006e+06	4.6315e+06	5.0132e+06	1.512e+06	1.689e+06	1.3079e+06	929440	740140	839570	407000	130500	54387	224820	33870	112360	46380	82709	64779	50422	18855	25747	54526	76373	31087	19026	17577	15798	31386	37727	99401.4	7655.31	2543.67	830.383	138.013	70.473	2.26327	0.52362	0.241333	0.120771	0.13124	0.0130119	-999	-999	-999	1.9777	0.26377	0.16378	4541.2	6958.9	767.38	1086.1	106.45	-9.1604	108.26	-10.847	-5.001	
3.944000	-1.792400	69.460000	6.616900 -15	2.0	9.6002e+07	6.2955e+07	4.2977e+07	3.0241e+07	2.1342e+07	1.6429e+07	1.2073e+07	7.8583e+06	6.391e+06	4.5092e+06	3.1142e+06	2.0297e+06	1.3292e+06	1.003e+06	763730	521510	471560	384260	396630	296990	184950	162050	134030	138550	157780	-999	-999	-999	90797.7	16490.4	5894.07	3328.8	1317.88	686.865	249.296	79.2116	28.9381	5777.42	22.5879	1.32217	0.0371614	0.00620195	0.00445047	0.00232981	0	0	0	0	0	2.6804e+07	1.0193e+07	3.5819e+08	1.9627e+08	3.4493e+07	1.2302e+07	1.0067e+07	3.5084e+06	1.1835e+06	1.3906e+06	942060	500260	548050	544070	465240	60717	316960	176040	81646	36018	59552	55422	120880	40786	22987	13820	13655	50979	78679	27325	17042	15724	19416	31731	36519	99100.9	7676.03	2564.5	811.31	137.856	68.5069	2.17978	0.595924	0.241333	-999	0.132666	0.0138966	-999	-999	-999	2.2944	0.2596	0.15995	4509.5	6950.6	758.94	1095.9	105.86	-11.062	106.57	-7.6632	-5.001	
3.967900	-1.792400	69.460000	6.616900 -15	2.0	9.6586e+07	5.8082e+07	4.1682e+07	3.2636e+07	2.3026e+07	1.6264e+07	1.1956e+07	8.0172e+06	6.8525e+06	5.2419e+06	3.6853e+06	2.0211e+06	1.509e+06	1.1489e+06	722000	594970	532560	484230	378430	270780	194340	147580	147550	142910	170960	-999	-999	-999	91738.1	16611.5	5988.96	3323.89	1337.34	675.042	253.398	79.9172	30.665	5795.48	22.738	1.32943	0.0375175	0.00582797	0.00406194	0.00224982	0	0	0	0	0	0.16276	1.3811e+07	3.1411e+08	2.3141e+08	4.1522e+07	1.3437e+07	9.422e+06	3.7344e+06	2.6905e+06	1.0813e+06	1.0834e+06	1.0768e+06	533510	705340	564910	352700	284470	75998	189600	97729	54433	55617	56834	114520	61970	18638	28610	35100	67176	40645	16377	26303	18569	33776	41634	98341.5	7744.2	2569.3	814.876	137.2	69.8109	2.30187	0.606416	0.241333	-999	0.15583	0.0157639	-999	-999	-999	2.3643	0.26405	0.16396	4438.4	6921	803.99	1101.5	107.3	-11.64	108.83	-7.9417	-5.001	
3.991800	-1.792400	69.460000	6.616900 -15	2.0	9.6002e+07	6.7757e+07	4.251e+07	2.8629e+07	2.2633e+07	1.6737e+07	1.2156e+07	8.4176e+06	6.2567e+06	4.1539e+06	3.2636e+06	2.1866e+06	1.5422e+06	1.0303e+06	784960	579330	438370	420210	354180	281890	219000	152470	138490	144560	180440	-999	-999	-999	91929.5	16896.4	6040.23	3318.06	1348.51	681.814	252.782	80.9379	32.2485	6008.99	22.9702	1.33629	0.0374269	0.0056098	0.00416998	0.00218022	0	0	0	0	0	5.9594e+07	1.0854e+07	2.51e+08	2.2671e+08	4.3992e+07	1.3534e+07	6.4071e+06	5.3802e+06	1.2942e+06	1.9645e+06	1.1247e+06	1.6152e+06	265630	525820	353230	93791	135380	237870	66643	110200	43384	59603	49626	78087	27435	20655	21433	47553	58886	30152	10410	15343	20996	30757	37978	98731	7747.72	2584.45	831.449	137.782	72.191	2.21618	0.532151	0.238738	0.120645	0.147989	0.0162241	-999	-999	-999	2.3398	0.24052	0.16402	4656.1	7548.4	794.25	1104.9	105.07	-4.6487	106.5	-7.9723	-5.001	
4.015700	-1.778800	69.460000	6.616800 -16	2.0	9.5593e+07	6.2969e+07	4.0329e+07	3.0379e+07	2.4117e+07	1.6013e+07	1.2019e+07	8.3555e+06	5.8303e+06	4.1636e+06	2.8767e+06	1.8057e+06	1.4933e+06	868370	819990	611210	481780	422800	340030	292700	188370	164200	141480	152910	160290	-999	-999	-999	92571.2	17335.9	6085.67	3384.82	1358.56	697.003	248.34	82.8843	31.3351	6213.41	23.184	1.3433	0.0384803	0.00585912	0.00443177	0.00225501	0	0	0	0	0	4.8024e+07	2.3055e+07	3.3967e+08	3.0174e+08	5.0832e+07	1.2455e+07	4.3618e+06	3.4491e+06	2.4998e+06	800100	547930	1.2573e+06	823190	820780	406470	238670	308880	116790	143180	68484	5118.7	75355	64536	54957	21847	14254	24296	44453	52846	25091	13811	18843	18959	34587	36252	99640.4	7758.59	2605.71	832.029	144.762	73.849	1.74776	0.473441	0.319183	0.121986	0.146843	0.0158865	-999	-999	-999	2.6031	0.23597	0.16195	4432.6	7356.2	825.38	1143.8	108.3	-8.4404	103.65	-9.6774	-5.001	
4.039600	-1.778800	69.460000	6.616800 -16	2.0	1.1326e+08	6.6029e+07	3.7931e+07	2.9441e+07	2.3573e+07	1.7964e+07	1.1825e+07	7.7775e+06	5.9356e+06	4.3149e+06	2.9979e+06	2.1083e+06	1.4024e+06	1.0064e+06	699210	673710	517540	550170	414420	290830	212700	144000	148440	151260	158950	-999	-999	-999	93590.6	17591.4	6121.7	3447.72	1349.25	701.27	248.312	81.1819	30.6474	6421.77	23.2928	1.34967	0.0393617	0.00567213	0.00446917	0.00225315	0	0	0	0	0	2.9887e+07	1.4384e+07	2.9784e+08	2.6993e+08	5.2215e+07	1.637e+07	7.8475e+06	2.9857e+06	2.779e+06	2.4885e+06	1.2824e+06	1.2191e+06	1.2795e+06	745660	283100	319630	107030	93888	112630	79885	114800	54158	63550	75984	43892	19071	26072	48281	59765	31885	16785	19941	18254	33853	39099	100076	7861.98	2595.67	817.492	142.514	78.27	1.81925	0.574176	0.286486	0.122656	0.165184	0.0153998	-999	-999	-999	2.6941	0.22688	0.16287	5111.9	7727.1	814.18	1137	107.98	-8.9342	105.76	-10.146	-5.001	
4.063500	-1.778800	69.460000	6.616800 -16	2.0	1.0286e+08	6.5492e+07	4.412e+07	3.2039e+07	2.416e+07	1.8204e+07	1.2753e+07	9.8431e+06	6.6108e+06	4.4159e+06	3.2124e+06	2.317e+06	1.4869e+06	900330	791080	583720	550140	501630	430910	292520	210100	171980	166120	154220	174140	-999	-999	-999	93368.8	17903.2	6237.9	3487.43	1349.94	693.359	250.982	82.2359	31.686	6300.17	23.3073	1.35752	0.0391934	0.00514232	0.00461877	0.00218209	0	0	0	0	0	4.378e+07	9.0454e+06	2.9696e+08	1.9802e+08	4.9908e+07	1.6125e+07	5.6806e+06	2.641e+06	2.2937e+06	1.0097e+06	2.1581e+06	1.2e+06	478140	491020	542510	359120	308880	140260	205580	165140	115360	87314	61425	78836	77288	23823	21970	44332	61888	31293	10616	16005	20044	36454	33418	100700	7947.11	2634.14	837.012	140.35	76.6089	2.16406	0.57942	0.23367	-999	0.207131	0.0129159	-999	-999	-999	2.3083	0.23403	0.16557	4823.2	7559.4	801.2	1159.3	107.67	-8.6752	105.78	-11.729	-5.001	
4.087300	-1.765200	69.460000	6.616800 -16	2.0	9.7558e+07	6.6733e+07	3.7798e+07	3.0439e+07	2.4615e+07	1.7426e+07	1.1171e+07	8.6007e+06	5.7671e+06	4.5697e+06	3.0339e+06	2.1963e+06	1.6109e+06	1.1838e+06	766610	636830	543760	459300	398020	318970	187840	165590	138870	162030	178350	-999	-999	-999	94345.3	18449.7	6326.98	3508.44	1354.54	703.781	254.043	82.3319	32.4601	6181.61	23.3151	1.36338	0.0392142	0.00538645	0.00448579	0.00212974	0	0	0	0	0	3.5873e+07	1.4098e+07	3.5692e+08	2.858e+08	5.5792e+07	2.0592e+07	7.2676e+06	3.2916e+06	2.9919e+06	2.7863e+06	1.8716e+06	459180	617950	555110	416210	423050	102150	152570	78384	70632	76531	71563	94661	47497	60546	17488	31311	53238	56882	30929	11198	14780	15752	32933	34380	100982	7916.84	2635.07	842.22	142.678	73.9558	2.32862	0.40664	0.233792	-999	0.192648	0.0113066	-999	-999	-999	2.7651	0.24867	0.16723	4599.6	7317.6	807.52	1167.2	105.78	-12.109	106.68	-8.484	-5.001	
4.111200	-1.765200	69.460000	6.616800 -16	2.0	9.1783e+07	6.0451e+07	4.3149e+07	2.8051e+07	2.201e+07	1.7206e+07	1.0916e+07	8.3083e+06	5.792e+06	4.8643e+06	3.2405e+06	2.0449e+06	1.5211e+06	988930	628180	569170	623040	501630	411540	330760	217370	178360	135350	152630	184890	-999	-999	-999	94288.7	18914.9	6341.68	3502.18	1350.32	710.784	253.737	82.7569	32.3371	6172.26	23.4162	1.36575	0.038868	0.00539164	0.00437567	0.00210169	0	0	0	0	0	3.7794e+07	2.7048e+07	2.4142e+08	1.5424e+08	3.6392e+07	1.0864e+07	4.8856e+06	4.1681e+06	2.9408e+06	2.2457e+06	1.2737e+06	1.0797e+06	767820	214320	477900	279150	115100	108770	129050	41719	84084	37143	87793	61553	47683	17771	20620	33046	62711	25455	10085	16606	17634	37648	39778	101563	7977.89	2613.37	843.97	140.821	76.0335	2.49371	0.484397	0.241333	-999	0.163061	0.0130753	-999	-999	-999	1.9407	0.23723	0.16298	4696.5	7734.7	819.64	1180	107.69	-8.0262	106.55	-8.6491	-5.001	
4.135100	-1.765200	69.460000	6.616800 -16	2.0	9.3106e+07	6.2772e+07	3.8473e+07	2.914e+07	2.1075e+07	1.3856e+07	1.0796e+07	7.6508e+06	5.7148e+06	3.9094e+06	2.8626e+06	2.1249e+06	1.4732e+06	1.0066e+06	601760	639120	457760	381800	363760	273310	198730	151620	154480	164740	174040	-999	-999	-999	92882.3	19050.3	6476.93	3481.63	1372.81	712.986	257.066	82.9842	32.3824	6477.27	23.4901	1.36816	0.038979	0.00529815	0.00443177	0.00205307	0	0	0	0	0	3.7034e+07	5.4272e+06	2.5632e+08	2.535e+08	4.662e+07	1.2547e+07	6.4476e+06	2.1388e+06	1.1392e+06	1.6718e+06	1.1747e+06	579480	205240	443490	540880	215230	64030	185340	158180	57415	16979	7973	52585	61179	34338	5468	18031	31431	43467	23104	18170	16082	21832	36432	35295	102063	7996.45	2635.74	855.961	140.608	77.4863	2.34008	0.523666	0.233792	-999	0.14497	0.0146525	-999	-999	-999	2.3384	0.22573	0.15599	4968.5	8269	839.45	1204.3	105.41	-8.755	108.76	-10.567	-5.001	
4.159000	-1.765200	69.460000	6.616800 -16	2.0	9.0969e+07	5.8886e+07	4.1813e+07	3.1513e+07	2.1095e+07	1.4846e+07	9.7638e+06	7.3936e+06	5.3598e+06	4.1614e+06	3.135e+06	2.1818e+06	1.46e+06	923830	766790	557780	491900	494480	394590	254510	196420	159390	184790	166920	186780	-999	-999	-999	92296.7	19275.3	6565.02	3513.48	1363.28	716.835	259.165	80.192	30.4831	6301.71	23.4029	1.36803	0.0394627	0.00618637	0.00438502	0.00203625	0	0	0	0	0	3.8196e+07	2.9519e+07	1.9093e+08	1.7677e+08	3.091e+07	1.1052e+07	3.7413e+06	3.4788e+06	1.742e+06	678680	1.7553e+06	918370	282410	208800	424660	148090	181580	108770	136110	15696	58740	60867	67495	52221	17969	34258	7665.2	37639	64595	28736	11368	12008	17531	34058	38167	101735	7858.93	2638.22	848.889	146.159	76.8909	1.89606	0.506371	0.233711	0.179083	0.129037	0.0129777	-999	-999	-999	1.9623	0.21379	0.15546	5134.7	8611.6	855.94	1227.6	102.95	-7.7682	107.43	-8.7911	-5.001	
4.182900	-1.751700	69.460000	6.616700 -16	2.0	9.0845e+07	5.9978e+07	4.1727e+07	3.2004e+07	2.1841e+07	1.4655e+07	1.0627e+07	7.4274e+06	6.039e+06	4.9504e+06	2.9144e+06	2.2941e+06	1.399e+06	1.0259e+06	820970	621510	568780	522060	375070	285150	217990	156350	180170	177770	201830	-999	-999	-999	92002.1	19447.1	6584.95	3546.89	1360.34	698.404	256.683	80.4829	30.4524	5910.97	23.4127	1.37342	0.0392507	0.00612404	0.00436632	0.0020886	0	0	0	0	0	6.2677e+07	1.7716e+07	2.2164e+08	1.628e+08	5.1511e+07	1.1526e+07	5.6931e+06	5.2227e+06	2.7501e+06	1.2858e+06	788250	1.9284e+06	654300	611980	371410	191780	295930	278660	87299	114500	70601	85224	82064	83934	51277	28357	19057	41709	53817	35742	16222	19559	18492	39514	37100	101953	7783.17	2572.67	833.828	143.423	76.3268	1.7722	0.572495	0.2299	0.158347	0.16989	0.0140968	-999	-999	-999	2.1271	0.25079	0.15716	4738.1	7479.2	859.79	1248.9	107.96	-8.8383	109.08	-12.394	-5.001	
4.206800	-1.751700	69.460000	6.616700 -16	2.0	8.9458e+07	5.9238e+07	4.2967e+07	2.9415e+07	2.4652e+07	1.5573e+07	1.14e+07	7.926e+06	7.0491e+06	4.6932e+06	3.5635e+06	2.6094e+06	1.3926e+06	1.0717e+06	804120	583440	545900	470170	443600	276020	225270	186600	180260	202130	212320	-999	-999	-999	91748.7	19503.2	6674.47	3505.82	1372.57	696.467	255.093	81.0527	31.4127	5770.76	23.5715	1.38835	0.0389727	0.0057033	0.00439437	0.00213908	0	0	0	0	0	3.2969e+07	2.1334e+07	3.1586e+08	2.2548e+08	4.3068e+07	1.4384e+07	6.7968e+06	4.1293e+06	1.7641e+06	1.7549e+06	1.5313e+06	1.0577e+06	692890	555110	344790	218430	265880	176760	88712	88807	102120	58339	28986	63541	28947	16988	22671	41793	76584	27986	11744	18204	18168	39761	36436	102702	7848.84	2586.48	823.084	138.731	77.961	2.12294	0.50242	0.3041	0.116875	0.178137	0.015629	-999	-999	-999	2.4356	0.24811	0.16295	4593.2	7772.5	866.35	1269.9	105.67	-7.4163	107.1	-10.262	-5.001	
4.230700	-1.751700	69.460000	6.616700 -16	2.0	8.4273e+07	5.6961e+07	4.1088e+07	2.8219e+07	2.2928e+07	1.6169e+07	9.0461e+06	7.9123e+06	6.1844e+06	4.6244e+06	3.5882e+06	2.4547e+06	1.3584e+06	949230	751270	599510	498500	427840	362450	300190	179410	147620	165500	188690	214620	-999	-999	-999	92244.7	19892.8	6818.42	3517.92	1356.32	706.949	253.745	82.8901	31.6297	6128.54	23.7505	1.39785	0.0396272	0.00551631	0.00452527	0.00223258	0	0	0	0	0	4.2618e+07	9.9058e+06	2.9703e+08	2.9013e+08	4.8386e+07	1.3665e+07	3.23e+06	4.5425e+06	1.9702e+06	904910	576770	899290	304220	536860	327910	174750	130500	89595	39899	126970	48503	0.0025431	25382	54957	19393	23172	15656	44369	53057	24885	14718	17233	19577	33216	34496	102884	7942.2	2608.78	811.153	142.949	79.3478	2.31347	0.521961	0.284637	-999	0.145582	0.0139217	-999	-999	-999	2.7747	0.2522	0.16244	4342.3	7071	821.19	1249.6	102.63	-11.697	104.43	-7.5206	-5.001	
4.254600	-1.738100	69.460000	6.616700 -16	2.0	9.8815e+07	6.2581e+07	3.9575e+07	3.0013e+07	2.3404e+07	1.3809e+07	1.1818e+07	8.1333e+06	6.424e+06	4.5577e+06	3.5612e+06	2.4662e+06	1.5185e+06	929150	812900	643830	520410	484430	385700	285640	184510	172360	189990	189010	210740	-999	-999	-999	92157.8	20262.8	6894.11	3520.49	1343.84	707.244	249.419	82.8768	31.3365	6230.32	23.8849	1.38962	0.039412	0.00568079	0.00460941	0.00213327	0	0	0	0	0	2.122e+07	2.2194e+07	3.8352e+08	3.4676e+08	5.9922e+07	1.7374e+07	5.9363e+06	3.0747e+06	3.3154e+06	2.3505e+06	1.1622e+06	899290	1.1856e+06	588210	578870	258910	140270	192790	17829	74515	70601	89211	92877	77971	27150	39226	19107	45499	49021	30997	17913	16479	19120	35675	36269	102840	7968.02	2591.02	819.181	145.875	80.0175	2.20273	0.652957	0.226251	0.120645	0.155135	0.016293	-999	-999	-999	3.351	0.24233	0.16298	4549.6	7572.2	836.96	1238.4	103.44	-8.0713	104.98	-7.8713	-5.001	
