Phase,PC_Date,PC_Time,YearDay,Lat,Lon,Pressure,SBE_Temp,SBE_Cond,SBE_Sal,IR_mVolts,IR_Conc,NewXCO2,dCO2,Avg_mV,GasFlow,WaterFlow,Eq_volts,Eq_Temp,SCS_Temp,SCS_Sal,pH2O,fCO2_weq,fCO2_a,fCO2_wInSitu,dfCO2,AirFlag,IR_Temp,Wind_Dir_Rel,Wind_Speed_Rel,Wind_Dir_Abs,Wind_Speed_Abs,QCFlag,Fluoro,SeaLevelPressure,COG,SOG,AirTemp
STD1,9/6/05,22:05:36,249.9205556,41.327357,-71.022655,1028.372888,20.4727,4.41364,31.5668,0,303.25,0,,0,56.940796,11.480125,293.693,20.543,20.24,31.52,23.30944274,,,,,,23.88659,313.1,17.28,107.75,12.68,,6.709,1027.72,207.8,13,19.38
STD2,9/6/05,22:09:37,249.9233449,41.314232,-71.031423,1028.536508,20.5661,4.42705,31.6043,0.3209,370.9,0.3209,,0.3209,46.490284,11.300702,293.59,20.44,20.54,31.54,23.74509988,,,,,,24.49174,312.9,16.11,104.25,11.99,,6.654,1027.72,205.3,13.1,19.33
STD3,9/6/05,22:13:38,249.9261343,41.30109,-71.040177,1028.55838,20.941,4.47666,31.7199,0.5022,411.42,0.5022,,0.5022,54.493099,11.528435,293.983,20.833,20.83,31.68,24.1714016,,,,,,25.034,311,16.89,104.06,12.92,,6.394,1027.73,208.1,13.2,19.4
WATER,9/6/05,22:17:39,249.9289236,41.287887,-71.04882,1028.501859,20.9409,4.47047,31.6711,0.6017,436.0063,434.3635943,1.642705657,,335.16394,11.279363,294.087,20.937,20.71,31.64,23.99396275,429.1683053,,425.3375041,61.43708842,,25.57721,313.2,18.05,108.77,12.92,2,6.237,1027.63,206.7,13.3,19.43
WATER,9/6/05,22:22:00,249.9319444,41.27351,-71.058282,1028.495528,20.8518,4.457,31.6304,0.6046,436.6154,435.0398022,1.575597821,,341.152405,11.270958,293.993,20.843,20.66,31.6,23.92067018,429.8641811,,426.7664091,62.8659935,,26.03643,307.5,16.31,99.11,13.35,2,6.212,1027.68,206.5,13.3,19.38
WATER,9/6/05,22:26:42,249.9352083,41.258007,-71.068483,1028.465562,20.8467,4.45559,31.6229,0.6111,438.0354,436.5569836,1.47841642,,340.22403,11.178194,293.976,20.826,20.67,31.6,23.93541721,431.3442932,,428.6931705,64.7927549,,26.43812,308.5,16.69,99.94,13.38,2,6.032,1027.66,204.9,13.3,19.4
WATER,9/6/05,22:31:03,249.9382292,41.243552,-71.077417,1028.476721,20.8275,4.45501,31.6326,0.6137,438.5871,437.1644537,1.422646299,,339.676514,11.117205,293.969,20.819,20.63,31.59,23.87660668,431.9738746,,428.7594033,64.85898763,,26.78571,319.4,16.69,109.87,10.87,2,6.121,1027.62,202.8,13.1,19.25
AIR,9/6/05,22:35:44,249.9414815,41.228098,-71.086903,1028.539086,20.8082,4.44899,31.5991,0.3079,374.3991,368.0583339,6.340766102,,555.292725,11.166843,293.944,20.794,20.64,31.56,23.89171985,,363.7055298,,,2,27.05882,317.2,17.47,110.36,11.88,,6.059,1027.73,205.4,13.1,19.1
AIR,9/6/05,22:39:25,249.9440394,41.215967,-71.09438,1028.530119,20.8086,4.44633,31.5777,0.3082,374.4749,368.1238146,6.351085418,,553.393005,11.268967,293.957,20.807,20.66,31.53,23.9215811,,363.7564808,,,2,27.30309,313.5,16.11,100.96,11.87,,5.954,1027.75,205.7,12.9,19.08
AIR,9/6/05,22:43:26,249.9468287,41.202795,-71.102395,1028.553381,20.8303,4.44885,31.5817,0.3089,374.6069,368.2766205,6.330279475,,557.789185,11.222708,293.972,20.822,20.69,31.55,23.96558697,,363.9004156,,,2,27.52843,315.3,16.69,105.39,11.8,,5.88,1027.69,205.8,12.8,19.08
WATER,9/6/05,22:47:28,249.9496296,41.189598,-71.110832,1028.446268,20.8678,4.45901,31.6344,0.6333,442.8291,441.7548333,1.074266712,,334.20578,11.254233,294.008,20.858,20.68,31.62,23.94991161,436.465579,,433.4083558,69.50794014,,27.75647,313.2,17.28,105.89,12.67,2,5.836,1027.6,207.6,13.2,19
WATER,9/6/05,22:52:09,249.9528819,41.174252,-71.120713,1028.404214,20.8313,4.46246,31.6889,0.6184,439.6085,438.2634393,1.345060697,,342.288422,11.166018,293.987,20.837,20.66,31.67,23.9197593,433.0104962,,429.9928965,66.09248086,,27.95202,312.1,15.92,100.03,12.08,2,5.804,1027.62,207.6,13.2,19.03
WATER,9/6/05,22:56:30,249.9559028,41.15985,-71.129888,1028.306025,20.821,4.46837,31.7435,0.5984,435.2763,433.5946332,1.681666798,,342.994568,11.377013,293.971,20.821,20.66,31.72,23.91910869,428.3560509,,425.6382079,61.73779225,,28.11764,305.8,15.72,94.75,13.43,2,5.767,1027.59,207.4,13.3,19.08
WATER,9/6/05,23:01:11,249.9591551,41.144403,-71.140168,1028.415544,20.8295,4.47369,31.7794,0.5785,431.015,428.9692248,2.045775248,,342.170319,11.323098,293.983,20.833,20.65,31.75,23.90398046,423.8389415,,420.7823763,56.88196067,,28.26092,310.1,15.72,98.24,12.36,2,5.71,1027.59,208.4,13.6,19.03
STD1,9/6/05,23:05:33,249.9621875,41.129978,-71.150045,1028.382027,20.7991,4.47252,31.7927,0,303.25,0.0031,,0.0031,56.713341,11.316093,293.949,20.799,20.62,31.76,23.8596847,,,,,,28.37783,318.2,16.5,106.29,11.05,,5.656,1027.63,205.6,13.4,19
STD2,9/6/05,23:09:34,249.9649769,41.116578,-71.158603,1028.454218,20.789,4.47387,31.811,0.3209,370.9,0.324,,0.324,47.991337,11.16545,293.934,20.784,20.57,31.78,23.78597498,,,,,,28.47981,321.9,16.31,109.89,10.07,,5.598,1027.69,206.6,13.3,18.98
STD3,9/6/05,23:13:35,249.9677662,41.103042,-71.167222,1028.253113,20.6922,4.4627,31.7944,0.5022,411.42,0.50505,,0.50505,54.668785,11.366645,293.85,20.7,20.5,31.76,23.68373484,,,,,,28.57708,322.3,17.86,109.65,10.21,,5.616,1027.62,203.9,13.4,18.98
WATER,9/6/05,23:17:36,249.9705556,41.089533,-71.175928,1028.320306,20.7242,4.46752,31.809,0.5514,422.7154,422.0662008,0.649199219,,363.671265,11.364019,293.865,20.715,20.57,31.78,23.78597498,417.0265317,,414.6380331,49.25102669,,28.6893,319.5,17.47,111.12,11.35,2,5.591,1027.56,206,13.6,19.05
WATER,9/6/05,23:22:17,249.9738079,41.073857,-71.186223,1028.473011,20.7419,4.46979,31.8138,0.5487,422.0912,421.4429832,0.648216759,,359.064331,11.266556,293.887,20.737,20.55,31.79,23.75652113,416.4859176,,413.4124158,48.02540941,,28.77808,321.3,16.69,108.1,10.46,2,5.536,1027.62,206.3,13.6,19.05
WATER,9/6/05,23:26:39,249.9768403,41.059342,-71.195757,1028.371069,20.6234,4.45651,31.7965,0.5503,422.4706,421.8122518,0.658348216,,356.409607,11.507577,293.787,20.637,20.39,31.78,23.5231898,416.9025602,,412.8410134,47.45400705,,28.84941,322,16.31,107.78,10.06,2,5.527,1027.64,205.4,13.6,19.1
WATER,9/6/05,23:31:00,249.9798611,41.045022,-71.20551,1028.436972,20.4788,4.44082,31.7796,0.5557,423.7192,423.0595115,0.659688487,,354.40863,11.257474,293.643,20.493,20.23,31.76,23.29199243,418.2561195,,413.915092,48.52808562,,28.90356,313.4,16.69,102.59,12.3,2,5.461,1027.65,208.8,13.1,19.15
AIR,9/6/05,23:35:41,249.9831134,41.029662,-71.215898,1028.439121,20.2573,4.41782,31.7614,0.3159,369.8019,369.1268314,0.675068632,,559.593689,11.276974,293.437,20.287,20.01,31.73,22.97737391,,365.0474109,,,2,28.94603,328.5,16.89,120.39,8.92,,5.444,1027.65,211.6,13.5,19.15
AIR,9/6/05,23:39:42,249.9859028,41.016425,-71.224855,1028.446755,20.1706,4.409,31.7556,0.3168,370.0068,369.3236824,0.683117621,,561.222412,11.311809,293.333,20.183,19.97,31.71,22.92075313,,365.2648103,,,2,28.98931,321,15.72,105.85,9.95,,5.457,1027.68,206.9,13.3,19.25
AIR,9/6/05,23:43:43,249.9886921,41.003267,-71.233763,1028.411891,20.176,4.40864,31.7487,0.3174,370.1267,369.4549397,0.671760318,,559.268066,10.814503,293.329,20.179,19.96,31.72,22.90643009,,365.3870064,,,2,29.03583,315.9,15.53,101.66,11.02,,5.504,1027.66,205.1,13.3,19.3
WATER,9/6/05,23:47:45,249.9914931,40.990007,-71.242698,1028.388358,20.1527,4.40696,31.7527,0.5803,429.4082,428.7605746,0.647625447,,353.021729,10.635514,293.289,20.139,20.16,31.7,23.19211684,423.912822,,424.2667731,58.87976677,,29.07877,314.6,15.14,100.62,10.52,2,5.401,1027.62,209.5,13.2,19.4
WATER,9/6/05,23:52:06,249.9945139,40.975753,-71.252423,1028.43004,20.5988,4.44641,31.7344,0.5927,432.2945,431.6461565,0.648343508,,349.514099,10.845641,293.708,20.558,20.55,31.68,23.75794276,426.5502322,,426.41507,61.0280636,,29.11194,315.9,15.14,98.91,10.84,2,5.37,1027.59,208.5,13.3,19.45
WATER,9/6/05,23:56:27,249.9975347,40.961565,-71.26206,1028.475489,21.1168,4.50456,31.81,0.5748,428.1241,427.4832276,0.640872428,,346.547424,10.6377,294.209,21.059,21.09,31.76,24.55988016,422.1278647,,422.6450119,57.25800551,,29.12988,316.6,15.72,103.17,10.93,2,5.392,1027.62,207.4,13.2,19.43
WATER,9/7/05,0:01:08,250.000787,40.946253,-71.272377,1028.409055,21.4548,4.54385,31.8684,0.5379,419.6023,418.9538869,0.648413099,,342.213409,10.88801,294.538,21.388,21.45,31.84,25.10719598,413.4586109,,414.4709104,49.08390403,,29.1408,317.9,16.11,107.26,10.99,2,5.333,1027.62,208,13.1,19.55
STD1,9/7/05,0:05:30,250.0038194,40.932008,-71.282052,1028.285943,21.6356,4.56496,31.8999,0.0062,303.25,0.0075,,0.0075,55.888565,10.961179,294.757,21.607,21.57,31.87,25.29194193,,,,,,29.15205,313.9,15.34,98.55,11.37,,5.28,1027.7,210.7,13.2,19.63
STD2,9/7/05,0:09:31,250.0066088,40.91847,-71.288397,1028.327983,21.622,4.56104,31.8793,0.3271,370.9,0.3285,,0.3285,48.709099,10.974905,294.772,21.622,21.43,31.86,25.07617886,,,,,,29.16231,324.7,18.44,101.13,10.91,,5.262,1027.5,183.3,13.1,19.58
STD3,9/7/05,0:13:32,250.0093981,40.90417,-71.290025,1028.315049,21.3637,4.5272,31.8052,0.5079,411.42,0.5093,,0.5093,56.245655,11.094294,294.563,21.413,21.1,31.77,24.57483741,,,,,,29.17808,332.7,18.05,110.36,8.82,,5.246,1027.47,183.1,12.6,19.53
WATER,9/7/05,0:17:33,250.0121875,40.889843,-71.29163,1028.208051,21.1456,4.50301,31.7764,0.5208,414.3884,414.0562335,0.332166481,,341.937408,11.019473,294.317,21.167,20.88,31.76,24.24483691,408.8849002,,404.2730159,38.69452703,,29.19625,330.4,18.05,106.97,9.58,2,5.221,1027.51,184.7,12.9,19.53
WATER,9/7/05,0:22:14,250.0154398,40.873312,-71.293332,1028.377028,20.9044,4.47644,31.7454,0.5404,418.8917,418.5655304,0.326169629,,337.895508,10.759145,294.065,20.915,20.69,31.72,23.96337073,413.5200533,,409.8544422,44.2759533,,29.20028,324.9,17.66,101.66,10.34,2,5.205,1027.44,182.7,12.6,19.55
WATER,9/7/05,0:26:35,250.0184606,40.858355,-71.294638,1028.319933,20.8717,4.47491,31.7576,0.5499,421.0802,420.7585233,0.32167674,,332.756653,10.938953,294.018,20.868,20.77,31.71,24.08188432,415.6153214,,414.0064673,48.42797838,,29.20078,320,16.11,97.13,10.36,2,5.191,1027.53,187.8,12.2,19.58
WATER,9/7/05,0:30:57,250.0214931,40.844507,-71.301942,1028.193541,21.0411,4.48317,31.6972,0.5477,420.5825,420.2502445,0.332255545,,336.109436,10.843347,294.163,21.013,20.92,31.65,24.30602559,414.9709509,,413.4478406,47.86935174,,29.19648,310.7,13.39,95.58,10.97,2,5.157,1027.59,209.9,12.7,19.55
AIR,9/7/05,0:35:38,250.0247454,40.830997,-71.314,1028.412006,21.0544,4.4807,31.6679,0.3255,370.54,370.2423435,0.297656465,,561.486938,11.019847,294.198,21.048,20.9,31.65,24.27614061,,365.6814011,,,2,29.18991,301.5,13.2,95.32,12.71,,5.137,1027.69,215.2,12.7,19.45
AIR,9/7/05,0:39:39,250.0275347,40.819677,-71.325572,1028.420385,21.0652,4.48473,31.6917,0.3256,370.5726,370.2642577,0.308342308,,561.083435,10.957891,294.204,21.054,20.97,31.67,24.38061361,,365.6691125,,,2,29.19135,315.3,11.65,93.56,9.46,,5.132,1027.74,216.6,12.8,19.45
AIR,9/7/05,0:43:40,250.0303241,40.808055,-71.337198,1028.507502,21.2063,4.50584,31.7537,0.3258,370.6156,370.3080876,0.307512396,,559.426758,10.878549,294.284,21.134,21.28,31.74,24.84826851,,365.5784889,,,2,29.19835,310.1,13.78,102.73,11.32,,5.079,1027.73,220.4,13.5,19.4
WATER,9/7/05,0:47:41,250.0331134,40.796202,-71.349053,1028.436657,21.605,4.56692,31.9379,0.5514,421.4289,421.1052248,0.323675163,,335.670868,10.899008,294.689,21.539,21.55,31.9,25.26058775,415.5313384,,415.7114245,50.13293559,,29.20792,316.8,13.01,104.03,9.79,2,4.963,1027.71,218.3,13.4,19.48
WATER,9/7/05,0:52:03,250.0361458,40.783342,-71.36194,1028.270459,21.5859,4.55758,31.8789,0.5269,415.7873,415.4574434,0.329856579,,336.007599,10.99069,294.746,21.596,21.45,31.84,25.10719598,409.9513906,,407.5999971,42.02150822,,29.21321,307.3,13.59,98.76,11.98,2,4.962,1027.71,220.2,13.3,19.45
WATER,9/7/05,0:56:44,250.0393981,40.769525,-71.375708,1028.227703,21.604,4.55703,31.8612,0.5173,413.5841,413.2531557,0.33094431,,329.658783,10.955909,294.742,21.592,21.5,31.83,25.18433793,407.7284191,,406.252771,40.67428213,,29.21048,312.3,12.04,94.83,10.31,2,4.972,1027.64,215.4,13.2,19.5
WATER,9/7/05,1:01:05,250.042419,40.75667,-71.388433,1028.307371,21.6775,4.56473,31.8671,0.5109,412.1106,411.7863584,0.324241644,,331.884125,11.005681,294.807,21.657,21.58,31.84,25.30783834,406.2648151,,405.03419,39.45570105,,29.20005,309.1,12.23,89.35,10.71,2,4.95,1027.61,216.1,13.1,19.45
STD1,9/7/05,1:05:46,250.0456713,40.742308,-71.401278,1028.288736,21.7197,4.56985,31.8759,0.0088,303.25,0.0095,,0.0095,54.56078,11.05588,294.844,21.694,21.6,31.85,25.33869263,,,,,,29.19511,315.2,13.59,94.76,10.32,,4.909,1027.64,211.6,13.5,19.53
STD2,9/7/05,1:09:27,250.0482292,40.730327,-71.41017,1028.281689,21.7242,4.57085,31.8804,0.3299,370.9,0.33055,,0.33055,47.319267,11.015306,294.862,21.712,21.61,31.86,25.35406313,,,,,,29.1919,305.2,13.01,86.44,11.97,,4.907,1027.62,211.1,13.6,19.6
STD3,9/7/05,1:13:29,250.0510301,40.716877,-71.41902,1028.197093,21.7871,4.58119,31.9146,0.5107,411.42,0.5113,,0.5113,57.00034,10.911346,294.904,21.754,21.74,31.85,25.55656695,,,,,,29.19727,308.7,12.81,85.35,11.5,,4.861,1027.55,210.1,13.4,19.65
WATER,9/7/05,1:17:30,250.0538194,40.703498,-71.427855,1028.261922,22.328,4.65018,32.0507,0.4919,407.1436,406.9869893,0.15661074,,335.231354,10.878738,295.432,22.282,22.44,32.02,26.6682165,400.9810945,,403.4754376,39.31591911,,29.20452,320.9,13.01,90.77,9.77,2,4.784,1027.55,204.2,13.6,19.75
WATER,9/7/05,1:22:11,250.0570718,40.687802,-71.438135,1028.19049,22.6104,4.68104,32.0807,0.4801,404.4415,404.3004988,0.141001169,,335.135864,10.676188,295.71,22.56,22.55,32.06,26.84649434,398.2367143,,398.0806992,33.92118075,,29.20365,303.6,12.81,83.11,12.5,2,4.75,1027.58,210.6,13.5,19.72
WATER,9/7/05,1:26:32,250.0600926,40.67314,-71.447312,1028.17641,22.5542,4.67433,32.0704,0.4773,403.8171,403.6641232,0.152976753,,329.864349,10.952038,295.694,22.544,22.47,32.05,26.71645748,397.6546378,,396.5030483,32.34352985,,29.19584,315.3,13.98,92.28,10.46,2,4.739,1027.47,198.9,13.5,19.85
WATER,9/7/05,1:31:14,250.0633565,40.657453,-71.457687,1028.04244,22.5166,4.67147,32.0761,0.4788,404.1443,404.0049864,0.139313576,,329.606567,11.006946,295.662,22.512,22.36,32.06,26.53821231,398.0062451,,395.6419014,31.48238296,,29.1884,302.3,11.45,81.91,12.49,2,4.709,1027.36,208.9,13.4,19.92
AIR,9/7/05,1:35:35,250.0663773,40.643117,-71.467523,1028.123126,22.4508,4.66694,32.0896,0.3262,370.0751,369.9464312,0.128668769,,562.955261,11.020266,295.604,22.454,22.34,32.1,26.50536545,,364.4944168,,,2,29.18016,296.1,13.2,82.35,13.97,,4.717,1027.28,207.9,13.3,19.97
AIR,9/7/05,1:39:36,250.0691667,40.629927,-71.476758,1027.972941,22.6358,4.70713,32.2622,0.326,370.0364,369.9026134,0.133786598,,560.368591,11.068976,295.748,22.598,22.62,32.26,26.95792483,,364.2360632,,,2,29.17891,307.8,10.87,76.49,10.92,,4.681,1027.36,206.9,13.4,19.97
AIR,9/7/05,1:43:37,250.071956,40.616648,-71.485622,1028.030093,22.7963,4.72903,32.3117,0.3259,370.0152,369.8807053,0.134494708,,562.263672,10.886631,295.905,22.755,22.75,32.26,27.17142079,,364.1595185,,,2,29.18255,295.7,11.84,76.31,13.37,,4.645,1027.34,206.6,13.5,20.07
WATER,9/7/05,1:47:38,250.0747454,40.603255,-71.494368,1027.94216,22.8656,4.72327,32.2167,0.4875,406.1325,405.9843736,0.148126448,,327.996277,10.814719,296,22.85,22.77,32.17,27.20572903,399.6562518,,398.4081812,34.24866271,,29.18992,299,11.26,75.42,12.65,2,4.633,1027.34,205.4,13.3,20.15
WATER,9/7/05,1:51:59,250.0777662,40.58881,-71.503765,1028.035293,22.8285,4.70985,32.1414,0.4829,405.0839,404.9372951,0.146604925,,326.431396,11.086425,295.946,22.796,22.74,32.11,27.15716168,398.6814553,,397.8090929,33.64957444,,29.19376,317.4,13.59,95.84,9.74,2,4.637,1027.28,206.4,13.1,20.17
WATER,9/7/05,1:56:41,250.0810301,40.573358,-71.51413,1027.829848,22.8369,4.70678,32.1117,0.4802,404.4624,404.3232343,0.139165689,,325.566162,10.947923,295.965,22.815,22.73,32.09,27.14098932,398.0014415,,396.6804002,32.52088176,,29.19081,305.2,13.78,91.82,12.34,2,4.588,1027.15,206.1,13,20.2
WATER,9/7/05,2:01:02,250.0840509,40.5591,-71.523778,1027.674937,22.862,4.71313,32.1419,0.4796,404.3248,404.1868295,0.137970518,,324.67157,11.003576,295.989,22.839,22.78,32.13,27.22282344,397.7738438,,396.8570761,32.69755765,,29.18383,296,12.23,79.5,13.33,2,4.584,1027.09,205.1,13.3,20.17
STD1,9/7/05,2:05:43,250.0873032,40.542577,-71.526582,1027.793107,22.8566,4.71281,32.1434,0.0102,303.25,0.01055,,0.01055,54.871292,11.060143,295.99,22.84,22.77,32.14,27.20617303,,,,,,29.18348,306.3,16.31,73.22,13.59,,4.551,1026.95,179,13.2,20.27
STD2,9/7/05,2:09:44,250.0900926,40.528135,-71.526693,1027.579068,22.8816,4.72156,32.1919,0.3312,370.9,0.33165,,0.33165,47.505589,11.297637,296,22.85,22.76,32.16,27.18938362,,,,,,29.18146,319.4,15.92,82.67,10.42,,4.54,1026.95,179.8,13.2,20.27
STD3,9/7/05,2:13:45,250.0928819,40.513853,-71.526867,1027.63728,22.8776,4.72485,32.2199,0.5119,411.42,0.5124,,0.5124,56.530594,11.160811,296.008,22.858,22.75,32.2,27.17230768,,,,,,29.18609,322.6,16.31,87.47,9.91,,4.562,1026.9,179.2,12.6,20.27
WATER,9/7/05,2:17:46,250.0956713,40.499497,-71.526745,1027.729567,22.8648,4.72318,32.2165,0.4844,405.1371,405.0280321,0.109067895,,331.523926,10.812404,296,22.85,22.74,32.2,27.1558321,398.6495126,,396.9385389,33.73742851,,29.19575,321,16.31,91.44,9.63,2,4.523,1026.96,184.1,12.7,20.2
WATER,9/7/05,2:22:08,250.0987037,40.483803,-71.526505,1027.625835,22.8697,4.73667,32.316,0.4875,405.8355,405.7336386,0.101861415,,334.00174,11.17196,296.022,22.872,22.72,32.33,27.12098906,399.3161899,,396.9504787,33.74936833,,29.19863,315,17.08,83.7,12.11,2,4.501,1026.94,177.2,13.1,20.32
WATER,9/7/05,2:26:29,250.1017245,40.46813,-71.526465,1027.590169,22.8206,4.74401,32.4083,0.5038,409.5715,409.4522663,0.119233697,,334.992737,11.174098,295.965,22.815,22.69,32.39,27.07078686,402.9813669,,401.0170349,37.81592452,,29.19205,323.2,15.53,85.43,9.32,2,4.493,1026.95,179.9,12.8,20.3
WATER,9/7/05,2:31:10,250.1049769,40.451225,-71.526597,1027.649312,22.7487,4.74281,32.4523,0.5158,412.3203,412.1990384,0.121261637,,330.109406,10.844735,295.902,22.752,22.57,32.46,26.87327808,405.786826,,402.9097,39.70858958,,29.18045,311.3,16.11,78.56,12.46,2,4.476,1026.78,179.5,12.9,20.35
AIR,9/7/05,2:35:31,250.1079977,40.435517,-71.526808,1027.457775,22.7283,4.74571,32.4897,0.3224,368.9695,368.8736225,0.095877525,,561.66272,10.933993,295.846,22.696,22.63,32.47,26.97121404,,363.0312298,,,2,29.17408,309.6,17.28,79.8,13.48,,4.476,1026.72,181,13.4,20.37
AIR,9/7/05,2:39:33,250.1107986,40.420857,-71.526948,1027.464163,22.7203,4.74122,32.4612,0.3228,369.0589,368.9611544,0.097745581,,562.687683,10.890576,295.845,22.695,22.57,32.44,26.87357046,,363.1542511,,,2,29.17232,310.2,17.08,78.89,13.19,,4.473,1026.6,178.2,13,20.45
AIR,9/7/05,2:43:34,250.113588,40.406317,-71.526942,1027.419158,22.6411,4.73025,32.4357,0.3228,369.0571,368.9611544,0.095945581,,557.528931,11.022291,295.787,22.637,22.46,32.41,26.694995,,363.2011104,,,2,29.18131,317.8,15.92,86.55,11.35,,4.461,1026.52,182.2,13.2,20.35
WATER,9/7/05,2:47:35,250.1163773,40.391793,-71.526723,1027.265422,22.5369,4.71621,32.4051,0.5179,412.7951,412.6805197,0.114580299,,336.255951,11.181922,295.683,22.533,22.37,32.39,26.54959361,406.2330828,,403.648645,40.44753467,,29.18676,319.5,18.05,89.95,11.74,2,4.484,1026.5,174,13.2,20.45
WATER,9/7/05,2:52:16,250.1196296,40.374813,-71.526487,1027.334391,22.4326,4.70451,32.3924,0.5137,411.8341,411.7177942,0.116305802,,335.704559,10.783918,295.555,22.405,22.27,32.38,26.3886726,405.3768549,,403.2375593,40.0364489,,29.19014,324.1,15.92,87.36,9.34,2,4.479,1026.53,176,12.6,20.35
WATER,9/7/05,2:56:37,250.1226505,40.360302,-71.533522,1027.226848,22.3945,4.70128,32.3958,0.5126,411.5691,411.4658086,0.103291424,,336.024048,11.060591,295.52,22.37,22.3,32.37,26.43704616,405.0661378,,403.9559962,40.75488586,,29.18557,300.9,14.56,94.64,13.83,2,4.468,1026.69,208.9,13.3,20.37
WATER,9/7/05,3:00:58,250.1256713,40.346748,-71.544635,1027.345721,22.4264,4.70647,32.4122,0.5126,411.5691,411.4658086,0.103291424,,334.50528,11.052848,295.566,22.416,22.28,32.4,26.40445335,405.1271135,,402.9734469,39.77233657,,29.1729,317.8,11.26,81.62,11.37,2,4.451,1026.69,207.8,13.3,20.47
STD1_Drain,9/7/05,3:05:40,250.1289352,40.331493,-71.555298,1027.370329,22.348,4.69845,32.4086,0.0109,303.25,0.01105,,0.01105,52.753418,11.044062,295.513,22.363,22.13,32.42,26.16404625,,,,,,29.16899,308.3,14.95,94.4,12.34,,4.394,1026.61,208.8,13.1,20.42
STD2,9/7/05,3:09:41,250.1317245,40.318135,-71.56353,1027.257802,22.2519,4.68731,32.3939,0.3321,370.9,0.33245,,0.33245,46.94492,11.090132,295.394,22.244,22.16,32.38,26.21248735,,,,,,29.16701,306.3,14.56,89.84,12.67,,4.395,1026.7,206.3,13.3,20.52
STD3,9/7/05,3:13:42,250.1345139,40.304743,-71.571677,1027.495633,22.2954,4.69407,32.4138,0.5129,411.42,0.51315,,0.51315,54.940136,11.019028,295.438,22.288,22.16,32.4,26.21220216,,,,,,29.17291,314.9,13.98,96.1,10.45,,4.384,1026.77,203.9,13.3,20.5
WATER,9/7/05,3:17:43,250.1373032,40.291868,-71.580982,1027.518952,22.2536,4.69052,32.4175,0.5587,421.9493,421.9163865,0.032913455,,342.095764,10.906549,295.4,22.25,22.11,32.4,26.13245922,415.598601,,413.3245059,49.37063589,,29.18443,310.6,12.81,88.75,11.45,2,4.38,1026.75,211.1,13.2,20.5
WATER,9/7/05,3:22:04,250.1403241,40.277785,-71.590772,1027.522661,22.3061,4.70095,32.4591,0.5564,421.4189,421.3836575,0.035242458,,338.215485,11.158992,295.415,22.265,22.29,32.44,26.41995485,414.9592618,,415.3660242,51.41215415,,29.18545,307.9,12.81,87.31,11.52,2,4.347,1026.76,204.1,13.3,20.47
WATER,9/7/05,3:26:46,250.143588,40.262512,-71.601082,1027.339504,22.5172,4.72512,32.4883,0.5409,417.8478,417.8010848,0.046715153,,337.025208,10.986102,295.613,22.463,22.42,32.47,26.62928858,411.2721757,,410.5803681,46.62649806,,29.18519,309.4,12.42,85.51,10.97,2,4.352,1026.63,208.9,13.3,20.65
WATER,9/7/05,3:31:07,250.1466088,40.24851,-71.611025,1027.250067,22.3923,4.71753,32.5228,0.5292,415.1634,415.1055376,0.057862364,,338.241943,11.172129,295.57,22.42,22.16,32.54,26.21020591,408.7490333,,404.6068281,40.6529581,,29.1746,318.4,12.42,95.21,9.31,2,4.339,1026.63,210.5,12.9,20.62
AIR,9/7/05,3:35:28,250.1496296,40.234498,-71.620843,1027.155573,22.2936,4.70981,32.5369,0.3259,369.5332,369.4648305,0.068369548,,560.435303,10.876762,295.436,22.286,22.13,32.52,26.16262297,,363.7897278,,,2,29.16794,310.4,15.34,97.83,12.08,,4.335,1026.51,208.7,13.3,20.62
AIR,9/7/05,3:39:29,250.152419,40.22136,-71.629138,1027.172389,22.2357,4.70408,32.5358,0.3262,369.6036,369.530512,0.073087952,,560.094604,11.215837,295.369,22.219,22.08,32.52,26.08301254,,363.8887087,,,2,29.1685,318.2,14.17,100.2,9.73,,4.33,1026.53,207.8,13.3,20.62
AIR,9/7/05,3:43:30,250.1552083,40.208342,-71.637805,1027.266811,22.2568,4.70644,32.5384,0.3265,369.6656,369.5961986,0.069401426,,560.425903,11.194924,295.393,22.243,22.14,32.52,26.17857051,,363.95387,,,2,29.17548,308.5,13.39,95.9,12.09,,4.32,1026.57,208.1,13.6,20.67
WATER,9/7/05,3:47:32,250.1580093,40.195443,-71.64709,1027.221921,22.2459,4.7052,32.5369,0.514,411.6582,411.6148303,0.043369673,,344.740845,10.996435,295.37,22.22,22.12,32.52,26.14668392,405.3254416,,403.7378031,39.7839331,,29.18741,314.7,15.14,100.5,11.29,2,4.313,1026.54,211.2,13.3,20.6
WATER,9/7/05,3:52:13,250.1612616,40.180443,-71.657872,1027.232864,22.2028,4.70034,32.5315,0.5075,410.1898,410.1259573,0.063842661,,340.886871,11.079738,295.341,22.191,22.02,32.52,25.98775953,403.9261985,,401.2234818,37.2696118,,29.19146,310,12.81,90.4,10.91,2,4.289,1026.49,207.6,13,20.57
