Dataset:              EMAP Lake Watershed Characteristics
File Name:            watchar
Date Created:         10/16/98
# Variables:          41
# Header Records:     51
# Data Records:       365
Missing Value Symbol: .

Variables:    AG_TOT           % watershed agricultural/range
              AREA_WS          Area of watershed (ha) excluding sampled lake
              AV_DEP           Est. Mean depth (m) 
              BAR_TOT          % watershed barren land
              COM_STRS         Comments on data peculiarities          
              DISTOT           % watershed human disturbed land
              DOMECO           Dominant ecoregion in watershed(level 3)
              DOMLAB           Name of dominant ecoregion(level 3)
              ECOREG4          Level 4 ecoregion classification
              ELEV             Lake elevation (m) from map
              FOR_TOT          % watershed - forest
              H2O_TOT2         % watershed in H2O excluding sample lake
              HI_PT            High point of watershed (m)            
              HOUDENKM         Housing unit density (housing/sq km)
              HOUSINGU         Est. # housing units in watershed
              HYDSHRDV         Hydrologic shoreline development
              KM_SEA           Distance from ocean (km) 
              LAKENAME         Lake Name
              LAKE_ID          Lake Identification Code
              LAT_DD           Lake Latitude (decimal degrees)
              LKVOL2M3         Est. lake volume (m**3) 
              LK_HA            Lake surface area (ha) 
              LON_DD           Lake Longitude (decimal degrees)
              LTROFF_M         Long term average annual runoff (m) 
              MAPSCDIG         Denominator of map scale used to digitize 
              MINE_TOT         %watershed-strip mine/quarrie/gravel pit
              NONRES           % watershed non-res. urban land
              POPDENKM         Population density (persons/sq km
              POPEST           Est. Human population in watershed
              PRECIP_M         Long term precipitation average (m)
              RD_DEN           Road density (m/ha) (TOT_RD / AREA_WS)
              RETENT           Est. water retention time for lakes (yrs) 
              SAMPLED          Field sampled (Yes/No)
              SAMPLK           % watershed occupied by sampled lake
              SHR_LTH          Length of shoreline including islands 
              SLOPE            Est. slope of the watershed (%/100)
                                (HI_PT/watershed length) 
              STUDY            EMAP/REMAP/TIME
              TOT_RD           Meters of road in watershed
              URB_TOT          %wshed urban (including mines/quarries)
              WETL_TOT         % watershed wetlands
              YEAR             Sample Year

"AG_TOT","AREA_WS","AV_DEP","BAR_TOT","COM_STRS","DISTOT","DOMECO","DOMLAB","ECOREG4","ELEV","FOR_TOT","H2O_TOT2","HI_PT","HOUDENKM","HOUSINGU","HYDSHRDV","KM_SEA","LAKENAME","LAKE_ID","LAT_DD","LKVOL2M3","LK_HA","LON_DD","LTROFF_M","MAPSCDIG","MINE_TOT","NONRES","POPDENKM","POPEST","PRECIP_M","RD_DEN","RETENT","SAMPLED","SAMPLK","SHR_LTH","SLOPE","STUDY","TOT_RD","URB_TOT","WETL_TOT","YEAR" 
0,26.3,1.53,0," ",55.67,591,"Northeastern Coastal Zone","591",53,44.36,0,62,11.47,3.13,1.11,130,"NO NAME (ALLARD'S POND)","MA509L",42.4383,92025.12,6.01,-72.619,0.63,25000,0,11.28,30.82,8.4,1.15,28.7,0.45,"Yes",18.62,966.49,0," ",754.74,55.67,0,1993 
14.88,130.41,6.03,0,"XXXXX",51.96,593,"Northeastern Coastal Zone","593",157,28.12,0,203,143.04,192.25,1.45,61,"LAKE WHALOM","MA750L",42.5734,2359718.4,39.12,-71.7412,0.61,25000,0,8.05,362.16,486.79,1.16,58.85,2.28,"Yes",23.08,3207.87,0.02," ",7674.24,37.08,0,1994 
0.09,1706.94,4.64,0,"XXXXX",2.86,587,"Northeastern Highlands","587",253,82.99,0,398,19.24,324.14,1.76,112,"LAKE WYOLA","MA751L",42.5014,2358512,50.83,-72.431,0.58,25000,0,0,28,471.64,1.14,19.92,0.23,"Yes",2.89,4452.84,0.03," ",33996.09,2.77,11.88,1994 
0,86.16,1.25,0,"XXXXX",0,587,"Northeastern Highlands","587",325,99.99,0,361,0.66,0.57,1.6,114,"WICKETT POND","MA752L",42.5511,156474.72,12.49,-72.4316,0.57,25000,0,0,1.48,1.27,1.14,27.14,0.28,"Yes",12.66,2004.67,0.02," ",2337.97,0,0,1994 
0.52,60.45,4.18,0,"XXXXX",0.83,593,"Northeastern Coastal Zone","593",41,79.79,6.98,104,127.13,76.53,1.93,30,"KINGSBURY POND","MA753L",42.1223,357465.6,8.56,-71.3739,0.63,25000,0,0.3,357.89,215.44,1.18,35.55,0.82,"Yes",12.4,1997.25,0.05," ",2149.18,0.3,0,1994 
0,524.77,0.6,0,"XXXXX",24.66,593,"Northeastern Coastal Zone","593",2,75.34,0,81,63.25,332.96,1.78,0,"LITTLE CREEKS POND","MA754L",42.1342,9892.48,1.64,-70.7106,0.71,25000,10.74,12.56,195.03,1026.62,1.21,39.41,0,"Yes",0.31,805.64,0.03," ",20679.12,13.92,0,1994 
0.05,1549.16,4.59,0,"XXXXX",0.05,595,"Northeastern Coastal Zone","595",44,78.78,0.07,108,1.34,20.32,1.76,8,"COPICUT RESERVOIR","MA755L",41.7103,11292446.88,245.83,-71.0365,0.63,25000,0,0,4.39,66.87,1.2,8.53,0.99,"Yes",13.7,9790.39,0.01," ",13219.63,0,7.39,1994 
0.22,847.19,2.51,0,"XXXXX",5.41,592,"Northeastern Coastal Zone","592",175,82.3,0,278,58.96,498.4,2.67,64,"CEDAR POND","MA757L",42.1239,1493337.6,59.6,-72.0886,0.61,25000,1.76,3.1,144.64,1222.6,1.19,33.99,0.27,"Yes",6.57,7309.27,0.02," ",28798.95,3.42,5.83,1994 
4.33,1006.56,2.18,0.03,"XXXXX",15.48,592,"Northeastern Coastal Zone","592",178,78.86,0,281,20.85,210.17,2.16,63,"WALKER POND","MA758L",42.138,917026.4,42.05,-72.0612,0.61,25000,0.8,4.57,67.44,679.78,1.2,22.49,0.14,"Yes",4.01,4960.01,0.02," ",22633.56,10.35,2.72,1994 
8.62,3726.38,4.5,0,"XXXXX",8.95,583,"Northeastern Highlands","583",441,84.75,0.13,690,4.28,159.4,2.73,133,"WINDSOR RESERVOIR","MA759L",42.4863,1354740.8,30.1,-73.1067,0.76,25000,0,0.34,13.31,496.29,1.21,11.63,0.05,"Yes",0.8,5314.72,0.03," ",43327,0.34,5.37,1994 
0,38.74,2.64,0,"XXXXX",3.05,58,"Northeastern Highlands"," ",176,73.33,1.94,198,40.641,15.728,1.262,42,"MOOSE POND","ME001L",43.58806,283522.56,10.72,-70.93389,0.6329,24000,0,0,6.675,2.586,1.273,50.15,0.906,"Yes",21.67,1464.568,0.03,"EMAP",1942.9,3.05,0,1991 
0,115.14,3.8,0,"XXXXX",0,58,"Northeastern Highlands"," ",722,86.31,4.29,899,0.72,0.814,1.412,113,"MOUNTAIN POND","ME002L",44.895,454293.12,11.94,-70.64417,0.663,24000,0,0,0.557,0.63,1.186,0,0.539,"Yes",9.4,1730.003,0.14,"EMAP",0,0,0,1991 
0,397.3,1.21,0,"XXXXX",0,58,"Northeastern Highlands"," ",385,93.21,2.25,588,0.126,0.501,1.677,132,"SHAW POND","ME004L",45.28667,227768.32,18.88,-70.27972,0.6096,24000,0,0,0,0,0.955,17.42,0.09,"Yes",4.54,2583.24,0.06,"EMAP",6920.95,0,0,1991 
0,14918.68,3.9,0,"1992_REPEAT",0,58,"Northeastern Highlands"," ",313,89.9,1.48,724,0.056,8.248,3.491,172,"LOON LAKE","ME006L",46.145,20944922.88,537.38,-69.64806,0.5716,62500,0,0,0,0,1.025,6.77,0.237,"Yes",3.48,28689.957,0.03,"EMAP",101054.74,0,5.14,1991 
0,86.5,2.27,0,"XXXXX",0,58,"Northeastern Highlands"," ",334,100,0,405,3.994,3.431,1.149,95,"BEAR POND","ME007L",45.33889,33421.92,1.47,-69.60417,0.7172,24000,0,0,5.789,4.974,1.07,6.86,0.053,"Yes",1.67,493.811,0.04,"EMAP",593.77,0,0,1991 
30.63,3709.83,0.79,0,"XXXXX",31.99,59,"Northeastern Coastal Zone"," ",66,65.44,0,178,8.364,310.261,2.157,42,"ALDER BROOK STREAM","ME009L",44.91833,230960.64,29.28,-69.25056,0.6359,24000,0.12,0.66,19.425,720.6,1.074,12.74,0.01,"Yes",0.78,4137.067,0.01,"EMAP",47250.66,1.24,1.98,1991 
0,4113.12,8.35,0,"XXXXX",0,58,"Northeastern Highlands"," ",296,94.49,0.14,769,0.144,5.891,1.519,122,"FEMALE POND","ME011L",45.74806,3358339.2,40.21,-69.22167,0.6513,24000,0,0,0,0,1.092,2.37,0.124,"Yes",0.97,3415.583,0.06,"EMAP",9759.93,0,4.41,1991 
0,789.15,20.51,0,"XXXXX",0,58,"Northeastern Highlands"," ",346,85.7,1.54,600,0.011,0.086,1.602,215,"GARDNER POND","ME012L",46.96111,23673307.84,115.43,-68.88889,0.5588,24000,0,0,0,0,1.065,0,4.683,"Yes",12.76,6102.479,0.06,"EMAP",0,0,0,1991 
0,59.02,1.62,0,"1992_REPEAT",0,58,"Northeastern Highlands"," ",397,99.98,0,582,0.012,0.007,1.127,215,"LITTLE BLACK PONDS","ME013L",46.97389,54404,3.35,-68.85222,0.5588,24000,0,0,0,0,1.052,0,0.156,"Yes",5.37,731.135,0.19,"EMAP",0,0,0,1991 
0.01,4159.73,5.71,0,"XXXXX",0.01,58,"Northeastern Highlands"," ",102,80.35,4.61,289,0.29,11.542,2.286,47,"UPPER SYSLADOBSIS LAKE","ME015L",45.30556,25201853.76,441.58,-68.14111,0.6604,24000,0,0,0.184,7.316,1.158,3.92,0.829,"Yes",9.6,17026.938,0.02,"EMAP",16321.74,0,5.44,1991 
0,68.14,2.09,0,"XXXXX",0,58,"Northeastern Highlands"," ",380,88.3,3.53,546,0.009,0.006,1.295,212,"UPPER","ME017L",46.94306,126115.2,6.04,-68.85417,0.5588,24000,0,0,0,0,1.06,13.18,0.304,"Yes",8.17,1127.942,0.2,"INDIC",898.35,0,0,1991 
0,313.51,5.57,0,"XXXXX",0,58,"Northeastern Highlands"," ",281,80.06,12.26,497,0.841,2.681,1.861,232,"HUNNEWELL","ME018L",47.16667,1452691.2,26.09,-68.80417,0.5588,24000,0,0,1.918,6.115,1.029,6.37,0.766,"Yes",7.68,3369.679,0.11,"INDIC",1998.43,0,0,1991 
57.82,243,2,0,"XXXXX",57.82,58,"Northeastern Highlands"," ",234,28.02,7.18,381,2.563,6.264,1.973,227,"BLACK","ME019L",47.2125,381282.72,19.11,-68.46528,0.5641,24000,0,0,4.8,11.729,0.951,8.86,0.258,"Yes",6.99,3057.981,0.08,"INDIC",2152.23,0,0,1991 
4.39,1648.41,5.8,0,"XXXXX",5.82,59,"Northeastern Coastal Zone"," ",80,81.33,0,239,14.648,244,4.284,38,"TORSEY","ME020L",44.41667,14926300,257.35,-69.9875,0.6462,24000,0,0.97,16.986,282.957,1.098,20.65,1.212,"Yes",13.38,24365.786,0.02,"INDIC",34042.73,1.43,0,1991 
0,6216.84,19.16,0,"XXXXX",0,58,"Northeastern Highlands"," ",153,87.63,9.63,509,0.045,2.502,1.91,121,"FIRST DEBSCONEAG","ME021L",45.77222,26939626.56,140.58,-68.98333,0.7018,24000,0,0,0.003,0.192,1.069,0.16,0.604,"Yes",2.21,8027.975,0.03,"INDIC",974.66,0,0.52,1991 
0,8793.66,17.21,0,"XXXXX",0,58,"Northeastern Highlands"," ",315,86.95,0,922,0.03,2.58,2.215,143,"HARRINGTON","ME022L",45.9375,85116600.8,494.45,-69.16667,0.6295,24000,0,0,0.002,0.17,1.052,6.98,1.456,"Yes",5.32,17459.291,0.05,"INDIC",61399.63,0,8.33,1991 
0,3050.77,7.19,0,"XXXXX AKA ME761L",0,58,"Northeastern Highlands"," ",419,80.93,2.53,887,0.013,0.38,2.01,148,"NESOWADNEHUNK","ME023L",46.04167,39929264.8,555.19,-69.08333,0.6262,24000,0,0,0.005,0.137,1.074,11,1.768,"Yes",15.32,16792.157,0.06,"INDIC",33569.31,0,1.22,1991 
0,2009.68,0.56,0," ",0,58,"Northeastern Highlands"," ",262,95.38,0.17,462,0.01,0.11,2.15,244,"LITTLE FALLS POND","ME250L",47.18167,152897.28,27.46,-69.10194,0.6,62500,0,0,0,0.07,0.99,2.11,0.01,"Yes",1.35,3996.12,0.03," ",4235.9,0,3.1,1992 
0,195.79,0.56,0," ",0,58,"Northeastern Highlands"," ",263,100,0,381,0.04,0.07,1.45,190,"MUD POND","ME251L",46.77778,45490.56,8.17,-68.68472,0.57,24000,0,0,0,0,1.02,0,0.04,"Yes",4.01,1471.01,0.05," ",0,0,0,1992 
0,22663.73,16.94,0," ",0,58,"Northeastern Highlands"," ",248,94.11,1.38,699,0.12,27.02,2.49,166,"MUNSUNGAN LAKE","ME252L",46.37667,112395764,663.65,-68.97722,0.57,62500,0,0,0,0,0.83,4.46,0.84,"Yes",2.84,22698.22,0.02," ",101045.72,0,1.67,1992 
0,66.57,0.93,0," ",0,58,"Northeastern Highlands"," ",246,38.51,20.72,276,0.04,0.03,1.37,139,"OTTER POND","ME253L",46.37389,212419.2,22.89,-68.35806,0.66,62500,0,0,0.02,0.01,1.04,2.91,0.36,"Yes",25.6,2315.6,0.03," ",193.51,0,15.17,1992 
0,236.84,6.96,0,"NESTED_IN_ME252",0,58,"Northeastern Highlands"," ",344,84.17,1.72,575,0.1,0.23,1.3,170,"BIG REED POND","ME254L",46.35278,2709528,38.93,-69.0575,0.58,24000,0,0,0,0,0.89,6.33,1.68,"Yes",14.12,2880.56,0.09," ",1499.59,0,0,1992 
0,120.04,1.16,0,"NESTED_IN_ME252",0,58,"Northeastern Highlands"," ",381,92.91,0,570,0.1,0.12,1.31,171,"LITTLE REED POND","ME255L",46.34194,119364,10.29,-69.08111,0.58,24000,0,0,0,0,0.9,0,0.16,"Yes",7.9,1485.31,0.17," ",0,0,0,1992 
0,3070.92,6.96,0," ",0,58,"Northeastern Highlands"," ",454,88.15,0,730,0.03,0.8,2.75,179,"LONG POND","ME256L",45.96278,22557360,324.1,-70.15694,0.67,62500,0,0,0,0.12,1.07,7.54,1,"Yes",9.55,17527.61,0.04," ",23146.09,0,4.47,1992 
0,346.45,0.56,0," ",0,58,"Northeastern Highlands"," ",308,80.86,0,385,0.21,0.72,3.25,145,"PINE STREAM FLOWAGE","ME258L",45.925,9354.24,1.68,-69.40917,0.68,24000,0,0,0.02,0.06,0.94,0,0,"Yes",0.48,1493.24,0.03," ",0,0,19.14,1992 
0,6024.12,9.28,0," ",0,58,"Northeastern Highlands"," ",160,77.93,1.14,885,0.4,23.86,1.59,103,"UPPER JO-MARY LAKE","ME259L",45.59972,70428704,758.93,-68.96167,0.77,62500,0,0,0.12,7.16,1.13,3.38,1.35,"Yes",11.19,15551.28,0.07," ",20350.41,0,9.74,1992 
0,3770.02,1.11,0,"NESTED_IN_ME262",0,58,"Northeastern Highlands"," ",442,85.95,0,1094,0.01,0.37,3.08,164,"TWIN ISLAND POND","ME261L",45.52333,395662.08,35.53,-70.52417,0.65,24000,0,0,0,0,1.28,5.77,0.02,"Yes",0.93,6506.19,0.06," ",21735.33,0,13.12,1992 
0.19,362007.46,17.4,0.11," ",0.41,58,"Northeastern Highlands"," ",291,81.45,11.79,1109,1.11,3512.35,5.21,119,"INDIAN POND","ME262L",45.52111,249980580,1436.67,-69.81111,0.6,250000,0.01,0.07,0.96,3052.18,1.04,4.89,0.11,"Yes",0.39,70002.74,0.01," ",1770969.05,0.21,5.84,1992 
0,16783.32,2.55,0," ",0,58,"Northeastern Highlands"," ",96,77.25,3.47,331,0.1,15.43,2.66,40,"FOURTH MACHIAS LAKE","ME263L",45.14361,16032429.6,628.23,-68.00139,0.69,62500,0,0,0,0.13,1.15,2.25,0.13,"Yes",3.61,23619.34,0.01," ",37740.81,0,15.67,1992 
0,503.31,1.39,0," ",0,58,"Northeastern Highlands"," ",56,84.47,0.98,108,0,0,2.04,6,"CRANBERRY POND","ME264L",45.07528,241094.4,17.32,-67.30111,0.75,24000,0,0,0,0,1.18,4.71,0.06,"Yes",3.33,3016.01,0.01," ",2371.14,0,11.22,1992 
3.09,124357.03,4.64,0," ",4.9,58,"Northeastern Highlands"," ",32,77.71,5.71,450,2.91,3382.37,4.16,10,"GRAHAM LAKE","ME266L",44.67722,198802192,4284.53,-68.39806,0.71,62500,0.11,0.25,2.62,3049.75,1.12,6.32,0.22,"Yes",3.33,96606.78,0.01," ",785887.64,1.7,8.35,1992 
0,131.57,0.7,0," ",0,59,"Northeastern Coastal Zone"," ",119,100,0,216,1.48,2.08,1.38,14,"LILY POND","ME267L",44.65917,76072.8,10.93,-69.03639,0.77,24000,0,0,3.11,4.37,1.13,0,0.07,"Yes",7.67,1612,0.05," ",0,0,0,1992 
8.83,81.23,2.55,0," ",8.83,59,"Northeastern Coastal Zone"," ",83,81.69,1,155,0.98,0.79,2.45,21,"MUDDY POND","ME268L",44.28028,191910.4,7.52,-69.41639,0.66,24000,0,0,1.96,1.59,1.21,0,0.33,"Yes",8.46,2380.23,0.03," ",0,0,0,1992 
0,119.33,1.11,0," ",0,58,"Northeastern Highlands"," ",168,91.27,2.43,366,0.4,0.48,2.01,72,"LITTLE PAPOOSE POND","ME271L",44.26139,89310.72,8.02,-70.7975,0.67,24000,0,0,0.62,0.74,1.11,8.38,0.1,"Yes",6.3,2020.03,0.16," ",999.85,0,0,1992 
0,3168.77,2.23,0," ",0.34,58,"Northeastern Highlands"," ",176,92.06,5.56,613,6.36,191,1.19,71,"PROCTOR POND","ME272L",44.24333,301340.16,13.53,-70.79722,0.69,24000,0,0,5.41,162.54,1.1,8.81,0.01,"Yes",0.43,1549.09,0.05," ",27922.41,0.34,1.61,1992 
3.52,7277.02,9.74,0," ",11.72,58,"Northeastern Highlands"," ",84,73.99,6.18,315,18.73,1269.34,2.28,27,"PANTHER POND","ME273L",43.92611,56172211.2,576.48,-70.47,0.62,62500,0.07,0.64,30.97,2098.47,1.15,18.06,1.15,"Yes",7.35,19412.43,0.01," ",131396.59,8.13,0.76,1992 
0,207.06,4.87,0," ",33.98,58,"Northeastern Highlands"," ",88,56.31,6.91,162,114.17,216.7,1.07,22,"CHAFFIN POND","ME274L",43.84833,256754.4,5.27,-70.44361,0.65,62500,0,6.04,222.27,421.83,1.12,34.91,0.19,"Yes",2.48,873.82,0.04," ",7227.67,33.98,0.32,1992 
1.9,5025.9,2.55,0," ",16.98,58,"Northeastern Highlands"," ",82,65.02,15.71,217,42.04,1764.24,1.89,19,"COLLINS POND","ME275L",43.83167,401684.8,15.74,-70.42583,0.65,62500,0.36,0.94,69.38,2911.71,1.13,18.02,0.01,"Yes",0.31,2662.18,0.01," ",90580.5,14.72,1.97,1992 
0,17.92,2.55,0," ",0,59,"Northeastern Coastal Zone"," ",76,85.16,6.88,82,8.76,1.58,1.08,19,"ROUND POND","ME276L",43.40167,39811.2,1.56,-70.75889,0.67,24000,0,0,22.57,4.07,1.11,0,0.3,"Yes",8.01,480,0.02," ",0,0,0,1992 
0,2771.28,0.46,22.12," ",0,58,"Northeastern Highlands"," ",280,75.91,0.92,680,0.05,1.39,2,216,"BARTLETT POND","ME500L",46.5555,137019.2,29.53,-68.8708,0.57,24000,0,0,0,0,1.02,3.13,0.01,"Yes",1.05,3848.39,0.07," ",8661.83,0,0,1993 
0,704.55,0.7,0," ",0,58,"Northeastern Highlands"," ",223,91.89,4.29,497,0.06,0.45,2.03,172,"HOT POND","ME502L",46.1628,194810.4,27.99,-68.5661,0.64,24000,0,0,0,0,1.13,4.58,0.04,"Yes",3.82,3808.9,0.08," ",3227.05,0,0,1993 
0,266.86,0.7,0," ",0,58,"Northeastern Highlands"," ",328,81.71,4.57,381,0,0,1.31,204,"MIDNIGHT POND","ME503L",46.1377,218961.6,31.46,-69.242,0.6,24000,0,0,0,0,0.98,5.31,0.12,"Yes",10.55,2609.54,0.03," ",1417.47,0,3.17,1993 
0.27,4608.24,8.77,0," ",0.27,58,"Northeastern Highlands"," ",241,91.91,0,734,0.86,39.53,2.15,160,"UPPER SHIN POND","ME504L",46.1197,20995299.36,239.41,-68.5421,0.65,24000,0,0,0.5,23.09,1.17,2.27,0.67,"Yes",4.94,11791.32,0.03," ",10443.84,0,3.17,1993 
0,239.82,6.03,0," ",0,58,"Northeastern Highlands"," ",193,91.92,2.18,300,2.71,6.5,1.27,175,"MILL BROOK POND","ME505L",45.3222,891529.6,14.78,-69.2447,0.76,24000,0,0,0.35,0.84,1.08,0,0.46,"Yes",5.81,1735.98,0.12," ",0,0,0.09,1993 
0,1550.05,1.3,0," ",0,58,"Northeastern Highlands"," ",321,84.91,0,482,0.34,5.43,2.95,217,"LUCKY POND","ME506L",45.7064,1136020.48,87.44,-69.6077,0.61,24000,0,0,0.01,0.1,0.99,4.5,0.11,"Yes",5.34,9778.97,0.02," ",6979.34,0,11.47,1993 
0,5122.41,1.86,0," ",0,58,"Northeastern Highlands"," ",319,86.85,0.28,856,0.39,20,2.29,214,"SPENCER POND","ME507L",45.747,7983212.8,430.13,-69.5686,0.61,24000,0,0,0.01,0.38,1.02,3.95,0.24,"Yes",7.72,16858.61,0.07," ",20252.77,0,5.14,1993 
0.26,257.59,1.21,0," ",0.26,59,"Northeastern Coastal Zone"," ",120,65.18,1.49,184,1.69,4.36,1.35,96,"BOG POND","ME508L",44.8855,126672,10.5,-69.5748,0.65,24000,0,0,3.18,8.2,1.04,10.22,0.07,"Yes",3.92,1548.14,0.03," ",2633.37,0,29.16,1993 
15.98,2011.11,2.78,0,"LAKE_SIZE_DECREASING/BECOMING_WETLANDS",16.27,59,"Northeastern Coastal Zone"," ",72,77.26,0.93,239,4.35,86.18,1.89,80,"INGHAM POND","ME509L",44.4542,444883.2,15.98,-69.9279,0.65,24000,0,0,9.5,188.28,1.08,11.81,0.03,"Yes",0.79,2679.89,0.03," ",23745.08,0.29,4.75,1993 
16.59,484.42,6.03,0," ",16.72,59,"Northeastern Coastal Zone"," ",116,75.78,0,245,4.12,20.02,1.23,94,"BARKER POND","ME510L",44.9072,2668556.8,44.24,-69.6345,0.67,24000,0,0,9.66,46.97,1.07,13.2,0.75,"Yes",8.37,2895.14,0.04," ",6394.06,0.13,0,1993 
0,6306.28,8.35,0,"NESTED_IN_ME526",0,58,"Northeastern Highlands"," ",379,96.03,0.67,972,0.62,39.13,1.61,165,"STURTEVANT POND","ME511L",44.8668,17962646.4,215.07,-71.0207,0.71,24000,0,0,0.25,15.67,0.97,6.61,0.39,"Yes",3.3,8375.47,0.02," ",41696.05,0,0,1993 
0,1577.32,4.41,0," ",0,58,"Northeastern Highlands"," ",116,81.19,10.75,244,0.17,2.44,1.78,67,"LOWER OXBROOK LAKE","ME512L",45.281,6090974.4,138.18,-67.845,0.68,24000,0,0,0,0,1.14,12.35,0.52,"Yes",8.05,7399.94,0.03," ",19484.61,0,0,1993 
2.75,54104.43,1.58,0," ",2.93,58,"Northeastern Highlands"," ",18,78.88,6.89,229,0.92,464.46,1.75,45,"SECOND LAKE","ME513L",44.8582,1938081.6,122.85,-67.4943,0.76,62500,0.02,0.18,1.14,577.44,1.21,7.03,0.01,"Yes",0.23,6886.84,0," ",380421.3,0.16,11.08,1993 
0,1867.21,7.01,0," ",0,58,"Northeastern Highlands"," ",104,88.91,2.36,282,0.36,6.56,1.5,74,"UPPER MIDDLE BRANCH POND","ME514L",44.8959,12507124.64,178.51,-68.2282,0.76,24000,0,0,0.06,1.05,1.2,9.11,0.8,"Yes",8.73,7125.57,0.03," ",17001.37,0,0,1993 
6.41,4342.13,11.69,0," ",6.41,58,"Northeastern Highlands"," ",65,68.33,0,223,1.56,67.54,3.99,32,"LAKE CATHANCE","ME517L",44.9517,149485432.32,1278.44,-67.4086,0.76,62500,0,0,1.71,74.06,1.19,8.53,3.49,"Yes",22.75,50613.24,0.01," ",37030.58,0,2.74,1993 
0,4833.01,11.65,0," ",0,58,"Northeastern Highlands"," ",97,83.16,0.14,343,0.2,9.47,2.14,82,"PLEASANT LAKE","ME518L",45.354,72779518.24,624.91,-67.923,0.67,62500,0,0,0.25,11.87,1.16,4.71,1.99,"Yes",11.45,18923.31,0.03," ",22757.25,0,5.24,1993 
18.47,62408.99,16.47,0," ",18.87,58,"Northeastern Highlands"," ",176,59.21,6.62,381,2.44,1421.46,1.57,247,"SQUARE LAKE","ME519L",47.0824,542404840.8,3292.89,-68.4069,0.57,62500,0,0.05,3.06,1782,0.93,6.91,1.45,"Yes",5.01,31859.27,0.01," ",431356.53,0.4,10.29,1993 
4.04,7905.23,4.64,0," ",4.69,58,"Northeastern Highlands"," ",65,73.07,6.04,302,11.59,852.74,2.87,118,"MATTANAWCOOK POND","ME520L",45.3532,15827040,341.1,-68.467,0.66,62500,0,0.01,26.77,1969.37,1.14,10.68,0.29,"Yes",4.14,18777.21,0.02," ",84446.41,0.65,12.07,1993 
0,4911.22,1.86,0," ",0,58,"Northeastern Highlands"," ",291,71.86,0,383,0.1,5.1,1.61,216,"MUD POND","ME521L",46.1778,9892851.2,533.02,-69.3162,0.58,62500,0,0,0.03,1.3,0.96,3.61,0.31,"Yes",9.79,13168.97,0.01," ",17730.62,0,18.64,1993 
9.35,13304.72,13.5,0," ",10.56,59,"Northeastern Coastal Zone"," ",16,74.82,0.26,275,10.94,1449.26,5.81,33,"DAMARISCOTTA LAKE","ME522L",44.131,255048183.84,1888.91,-69.4966,0.64,100000,0.02,0.26,16.79,2224.3,1.15,16.94,2.64,"Yes",12.43,89475.79,0.01," ",225335.06,1.19,1.94,1993 
0,20178.6,7.66,0," ",0,58,"Northeastern Highlands"," ",296,91.4,1.23,893,1.1,220.34,5.7,149,"MOXIE POND","ME524L",45.319,67054310.4,875.84,-69.8457,0.65,62500,0,0,0.08,16.78,1.11,3.64,0.49,"Yes",4.16,59754.46,0.02," ",73490.64,0,3.21,1993 
9.33,7157.68,17.12,0,"HAS_1991_23020_I.E.L_NESTED",14.28,59,"Northeastern Coastal Zone"," ",64,73.55,3.14,239,23.75,1645.75,3.91,67,"MARANACOOK LAKE","ME525L",44.3491,121857851.52,711.72,-69.9557,0.64,62500,0,0.37,47.25,3274.32,1.1,21.64,2.44,"Yes",9.03,36937.71,0.01," ",154877.47,4.95,0,1993 
0.46,264583.1,7.1,0.03," ",0.83,58,"Northeastern Highlands"," ",379,88.96,6.77,1255,1.2,2953.08,5.47,165,"UMBAGOG LAKE","ME526L",44.7741,234685353.6,3305.8,-71.0368,0.73,250000,0.01,0.12,0.64,1567.36,1,6.29,0.12,"Yes",1.23,111477.03,0.01," ",1663480.41,0.37,2.17,1993 
0,602.12,2.88,0,"XXXXX",0,58,"Northeastern Highlands"," ",246,89.63,3.13,454,0.93,5.55,1.81,233,"WHEELOCK LAKE","ME750L",47.1998,1351232.96,46.97,-68.7218,0.56,24000,0,0,2.47,14.81,0.97,0,0.37,"Yes",7.23,4393.47,0.06," ",0,0,0,1994 
0,6067.42,1.39,0,"XXXXX",0,58,"Northeastern Highlands"," ",327,83.07,0.26,477,0.02,1.18,1.81,246,"DEPOT LAKE","ME751L",46.7704,4883832,350.85,-69.8329,0.55,24000,0,0,0.02,0.9,0.89,2.07,0.14,"Yes",5.47,12045.88,0.01," ",12571.56,0,11.2,1994 
0,61.38,0.6,0,"XXXXX",0,58,"Northeastern Highlands"," ",442,99.97,0,521,0.01,0.01,1.28,209,"NO NAME","ME753L",46.805,16407.04,2.72,-69.0681,0.56,24000,0,0,0,0,0.94,0,0.05,"Yes",4.23,748.42,0.09," ",0,0,0,1994 
0,401.41,7.28,0,"XXXXX",0,58,"Northeastern Highlands"," ",446,71.17,1.75,803,0.22,0.85,1.69,102,"HORSESHOE POND","ME754L",45.5089,5057108.16,69.42,-69.404,0.69,24000,0,0,0.1,0.41,1.12,0,1.55,"Yes",14.74,5002.63,0.14," ",0,0,12.33,1994 
0,460,2.32,0,"XXXXX",0,58,"Northeastern Highlands"," ",466,73.69,0,977,0.22,0.97,1.83,103,"MOUNTAIN BROOK POND","ME755L",45.5225,218080,9.4,-69.4004,0.68,24000,0,0,0.1,0.47,1.14,0,0.07,"Yes",2,1988.88,0.17," ",0,0,26.31,1994 
