year          day          dechr          hour          min          sec          rh          esh          clong          clat          HGIlong          br          bt          bn          vp1r          vp1t          vp1n          crot          np1          vp1          Tp1          vaz          vel          Bx          By          Bz          sBx          sBy          sBz          nal          val          Tal          np2          vp2
   1975.0000      81.0000       0.0133       0.0000       0.0000      48.0000       0.3400     120.7600      73.3600       5.1700     226.2993     -37.1400      -8.8400      -1.1600     500.3391     -63.2963     -24.0481    1625.0000      14.5200     504.9000  282863.0000      -7.2100       2.7300      37.1400       8.8400      -1.1600       0.1900       0.6700       3.2600       0.0000       0.0000       0.0000      12.4100     511.3000
   1975.0000      81.0000       0.0358       0.0000       2.0000       9.0000       0.3400     120.7600      73.3600       5.1700     226.3126     -37.1500     -10.2400       0.6300     500.9120     -95.2823     -28.6860    1625.0000      13.7300     510.7000  294294.0000     -10.7700       3.2200      37.1500      10.2400       0.6300       0.3900       1.8500       0.9200       0.0000       0.0000       0.0000      12.0000     516.3000
   1975.0000      81.0000       0.0583       0.0000       3.0000      30.0000       0.3400     120.7700      73.3500       5.1700     226.3159     -37.6500      -7.5700       2.9700     502.6099     -67.4197      -9.4714    1625.0000      13.9400     507.2000  235637.0000      -7.6400       1.0700      37.6500       7.5700       2.9700       0.2000       1.1700       0.6100       0.0000       0.0000       0.0000      12.0200     512.3000
   1975.0000      81.0000       0.0808       0.0000       4.0000      51.0000       0.3400     120.7700      73.3400       5.1700     226.3192     -37.7600      -6.6100       3.7800     494.4274     -65.7950       3.7434    1625.0000      13.7900     498.8000  218059.0000      -7.5800      -0.4300      37.7600       6.6100       3.7800       0.1900       1.0200       0.6400       0.0000       0.0000       0.0000      11.7800     502.7000
   1975.0000      81.0000       0.1033       0.0000       6.0000      12.0000       0.3400     120.7800      73.3300       5.1700     226.3225     -38.0500      -4.8100       0.8700     491.3076     -31.3409     -26.1453    1625.0000      13.3900     493.0000  175621.0000      -3.6500       3.0400      38.0500       4.8100       0.8700       0.3100       2.2900       0.9500       0.0000       0.0000       0.0000      10.7700     494.2000
   1975.0000      81.0000       0.1258       0.0000       7.0000      33.0000       0.3400     120.7800      73.3200       5.1700     226.3258     -38.2700      -1.5600       0.7300     494.5889     -35.8864     -34.6759    1625.0000      14.2000     497.1000  180848.0000       0.0000       4.0000      38.2700       1.5600       0.7300       0.0900       0.8100       0.7800       0.0000       0.0000       0.0000      12.1100     493.4000
   1975.0000      81.0000       0.1483       0.0000       8.0000      54.0000       0.3400     120.7800      73.3200       5.1700     226.3391     -38.3000      -4.6700       1.5300     491.6383     -39.9881     -15.3290    1625.0000      14.2900     493.5000  192796.0000      -4.6500       1.7800      38.3000       4.6700       1.5300       0.2900       0.9600       0.8000       0.0000       0.0000       0.0000      10.9400     498.5000
   1975.0000      81.0000       0.1708       0.0000      10.0000      15.0000       0.3400     120.7900      73.3100       5.1700     226.3424     -38.3400      -1.5800      -2.7200     493.9741     -36.1885     -35.9379    1625.0000      14.3700     496.6000  203610.0000      -4.1900       4.1500      38.3400       1.5800      -2.7200       0.1900       1.2800       0.6900       0.0000       0.0000       0.0000      11.6000     501.3000
   1975.0000      81.0000       0.1933       0.0000      11.0000      36.0000       0.3400     120.7900      73.3000       5.1700     226.3457     -25.6600       2.1100      -9.0000     495.4764      19.3807     -25.2925    1625.0000      14.2400     496.5000  165298.0000       2.2400       2.9200      25.6600      -2.1100      -9.0000      21.9000       8.4200      15.1300       0.0000       0.0000       0.0000      11.5600     493.1000
   1975.0000      81.0000       0.2158       0.0000      12.0000      57.0000       0.3400     120.8000      73.2900       5.1800     226.3490      -0.0000      -0.0000       0.0000     499.9881      16.5863      -6.0685    1625.0000      14.5400     500.3000  187650.0000       1.9000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      11.3700     496.1000
   1975.0000      81.0000       0.2383       0.0000      14.0000      18.0000       0.3400     120.8000      73.2800       5.1800     226.3523     -36.6700       7.2300       6.4200     502.2495      31.2468      13.4410    1625.0000      14.5000     503.4000  183177.0000       3.5600      -1.5300      36.6700      -7.2300       6.4200       0.2200       0.8800       1.0800       0.0000       0.0000       0.0000      12.7700     487.9000
   1975.0000      81.0000       0.2608       0.0000      15.0000      39.0000       0.3400     120.8100      73.2800       5.1800     226.3656     -37.3400       4.6800       7.2200     496.6115       9.1886      14.2210    1625.0000      13.3600     496.9000  185835.0000       0.0000      -1.6400      37.3400      -4.6800       7.2200       0.1700       0.6700       0.3900       0.0000       0.0000       0.0000      11.5500     495.2000
   1975.0000      81.0000       0.2833       0.0000      17.0000       0.0000       0.3400     120.8100      73.2700       5.1800     226.3689     -37.1500       1.7000       8.3400     494.8215     -12.4388      28.5402    1625.0000      13.6200     495.8000  178210.0000      -1.4400      -3.3000      37.1500      -1.7000       8.3400       0.1700       1.2500       0.5800       0.0000       0.0000       0.0000      10.4300     497.2000
   1975.0000      81.0000       0.3058       0.0000      18.0000      21.0000       0.3400     120.8200      73.2600       5.1800     226.3722     -36.3500      -9.2500       5.6600     502.9932     -75.0831       5.8585    1625.0000      14.1700     508.6000  295766.0000      -8.4900      -0.6600      36.3500       9.2500       5.6600       0.3500       1.8700       0.7000       0.0000       0.0000       0.0000      11.8000     516.6000
