s o p   pedestal     gain      rms  nevt  dped     dgain     drms
1 1 1 1838.485352 11.247065 1.450025 79 2.188843 -0.509037 -0.019642
1 1 2 1833.909180 12.692362 1.422175 80 -0.028076 -0.026863 0.066087
1 1 3 1821.069092 11.611904 1.523989 93 0.136230 -0.160816 0.020011
1 1 4 1812.348633 11.955917 1.449146 96 0.064575 -0.089261 -0.004521
1 1 5 1814.667969 12.026214 1.436125 96 0.074585 -0.227319 -0.036073
1 1 6 1825.259521 10.990751 1.589206 92 -0.555298 -0.142129 0.001760
1 2 1 1776.204712 11.120642 1.986022 95 -0.296387 -0.019917 -0.338547
1 2 2 1830.712524 11.860188 1.513906 96 -0.009033 -0.040200 -0.091906
1 2 3 1771.181274 11.321002 1.542562 96 -0.244873 0.025179 -0.275782
1 2 4 1845.197144 11.519379 1.392926 95 -0.273926 -0.061917 -0.052350
1 2 5 1797.036865 11.637033 1.443242 95 -0.222046 -0.017686 -0.065305
1 2 6 1764.148926 11.218753 1.873021 96 1.074951 -0.014792 -0.071369
1 3 1 1775.709595 12.371662 2.323264 95 -0.057617 -0.116031 -0.020452
1 3 2 1805.288452 12.350959 2.105531 96 -0.502563 -0.009843 -0.329781
1 3 3 1816.291260 12.539509 3.054435 94 0.307739 0.162758 -0.117947
1 3 4 1807.238281 12.391959 3.151947 95 -0.302856 -0.042325 -0.121285
1 3 5 1776.697876 12.060676 1.744677 96 0.057373 0.005855 0.021230
1 3 6 1828.675171 10.930081 2.275407 96 -0.031372 0.075799 -0.072551
1 4 1 1837.808350 11.576818 1.873893 94 0.091187 -0.410842 -0.049749
1 4 2 1809.914429 12.491968 1.478926 95 0.885986 -0.079325 0.010947
1 4 3 1826.758667 11.934060 1.484416 96 2.754150 0.018921 0.055417
1 4 4 1805.320923 12.260489 1.407574 94 0.201782 -0.051480 -0.005000
1 4 5 1800.939941 12.557221 1.368495 95 1.450928 -0.147967 0.022133
1 4 6 1797.784546 12.354791 1.893621 95 0.363159 -0.087682 0.026915
1 5 1 1805.601318 12.587980 1.531905 95 -0.135254 -0.188748 -0.057537
1 5 2 1803.146851 12.201844 1.748916 95 -0.366821 -0.137280 0.018011
1 5 3 1818.564941 12.937578 1.746726 95 -0.086060 -0.161205 -0.033021
1 5 4 1779.779175 12.601573 1.553135 96 -0.169189 -0.079208 -0.010959
1 5 5 1825.646362 12.423792 1.722136 95 -0.198975 -0.199229 -0.020927
1 5 6 1785.574341 12.314938 2.153458 96 0.882446 -0.030917 -0.062363
1 6 1 1777.313110 12.209650 1.529158 95 -0.234619 -0.118334 -0.093368
1 6 2 1811.384766 11.914716 1.299010 96 0.772705 -0.040031 -0.051787
1 6 3 1822.573364 12.608197 1.377323 96 0.004883 -0.127783 -0.063000
1 6 4 1822.248901 12.132458 1.502729 85 0.906250 -0.189775 -0.217398
1 6 5 1824.182861 12.707638 1.816809 94 0.075439 -0.082397 -0.182021
