round_num	bidder_num	max_elig	rmng_waivr	waivr_ind
108	3252	248336	1	
108	3251	43589	5	
108	3327	6200000	5	
108	3399	4207775	1	
108	3400	0	0	
108	3235	0	0	
108	3338	4838593	3	
108	3306	95728	5	
108	3380	21206	1	
108	3300	100902	4	
108	3354	0	0	
108	3283	330216	4	
108	3228	116163	3	
108	3404	25489	3	
108	3390	61200	2	
108	3385	846688	0	
108	3382	2472799	1	
108	3362	7758383	4	
108	3267	9033	0	
108	3218	2492167	3	
108	3356	0	0	
108	3304	408132	2	
108	3214	0	0	
108	3373	22474	5	
108	3247	103777	0	
108	3329	1169815	5	
108	3297	22510	4	
108	3257	22211	3	
108	3293	125168	5	
108	3406	30187	4	
108	3407	94298	4	
108	3269	679114	3	
108	3331	0	0	
108	3378	12818	3	
108	3314	1114078	2	
108	3222	0	0	
108	3312	11634	4	
108	3263	8564180	2	
108	3290	162080	2	
108	3339	0	0	
108	3379	266327	2	
108	3243	2552	3	
108	3281	308470	0	
108	3285	2183902	2	
108	3299	269427	5	
108	3333	91546	5	
108	3256	0	0	
108	3340	195616	1	
108	3313	23814	4	
108	3355	303449	0	
108	3296	108955	4	
108	3321	133811	0	
108	3239	363918	0	
108	3227	326254	0	
108	3262	0	0	
108	3307	2463102	2	
108	3381	374622	5	
108	3291	0	0	
108	3278	95076	4	
108	3401	0	0	
108	3292	37052	1	
108	3393	103180	3	
108	3303	0	0	
108	3345	0	0	
108	3372	0	0	
108	3387	21775	1	
108	3233	297948	4	
108	3391	639542	4	
108	3384	1398719	2	
108	3289	89839	3	
108	3359	41294	1	
108	3215	539145	0	
108	3231	232422	5	
108	3288	19561	5	
108	3394	125000	3	
108	3392	398183	2	
108	3352	354833	5	
108	3386	30213211	1	
108	3330	23492	1	
108	3295	0	0	
108	3209	50000	5	
108	3398	56317	1	
108	3403	80545	0	
108	3276	530519	2	
108	3286	20194	5	
108	3366	0	0	
108	3305	15935	2	
108	3342	44253	3	
108	3335	26492	3	
108	3221	286794	1	
108	3357	14880	3	
108	3348	2500	5	
108	3254	0	0	
108	3395	0	0	
108	3337	16313	3	
108	3258	168459	0	
108	3350	0	0	
108	3368	0	0	
108	3388	0	0	
108	3375	10948	0	
108	3397	0	0	
108	3405	253655	3	
108	3245	0	0	
108	3308	0	0	
108	3326	0	0	
108	3376	134000	3	
108	3242	486643	4	
108	3250	29331	2	
108	3319	0	0	
108	3316	0	0	
108	3377	18325	3	
108	3389	29886	1	
108	3208	947049	2	
108	3271	66881	0	
108	3318	0	0	
108	3361	0	0	
108	3383	82504	2	
108	3232	57702	1	
108	3280	0	0	
108	3279	1156915	1	
108	3371	0	0	
108	3325	89971	0	
108	3364	126314	1	
108	3309	1394679	1	
108	3402	107433	4	
108	3284	0	0	
108	3363	534402	3	
108	3261	0	0	
108	3270	429728	2	
108	3343	4317475	5	
108	3315	315731	4	
108	3204	14388	0	
108	3358	885205	2	
108	3302	400000	5	
108	3324	80431637	4	
108	3332	80653	1	
108	3336	7086	5	
108	3365	13000000	0	
108	3360	0	0	
