_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ACRNM,V_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ID,V_LRT_EF_COVERAGE_SRC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_EZ.COUNTY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.STATE_CODE
ICIS,8026485,110000723940,KEWAUNEE,WI
ICIS,8026652,110000579017,DOUGLAS,WI
RCRAINFO,WID980613319,110000742796,WOOD,WI
NPDES,WI0003620,110000422114,WOOD,WI
AIRS/AFS,5500908556,110016940471,BROWN,WI
NEI,NEI42883,110002036369,WAUKESHA,WI
ICIS,5415326,110000719795,DANE,WI
TRIS,53120PLYMT261YU,110023013148,WALWORTH,WI
NPDES,WI0025038,110000564684,WINNEBAGO,WI
ICIS,600035173,110000560848,MILWAUKEE,WI
ICIS,600030724,110021338140,MILWAUKEE,WI
RCRAINFO,WID054103767,110000858572,KENOSHA,WI
TRIS,53935NTDWSW1231,110031001421,COLUMBIA,WI
TRIS,54130FXNRGN231E,110023013228,OUTAGAMIE,WI
WI-ESR,178268,110005522746,SHEBOYGAN,WI
WI-ESR,30417126,110002054650,PORTAGE,WI
WI-ESR,410812,110000420269,DANE,WI
WI-ESR,8562,110000417273,WALWORTH,WI
TRIS,54952SPPRM69WAS,110000423426,WINNEBAGO,WI
TRIS,54956FXVLL213MI,110000423435,WINNEBAGO,WI
TRIS,53039FRMNT330MI,110000416336,DODGE,WI
TRIS,53050MYVLL1STAN,110000742590,DODGE,WI
TRIS,53110LCSML5656S,110000417219,MILWAUKEE,WI
TRIS,53207MLPRT2829S,110000418423,MILWAUKEE,WI
TRIS,53208THFLK3001W,110000418502,MILWAUKEE,WI
TRIS,54806NRTHR122N1,110000422846,ASHLAND,WI
TRIS,54020NRTHR805SE,110000420768,POLK,WI
TRIS,54143SPCLT2STAN,110000421080,MARINETTE,WI
TRIS,53916KRFTN419SO,110000420456,DODGE,WI
TRIS,54476CNTRL351AL,110000422150,MARATHON,WI
RCRAINFO,WI0001012889,110008231136,WAUKESHA,WI
RCRAINFO,WIR000002295,110008248262,ADAMS,WI
RCRAINFO,WIR000001370,110008248137,WASHINGTON,WI
PCS,WI0020125,110010889823,POLK,WI
WI-ESR,455451,110002051494,LINCOLN,WI
PCS,WI0028207,110010887629,BROWN,WI
WI-ESR,396739,110010887656,SAUK,WI
WI-ESR,129729,110002050431,RACINE,WI
WI-ESR,456054,110010887111,SAUK,WI
NPDES,WI0020176,110010889850,KEWAUNEE,WI
PCS,WI0020508,110010890018,OUTAGAMIE,WI
WI-ESR,455485,110010896307,DODGE,WI
NPDES,WI0020877,110010889690,OCONTO,WI
PCS,WI0002518,110000419770,JEFFERSON,WI
PCS,WI0002585,110010890465,DANE,WI
NPDES,WI0003204,110000422908,RUSK,WI
PCS,WI0002836,110010848244,ST. CROIX,WI
NCDB,I05#1989081600526 2,110010888209,KENOSHA,WI
WI-ESR,457680,110000875376,CRAWFORD,WI
PCS,WI0020257,110000875376,CRAWFORD,WI
NPDES,WI0029041,110010887237,SAUK,WI
PCS,WI0029050,110010887246,VILAS,WI
NPDES,WI0020311,110010889921,ASHLAND,WI
WI-ESR,455499,110010890036,CHIPPEWA,WI
PCS,WI0020575,110010890036,CHIPPEWA,WI
PCS,WI0029289,110010887317,GRANT,WI
NPDES,WI0029319,110010887326,LINCOLN,WI
WI-ESR,169283,110010887335,SHEBOYGAN,WI
NPDES,WI0029335,110010887335,SHEBOYGAN,WI
WI-ESR,456113,110010887353,VILAS,WI
PCS,WI0029459,110010887362,BUFFALO,WI
PCS,WI0020885,110010889707,CLARK,WI
WI-ESR,455515,110010848128,GRANT,WI
PCS,WI0031194,110002051635,JEFFERSON,WI
PCS,WI0031224,110010886611,LA CROSSE,WI
NPDES,WI0029793,110010886853,VERNON,WI
NPDES,WI0029963,110010886880,RUSK,WI
WI-ESR,456148,110010886880,RUSK,WI
WI-ESR,411773,110006463870,RUSK,WI
WI-ESR,160613,110006463870,RUSK,WI
PCS,WI0030961,110010886522,CLARK,WI
NPDES,WI0025640,110010887763,JUNEAU,WI
WI-ESR,457689,110010887763,JUNEAU,WI
PCS,WI0025640,110010887763,JUNEAU,WI
PCS,WI0021024,110002049177,WOOD,WI
NPDES,WI0030970,110010886531,TREMPEALEAU,WI
PCS,WI0003018,110000420697,POLK,WI
PCS,WI0003026,110000422383,ONEIDA,WI
WI-ESR,455790,110010888067,VERNON,WI
WI-ESR,457688,110010848404,MARATHON,WI
NPDES,WI0027201,110000594321,CALUMET,WI
PCS,WI0026042,110000422141,MARATHON,WI
NPDES,WI0021091,110010889805,COLUMBIA,WI
WI-ESR,454414,110010886586,ST. CROIX,WI
WI-ESR,9030,110007332822,SHEBOYGAN,WI
PCS,WI0000825,110000420973,OUTAGAMIE,WI
NPDES,WI0000825,110000420973,OUTAGAMIE,WI
PCS,WI0024741,110010888129,POLK,WI
PCS,WI0028053,110010887567,WASHINGTON,WI
PCS,WI0028061,110010887576,OUTAGAMIE,WI
SDWIS,WI1330070,110010889538,LAFAYETTE,WI
NPDES,WI0020672,110010889538,LAFAYETTE,WI
PCS,WI0024929,110002050100,WAUPACA,WI
NPDES,WI0020745,110013325990,KEWAUNEE,WI
PCS,WI0021792,110010888959,VERNON,WI
PCS,WI0021831,110010888977,MANITOWOC,WI
PCS,WI0031801,110010886201,RICHLAND,WI
WI-ESR,456291,110010886229,SHAWANO,WI
NPDES,WI0032051,110010886318,GREEN,WI
PCS,WI0032069,110010848627,BAYFIELD,WI
WI-ESR,456305,110010848627,BAYFIELD,WI
WI-ESR,456190,110010886979,DOUGLAS,WI
NPDES,WI0030503,110010887004,GRANT,WI
PCS,WI0030520,110010887013,GRANT,WI
PCS,WI0031275,110010886639,WOOD,WI
NPDES,WI0031313,110010886648,WOOD,WI
WI-ESR,456297,110010886372,RUSK,WI
NPDES,WI0035114,110010848663,BARRON,WI
PCS,WI0031364,110010886666,DODGE,WI
PCS,WI0054518,110006142414,PORTAGE,WI
NPDES,WI0031925,110010886274,WINNEBAGO,WI
PCS,WI0031950,110010886292,WOOD,WI
WI-ESR,456286,110002051546,WAUKESHA,WI
WI-ESR,407461,110016901496,DOUGLAS,WI
NPDES,WI0026948,110010887950,DANE,WI
SDWIS,WI7340117,110010886835,LANGLADE,WI
PCS,WI0021768,110010888922,OUTAGAMIE,WI
WI-ESR,96538,110010889128,MARINETTE,WI
NPDES,WI0035866,110010885890,DOUGLAS,WI
PCS,WI0038938,110000417273,WALWORTH,WI
PCS,WI0029688,110010886808,JUNEAU,WI
WI-ESR,10011,110012603307,DODGE,WI
NPDES,WI0002160,110012603307,DODGE,WI
NPDES,WI0003891,110002038615,COLUMBIA,WI
PCS,WI0004171,110010890205,DOUGLAS,WI
PCS,WI0004197,110010848191,POLK,WI
PCS,WI0022161,110010889155,JEFFERSON,WI
NPDES,WI0022195,110010889173,MANITOWOC,WI
NPDES,WI0022217,110010889182,GRANT,WI
NPDES,WI0022292,110010888600,LAFAYETTE,WI
NPDES,WI0022357,110010888646,BROWN,WI
NPDES,WI0022462,110010848431,MONROE,WI
PCS,WI0022489,110002050119,JEFFERSON,WI
PCS,WI0001449,110000423596,WAUPACA,WI
WI-ESR,159637,110009513810,KEWAUNEE,WI
NPDES,WI0022250,110010888566,MARQUETTE,WI
PCS,WI0022268,110010888575,CRAWFORD,WI
WI-ESR,455856,110002051519,WOOD,WI
SDWIS,WI4590449,110010894327,SHAWANO,WI
PCS,WI0022705,110010888771,GRANT,WI
PCS,WI0022748,110010888799,LANGLADE,WI
PCS,WI0027308,110000574566,OCONTO,WI
WI-ESR,455737,110010888343,EAU CLAIRE,WI
WI-ESR,8132,110010809704,GREEN,WI
PCS,WI0047147,110010849047,OCONTO,WI
NPDES,WI0050016,110007331459,DODGE,WI
NPDES,WI0051152,110000594161,CLARK,WI
PCS,WI0021393,110010889360,CALUMET,WI
PCS,WI0022403,110010888691,PIERCE,WI
PCS,WI0023418,110010888389,GRANT,WI
PCS,WI0023361,110010888361,DANE,WI
PCS,WI0026085,110000541799,WINNEBAGO,WI
NPDES,WI0026158,110010887816,WAUPACA,WI
PCS,WI0053015,110010885239,OCONTO,WI
WI-ESR,457258,110010885239,OCONTO,WI
PCS,WI0054364,110010884515,CHIPPEWA,WI
WI-ESR,455754,110010888423,COLUMBIA,WI
NPDES,WI0001694,110010890651,RACINE,WI
PCS,WI0020753,110010889609,VERNON,WI
WI-ESR,455705,110010894498,ADAMS,WI
NPDES,WI0023159,110010894498,ADAMS,WI
NPDES,WI0030643,110016951039,WINNEBAGO,WI
WI-ESR,456218,110010887068,COLUMBIA,WI
WI-ESR,456005,110010887594,OUTAGAMIE,WI
PCS,WI0031461,110000762443,WALWORTH,WI
PCS,WI0031470,110010847370,RACINE,WI
WI-ESR,454432,110010886728,MARATHON,WI
WI-ESR,456267,110010886746,DODGE,WI
PCS,WI0031569,110010848707,IOWA,WI
NPDES,WI0031569,110010848707,IOWA,WI
RCRAINFO,WID000711002,110008231305,ONEIDA,WI
PCS,WI0022861,110002050208,OCONTO,WI
PCS,WI0023078,110006884522,JUNEAU,WI
WI-ESR,9365,110006884522,JUNEAU,WI
NPDES,WI0036706,110011825962,POLK,WI
PCS,WI0036749,110010891641,RICHLAND,WI
PCS,WI0036765,110010886103,CRAWFORD,WI
PCS,WI0036811,110010848592,SHEBOYGAN,WI
PCS,WI0060429,110010883749,BURNETT,WI
WI-ESR,457511,110010883776,DUNN,WI
WI-ESR,461291,110010883785,MARATHON,WI
WI-ESR,457479,110010848887,TAYLOR,WI
PCS,WI0037842,110007333242,WINNEBAGO,WI
PCS,WI0038946,110008234080,DOUGLAS,WI
RCRAINFO,WID988600359,110000422864,BURNETT,WI
WI-ESR,402170,110010884463,DUNN,WI
WI-ESR,457518,110010884463,DUNN,WI
PCS,WI0060330,110010884463,DUNN,WI
PCS,WI0031615,110010886773,BAYFIELD,WI
WI-ESR,396207,110010886782,DANE,WI
PCS,WI0031658,110010886782,DANE,WI
NPDES,WI0031682,110010886791,DUNN,WI
WI-ESR,401875,110010885961,CHIPPEWA,WI
PCS,WI0060771,110010883829,GRANT,WI
NPDES,WI0060801,110010883838,SAUK,WI
WI-ESR,457537,110010883838,SAUK,WI
NPDES,WI0061191,110010847922,TREMPEALEAU,WI
PCS,WI0061336,110010883909,BAYFIELD,WI
PCS,WI0061387,110010849412,ONEIDA,WI
