UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,4.1,2000,999,280198226,137006898,143191328,111672371,115517822,16794659,18678883,1322951,1328765,5096105,5456466,231120,226605,1889692,1982787,113293984,117206839,17460278,19404982,2069677,2133194,5793529,6165531,449009,449361,118926877,126060698,94961094,99779994,16123684,17967646,1027856,1059338,4982827,5339015,181889,180789,1649527,1733916,96371915,101252005,16685225,18583937,1675046,1761003,5611221,5975493,370776,373392,18080021,17130630,16711277,15737828,670975,711237,295095,269427,113278,117451,49231,45816,240165,248871,16922069,15954834,775053,821045,394631,372191,182308,190038,78233,75969
C,4.1,2000,0,3805648,1949017,1856631,1492158,1415140,291474,282692,23722,22581,70510,67182,4151,3936,67002,65100,1553051,1474280,325997,316650,38367,36743,95024,90709,9583,9187,1554406,1480189,1135168,1074943,274065,266095,17227,16438,67356,64138,2910,2752,57680,55823,1187775,1125842,304255,295688,28666,27373,88823,84664,7181,6887,394611,376442,356990,340197,17409,16597,6495,6143,3154,3044,1241,1184,9322,9277,365276,348438,21742,20962,9701,9370,6201,6045,2402,2300
C,4.1,2000,1,3820582,1953105,1867477,1496059,1422264,294698,286070,23998,22934,69060,69154,4239,4055,65051,63000,1555162,1479475,328184,318923,38323,36809,92687,91700,9692,9139,1572789,1502107,1151852,1092291,277757,269472,17675,17017,66012,66174,3078,2882,56415,54271,1203243,1141748,307364,298268,29000,27846,86721,85868,7504,6938,380316,365370,344207,329973,16941,16598,6323,5917,3048,2980,1161,1173,8636,8729,351919,337727,20820,20655,9323,8963,5966,5832,2188,2201
C,4.1,2000,2,3790446,1938990,1851456,1482917,1408982,295952,285494,23355,22631,71198,70472,4155,3892,61413,59985,1538595,1463334,327528,316644,36954,35759,93448,92059,9265,8780,1565012,1493939,1143823,1085265,279520,269725,17289,16723,68276,67615,3029,2800,53075,51811,1192090,1132319,307300,297040,27921,27076,87783,86558,7132,6724,373978,357517,339094,323717,16432,15769,6066,5908,2922,2857,1126,1092,8338,8174,346505,331015,20228,19604,9033,8683,5665,5501,2133,2056
C,4.1,2000,3,3832799,1958963,1873836,1503335,1429237,296480,287897,23647,22903,72168,72213,4176,3890,59157,57696,1556923,1481372,326209,317225,37293,36075,93682,93059,9157,8864,1584999,1516362,1163781,1104974,280210,272185,17473,17006,69288,69410,2990,2796,51257,49991,1210336,1150262,306360,298040,28308,27444,88256,87744,7029,6818,373964,357474,339554,324263,16270,15712,6174,5897,2880,2803,1186,1094,7900,7705,346587,331110,19849,19185,8985,8631,5426,5315,2128,2046
C,4.1,2000,4,3926323,2010658,1915665,1543741,1462513,306732,297246,23984,23013,73383,72582,4275,4111,58543,56200,1596559,1513106,335808,325590,37872,36258,94775,92904,9495,8993,1633096,1554925,1200599,1134646,290343,281554,17853,17179,70497,69873,3085,3007,50719,48666,1246460,1178588,315868,306521,28941,27807,89369,87625,7343,6965,377562,360740,343142,327867,16389,15692,6131,5834,2886,2709,1190,1104,7824,7534,350099,334518,19940,19069,8931,8451,5406,5279,2152,2028
C,4.1,2000,5,3965103,2031072,1934031,1555106,1473344,317956,307992,24533,23533,72896,70400,4409,4137,56172,54625,1605557,1522303,345338,335032,38408,36967,93359,90199,9510,9044,1656310,1576280,1214433,1148325,301580,292229,18310,17602,70140,67677,3179,3023,48668,47424,1258226,1190939,325647,316015,29432,28429,88223,85151,7328,6997,374762,357751,340673,325019,16376,15763,6223,5931,2756,2723,1230,1114,7504,7201,347331,331364,19691,19017,8976,8538,5136,5048,2182,2047
C,4.1,2000,6,4019705,2058217,1961488,1572411,1490367,329423,320207,25142,24724,72852,69120,4397,4322,53992,52748,1620851,1537484,355111,345884,39172,38474,92593,87964,9433,9187,1686015,1605278,1233670,1166944,313121,304192,19038,18702,70144,66522,3242,3264,46800,45654,1275737,1207783,335652,326729,30359,29819,87586,83112,7387,7240,372202,356210,338741,323423,16302,16015,6104,6022,2708,2598,1155,1058,7192,7094,345114,329701,19459,19155,8813,8655,5007,4852,2046,1947
C,4.1,2000,7,4118147,2109868,2008279,1611085,1526007,342270,330722,26239,25730,73334,70129,4449,4270,52491,51421,1657994,1571812,366438,354854,40411,39975,92903,88688,9398,9164,1736737,1651041,1271336,1201206,325995,314991,19928,19541,70625,67507,3289,3159,45564,44637,1312135,1241040,347153,336154,31486,31190,87996,83913,7376,7184,373131,357238,339749,324801,16275,15731,6311,6189,2709,2622,1160,1111,6927,6784,345859,330772,19285,18700,8925,8785,4907,4775,2022,1980
C,4.1,2000,8,4179230,2137829,2041401,1636786,1556377,344224,334221,27204,26596,73434,69395,4549,4177,51632,50635,1682778,1601363,367114,357282,42177,41115,92627,87816,9537,9107,1770280,1688988,1301882,1236051,328369,318646,20941,20476,70801,66835,3469,3158,44818,43822,1341821,1275018,348388,338729,33241,32338,87824,83144,7600,7254,367549,352413,334904,320326,15855,15575,6263,6120,2633,2560,1080,1019,6814,6813,340957,326345,18726,18553,8936,8777,4803,4672,1937,1853
