UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
N,8,2008,999,299425425,146683962,152741463,118304872,121131208,17586788,20257089,1450376,1477600,6628974,7076460,272019,268134,2440933,2530972,120436984,123322640,18596481,21320286,2208833,2301027,7545768,8004425,506975,512484,122781953,130077086,96138515,100225738,16739316,19356947,1104959,1164789,6484113,6927980,207456,209346,2107594,2192286,97972293,102116618,17590261,20257976,1750455,1872533,7304043,7755602,409376,419267,23902009,22664377,22166357,20905470,847472,900142,345417,312811,144861,148480,64563,58788,333339,338686,22464691,21206022,1006220,1062310,458378,428494,241725,248823,97599,93217
N,8,2008,0,4302225,2201803,2100422,1655898,1579124,342114,326894,22824,21789,96235,91773,4487,4278,80245,76564,1730187,1650006,391311,373833,29037,27724,125187,119394,7170,6837,1659197,1583205,1159544,1106029,316037,302012,19649,18754,92272,88004,2941,2806,68754,65600,1223159,1166728,358562,342579,24407,23298,117342,111922,5178,4944,542606,517217,496354,473095,26077,24882,3175,3035,3963,3769,1546,1472,11491,10964,507028,483278,32749,31254,4630,4426,7845,7472,1992,1893
N,8,2008,1,4263127,2181807,2081320,1647200,1568148,336130,323800,22326,21520,96198,91420,4485,4179,75468,72253,1716879,1634822,381734,367522,28386,27340,123965,117984,7105,6693,1650170,1574126,1160641,1104041,310652,299294,19227,18509,92286,87733,2961,2762,64403,61787,1220058,1160982,349818,336924,23851,23009,116358,110765,5140,4882,531637,507194,486559,464107,25478,24506,3099,3011,3912,3687,1524,1417,11065,10466,496821,473840,31916,30598,4535,4331,7607,7219,1965,1811
N,8,2008,2,4200317,2148352,2051965,1622892,1543303,330617,322626,21842,21179,95751,90820,4482,3963,72768,70074,1690069,1607823,374333,364872,27736,26935,122747,116723,7002,6446,1621648,1547831,1140783,1081778,305418,298102,18791,18169,91815,87200,2961,2634,61880,59948,1197871,1136862,342800,334468,23260,22660,115195,109674,5027,4744,526704,504134,482109,461525,25199,24524,3051,3010,3936,3620,1521,1329,10888,10126,492198,470961,31533,30404,4476,4275,7552,7049,1975,1702
N,8,2008,3,4125899,2111158,2014741,1599152,1520465,320637,310889,21214,20870,95436,90694,4389,3984,70330,67839,1664021,1583021,362637,351453,27001,26520,121646,116009,6893,6367,1603311,1529334,1132529,1074686,297683,288833,18212,17934,91889,87231,2955,2659,60043,57991,1187829,1128035,333728,323726,22616,22301,114719,109224,5041,4686,507847,485407,466623,445779,22954,22056,3002,2936,3547,3463,1434,1325,10287,9848,476192,454986,28909,27727,4385,4219,6927,6785,1852,1681
N,8,2008,4,4118383,2106249,2012134,1607067,1530389,311172,301760,20899,20057,94242,90073,4146,3782,68723,66073,1670585,1591486,352050,341069,26533,25704,120096,114662,6456,5978,1615909,1541715,1150306,1092481,294502,285663,18023,17245,91210,87101,2941,2674,58927,56551,1204587,1144599,329778,319551,22390,21593,113805,108571,4881,4526,490340,470419,456761,437908,16670,16097,2876,2812,3032,2972,1205,1108,9796,9522,465998,446887,22272,21518,4143,4111,6291,6091,1575,1452
N,8,2008,5,4082731,2088575,1994156,1599352,1522585,305134,296054,20291,19758,93230,88898,3935,3545,66633,63316,1660933,1581102,344945,333909,25896,25162,117798,112036,6361,5932,1611000,1536826,1150926,1093038,292014,283544,17471,16942,90803,86537,2953,2669,56833,54096,1203337,1142949,326226,316240,21777,21147,112212,106592,4872,4538,477575,457330,448426,429547,13120,12510,2820,2816,2427,2361,982,876,9800,9220,457596,438153,18719,17669,4119,4015,5586,5444,1489,1394
N,8,2008,6,4049391,2069193,1980198,1585985,1511609,306692,298909,19946,19433,89052,85319,3512,3428,64006,61500,1644990,1568313,345159,335949,25484,24779,111861,107236,6346,6101,1604168,1534239,1147013,1090732,295448,288044,17249,16869,87183,83481,2772,2709,54503,52404,1197235,1138988,328536,319928,21577,21048,106965,102509,4879,4732,465025,445959,438972,420877,11244,10865,2697,2564,1869,1838,740,719,9503,9096,447755,429325,16623,16021,3907,3731,4896,4727,1467,1369
N,8,2008,7,4102039,2095313,2006726,1604017,1530172,314622,306376,19999,19454,90185,86111,3413,3335,63077,61278,1662162,1586687,352596,343337,25422,24928,112640,107782,6174,5964,1636934,1567556,1171884,1116385,302810,294992,17380,16839,88222,84364,2685,2645,53953,52331,1221554,1164564,335642,326825,21618,21108,107771,103306,4786,4639,458379,439170,432133,413787,11812,11384,2619,2615,1963,1747,728,690,9124,8947,440608,422123,16954,16512,3804,3820,4869,4476,1388,1325
N,8,2008,8,3968626,2030950,1937676,1554267,1475343,301107,292870,22765,21863,82990,79967,4043,3921,65778,63712,1614276,1533448,336553,327618,34378,33170,106975,102936,8646,8266,1593847,1522216,1152188,1093598,285028,277493,17213,16531,80112,77223,2934,2832,56372,54539,1203712,1143425,315802,307600,26248,25280,101086,97308,6549,6263,437103,415460,402079,381745,16079,15377,5552,5332,2878,2744,1109,1089,9406,9173,410564,390023,20751,20018,8130,7890,5889,5628,2097,2003
