s o p   pedestal     gain      rms  nevt  dped     dgain     drms
2 5 6 1792.979126 13.469554 1.752144 153 0.462891 -0.017918 -0.075178
2 6 1 1772.320679 14.456751 2.252827 157 0.530518 -0.023089 0.277419
2 6 2 1833.898193 13.617424 2.535729 155 0.726318 -0.036717 0.172054
2 6 3 1807.742798 13.239771 2.354452 157 -0.031982 -0.018659 0.215289
2 6 4 1787.902954 12.763785 2.113314 159 0.424194 -0.016941 0.205823
2 6 5 1777.696411 13.634785 2.256452 157 0.579712 0.117022 0.224095
2 6 6 1828.699829 13.628935 1.982104 154 0.869385 0.117150 0.121058
2 7 1 1814.313110 15.304862 1.698152 157 -0.162354 0.009340 -0.206453
2 7 2 1829.467529 12.743245 2.135108 158 -0.279907 0.023872 -0.336962
2 7 3 1823.931763 14.238360 2.098298 154 -0.359009 0.007092 -0.321292
2 7 4 1808.875977 12.391220 1.842766 158 -0.230835 0.010258 -0.281544
2 7 5 1800.156006 13.958179 1.967213 155 -0.179443 0.009021 -0.258104
2 7 6 1818.686646 13.568410 1.886500 154 -0.102173 -0.003051 -0.212610
2 8 1 1811.315308 15.165991 1.694488 158 -0.779053 -0.030128 -0.127525
2 8 2 1842.674683 13.446969 2.119956 159 -0.383057 -0.002056 -0.196044
2 8 3 1822.933960 14.280241 1.679595 158 -1.364136 -0.026047 -0.178902
2 8 4 1797.554810 12.987229 1.921007 158 -0.265259 -0.005785 -0.071114
2 8 5 1823.161865 13.987093 1.647204 157 0.944580 0.001495 -0.091176
2 8 6 1861.116699 14.809262 1.564280 157 0.313354 -0.016757 -0.074011
3 1 1 1838.989014 18.023115 1.783715 239 0.138428 -0.010397 -0.154762
3 1 2 1839.475098 17.128622 2.183607 237 0.158203 -0.042738 -0.200831
3 1 3 1821.831909 19.223942 2.296453 234 0.095703 -0.007402 -0.246132
3 1 4 1817.901123 14.862619 2.302479 238 0.322876 -0.058617 -0.175220
3 2 1 1792.686157 17.298883 1.714387 238 0.138672 -0.071278 0.037636
3 2 2 1790.576538 18.508894 1.796008 234 0.172852 0.088190 0.032462
3 2 3 1831.303833 18.949280 1.874117 238 -0.264771 -0.027580 0.068845
3 2 4 1814.033203 15.918406 1.886791 239 0.052612 0.012830 0.027982
3 3 1 1790.854614 17.532854 2.325443 215 1.405884 -0.146349 -0.374339
3 3 2 1785.987549 18.742550 2.865634 213 0.556519 -0.036161 -0.404386
3 3 3 1815.047485 19.901400 2.903227 212 0.163086 -0.021009 -0.263188
3 3 4 1810.686523 15.996020 3.270779 213 0.123291 0.025597 -0.230991
3 4 1 1775.554565 16.109131 1.825422 237 -0.331543 -0.041540 0.031640
3 4 2 1779.128052 17.628101 1.995992 235 -0.148804 -0.009613 -0.013505
3 4 3 1770.972656 17.604336 2.216028 238 -0.188354 -0.008276 0.019806
3 4 4 1771.960815 15.965848 2.439336 238 -0.261841 -0.005239 -0.069172
3 5 1 1814.337646 15.697630 1.655467 231 -0.729004 0.079102 -0.017279
3 5 2 1814.528320 16.907143 1.716051 233 0.349243 0.019388 -0.090070
3 5 3 1796.853516 17.340286 1.816680 238 -0.347168 0.024632 -0.046295
3 5 4 1786.914795 15.400064 2.203807 233 2.162720 -0.168078 -0.063621
3 6 1 1823.436035 17.955688 2.578009 235 0.687012 -0.094116 0.660572
3 6 2 1825.744263 17.803276 2.399088 239 0.446777 0.035732 0.223654
3 6 3 1823.219849 19.519054 2.064945 240 0.363892 0.005497 0.168429
3 6 4 1818.041138 16.844975 2.172175 239 0.201904 0.019209 0.167595
3 7 1 1809.145264 17.165606 2.046987 239 0.229004 0.006678 -0.176017
3 7 2 1817.475220 18.888199 2.017318 230 1.391113 -0.010408 -0.257841
3 7 3 1792.234131 18.426733 2.326859 240 0.227417 -0.063265 0.199904
3 7 4 1790.441528 16.317284 2.202401 239 0.118042 -0.061771 0.201159
3 8 1 1786.876953 16.855574 1.536059 239 -0.106812 0.003040 0.063293
3 8 2 1783.293945 18.140812 1.761881 234 -0.669800 0.023361 0.091563
3 8 3 1813.814697 18.846033 1.796159 240 -0.039062 -0.017448 0.099392
3 8 4 1810.778687 16.307968 1.886762 235 -0.109131 -0.001781 0.157664
