,Not surveyed Jan 1995,,,,,,, 9/4/95,13:08:15,,,,,, 2/19/96,11:02,,,,,, 8/12/96,16:09,,,,,, 1/9/97,16:00,,,,,, 7/7/97,10:22:28,,,,,, 1/13/98,11:13:44,,,,,, Not surveyed June 1998,,,,,,, 7/8/98,9:54:28,,,,,, 1/13/99,14:01:30,,,,,, 6/28/99,17:00:03,,,,
PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X (m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 7/7/97 (z-jul97),COMMENTS
,,,,,,,20,-10.001,0.899,-0.681,1.104,,SOL.VHBP/MAUKA.RD,997,0,0,0,1.785,,BRP(RP1).MEDIAN,997,0,0,0,1.785,,BRP(RP1).MEDIAN,998,0,0,0,1.785,,BRP.MEDIAN(RP1/PHONE.POLE),998,0,0,0,1.785,,BRP(RP1).MEDIAN,12,-2.85,-0.319,-0.663,1.122,,SOL.VHBP/SEAWARD.EDGE.ROAD,,,,,,,,6,-0.011,0.013,-0.567,1.218,,SOL.VHBP/BASE.BRP,996,0,0,0,1.785,,BRP/RP1.MEDIAN,998,0,0,0,1.785,,BRP(RP1).MEDIAN
,,,,,,,21,-2.779,-0.015,-0.695,1.09,,MAKAI.RD,998,12.976,0,-0.521,1.264,0.018,FRP(RP2).MEDIAN,15,8.783,-0.242,-0.49,1.295,,SOL.VHBP/LNDWD.CURB,9,0.044,0.03,-0.543,1.242,,SOL.VHBP,35,9.055,-0.23,-0.71,1.075,,SOL.VHBP/SWD.SIDE.SWD.CURB,997,0,0,0,1.785,,BRP(RP1).MEDIAN,,,,,,,,998,0,0,0,1.785,,BRP(rp1/TEL.POLE).MED,9,1.454,-0.09,-0.591,1.194,,SOL.VHBP,9,12.925,0.028,-0.457,1.328,,SOL.VHBP/AT.FRP
,,,,,,,998,0,0,0,1.785,,BRP1(RP1/TEL.POLE).MED,20,13.085,-0.093,-0.847,0.938,,SOL.VHBP/FRP,16,12.923,0.031,-0.842,0.943,,FRP,10,8.938,0.035,-0.633,1.152,,AT.EDGE.OF.PARKING.LOT,997,13.019,0,-0.539,1.246,,FRP(RP2).MEDIAN,13,0.033,-0.003,-0.575,1.21,,AT.BRP,,,,,,,,7,1.599,0.265,-0.553,1.232,,LNDWD.PKG.LOT,10,12.125,-0.049,-0.433,1.352,,SEAWARD.EDGE.PKNG.LOT,997,12.96,0,-0.52,1.265,,FRP(RP2).MEDIAN
,,,,,,,22,8.554,-0.708,-0.618,1.167,,MAKAI.PARKING.LOT,21,24.835,0.64,-0.902,0.883,,,998,12.963,0,-0.562,1.223,-0.023,FRP(RP2).MEDIAN,997,12.932,0,-0.516,1.269,0.023,FRP.MEDIAN(RP2/PALM),34,37.206,-0.93,-0.866,0.919,,GRASS,14,4.391,-0.089,-0.824,0.961,,MUD,,,,,,,,8,12.115,0.38,-0.395,1.39,,SWD.ASPHALT,11,12.944,-0.003,-0.528,1.257,,AT.FRP.PALM,10,14.547,-0.022,-0.817,0.968,,
,,,,,,,997,12.954,0,-0.516,1.269,0.023,FRP2(RP2/PALM).MED,22,45.203,0.737,-0.81,0.975,,,17,25.019,1.11,-0.888,0.897,,,11,13.313,-0.04,-0.816,0.969,,AT.FRP,33,56.204,0.387,-0.434,1.351,,,15,4.492,-0.051,-0.632,1.153,,MUD,,,,,,,,994,12.937,0,-0.519,1.266,0.02,FRP(RP2).MED,997,12.949,0,-0.55,1.235,-0.011,FRP/RP2.MEDIAN,11,30.696,0.747,-0.81,0.975,,
,,,,,,,23,18.209,0.371,-0.917,0.868,,GRASS,23,50.864,0.639,-0.753,1.032,,,18,47.004,2.942,-0.759,1.026,,GRASS,12,33.207,0.915,-0.762,1.023,,GRASS,32,57.68,0.644,-0.529,1.256,,TS/VL,995,12.956,0,-0.518,1.267,0.021,FRP(RP2).MEDIAN,,,,,,,,9,13.329,0.511,-0.513,1.272,,BASE.FRP.TREE,12,14.534,0.579,-0.867,0.918,,,12,51.952,0.402,-0.598,1.187,,
,,,,,,,24,34.394,0.936,-0.778,1.007,,,24,56.04,0.83,-0.466,1.319,,SALTWATER.INTRUSTION.LINE,19,52.583,3.469,-0.602,1.183,,,13,50.116,0.939,-0.649,1.136,,GRASS,31,58.73,0.879,-0.983,0.802,,BS,16,13.303,-0.015,-0.844,0.941,,AT.FRP,,,,,,,,10,14.619,0.43,-0.872,0.913,,GRASS,13,23.056,0.644,-0.927,0.858,,,13,56.532,0.595,-0.301,1.484,,
,,,,,,,25,43.067,1.247,-0.823,0.962,,,25,58.535,0.852,-0.444,1.341,,TS/VL,20,56.28,3.38,-0.491,1.294,,GL,14,56.511,1.304,-0.424,1.361,,VL,30,60.411,0.996,-1.213,0.572,,S,17,17.532,-0.073,-0.913,0.872,,,,,,,,,,11,35.277,2.118,-0.769,1.016,,GRASS,14,34.303,0.88,-0.79,0.995,,,14,58.096,0.501,-0.396,1.389,,
,,,,,,,26,53.249,1.854,-0.609,1.176,,,26,58.771,0.909,-0.893,0.892,,WD,21,58.027,3.419,-0.52,1.265,,TS,15,57.667,1.538,-0.477,1.308,,,29,62.39,0.936,-1.516,0.269,,S,18,32.66,0.42,-0.821,0.964,,,,,,,,,,12,56.107,1.555,-0.375,1.41,,SWD.EDGE.GRASS,15,43.849,0.859,-0.821,0.964,,,15,58.491,0.561,-0.744,1.041,,VEG
,,,,,,,27,58.517,1.812,-0.478,1.307,,VL/TS,27,63.152,0.853,-1.722,0.063,,,22,58.404,3.422,-0.723,1.062,,,16,57.859,1.604,-0.624,1.161,,MID.SCARP,28,63.698,1.136,-1.731,0.054,,S,19,43.543,0.365,-0.804,0.981,,,,,,,,,,13,57.265,1.801,-0.495,1.29,,VL/TS,16,51.156,0.97,-0.685,1.1,,,16,60.024,-0.213,-0.936,0.849,,
,,,,,,,28,58.794,1.904,-0.721,1.064,,BS,28,69.202,1.08,-2.373,-0.588,,WATERLINE,23,58.76,3.369,-0.973,0.812,,BS,17,58.405,1.701,-0.785,1,,BS,27,65.436,1.033,-1.972,-0.187,,WD,20,51.364,0.057,-0.653,1.132,,,,,,,,,,14,58.275,1.851,-0.728,1.057,,MID-SCARP,17,53.663,1.214,-0.489,1.296,,,17,65.769,0.886,-1.209,0.576,,HT
