Report Date/Time:   02-14-08 04:22:11


                             DAPS
                         DAY  -   45

                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
AOML03  1406C4DC       2003253      2003192       165522
AOML03  1406E230       2008254      2008254       195717
AOML03  1406F146       2006250      2006250       182339
AOMLCR  1409445A       2008193      2008314         2226
AOMLCR  1409572C       2006334      2008071       172244
AOMLCR  140971C0       2008198      2008198       212326
AOMLCR  496003E6       2003298      2003211       132412
AOMLCR  49601090       2004020      2003211       132514
AOMLCR  4960367C       2008104      2008104        31804
AOMLCR  496040EC       2008311      2008311       123805
AOMLCR  4960539A       2003202      2003202            0
AOMLCR  49606600       2004349      2004345       130038
AOMLCR  49607576       2003202      2003202            0
AOMLCR  496085F2       2003202      2003202            0
AOMLCR  49609684       2006092      2006118       160105
AOMLCR  4960A31E       2005327      2005327       160135
AOMLCR  4960B068       2006285      2006285       210158
ARFDRN  07200580       2006018      2009035       141004
ARKSAS  AB10137E       2008219      2008219            0
ARKSAS  AB1026E4       2008219      2008219            0
ARKSAS  AB103592       2008219      2008219            0
ARKSAS  AB104302       2008219      2008219            0
ARKSAS  AB105074       2008219      2008219            0
ARKSAS  AB1065EE       2008219      2008219            0
ARKSAS  AB107698       2008219      2008219            0
ARKSAS  AB10861C       2008219      2008219            0
ARKSAS  AB10956A       2009022      2009022        65814
ARKSAS  AB10A0F0       2008219      2008219            0
ARKSAS  AB10B386       2008219      2008219            0
ARKSAS  AB10C516       2008219      2008219            0
ARKSAS  AB10D660       2008219      2008219            0
ARKSAS  AB10E3FA       2008219      2008219            0
BAHAMA  8330969C       2008295      2008295       200424
BAHAMA  8330F37A       2001225      2001225            0
BAHAMA  83310104       2001225      2001225            0
                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BAHAMA  83311272       2001225      2001225            0
BAHAMA  833127E8       2008030      2008030       181754
BAHAMA  8331349E       2006118      2006138       200041
BAHAMA  8331420E       2001225      2001225            0
BAHAMA  83318710       2004266      2004266            0
BAHAMA  8331A1FC       2004266      2004266            0
BAHAMA  8331D76C       2004266      2004266            0
BAHAMA  8331E2F6       2005243      2005253          455
BAHAMA  8331F180       2004266      2004266            0
BAHAMA  8332157C       2004266      2004266            0
BAHAMA  83329368       2008122      2008122       194402
BARCIM  14004206       2008176      2008176       153339
BARCIM  1401D59E       2006018      2007048       165125
BARCIM  14022214       2006278      2007311       105148
BARCIM  14023162       2001191      2004120        72653
BARCIM  14025484       2007102      2007104       104142
BARCIM  14027268       2002060      2002062       164418
BARCIM  140282EC       2005233      2005233       143422
BARCIM  1402919A       2008147      2008147        40404
BARCIM  1402A400       2008116      2008116       122040
BARCIM  1402B776       2003324      2003179       232257
BARCIM  1402C1E6       2003035      2004243       123920
BARCIM  1402D290       2007297      2007297       190247
BARCIM  1402E70A       1998220      2001327       144154
BARCIM  1402F47C       2004293      2004298       134746
BARCIM  14030602       2007285      2007318        52530
BCFIRE  BCF0B5E6       2008225      2008296       152015
BCFIRE  BCF0C376       2008228      2008290       152025
BCFIRE  BCF0D000       2008150      2008291        92035
BCFIRE  BCF0E59A       2008248      2008318       172044
BCFIRE  BCF0F6EC       2008192      2008322       230735
BCFIRE  BCF191F0       2008200      2008322       220912
BCFIRE  BCF1E760       2008234      2008234            0
BCFIRE  BCF1F416       2008234      2008234            0
BCFIRE  BCF2039C       2008234      2008234            0
BCFIRE  BCF210EA       2008234      2008234            0
BCFIRE  BCF22570       2008234      2008234            0
BCFIRE  BCF23606       2008234      2008234            0
BCFIRE  BCF24096       2008234      2008234            0
BCFIRE  BCF253E0       2008234      2008234            0
BCFIRE  BCF2667A       2008234      2008234            0
BCFIRE  BCF2750C       2008234      2008234            0
BCFIRE  BCF28588       2008234      2008234            0
BCFIRE  BCF296FE       2008234      2008234            0
BCFIRE  BCF2A364       2008234      2008234            0
BCFIRE  BCF2B012       2008234      2008234            0
BCFIRE  BCF2C682       2008234      2008234            0
BCFIRE  BCF2D5F4       2008310      2008310            0
BCFIRE  BCF2E06E       2008310      2008310            0
BCFIRE  BCF2F318       2008310      2008310            0
BCFIRE  BCF31210       2008310      2008310            0
BCFIRE  BCF3278A       2008310      2008310            0
BCFIRE  BCF334FC       2008310      2008310            0
BCFIRE  BCF3426C       2008310      2008310            0
BCFIRE  BCF3511A       2008310      2008310            0
                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BCFIRE  BCF36480       2008310      2008310            0
BCFIRE  BCF377F6       2008310      2008310            0
BCFIRE  BCF38772       2008310      2008310            0
BCFIRE  BCF39404       2008310      2008310            0
BCFIRE  BCF3A19E       2008310      2008310            0
BCFIRE  BCF3B2E8       2008310      2008310            0
BCFIRE  BCF3C478       2008310      2008310            0
BCHYPW  434011F8       1995313      1996163       191631
BCHYPW  43402462       2007337      2008052       191735
BCHYPW  43403714       1989282      1996148       180020
BCHYPW  43404184       2008090      2008309       150125
BCHYPW  434052F2       2003304      2003304        51642
BCHYPW  4340F20A       1997205      1998056       142320
BCHYPW  4341437E       2008176      2008262       161840
BCHYPW  43415008       2008146      2008146        81814
BCHYPW  43418660       2006018      2006312       180224
BCHYPW  43419516       2007338      2009034       200330
BCHYPW  4341A08C       2009029      2009033        10452
BCHYPW  434232E0       2006032      2007177         3429
BCHYPW  43425706       2004077      2005271       123633
BCHYPW  434355FC       2007337      2008284       161114
BCHYPW  43437310       2009027      2009028       165852
BCHYPW  4343B60E       2004095      2004095       104745
BCHYPW  4343C09E       2004175      2004182       145539
BCHYPW  4343D3E8       2002255      2003211       115647
BCHYPW  434407B4       2008179      2008179       130553
BCHYPW  434457C8       2008317      2008317       215740
BCHYPW  43446252       2007298      2007324       174434
BCHYPW  434481A0       2002162      2003114       153553
BCHYPW  4344C2AA       2008346      2008346       192041
BCHYPW  434523A2       2008094      2008095       153454
BCHYPW  434530D4       2002307      2002307       165224
BCHYPW  43455532       2006328      2006339       134823
BCHYPW  434560A8       2008095      2008217        14938
BCHYPW  4345902C       2006018      2008217        50132
BCHYPW  43460240       2000356      2004167       170856
BCHYPW  434637DA       2007305      2008280       201136
BCHYPW  4346414A       2006321      2006321       210804
BCHYPW  4346523C       1994101      1996024       171331
BCHYPW  434667A6       2004187      2004345       111444
BCHYPW  4346C75E       2004103      2004103        33007
BCHYPW  434713CC       1999238      2004307       144046
BCHYPW  434750C6       2002214      2002214        70437
BCHYPW  4347D6D2       2003198      2003202       143138
BCHYPW  4348A6D0       2009028      2009029       154738
BCHYPW  4348D040       2006227      2006227       194538
BCHYPW  4348E5DA       2006018      2006195       163040
BCHYPW  4348F6AC       2006018      2006194       203142
BCHYPW  434904D2       2008317      2008325       193236
