Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	198
Date	2004JUL16
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	16.50000	[UTC]
Stop_time	16.78278	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.62982	[p_s^-1]
ForeOptic_temperature	31.35	[ns]
Front_temperature	31.35	[ns]
Back_temperature	23.12	[ns]
Inside_temperature	22.71	[ns]
Shelter_temperature	18.64	[ns]
PSUnit_temperature	21.91	[ns]
AirCond_temperature	22.99	[ns]
Outside_temperature	24.61	[ns]
Comments	none
Formatted_file	2004198f10.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.005	-0.00098	0.1260	0.0000
290.105	-0.00098	0.1260	-0.0000
290.205	0.00057	0.1644	-0.0000
290.305	-0.00098	0.1260	-0.0000
290.405	0.00212	0.0854	-0.0000
290.505	-0.00098	0.1260	-0.0000
290.605	-0.00098	0.1260	-0.0000
290.705	0.00057	0.1644	-0.0000
290.805	0.00212	0.0854	-0.0000
290.905	0.00057	0.1644	-0.0000
291.005	0.00057	0.1644	-0.0000
291.105	0.00057	0.1644	0.0000
291.205	0.00057	0.1644	0.0000
291.305	0.00211	0.0854	0.0000
291.405	-0.00097	0.1260	0.0000
291.505	0.00057	0.1644	0.0000
291.605	0.00211	0.0854	0.0000
291.705	0.00211	0.0854	0.0000
291.805	0.00211	0.0854	0.0000
291.905	0.00210	0.0854	0.0000
292.005	0.00210	0.0854	0.0000
292.105	0.00210	0.0854	-0.0000
292.205	0.00210	0.0854	-0.0000
292.305	0.00057	0.1644	-0.0000
292.405	0.00363	0.0650	-0.0000
292.505	0.00210	0.0854	-0.0000
292.605	0.00362	0.0650	-0.0000
292.706	0.00362	0.0650	-0.0000
292.805	0.00209	0.0854	-0.0000
292.905	0.00056	0.1644	-0.0000
293.005	0.00667	0.0478	-0.0000
293.105	0.00666	0.0478	0.0000
293.206	0.00818	0.0432	0.0000
293.306	0.00818	0.0432	0.0000
293.406	0.00665	0.0478	0.0000
293.506	0.01425	0.0327	0.0000
293.605	0.01272	0.0346	0.0000
293.706	0.00968	0.0396	0.0000
293.806	0.01423	0.0327	0.0000
293.906	0.01574	0.0311	0.0000
294.006	0.02180	0.0264	0.0000
294.106	0.01421	0.0327	-0.0000
294.206	0.02329	0.0255	-0.0000
294.306	0.03085	0.0222	-0.0000
294.406	0.01721	0.0297	-0.0000
294.506	0.03384	0.0211	-0.0000
294.606	0.04592	0.0181	-0.0000
294.706	0.02776	0.0233	-0.0000
294.806	0.02020	0.0273	-0.0000
294.906	0.02924	0.0227	-0.0000
295.006	0.04734	0.0179	-0.0000
295.106	0.06390	0.0154	0.0000
295.206	0.08046	0.0137	0.0000
295.306	0.08795	0.0131	0.0000
295.406	0.06231	0.0155	0.0000
295.506	0.11496	0.0114	0.0000
295.606	0.12243	0.0111	0.0000
295.706	0.08327	0.0134	0.0000
295.806	0.14486	0.0102	0.0000
295.906	0.15832	0.0097	0.0000
296.006	0.14774	0.0101	0.0000
296.106	0.17469	0.0093	-0.0000
296.206	0.23013	0.0081	-0.0000
