  DATE;LATVIAI;LATVIAR;
  02AUG2008; 2.207506; 2.207506;
  01AUG2008; 2.207506; 2.207506;
  31JUL2008; 2.213859; 2.213859;
  30JUL2008; 2.210433; 2.210433;
  29JUL2008; 2.216803; 2.216803;
  28JUL2008; 2.237637; 2.237637;
  27JUL2008; 2.228661; 2.228661;
  26JUL2008; 2.228661; 2.228661;
  25JUL2008; 2.228661; 2.228661;
  24JUL2008; 2.227668; 2.227668;
  23JUL2008; 2.232641; 2.232641;
  22JUL2008; 2.252252; 2.252252;
  21JUL2008; 2.255809; 2.255809;
  20JUL2008; 2.255300; 2.255300;
  19JUL2008; 2.255300; 2.255300;
  18JUL2008; 2.255300; 2.255300;
  17JUL2008; 2.258866; 2.258866;
  16JUL2008; 2.251745; 2.251745;
  15JUL2008; 2.272727; 2.272727;
  14JUL2008; 2.261932; 2.261932;
  13JUL2008; 2.264493; 2.264493;
  12JUL2008; 2.264493; 2.264493;
  11JUL2008; 2.264493; 2.264493;
  10JUL2008; 2.249213; 2.249213;
  09JUL2008; 2.239140; 2.239140;
  08JUL2008; 2.228661; 2.228661;
  07JUL2008; 2.226180; 2.226180;
  06JUL2008; 2.225684; 2.225684;
  05JUL2008; 2.225684; 2.225684;
  04JUL2008; 2.225684; 2.225684;
  03JUL2008; 2.230152; 2.230152;
  02JUL2008; 2.251745; 2.251745;
  01JUL2008; 2.234138; 2.234138;
  30JUN2008; 2.235136; 2.235136;
  29JUN2008; 2.235636; 2.235636;
  28JUN2008; 2.235636; 2.235636;
  27JUN2008; 2.235636; 2.235636;
  26JUN2008; 2.240645; 2.240645;
  25JUN2008; 2.215821; 2.215821;
  24JUN2008; 2.219756; 2.219756;
  23JUN2008; 2.204586; 2.204586;
  22JUN2008; 2.224199; 2.224199;
  21JUN2008; 2.224199; 2.224199;
  20JUN2008; 2.224199; 2.224199;
  19JUN2008; 2.199736; 2.199736;
  18JUN2008; 2.201673; 2.201673;
  17JUN2008; 2.195872; 2.195872;
  16JUN2008; 2.189621; 2.189621;
  15JUN2008; 2.229748; 2.229748;
  14JUN2008; 2.229748; 2.229748;
  13JUN2008; 2.229748; 2.229748;
  12JUN2008; 2.194426; 2.194426;
  11JUN2008; 2.212389; 2.212389;
  10JUN2008; 2.204100; 2.204100;
  09JUN2008; 2.237637; 2.237637;
  08JUN2008; 2.244669; 2.244669;
  07JUN2008; 2.244669; 2.244669;
  06JUN2008; 2.244669; 2.244669;
  05JUN2008; 2.213859; 2.213859;
  04JUN2008; 2.203614; 2.203614;
  03JUN2008; 2.199736; 2.199736;
  02JUN2008; 2.209456; 2.209456;
  01JUN2008; 2.215821; 2.215821;
  31MAY2008; 2.215821; 2.215821;
  30MAY2008; 2.215821; 2.215821;
  29MAY2008; 2.215821; 2.215821;
  28MAY2008; 2.227668; 2.227668;
  27MAY2008; 2.245677; 2.245677;
  26MAY2008; 2.257336; 2.257336;
  25MAY2008; 2.256827; 2.256827;
  24MAY2008; 2.256827; 2.256827;
  23MAY2008; 2.256827; 2.256827;
  22MAY2008; 2.246686; 2.246686;
  21MAY2008; 2.252252; 2.252252;
  20MAY2008; 2.240143; 2.240143;
  19MAY2008; 2.221235; 2.221235;
  18MAY2008; 2.226676; 2.226676;
  17MAY2008; 2.226676; 2.226676;
  16MAY2008; 2.226676; 2.226676;
  15MAY2008; 2.216312; 2.216312;
  14MAY2008; 2.215330; 2.215330;
  13MAY2008; 2.219756; 2.219756;
  12MAY2008; 2.221235; 2.221235;
  11MAY2008; 2.212389; 2.212389;
  10MAY2008; 2.212389; 2.212389;
  09MAY2008; 2.212389; 2.212389;
  08MAY2008; 2.209456; 2.209456;
  07MAY2008; 2.206531; 2.206531;
  06MAY2008; 2.228661; 2.228661;
  05MAY2008; 2.216312; 2.216312;
  04MAY2008; 2.205558; 2.205558;
  03MAY2008; 2.205558; 2.205558;
  02MAY2008; 2.205558; 2.205558;
  01MAY2008; 2.211900; 2.211900;
  30APR2008; 2.229654; 2.229654;
  29APR2008; 2.233639; 2.233639;
  28APR2008; 2.239642; 2.239642;
  27APR2008; 2.243662; 2.243662;
  26APR2008; 2.243662; 2.243662;
  25APR2008; 2.243662; 2.243662;
  24APR2008; 2.248201; 2.248201;
  23APR2008; 2.274278; 2.274278;
  22APR2008; 2.234148; 2.234148;
  21APR2008; 2.230296; 2.230296;
  20APR2008; 2.257336; 2.257336;
  19APR2008; 2.257336; 2.257336;
  18APR2008; 2.257336; 2.257336;
  17APR2008; 2.223118; 2.223118;
  16APR2008; 2.218500; 2.218500;
  15APR2008; 2.214759; 2.214759;
  14APR2008; 2.210517; 2.210517;
  13APR2008; 2.206424; 2.206424;
  12APR2008; 2.206424; 2.206424;
  11APR2008; 2.206424; 2.206424;
  10APR2008; 2.202262; 2.202262;
  09APR2008; 2.197907; 2.197907;
  08APR2008; 2.193857; 2.193857;
  07APR2008; 2.189478; 2.189478;
  06APR2008; 2.185026; 2.185026;
  05APR2008; 2.185026; 2.185026;
  04APR2008; 2.185026; 2.185026;
  03APR2008; 2.181039; 2.181039;
  02APR2008; 2.177731; 2.177731;
  01APR2008; 2.174387; 2.174387;
  31MAR2008; 2.093163; 2.093163;
  30MAR2008; 2.098089; 2.098089;
  29MAR2008; 2.098089; 2.098089;
  28MAR2008; 2.098089; 2.098089;
  27MAR2008; 2.102321; 2.102321;
  26MAR2008; 2.106661; 2.106661;
  25MAR2008; 2.110980; 2.110980;
  24MAR2008; 2.115200; 2.115200;
  23MAR2008; 2.118429; 2.118429;
  22MAR2008; 2.118429; 2.118429;
  21MAR2008; 2.118429; 2.118429;
  20MAR2008; 2.121418; 2.121418;
  19MAR2008; 2.124517; 2.124517;
  18MAR2008; 2.128379; 2.128379;
  17MAR2008; 2.132641; 2.132641;
  16MAR2008; 2.136345; 2.136345;
  15MAR2008; 2.136345; 2.136345;
  14MAR2008; 2.136345; 2.136345;
  13MAR2008; 2.139228; 2.139228;
  12MAR2008; 2.142031; 2.142031;
  11MAR2008; 2.144656; 2.144656;
  10MAR2008; 2.146559; 2.146559;
  09MAR2008; 2.148485; 2.148485;
  08MAR2008; 2.148485; 2.148485;
  07MAR2008; 2.148485; 2.148485;
  06MAR2008; 2.150825; 2.150825;
  05MAR2008; 2.190101; 2.190101;
  04MAR2008; 2.184837; 2.184837;
  03MAR2008; 2.181025; 2.181025;
  02MAR2008; 2.178175; 2.178175;
  01MAR2008; 2.178175; 2.178175;
  29FEB2008; 2.178175; 2.178175;
  28FEB2008; 2.177226; 2.177226;
  27FEB2008; 2.167317; 2.167317;
  26FEB2008; 2.136752; 2.136752;
  25FEB2008; 2.129019; 2.129019;
  24FEB2008; 2.127207; 2.127207;
  23FEB2008; 2.127207; 2.127207;
  22FEB2008; 2.127207; 2.127207;
  21FEB2008; 2.124044; 2.124044;
  20FEB2008; 2.168029; 2.168029;
  19FEB2008; 2.168813; 2.168813;
  18FEB2008; 2.170102; 2.170102;
  17FEB2008; 2.170972; 2.170972;
  16FEB2008; 2.170972; 2.170972;
  15FEB2008; 2.170972; 2.170972;
  14FEB2008; 2.172081; 2.172081;
  13FEB2008; 2.173086; 2.173086;
  12FEB2008; 2.173776; 2.173776;
  11FEB2008; 2.174436; 2.174436;
  10FEB2008; 2.174780; 2.174780;
  09FEB2008; 2.174780; 2.174780;
  08FEB2008; 2.174780; 2.174780;
  07FEB2008; 2.174726; 2.174726;
  06FEB2008; 2.174476; 2.174476;
  05FEB2008; 2.174342; 2.174342;
  04FEB2008; 2.174387; 2.174387;
  03FEB2008; 2.124947; 2.124947;
  02FEB2008; 2.124947; 2.124947;
  01FEB2008; 2.124947; 2.124947;
  31JAN2008; 2.122241; 2.122241;
  30JAN2008; 2.119093; 2.119093;
  29JAN2008; 2.117747; 2.117747;
  28JAN2008; 2.120891; 2.120891;
  27JAN2008; 2.107926; 2.107926;
  26JAN2008; 2.107926; 2.107926;
  25JAN2008; 2.107926; 2.107926;
  24JAN2008; 2.108815; 2.108815;
  23JAN2008; 2.149675; 2.149675;
  22JAN2008; 2.145692; 2.145692;
  21JAN2008; 2.141376; 2.141376;
  20JAN2008; 2.093364; 2.093364;
  19JAN2008; 2.093364; 2.093364;
  18JAN2008; 2.093364; 2.093364;
  17JAN2008; 2.103049; 2.103049;
  16JAN2008; 2.100840; 2.100840;
  15JAN2008; 2.127207; 2.127207;
  14JAN2008; 2.128565; 2.128565;
  13JAN2008; 2.115507; 2.115507;
  12JAN2008; 2.115507; 2.115507;
  11JAN2008; 2.115507; 2.115507;
  10JAN2008; 2.108815; 2.108815;
  09JAN2008; 2.103492; 2.103492;
  08JAN2008; 2.108815; 2.108815;
  07JAN2008; 2.107038; 2.107038;
  06JAN2008; 2.115059; 2.115059;
  05JAN2008; 2.115059; 2.115059;
  04JAN2008; 2.115059; 2.115059;
  03JAN2008; 2.107482; 2.107482;
  02JAN2008; 2.107926; 2.107926;
  01JAN2008; 2.099076; 2.099076;
  31DEC2007; 2.099076; 2.099076;
  30DEC2007; 2.110150; 2.110150;
  29DEC2007; 2.110150; 2.110150;
  28DEC2007; 2.110150; 2.110150;
  27DEC2007; 2.091175; 2.091175;
  26DEC2007; 2.082466; 2.082466;
  25DEC2007; 2.067397; 2.067397;
  24DEC2007; 2.067397; 2.067397;
  23DEC2007; 2.062706; 2.062706;
  22DEC2007; 2.062706; 2.062706;
  21DEC2007; 2.062706; 2.062706;
  20DEC2007; 2.059308; 2.059308;
  19DEC2007; 2.063132; 2.063132;
  18DEC2007; 2.068252; 2.068252;
  17DEC2007; 2.064836; 2.064836;
  16DEC2007; 2.071680; 2.071680;
  15DEC2007; 2.071680; 2.071680;
  14DEC2007; 2.071680; 2.071680;
  13DEC2007; 2.094680; 2.094680;
  12DEC2007; 2.104377; 2.104377;
  11DEC2007; 2.105706; 2.105706;
  10DEC2007; 2.108815; 2.108815;
  09DEC2007; 2.100840; 2.100840;
  08DEC2007; 2.100840; 2.100840;
  07DEC2007; 2.100840; 2.100840;
  06DEC2007; 2.093802; 2.093802;
  05DEC2007; 2.096876; 2.096876;
  04DEC2007; 2.107038; 2.107038;
  03DEC2007; 2.092050; 2.092050;
  02DEC2007; 2.094241; 2.094241;
  01DEC2007; 2.094241; 2.094241;
  30NOV2007; 2.094241; 2.094241;
  29NOV2007; 2.059474; 2.059474;
  28NOV2007; 2.056999; 2.056999;
  27NOV2007; 2.054054; 2.054054;
  26NOV2007; 2.051562; 2.051562;
  25NOV2007; 2.049071; 2.049071;
  24NOV2007; 2.049071; 2.049071;
  23NOV2007; 2.049071; 2.049071;
  22NOV2007; 2.046161; 2.046161;
  21NOV2007; 2.043136; 2.043136;
