SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,34,021,New Jersey,Mercer County,0,0,02,72009,72009,72424,72970,73383,74199,75246
050,34,021,New Jersey,Mercer County,0,0,03,793,793,784,801,842,886,920
050,34,021,New Jersey,Mercer County,0,0,04,17763,17763,17887,19507,21307,23342,25905
050,34,021,New Jersey,Mercer County,0,0,05,488,488,471,504,533,579,622
050,34,021,New Jersey,Mercer County,0,0,06,3856,3856,3618,3839,4042,4285,4578
050,34,023,New Jersey,Middlesex County,0,0,01,559173,559173,560140,558737,556417,554485,552669
050,34,023,New Jersey,Middlesex County,0,0,02,73454,73454,73671,75663,77228,79113,81195
050,34,023,New Jersey,Middlesex County,0,0,03,2070,2070,2128,2222,2315,2397,2506
050,34,023,New Jersey,Middlesex County,0,0,04,106206,106206,107676,115478,123577,130601,137066
050,34,023,New Jersey,Middlesex County,0,0,05,455,455,310,322,341,357,373
050,34,023,New Jersey,Middlesex County,0,0,06,8804,8804,9139,9679,10191,10719,11286
050,34,025,New Jersey,Monmouth County,0,0,01,531635,531635,532992,536645,540800,544012,545972
050,34,025,New Jersey,Monmouth County,0,0,02,51720,51720,52090,52267,52126,52141,52005
050,34,025,New Jersey,Monmouth County,0,0,03,1015,1015,974,1006,1034,1067,1087
050,34,025,New Jersey,Monmouth County,0,0,04,24859,24859,25236,26576,27985,29272,30258
050,34,025,New Jersey,Monmouth County,0,0,05,217,217,160,168,180,198,199
050,34,025,New Jersey,Monmouth County,0,0,06,5855,5855,5825,6062,6312,6567,6777
050,34,027,New Jersey,Morris County,0,0,01,421547,421547,422432,423177,425680,427922,430195
050,34,027,New Jersey,Morris County,0,0,02,13833,13833,13941,14029,14045,14404,14724
050,34,027,New Jersey,Morris County,0,0,03,700,700,666,688,721,755,782
050,34,027,New Jersey,Morris County,0,0,04,29969,29969,30473,32228,34044,35904,37747
050,34,027,New Jersey,Morris County,0,0,05,223,223,141,142,151,155,164
050,34,027,New Jersey,Morris County,0,0,06,3940,3940,3817,3949,4159,4373,4561
050,34,029,New Jersey,Ocean County,0,0,01,483614,483614,486529,495634,506807,515050,520862
050,34,029,New Jersey,Ocean County,0,0,02,15892,15892,16040,16719,17668,17986,18295
050,34,029,New Jersey,Ocean County,0,0,03,849,849,818,840,889,917,936
050,34,029,New Jersey,Ocean County,0,0,04,6753,6753,6803,7348,7995,8398,8694
050,34,029,New Jersey,Ocean County,0,0,05,127,127,122,146,164,178,186
