Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	117
Date	2004APR26
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	19.50000	[UTC]
Stop_time	19.78278	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.41553	[p_s^-1]
ForeOptic_temperature	33.11	[ns]
Front_temperature	33.11	[ns]
Back_temperature	25.94	[ns]
Inside_temperature	25.46	[ns]
Shelter_temperature	23.96	[ns]
PSUnit_temperature	27.49	[ns]
AirCond_temperature	18.74	[ns]
Outside_temperature	27.54	[ns]
Comments	none
Formatted_file	2004117f15.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.066	0.00091	0.1308	0.0000
290.166	-0.00065	0.1551	-0.0000
290.266	0.00091	0.1308	-0.0000
290.366	0.00091	0.1308	-0.0000
290.466	0.00091	0.1308	-0.0000
290.566	-0.00064	0.1551	-0.0000
290.667	-0.00064	0.1551	-0.0000
290.767	0.00090	0.1308	-0.0000
290.867	-0.00064	0.1551	-0.0000
290.967	0.00090	0.1308	-0.0000
291.067	-0.00064	0.1551	-0.0000
291.167	0.00090	0.1308	0.0000
291.267	0.00090	0.1308	0.0000
291.367	0.00244	0.0794	0.0000
291.467	0.00244	0.0794	0.0000
291.567	0.00090	0.1308	0.0000
291.667	0.00090	0.1308	0.0000
291.767	0.00244	0.0794	0.0000
291.867	0.00397	0.0622	0.0000
291.967	0.00243	0.0794	0.0000
292.067	0.00550	0.0528	0.0000
292.167	0.00550	0.0528	-0.0000
292.268	0.00243	0.0794	-0.0000
292.368	0.00396	0.0622	-0.0000
292.468	0.00242	0.0794	-0.0000
292.568	0.00242	0.0794	-0.0000
292.668	0.00242	0.0794	-0.0000
292.768	0.00548	0.0528	-0.0000
292.868	0.00242	0.0794	-0.0000
292.968	0.00394	0.0622	-0.0000
293.068	0.01156	0.0363	-0.0000
293.168	0.01156	0.0363	0.0000
293.268	0.01307	0.0341	0.0000
293.368	0.01154	0.0363	0.0000
293.468	0.02371	0.0253	0.0000
293.568	0.02370	0.0253	0.0000
293.668	0.01001	0.0390	0.0000
293.768	0.01911	0.0282	0.0000
293.869	0.02062	0.0271	0.0000
293.969	0.02516	0.0246	0.0000
294.069	0.02666	0.0238	0.0000
294.169	0.03120	0.0220	-0.0000
294.269	0.04633	0.0181	-0.0000
294.369	0.03722	0.0202	-0.0000
294.469	0.03569	0.0206	-0.0000
294.569	0.05835	0.0161	-0.0000
294.669	0.05832	0.0161	-0.0000
294.769	0.02959	0.0226	-0.0000
294.869	0.04165	0.0190	-0.0000
294.969	0.07634	0.0141	-0.0000
295.069	0.09592	0.0125	-0.0000
295.169	0.12301	0.0111	0.0000
295.269	0.15761	0.0098	0.0000
295.369	0.08975	0.0130	0.0000
295.469	0.16499	0.0096	0.0000
295.570	0.21006	0.0085	0.0000
295.670	0.14528	0.0102	0.0000
295.770	0.19031	0.0089	0.0000
295.870	0.27588	0.0074	0.0000
295.970	0.23670	0.0080	0.0000
296.070	0.27713	0.0074	0.0000
296.170	0.42558	0.0059	-0.0000
296.270	0.49889	0.0055	-0.0000
