s o p   pedestal     gain      rms  nevt  dped     dgain     drms
1 1 1 1839.241211 -1.000000 1.684938 96 12.968384 -13.041938 -4.366362
1 1 2 1812.289429 -1.000000 1.524323 96 -0.774048 -13.274184 -4.358698
1 1 3 1821.084595 -1.000000 1.662156 96 21.046509 -12.606412 0.021759
1 1 4 1813.373047 -1.000000 1.531302 96 0.935913 -12.681751 -2.274025
1 1 5 1814.788452 -1.000000 1.649302 96 0.187500 -13.189145 -0.049760
1 1 6 1827.759399 -1.000000 1.864344 96 1.115601 -12.198776 -0.078880
1 2 1 1776.390503 -1.000000 1.935281 96 0.055664 -11.835272 0.101923
1 2 2 1830.337402 -1.000000 1.687177 96 0.160767 -12.520072 0.035366
1 2 3 1771.613892 -1.000000 1.797823 96 0.466309 -12.035146 0.048539
1 2 4 1844.785034 -1.000000 1.636271 96 -0.100586 -12.284489 0.004494
1 2 5 1796.102539 -1.000000 1.905344 96 0.034912 -12.237726 0.075870
1 2 6 1764.976929 -1.000000 1.947542 96 -0.026855 -11.903050 0.012177
1 3 1 1776.546997 -1.000000 2.501427 96 0.506714 -12.724433 -0.038162
1 3 2 1805.670410 -1.000000 2.158198 96 -0.087402 -12.558354 -0.030542
1 3 3 1815.605835 -1.000000 3.590448 96 -1.080322 -12.857796 -0.302423
1 3 4 1807.848999 -1.000000 3.858760 96 -0.540039 -12.949242 -0.165114
1 3 5 1776.624146 -1.000000 2.071136 96 -0.092163 -12.783591 -0.151260
1 3 6 1828.910278 -1.000000 2.394188 96 0.000610 -11.559228 -0.039854
1 4 1 1837.450317 -1.000000 3.316094 96 0.052612 -12.310557 0.120094
1 4 2 1810.290649 -1.000000 2.091375 96 0.231567 -13.287086 -0.021573
1 4 3 1827.381836 -1.000000 2.050521 96 0.649902 -12.890012 -0.009332
1 4 4 1807.321655 -1.000000 2.029011 96 1.091431 -13.176575 0.108692
1 4 5 1802.719360 -1.000000 1.955187 96 -0.529297 -13.665831 -0.034697
1 4 6 1799.987305 -1.000000 3.203312 96 1.245850 -13.176084 0.159712
1 5 1 1805.652710 -1.000000 2.145094 96 0.038208 -13.243488 -0.138959
1 5 2 1803.630249 -1.000000 2.466188 96 0.517700 -13.273699 -0.176307
1 5 3 1819.134155 -1.000000 2.618521 96 0.075317 -13.948530 -0.170510
1 5 4 1780.744019 -1.000000 2.125916 96 0.014648 -13.596896 -0.210761
1 5 5 1825.936401 -1.000000 2.610396 96 -0.438599 -13.474298 0.223280
1 5 6 1786.033203 -1.000000 3.327520 96 2.223877 -13.414308 0.008223
1 6 1 1778.815430 -1.000000 1.841177 96 -0.616455 -12.888278 0.054401
1 6 2 1811.477173 -1.000000 1.577208 96 0.026978 -12.778544 0.009781
1 6 3 1823.532593 -1.000000 1.733968 96 -0.300659 -13.399031 0.045810
1 6 4 1822.902954 -1.000000 1.831416 96 0.146118 -13.374512 0.122593
1 6 5 1825.460571 -1.000000 2.449499 96 -0.471558 -13.406511 0.106542
1 6 6 1817.796387 -1.000000 3.774323 96 0.001343 -12.911969 0.258428
1 7 1 1812.746948 -1.000000 1.680750 96 0.060913 -12.286698 -0.196792
1 7 2 1820.405640 -1.000000 1.601167 96 0.162354 -13.174489 -0.077219
1 7 3 1805.252808 -1.000000 1.624187 96 0.516479 -13.237766 -0.241402
1 7 4 1796.841675 -1.000000 1.612979 96 0.131592 -13.330462 -0.030354
