Begin Header
	version	6.0.0
	Date	Sat Oct 02 13:39:04 EDT 2004
	Image File	C:\My Documents\Results\LBL samples\2004_09_28_E28_Salt strtess\E28_Qiang_K_Cy3_12935752.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	2.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2126
			# of Poor Spots: 88
			# of Negative Spots: 0
			# of Manually Flagged Spots: 0
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	1	11	ORF00847	0	16557.1191	1067.1662	17663.0	856.0	17636.7265	929.1137	101.0	361.0	1672269.0	385247.0	7259.6196	1012.4226	0.8706	0.0	101.0	0.0	1.0	0.0	504.5	125.5	11.0	0.8347	0.6337	0.5433	503.8662	124.9566	504.5049	125.6534	0.9452	0.6386	0.6968	11.0047	11.8904		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	12	ORF00812	0	13253.0625	1096.6778	13265.5	875.0	17860.7617	882.8526	96.0	388.0	1272294.0	425511.0	6490.0898	1126.3815	0.8275	0.0	96.0	0.0	1.0	0.0	526.0	125.0	10.0	1.1366	1.1343	0.0727	524.8656	124.9272	525.6666	125.3125	0.8888	0.801	0.3852	10.4265	11.886		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	13	ORF00205	0	13907.7675	1013.401	13383.0	842.0	13244.1816	546.6184	99.0	384.0	1376869.0	389146.0	6012.873	602.673	0.8999	0.0	99.0	0.0	1.0	0.0	546.5	124.5	11.0	0.5527	0.384	-0.3974	546.1159	124.8974	546.5353	124.0202	0.9723	0.4193	-0.8772	10.8547	11.7621		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	14	ORF00161	0	15554.539	1191.8204	15494.0	937.0	15808.4833	1063.5922	89.0	373.0	1384354.0	444549.0	6050.4311	1354.8428	0.8018	0.0	89.0	0.0	1.0	0.0	567.0	124.0	10.0	0.8787	0.1341	-0.8684	566.8658	124.8684	566.9663	123.9887	0.8854	0.1004	-0.8796	9.9469	11.6144		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	15	ORF00285	3	9317.4375	1348.274	8689.0	979.0	8708.5	1061.2768	16.0	467.0	149079.0	629644.0	3509.5942	1535.697	0.5	0.0	16.0	0.0	0.7853	0.0	586.5	125.5	5.0	0.992	-0.7406	0.66	587.2406	124.8399	586.5	125.5	0.992	-0.7406	0.66	4.6188	4.6188		0	0	0	0	0	1	0	0	0	0	0	0
	A	1	1	1	16	ORF00243	0	7458.186	1148.1588	5875.0	936.5	5951.9199	816.7022	86.0	466.0	641404.0	535042.0	5661.5932	819.2854	0.7657	0.0	86.0	0.0	0.9348	0.0	610.0	124.0	10.0	1.1534	0.8218	-0.8092	609.1781	124.8092	610.2907	123.9883	1.3826	1.1126	-0.8208	10.193	11.3841		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	17	ORF00202	0	11239.0683	1118.7166	11668.5	902.0	12263.04	759.3115	88.0	353.0	989038.0	394907.0	3847.5815	883.0774	0.7857	0.0	88.0	0.0	1.0	0.0	630.5	124.5	11.0	0.5813	0.5094	-0.28	629.9905	124.78	630.5908	124.0795	0.9225	0.6003	-0.7005	10.423	10.9283		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	18	ORF00158	0	17490.1738	1299.1864	16168.0	1146.5	16024.5712	1017.7067	103.0	338.0	1801488.0	439125.0	8605.6455	975.1821	0.6645	0.0	103.0	0.0	0.9987	0.0	651.5	124.5	11.0	0.4584	0.3839	-0.2505	651.116	124.7505	651.2815	124.4563	0.3375	0.1654	-0.2941	10.7077	12.4726		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	1	ORF01594	3	10186.5947	1182.8859	8853.0	998.0	8634.0878	681.6242	111.0	351.0	1130712.0	415193.0	8500.0634	710.2185	0.4422	0.0	111.0	0.0	0.7204	0.0	294.5	147.5	11.0	1.3175	0.3218	1.2776	294.1781	146.2223	294.9549	146.1891	0.7775	0.7767	-0.0331	9.8903	16.0615		0	0	0	0	0	1	0	0	0	0	0	0
	A	1	1	2	2	ORF01558	0	9660.8554	1074.989	9257.0	944.0	9226.2695	569.2875	97.0	365.0	937103.0	392371.0	3381.2761	619.5515	0.8362	0.0	97.0	0.0	1.0	0.0	315.5	146.5	11.0	0.4323	-0.3034	0.3079	315.8034	146.192	315.7835	146.4742	0.2828	-0.0199	0.2821	10.4625	11.9461		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	3	ORF01517	0	16736.3632	1089.9006	16728.0	897.5	17116.6835	868.214	99.0	342.0	1656900.0	372746.0	5666.8222	877.1911	0.6428	0.0	99.0	0.0	1.0	0.0	336.5	146.5	11.0	0.3625	0.1343	0.3367	336.3656	146.1632	336.3636	146.606	0.4427	-0.0020	0.4427	10.348	12.276		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	4	ORF01473	0	12224.5449	1047.4183	12803.0	903.0	13274.2138	642.7475	101.0	361.0	1234679.0	378118.0	4334.2675	616.0449	0.8938	0.0	101.0	0.0	1.0	0.0	356.5	145.5	11.0	0.6372	-0.0528	-0.635	356.5528	146.135	356.7425	145.8514	0.3411	0.1897	-0.2835	10.9714	11.8943		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	5	ORF01591	0	12758.6103	993.2815	11608.0	855.0	12168.1728	586.5085	100.0	341.0	1275861.0	338709.0	6225.3149	555.7862	0.8928	0.0	100.0	0.0	1.0	0.0	377.5	146.5	11.0	0.3978	-0.0529	0.3943	377.5529	146.1056	378.0899	146.4199	0.6223	0.537	0.3143	10.7994	11.9485		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	6	ORF01554	0	11907.4902	974.3489	11793.5	862.0	12839.7773	584.3849	100.0	384.0	1190749.0	374150.0	4675.1191	573.5615	0.9009	0.0	100.0	0.0	1.0	0.0	398.0	146.0	10.0	0.5588	-0.5535	-0.0762	398.5535	146.0762	398.88	145.71	0.4905	0.3264	-0.3662	10.8219	11.9053		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	7	ORF00929	0	14174.8525	982.8638	13550.0	755.0	14599.6171	902.6058	102.0	382.0	1445835.0	375454.0	7392.6044	1166.4238	0.6754	0.0	102.0	0.0	1.0	0.0	420.0	146.0	10.0	0.3685	-0.3656	-0.0457	420.3656	146.0457	420.1862	145.9019	0.2298	-0.1793	-0.1437	10.6898	12.3287		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	8	ORF00890	0	10996.5312	1053.6495	10985.0	848.0	11330.6953	709.1788	96.0	388.0	1055667.0	408816.0	4214.8681	756.4729	0.8275	0.0	96.0	0.0	1.0	0.0	441.5	146.5	11.0	0.7023	0.5097	0.4831	440.9902	146.0168	441.5	146.2916	0.579	0.5097	0.2748	10.7067	11.6334		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	9	ORF00852	0	17844.9082	1089.9338	16630.0	910.0	16738.916	767.4725	99.0	363.0	1766646.0	395646.0	8655.1162	766.1358	0.6387	0.0	99.0	0.0	1.0	0.0	462.5	146.5	11.0	0.5264	-0.1163	0.5134	462.6163	145.9865	462.5555	146.3232	0.3421	-0.0607	0.3366	10.5715	12.0544		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	10	ORF00818	0	19847.7597	1123.304	20293.5	904.0	21078.8671	974.4021	96.0	388.0	1905385.0	435842.0	8153.5493	1290.4162	0.8495	0.0	96.0	0.0	1.0	0.0	483.0	146.0	10.0	0.1232	-0.1158	0.0421	483.1158	145.9578	483.2395	145.8645	0.1549	0.1237	-0.0932	10.3222	11.9821		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	11	ORF00925	0	17654.4414	978.4218	17071.0	847.5	17190.914	536.3312	104.0	358.0	1836062.0	350275.0	9175.9658	560.3626	0.6887	0.0	104.0	0.0	1.0	0.0	504.5	145.5	11.0	0.8178	0.6963	-0.4289	503.8036	145.9289	504.0288	145.2307	0.7335	0.2251	-0.6981	11.0414	12.1672		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	12	ORF00888	0	6144.2558	1050.1999	5695.0	899.0	6089.85	757.6643	86.0	375.0	528406.0	393825.0	2544.226	703.337	0.7413	1.0	87.0	14180.0	0.9923	0.0	525.0	146.0	10.0	0.1235	0.0717	0.1006	524.9282	145.8993	525.3023	145.6511	0.4488	0.374	-0.2481	10.1431	10.9715		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	13	ORF00291	0	13853.9638	1108.9521	13683.0	889.0	13763.7412	736.3065	83.0	397.0	1149879.0	440254.0	3945.6418	765.5919	0.7345	4.0	87.0	14087.5	1.0	0.0	547.0	146.0	10.0	0.8316	0.8213	0.1304	546.1786	145.8695	546.9397	145.9036	0.7618	0.7611	0.034	9.42	11.3768		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	14	ORF00248	0	16676.2617	1100.3989	16283.0	866.0	19757.041	689.6796	99.0	361.0	1650950.0	397244.0	7266.4072	725.9698	0.8684	0.0	99.0	0.0	1.0	0.0	568.0	145.0	10.0	1.4624	1.1966	-0.8407	566.8033	145.8407	568.0908	144.8888	1.6011	1.2875	-0.9518	10.9398	11.7752		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	15	ORF00209	0	13278.8876	1277.2137	12134.0	1074.0	24135.0839	881.9235	71.0	435.0	942801.0	555588.0	8292.5537	987.4846	0.6173	0.0	71.0	0.0	0.9284	0.0	586.0	146.0	8.0	1.3789	-1.366	0.188	587.366	145.8119	586.4366	146.1971	1.006	-0.9293	0.3852	7.825	11.9418		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	16	ORF00166	3	27476.2968	1491.4865	29234.0	1089.0	45043.625	1284.9179	37.0	446.0	1016623.0	665203.0	17664.5039	2327.2907	0.4683	0.0	37.0	0.0	0.8789	0.0	613.5	146.5	5.0	3.7052	3.6347	0.7195	609.8652	145.7804	613.1892	146.2162	3.3523	3.3239	0.4357	5.1572	9.4977		0	0	0	0	0	1	0	0	0	0	0	0
	A	1	1	2	17	ORF00287	0	8876.747	968.7461	8445.0	773.0	8395.0	737.7095	91.0	327.0	807784.0	316780.0	2880.394	740.9895	0.7844	0.0	91.0	0.0	0.9892	0.0	630.5	144.5	11.0	1.404	0.6345	-1.2524	629.8654	145.7524	630.5274	144.7252	1.222	0.6619	-1.0271	10.7394	10.9825		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	18	ORF00246	0	17635.8847	1105.7213	17505.5	911.5	18378.8007	944.0968	96.0	366.0	1693045.0	404694.0	6632.519	990.2863	0.8495	0.0	96.0	0.0	1.0	0.0	651.5	144.5	11.0	1.3247	0.5093	-1.2228	650.9906	145.7228	651.8125	144.7395	1.2815	0.8218	-0.9832	10.5857	11.7101		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	1	ORF01523	0	10999.5556	980.5537	11266.0	820.0	12174.6855	541.8494	99.0	363.0	1088956.0	355941.0	4285.8281	543.7062	0.8761	0.0	99.0	0.0	1.0	0.0	294.5	168.5	11.0	1.3394	0.6587	1.1662	293.8412	167.3337	294.1717	168.2626	0.9858	0.3304	0.9288	11.1722	11.4092		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	2	ORF01481	0	8992.0097	1042.9503	8859.0	926.0	9518.5712	576.6607	102.0	382.0	917185.0	398407.0	2807.1079	569.059	0.9189	0.0	102.0	0.0	1.0	0.0	315.0	168.0	10.0	0.6966	0.0336	0.6958	314.9663	167.3041	315.049	167.7451	0.4485	0.0826	0.4409	11.363	11.547		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	3	ORF01597	0	7881.7636	1079.816	7719.0	890.0	7738.6787	934.0937	93.0	413.0	733004.0	445964.0	2045.7406	872.9749	0.8157	0.0	93.0	0.0	1.0	0.0	336.0	167.0	10.0	0.3921	-0.2801	-0.2743	336.2801	167.2743	335.8817	166.9032	0.5444	-0.3984	-0.3711	10.4848	11.4973		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	4	ORF01561	0	13075.7861	1572.5498	12057.5	1138.0	11983.2382	1302.6785	112.0	371.0	1464488.0	583416.0	7020.2719	2556.5568	0.7225	1.0	113.0	65535.0	1.0	0.0	357.5	168.5	11.0	1.265	0.158	1.2551	357.3419	167.2448	357.5803	168.1517	0.9377	0.2384	0.9068	11.2786	12.8946		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	5	ORF01520	0	10160.7861	1072.5684	9652.0	905.0	9500.2109	829.7971	98.0	343.0	995757.0	367891.0	3804.9011	750.6964	0.8596	0.0	98.0	0.0	1.0	0.0	378.5	167.5	11.0	0.3256	0.1584	0.2845	378.3415	167.2154	378.1734	167.4387	0.2795	-0.1681	0.2232	10.7035	11.8273		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	6	ORF01477	0	12295.6572	966.2222	11239.0	835.0	13646.3183	669.5488	105.0	378.0	1291044.0	365232.0	6020.478	599.9782	0.913	0.0	105.0	0.0	1.0	0.0	399.5	167.5	11.0	0.3274	-0.0918	0.3142	399.5918	167.1857	399.3714	167.2285	0.2245	-0.2204	0.0428	11.2739	11.9836		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	7	ORF00860	0	19688.4199	1187.1116	17378.0	1046.0	17541.4199	698.4714	107.0	376.0	2106661.0	446354.0	10367.5478	767.8944	0.9639	0.0	107.0	0.0	1.0	0.0	420.5	167.5	11.0	0.5825	0.471	0.3428	420.0289	167.1571	420.271	166.9065	0.3483	0.242	-0.2505	11.4929	11.9606		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	8	ORF00823	0	11619.2714	1114.957	11402.0	934.0	11568.5595	812.1507	92.0	349.0	1068973.0	389120.0	3931.237	790.9919	0.8363	0.0	92.0	0.0	1.0	0.0	441.5	167.5	11.0	0.3848	0.0955	0.3727	441.4044	167.1272	442.0108	167.4347	0.6799	0.6064	0.3075	10.2953	11.4774		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	9	ORF00933	0	9622.7001	1175.6363	8830.0	996.0	8575.875	1025.4595	100.0	341.0	962270.0	400892.0	4006.2534	1038.2628	0.8695	0.0	100.0	0.0	0.9696	0.0	462.5	167.5	11.0	0.8796	0.7828	0.4012	461.7171	167.0987	462.6099	166.6499	0.9992	0.8928	-0.4487	10.9634	11.8251		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	10	ORF00894	0	16230.6943	1152.1358	16577.0	1004.0	18212.8222	577.4965	95.0	346.0	1541916.0	398639.0	6057.2119	675.09	0.6089	0.0	95.0	0.0	0.9745	0.0	483.5	166.5	11.0	0.7795	0.5328	-0.569	482.9671	167.069	483.3789	166.1578	0.9998	0.4118	-0.9111	9.9541	12.397		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	11	ORF00856	0	15927.1914	1133.9952	15428.0	920.0	15412.2333	957.8731	89.0	417.0	1417520.0	472876.0	6430.0668	1099.8029	0.7876	0.0	89.0	0.0	1.0	0.0	504.0	166.0	10.0	1.044	0.0953	-1.0397	503.9046	167.0397	503.764	166.2359	0.8159	-0.1406	-0.8037	10.3455	11.2305		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	12	ORF00820	0	9540.5859	1111.248	9841.0	892.0	10324.0	801.6082	87.0	375.0	830031.0	416718.0	3363.695	842.249	0.7767	0.0	87.0	0.0	1.0	0.0	525.0	166.0	10.0	1.0148	0.0959	-1.0103	524.904	167.0103	525.4022	166.1149	1.0246	0.4982	-0.8953	9.7169	11.6253		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	13	ORF00217	0	16054.163	1134.5258	15659.5	1004.5	16971.4687	554.7236	98.0	386.0	1573308.0	437927.0	7283.6489	649.2485	0.875	0.0	98.0	0.0	1.0	0.0	546.5	166.5	11.0	0.5919	0.3456	-0.4805	546.1543	166.9805	546.9387	166.5204	0.9094	0.7844	-0.4601	10.8255	11.7011		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	14	ORF00174	0	14118.2871	1079.6638	13133.5	939.5	13023.4853	858.5164	108.0	354.0	1524775.0	382201.0	6799.3105	806.6672	0.6923	0.0	108.0	0.0	1.0	0.0	567.5	167.5	11.0	0.8097	0.5957	0.5484	566.9042	166.9515	567.5833	167.2685	0.7494	0.679	0.3169	11.3122	12.3028		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	15	ORF00293	0	19324.2558	1545.6533	19642.5	1322.5	23300.2382	1139.9261	86.0	398.0	1661886.0	615170.0	10179.3037	1287.1679	0.7522	0.0	86.0	0.0	1.0	0.0	587.5	167.5	9.0	0.6178	0.221	0.5769	587.2789	166.923	587.2209	166.779	0.1552	-0.058	-0.1439	9.3431	11.9279		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	16	ORF00252	0	11707.0498	1093.743	8934.0	935.5	8654.7998	633.2485	100.0	362.0	1170705.0	395935.0	8952.833	660.0512	0.8849	0.0	100.0	0.0	1.0	0.0	609.5	165.5	9.0	1.4208	0.2835	-1.3923	609.2164	166.8923	609.03	165.1699	1.7323	-0.1864	-1.7223	11.141	11.62		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	17	ORF00213	0	9818.2617	959.6745	9617.0	807.0	10137.0	628.5166	103.0	381.0	1011281.0	365636.0	4000.9677	572.9105	0.9279	0.0	103.0	0.0	1.0	0.0	629.5	166.5	11.0	0.6416	-0.5289	-0.3631	630.0289	166.8631	629.9611	165.932	0.9335	-0.0677	-0.9311	11.1023	11.9418		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	18	ORF00169	0	15479.1669	987.2871	14888.0	836.5	15383.7753	747.0736	102.0	404.0	1578875.0	398864.0	6578.8393	670.0911	0.8947	0.0	102.0	0.0	1.0	0.0	651.0	166.0	10.0	0.8477	-0.1544	-0.8336	651.1544	166.8336	651.1176	165.9215	0.9127	-0.0368	-0.912	11.0785	11.8721		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	4	1	ORF01604	0	11235.3427	1067.4985	10767.5	920.0	13103.3076	771.7097	102.0	339.0	1146005.0	361882.0	4323.4267	747.2229	0.9272	0.0	102.0	0.0	1.0	0.0	294.5	190.5	11.0	1.7454	0.283	1.7223	294.2169	188.7776	294.6078	189.9901	1.274	0.3908	1.2125	11.0791	11.8274		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	4	2	ORF01568	0	12754.0097	1127.7976	13091.0	1047.5	13908.9414	585.8416	105.0	336.0	1339171.0	378940.0	4736.9624	586.6962	0.6774	0.0	105.0	0.0	1.0	0.0	315.5	189.5	11.0	0.8268	-0.3423	0.7526	315.8423	188.7473	315.3904	189.5619	0.9314	-0.4518	0.8145	11.0347	12.2777		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	4	3	ORF01527	0	4321.1123	1119.7586	4106.0	989.0	4146.3598	678.8599	89.0	373.0	384579.0	417670.0	1754.8294	640.8667	0.7876	0.0	89.0	0.0	1.0	0.0	336.5	189.5	11.0	0.7872	0.0955	0.7814	336.4044	188.7185	336.8764	189.528	0.937	0.4719	0.8095	10.3812	11.0823		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	4	4	ORF01484	0	14491.0869	1259.7121	13322.0	1128.0	14576.5996	651.9925	104.0	337.0	1507073.0	424523.0	6311.0654	694.8605	0.9285	0.0	104.0	0.0	1.0	0.0	357.5	189.5	11.0	1.2168	0.9083	0.8096	356.5916	188.6903	357.1057	189.2115	0.7321	0.514	0.5212	11.2484	11.8845		0	0	0	0	0	0	0	0	0	0	0	0
