"date"	"origin"	"destination"	"owac"	"dwac"	"carrier"	"Group"	"type"	"Total"	"Schedule"	"Charter"
200001.00	"ABE"	"YYZ"	23	936	"US"	3	"Passengers"	12	12	0
200001.00	"ALB"	"YOW"	22	936	"US"	3	"Passengers"	29	29	0
200001.00	"ALB"	"YQB"	22	941	"RU"	2	"Passengers"	21	21	0
200001.00	"ANC"	"GDX"	1	770	"H5"	0	"Passengers"	102	102	0
200001.00	"ANC"	"HKG"	1	729	"CX"	0	"Passengers"	6198	6198	0
200001.00	"ANC"	"NGO"	1	736	"NW"	3	"Passengers"	329	329	0
200001.00	"ANC"	"NRT"	1	736	"AA"	3	"Passengers"	119	119	0
200001.00	"ANC"	"NRT"	1	736	"NW"	3	"Passengers"	647	647	0
200001.00	"ANC"	"NRT"	1	736	"UA"	3	"Passengers"	355	355	0
200001.00	"ANC"	"SEL"	1	778	"KE"	0	"Passengers"	16305	13275	3030
200001.00	"ANC"	"SEL"	1	778	"OZ"	0	"Passengers"	6860	6860	0
200001.00	"ANC"	"TPE"	1	781	"CI"	0	"Passengers"	6195	6195	0
200001.00	"ANC"	"YEG"	1	916	"NW"	3	"Passengers"	123	123	0
200001.00	"ANC"	"YVR"	1	906	"UA"	3	"Passengers"	47	47	0
200001.00	"ANC"	"YXY"	1	911	"NW"	3	"Passengers"	184	184	0
200001.00	"ANC"	"YYZ"	1	936	"CX"	0	"Passengers"	6198	6198	0
200001.00	"ANC"	"YYZ"	1	936	"KE"	0	"Passengers"	7688	4875	2813
200001.00	"ATL"	"ACA"	34	148	"DL"	3	"Passengers"	610	0	610
200001.00	"ATL"	"ACA"	34	148	"MMQ"	1	"Passengers"	264	0	264
200001.00	"ATL"	"AMS"	34	461	"DL"	3	"Passengers"	8614	8614	0
200001.00	"ATL"	"AMS"	34	461	"KL"	0	"Passengers"	7948	7948	0
200001.00	"ATL"	"ARN"	34	484	"DL"	3	"Passengers"	186	186	0
200001.00	"ATL"	"ATH"	34	433	"DL"	3	"Passengers"	39	39	0
200001.00	"ATL"	"AUA"	34	277	"5X"	3	"Passengers"	730	0	730
200001.00	"ATL"	"AUA"	34	277	"DL"	3	"Passengers"	5765	5765	0
200001.00	"ATL"	"AUA"	34	277	"FCQ"	1	"Passengers"	207	0	207
200001.00	"ATL"	"BCN"	34	482	"DL"	3	"Passengers"	68	68	0
200001.00	"ATL"	"BDA"	34	207	"DL"	3	"Passengers"	6853	6853	0
200001.00	"ATL"	"BON"	34	259	"LM"	0	"Passengers"	771	771	0
200001.00	"ATL"	"BRU"	34	409	"DL"	3	"Passengers"	8456	8456	0
