table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Population by Sex, Race and Hispanic or Latino Origin for Colorado: April 1, 2000 to July 1, 2003",,,,,,,
"Sex, Race and Hispanic or Latino Origin",Population estimates,,,,"April 1, 2000",,
,"July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census,
..Race alone or in combination:(1),,,,,,
...White,"422,911","407,081","390,419","370,493","365,285","365,241"
...Black,"9,721","9,144","8,569","7,900","7,800","7,800"
...AIAN,"14,655","14,558","14,454","14,184","14,039","14,036"
...Asian,"3,659","3,437","3,241","3,005","2,964","2,964"
...NHPI,"1,446","1,361","1,299","1,212","1,207","1,207"
FEMALE,"2,255,445","2,231,694","2,197,372","2,147,512","2,135,650","2,135,278"
.One race,"2,214,819","2,192,282","2,159,372","2,111,202","2,099,767","2,099,401"
..White,"2,033,407","2,015,892","1,988,749","1,947,835","1,937,812","1,937,451"
..Black,"91,756","89,494","86,864","83,350","82,880","82,878"
..AIAN,"24,902","24,828","24,595","24,344","24,163","24,161"
..Asian,"61,766","59,192","56,415","53,086","52,338","52,337"
..NHPI,"2,988","2,876","2,749","2,587","2,574","2,574"
.Two or more races,"40,626","39,412","38,000","36,310","35,883","35,877"
.Race alone or in combination:(1),,,,,,
..White,"2,070,167","2,051,526","2,023,091","1,980,618","1,970,187","1,969,820"
..Black,"105,735","102,767","99,362","94,968","94,274","94,271"
..AIAN,"41,844","41,798","41,449","41,042","40,790","40,783"
..Asian,"75,476","72,345","68,966","64,914","64,015","64,014"
..NHPI,"5,855","5,675","5,479","5,188","5,170","5,170"
.NOT HISPANIC OR LATINO ORIGIN,"1,852,972","1,843,410","1,823,696","1,792,103","1,784,797","1,784,483"
..One race,"1,819,298","1,810,680","1,792,111","1,761,875","1,754,930","1,754,619"
...White,"1,659,014","1,654,714","1,641,263","1,617,429","1,611,719","1,611,411"
...Black,"83,768","81,968","79,775","76,767","76,351","76,349"
...AIAN,"14,792","14,803","14,616","14,528","14,443","14,443"
...Asian,"59,587","57,131","54,470","51,274","50,548","50,547"
...NHPI,"2,137","2,064","1,987","1,877","1,869","1,869"
..Two or more races,"33,674","32,730","31,585","30,228","29,867","29,864"
..Race alone or in combination:(1),,,,,,
...White,"1,689,460","1,684,279","1,669,777","1,644,680","1,638,629","1,638,318"
...Black,"95,703","93,313","90,470","86,730","86,114","86,112"
...AIAN,"27,737","27,815","27,559","27,396","27,263","27,260"
...Asian,"71,626","68,729","65,577","61,788","60,925","60,924"
...NHPI,"4,537","4,417","4,294","4,092","4,078","4,078"
.HISPANIC OR LATINO ORIGIN,"402,473","388,284","373,676","355,409","350,853","350,795"
..One race,"395,521","381,602","367,261","349,327","344,837","344,782"
...White,"374,393","361,178","347,486","330,406","326,093","326,040"
...Black,"7,988","7,526","7,089","6,583","6,529","6,529"
...AIAN,"10,110","10,025","9,979","9,816","9,720","9,718"
...Asian,"2,179","2,061","1,945","1,812","1,790","1,790"
...NHPI,851,812,762,710,705,705
..Two or more races,"6,952","6,682","6,415","6,082","6,016","6,013"
..Race alone or in combination:(1),,,,,,
...White,"380,707","367,247","353,314","335,938","331,558","331,502"
