       2      10       6      99       0      15       0     -999.000
      Alt            U            V       U_quality    V_quality
      135.000    0.0852306      3.18767    0.0162115   0.00471203
      145.000    0.0300249      3.21463    0.0163173   0.00474451
      155.000  -0.00868575      3.24283    0.0168299   0.00488094
      165.000   -0.0370949      3.27142    0.0171092   0.00495343
      175.000   -0.0819074      3.29024    0.0175648   0.00506777
      185.000    -0.106536      3.31478    0.0182061   0.00524596
      195.000    -0.139857      3.33189    0.0180301   0.00519726
      205.000    -0.120686      3.38558    0.0147444   0.00475312
      215.000   -0.0584083      3.46927    0.0153294   0.00524675
      225.000   -0.0950276      3.49051    0.0133527   0.00479088
      235.000    -0.111610      3.52411    0.0134561   0.00481649
      245.000    -0.125613      3.56676    0.0144586   0.00500904
      255.000    -0.180958      3.59034    0.0125827   0.00465524
      265.000    -0.115367      3.66164    0.0154302   0.00527403
      275.000    -0.189911      3.65156    0.0117405   0.00441124
      285.000    -0.174249      3.68797    0.0145557   0.00508466
      295.000    -0.248172      3.68011    0.0121679   0.00455834
      305.000    -0.254337      3.70589    0.0128366   0.00467334
      315.000    -0.266815      3.72458    0.0130977   0.00474597
      325.000    -0.324033      3.72967    0.0119585   0.00452184
      335.000    -0.288833      3.76833    0.0148757   0.00522523
      345.000    -0.401050      3.75123    0.0116387   0.00449622
      355.000    -0.333366      3.80112    0.0147354   0.00522072
      365.000    -0.416622      3.77650    0.0119105   0.00460234
      375.000    -0.391164      3.79915    0.0133957   0.00486982
      385.000    -0.445830      3.80537    0.0126768   0.00473413
      395.000    -0.474662      3.80507    0.0123466   0.00471326
      405.000    -0.407116      3.83253    0.0143821   0.00516227
      415.000    -0.485306      3.80799    0.0117946   0.00466308
      425.000    -0.382487      3.85697    0.0159820   0.00573661
      435.000    -0.528399      3.80188    0.0119749   0.00480478
      445.000    -0.478311      3.80220    0.0141395   0.00519608
      455.000    -0.531312      3.78193    0.0127618   0.00500870
      465.000    -0.544202      3.78479    0.0132721   0.00513524
      475.000    -0.495987      3.79436    0.0144352   0.00543174
      485.000    -0.537829      3.77215    0.0132324   0.00536885
      495.000    -0.487403      3.81926    0.0169661   0.00623691
      505.000    -0.617325      3.78487    0.0125240   0.00519012
      515.000    -0.525885      3.83031    0.0166460   0.00621087
      525.000    -0.634794      3.80024    0.0136071   0.00558314
      535.000    -0.653302      3.82663    0.0143205   0.00562676
      545.000    -0.666750      3.86379    0.0145720   0.00565919
      555.000    -0.724764      3.87494    0.0140640   0.00579174
      565.000    -0.660427      3.91175    0.0196944   0.00737820
      575.000    -0.785213      3.90015    0.0136394   0.00581403
      585.000    -0.753189      3.94479    0.0177304   0.00674034
      595.000    -0.865682      3.92961    0.0160009   0.00678591
      605.000    -0.855798      3.93683    0.0156149   0.00614274
      615.000    -0.891636      3.93981    0.0134426   0.00547228
      625.000    -0.922459      3.93583    0.0125896   0.00524842
      635.000    -0.896885      3.94906    0.0143135   0.00553804
      645.000    -0.995377      3.92807    0.0122257   0.00537154
      655.000    -0.899426      3.94403    0.0168893   0.00654854
      665.000    -0.999020      3.90036    0.0127815   0.00567273
      675.000    -0.982317      3.87823    0.0167306   0.00659625
      685.000     -1.04431      3.83664    0.0135656   0.00588839
      695.000     -1.09276      3.78558    0.0142360   0.00608256
      705.000     -1.09177      3.73976    0.0156492   0.00648182
      715.000     -1.15538      3.67474    0.0134607   0.00608251
      725.000     -1.09353      3.63644    0.0188598   0.00765678
      735.000     -1.24451      3.50519    0.0163745   0.00771429
      745.000     -1.27970      3.36986    0.0218328   0.00912445
      755.000     -1.33813      3.14127    0.0178923   0.00847377
      765.000     -1.35371      2.83653    0.0204129   0.00907318
      775.000     -1.31345      2.54374    0.0201426   0.00906531
      785.000     -1.29199      2.17809    0.0188526   0.00904416
      795.000     -1.17279      1.84764    0.0249093    0.0107662
      805.000    -0.956983      1.47837    0.0184443   0.00920306
      815.000    -0.789359      1.19037    0.0243504    0.0105335
      825.000    -0.633138     0.967179    0.0173928   0.00858168
      835.000    -0.320412     0.846538    0.0198934   0.00872662
      845.000    -0.217564     0.753658    0.0176257   0.00830254
      855.000    0.0219427     0.663574    0.0177688   0.00857303
      865.000     0.174622     0.566093    0.0203013   0.00916853
      875.000     0.283015     0.465816    0.0166272   0.00869568
      885.000     0.440110     0.391575    0.0247090    0.0113735
      895.000     0.469014     0.312264    0.0169787   0.00913293
      905.000     0.578597     0.243636    0.0237905    0.0110930
      915.000     0.621674     0.182022    0.0182783   0.00944359
      925.000     0.712029     0.162154    0.0197889   0.00991514
      935.000     0.730070     0.149522    0.0210763    0.0102985
      945.000     0.758381     0.123523    0.0178569   0.00985501
      955.000     0.814428     0.135086    0.0270702    0.0130024
      965.000     0.853143     0.110713    0.0176595    0.0102836
      975.000     0.908855    0.0941342    0.0270893    0.0132991
      985.000     0.889623    0.0239816    0.0195141    0.0111783
      995.000     0.816022  -0.00466789    0.0247130    0.0140603
       2      10       6      99       0      45       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000    -0.627134      2.27566    0.0260873    0.0162138
      25.0000    -0.509072      2.72058    0.0210869    0.0129027
      35.0000    -0.405943      3.17730    0.0182268    0.0108419
      45.0000    -0.347376      3.43785    0.0180408    0.0106493
      55.0000    -0.286500      3.55371    0.0189302    0.0110578
      65.0000    -0.246231      3.62418    0.0199648    0.0116717
      75.0000    -0.231507      3.69155    0.0207584    0.0122057
      85.0000    -0.225589      3.74223    0.0210083    0.0123905
      95.0000    -0.220525      3.78586    0.0210035    0.0124188
      105.000    -0.216221      3.82543    0.0212647    0.0125486
      115.000    -0.205442      3.87049    0.0212594    0.0125607
      125.000    -0.183784      3.92354    0.0206843    0.0122207
      135.000    -0.179405      3.96253    0.0199680    0.0117753
      145.000    -0.188349      3.97952    0.0193052    0.0113542
      155.000    -0.196939      4.00119    0.0184726    0.0108786
      165.000    -0.187668      4.02685    0.0175336    0.0103393
      175.000    -0.181390      4.04110    0.0167910   0.00991022
      185.000    -0.194979      4.05443    0.0163492   0.00964675
      195.000    -0.218022      4.07151    0.0158415   0.00935207
      205.000    -0.205404      4.11147    0.0127652   0.00799090
      215.000    -0.166239      4.16501    0.0121834   0.00789633
      225.000    -0.180429      4.15025    0.0100707   0.00672921
      235.000    -0.162148      4.15734   0.00967848   0.00647908
