Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	128
Date	2004MAY07
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	13.50000	[UTC]
Stop_time	13.78278	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.55457	[p_s^-1]
ForeOptic_temperature	25.30	[ns]
Front_temperature	25.30	[ns]
Back_temperature	31.32	[ns]
Inside_temperature	30.91	[ns]
Shelter_temperature	29.27	[ns]
PSUnit_temperature	33.44	[ns]
AirCond_temperature	14.12	[ns]
Outside_temperature	32.90	[ns]
Comments	none
Formatted_file	2004128f03.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
303.823	0.25055	0.0077	0.0000
303.923	0.36077	0.0064	0.0000
304.024	0.32693	0.0067	0.0000
304.124	0.29604	0.0070	0.0000
304.224	0.29602	0.0070	0.0000
304.324	0.48554	0.0055	0.0000
304.424	0.50755	0.0054	0.0000
304.524	0.61182	0.0049	0.0000
304.624	0.55155	0.0052	0.0000
304.724	0.33411	0.0066	0.0000
304.824	0.64548	0.0048	0.0000
304.924	0.85695	0.0041	0.0000
305.024	0.80109	0.0043	0.0000
305.124	1.01400	0.0038	0.0000
305.224	1.41633	0.0032	0.0000
305.324	1.07998	0.0037	0.0000
305.424	0.86261	0.0041	0.0000
305.524	1.09458	0.0037	0.0000
305.624	1.15621	0.0036	0.0000
305.724	0.56299	0.0051	0.0000
305.824	0.64960	0.0048	0.0000
305.924	0.81989	0.0042	0.0000
306.024	1.23975	0.0034	0.0000
306.124	1.46287	0.0032	0.0000
306.224	1.41293	0.0032	0.0000
306.324	1.24996	0.0034	0.0000
306.424	1.06203	0.0037	0.0000
306.524	1.57582	0.0031	0.0000
306.624	1.16477	0.0036	0.0000
306.724	1.06494	0.0037	0.0000
306.824	1.65506	0.0030	0.0000
306.924	2.26574	0.0025	0.0000
307.024	2.46832	0.0024	0.0000
307.124	2.65330	0.0024	0.0000
307.224	2.59019	0.0024	0.0000
307.324	3.26109	0.0021	0.0000
307.424	3.24058	0.0021	0.0000
307.524	2.24823	0.0026	0.0000
307.624	3.47850	0.0021	0.0000
307.724	3.75897	0.0020	0.0000
307.824	2.75192	0.0023	0.0000
307.924	3.88687	0.0019	0.0000
308.024	3.66234	0.0020	0.0000
308.124	2.90042	0.0022	0.0000
308.224	2.75809	0.0023	0.0000
308.324	3.12966	0.0022	0.0000
308.424	5.43806	0.0016	0.0000
308.525	5.00360	0.0017	0.0000
308.625	4.22844	0.0019	0.0000
308.725	3.61475	0.0020	0.0000
308.825	3.58260	0.0020	0.0000
308.925	4.42285	0.0018	0.0000
309.025	3.87962	0.0019	0.0000
309.125	3.15862	0.0022	0.0000
309.225	3.54216	0.0020	0.0000
309.325	2.64922	0.0024	0.0000
309.425	5.46261	0.0016	0.0000
309.525	7.44185	0.0014	0.0000
309.625	4.07923	0.0019	0.0000
309.725	5.92495	0.0016	0.0000
309.825	7.21106	0.0014	0.0000
309.925	5.62152	0.0016	0.0000
310.025	3.12504	0.0022	0.0000
310.125	3.92184	0.0019	0.0000
310.225	5.67707	0.0016	0.0000
310.325	8.89220	0.0013	0.0000
310.425	9.73078	0.0012	0.0000
310.525	9.27579	0.0013	0.0000
310.625	10.23807	0.0012	0.0000
310.725	11.20199	0.0011	0.0000
310.825	13.37778	0.0010	0.0000
310.925	11.97152	0.0011	0.0000
311.025	10.45915	0.0012	0.0000
311.125	12.22365	0.0011	0.0000
311.225	12.47040	0.0011	0.0000
311.325	12.34502	0.0011	0.0000
311.425	10.19075	0.0012	0.0000
311.525	13.62896	0.0010	0.0000
311.625	11.70988	0.0011	0.0000
311.725	11.35636	0.0011	0.0000
311.825	11.86970	0.0011	0.0000
311.925	12.12557	0.0011	0.0000
312.025	12.14007	0.0011	0.0000
312.125	12.50943	0.0011	0.0000
312.225	14.47799	0.0010	0.0000
312.325	18.35847	0.0009	0.0000
312.425	19.56819	0.0009	0.0000
312.525	13.45761	0.0010	0.0000
312.625	15.95756	0.0010	0.0000
312.725	19.16234	0.0009	0.0000
312.825	17.92539	0.0009	0.0000
312.925	19.48515	0.0009	0.0000
313.025	17.39172	0.0009	0.0000
313.125	19.23633	0.0009	0.0000
313.225	17.27509	0.0009	0.0000
313.325	16.85852	0.0009	0.0000
313.425	15.37872	0.0010	0.0000
313.525	17.91133	0.0009	0.0000
313.625	16.66732	0.0009	0.0000
313.725	20.38827	0.0009	0.0000
313.825	24.31971	0.0008	0.0000
313.925	24.39672	0.0008	0.0000
314.025	23.06153	0.0008	0.0000
314.125	27.54699	0.0007	0.0000
314.225	26.23408	0.0008	0.0000
314.325	16.86164	0.0009	0.0000
314.425	10.80140	0.0012	0.0000
314.525	20.50799	0.0008	0.0000
314.625	26.39060	0.0007	0.0000
314.725	23.86846	0.0008	0.0000
314.826	32.79964	0.0007	0.0000
314.926	33.52402	0.0007	0.0000
