Bridge Label,Structure ID,Bridge Description,Location Description
1,B03005600000000,USH 53 SB,2.5M S JCT CTH V
2,B09037200000000,CTH X,1.9M E JCT CTH H TO N
3,B03001500000000,USH 53 NB,1.5M N JCT CTH M TO E
4,B09005100000000,USH 53 NB,2.7M N JCT STH 124 TO N
5,B57001900000000,USH 63,5.5M N JCT STH 77 TO E
6,B09001100000000,CTH X,1.1M E JCT STH 124 TO N
7,B71074200000000,USH 10,0.1M E JCT CTH B TO S
8,B26000500000000,USH 51,2.1M N JCT CTH FF
9,B37014200000000,IH USH 51-IH 39 NB,1.6M N JCT CTH DB TO E
