CO2: JUL  VEGETATION   (KG C/M2/S) DIMENSION =  72 X  46    SCALE = 0.10E+14    
MISSING =  9999999  UNDEF =  -999999    MIN =  -613013      MAX =   216323      
NUMREC =  335 (NUMBER OF RECORDS IN DATA FILE)                                  
 -999999 -999999 -999999 -999999 -999999 -999999 -999999   33061   66064   23629
   35505       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
   10449   37533       0 -999999 -999999 -999999 -999999   29597 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999    1861
   58647   29210   71585   32605 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999   28854   28311
       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999   14469   10921       0
 -999999    5502   -1342   14076   43627 -999999 -999999 -999999 -999999       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999   48032   50657   82482   73184       0 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999   -1423
   24654   31135   72390 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999   -6060
    6306  -41671    2154   29566  -21262   -4279   40303       0 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999   15643   74395   62035  129474  116596       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999      24    4637   36083   42654       0 -999999    9417 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999  -75754  -40651  -14110  -17094  -27003  -51501   -5229   27641       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999   34040   79118   66119   74706
  114608   88309       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999    9076   26347   30602   42537       0 -999999   45440
       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999  -79166  -29042   -3697  -15259  -38913  -52655   -4247
   34608 -999999 -999999       0 -999999 -999999       0 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999     335    8855   90395
   84127   86324  104501   50850   35904 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999    1195   37486   47909   68207   74132   61217
   10762   34059       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999   -5014  -30246  -46184  -27389
  -35230   -4708       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999   13131
   25654   82769   29228   42930   77105   60320   11458 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999     232   47355   53906   94307
   82769   67948       0    4214       0 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999  -24007
