 14826 FLINT                  MI  -5  N42 58  W 83 44   233   988
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  1743 G4   604  1938 G4  2086  1096 G5   268  3822 13043  7.3  6.8  0.43  0.07  -6.33 -14.28 -10.28  -8.76  77   890  9999  4.3
  2  2624 G4   863  2723 G4  2405  1430 G5   290  5319 14491  7.0  6.2  0.47  0.07  -4.11 -14.50  -9.28  -7.37  75   775  9999  4.5
  3  3408 G4  1312  2995 G4  3138  1811 G5   563  7408 16226  7.4  6.4  0.88  0.09   6.28  -3.11   1.61   3.08  75   523  9999  5.1
  4  4582 G4  1574  4149 G4  3248  2092 G5   564  9494 17928  6.0  5.5  1.07  0.12  13.61   2.17   7.89  10.15  63   306  9999  4.8
  5  5533 G4  1600  4329 G4  3041  2656 G5   603 11011 19319  6.4  5.4  1.47  0.15  18.50   5.28  11.89  14.60  66   189  9999  4.5
  6  6489 G4  1633  5719 G4  3353  2579 G5   735 11649 20012  4.9  4.2  2.21  0.17  26.39  11.61  19.00  22.34  67    41  9999  3.3
  7  6359 G4  1368  5505 G4  2409  2623 G5   511 11341 19622  4.7  4.0  2.55  0.18  27.56  13.83  20.72  24.09  66    14  9999  3.5
  8  5023 G4  1543  4184 G4  3001  2363 G5   552 10113 18358  6.0  5.4  2.32  0.16  24.22  11.94  18.11  20.66  75    31  9999  3.5
  9  4233 G4  1254  4107 G4  2832  1873 G5   514  8237 16747  5.8  4.7  1.91  0.14  22.33   8.28  15.33  17.51  76   106  9999  2.9
 10  3269 G4  1029  4309 G4  2511  1198 G5   321  6094 15029  5.0  3.9  1.58  0.12  22.28   6.89  14.61  17.62  65   126  9999  3.4
 11  1546 G4   530  1272 G4  1561  1070 G5   222  4286 13435  8.0  7.6  1.14  0.10  11.06   1.56   6.33   7.79  75   356  9999  5.3
 12  1486 G4   488  2143 G4  2112   820 G5   219  3391 12568  6.1  5.9  0.49  0.09  -1.78 -10.67  -6.22  -4.41  74   757  9999  4.4
 13  3864 G4  2105  3620 G4  2972  1803 G5   797  7692 16407  6.2  5.5  1.38  0.12  13.33   1.61   7.50   9.87  71  4114 99999  4.1
 1964
  1  1504 G4   498  1613 G4  1847   974 G5   210  3822 13043  7.4  6.8  0.64  0.09   1.83  -6.61  -2.39  -1.03  70   638  9999  5.5
  2  2616 G4   904  3006 G4  2674  1314 G5   439  5353 14520  6.4  5.7  0.51  0.09   1.56  -8.44  -3.44  -1.28  67   628  9999  4.8
  3  3225 G4  1000  2253 G4  2203  2039 G5   393  7480 16285  7.7  6.9  0.74  0.13   6.78  -4.50   1.17   2.66  67   530  9999  5.5
  4  4563 G4  1538  3571 G4  3170  2341 G5   596  9556 17980  6.9  5.8  1.31  0.16  15.06   2.89   9.00  10.36  63   281  9999  5.5
  5  5900 G4  1643  4908 G4  3003  2608 G5   602 11046 19356  6.5  4.7  1.65  0.15  22.61   8.78  15.72  18.24  63   106  9999  4.7
  6  6298 G4  1542  5225 G4  2932  2692 G5   673 11654 20017  5.5  4.4  2.28  0.18  26.00  12.39  19.22  21.60  68    56  9999  3.8
  7  6239 G4  1391  5363 G4  2682  2578 G5   573 11315 19592  5.3  4.1  2.51  0.17  28.61  15.44  22.06  24.11  70     6  9999  3.4
  8  4862 G4  1466  3755 G4  2482  2465 G5   391 10060 18309  5.9  5.4  2.32  0.18  24.89  12.06  18.50  20.57  64    46  9999  3.7
  9  4018 G4  1171  3654 G4  2577  1910 G5   441  8169 16692  6.0  5.4  2.22  0.16  21.67   9.50  15.61  17.85  74   115  9999  3.9
 10  2983 G4   976  3632 G4  2462  1298 G5   367  6026 14973  5.2  4.3  1.10  0.13  14.56   1.11   7.83  10.46  71   323  9999  3.9
 11  1795 G4   621  2202 G4  1962   981 G5   216  4238 13390  6.6  5.8  1.13  0.11  10.50   0.06   5.28   6.92  76   388  9999  4.5
 12  1254 G4   442  1206 G4  1699   877 G5   207  3384 12561  8.0  7.5  0.78  0.08   1.33  -6.22  -2.44  -1.40  78   640  9999  4.9
 13  3774 G4  2097  3364 G4  2803  1841 G5   814  7680 16397  6.4  5.6  1.44  0.14  14.61   3.06   8.83  10.78  69  3757 99999  4.5
 1965
  1  1626 H4   559  1767 H4  1860  1011 H5   265  3822 13043  7.1  6.6  0.68  0.09  -1.06 -10.00  -5.50  -4.07  71   737  9999  5.6
  2  2431 H4   884  2406 H4  2146  1416 H5   338  5319 14491  7.2  6.4  0.70  0.10   0.44  -8.44  -4.00  -3.35  67   621  9999  5.9
  3  3278 H4  1078  1903 H4  2190  2273 H5   518  7408 16226  8.2  7.5  0.67  0.13   0.94  -6.39  -2.72  -1.37  72   648  9999  4.8
  4  4574 H4  1505  3395 H4  3241  2422 H5   620  9494 17928  7.3  6.3  1.04  0.12  11.28   0.78   6.06   7.28  68   367  9999  4.5
  5  5678 H4  1467  4346 H4  2738  2731 H5   523 11011 19319  6.8  5.3  1.88  0.16  23.39   9.50  16.44  18.51  63    88  9999  4.6
  6  6663 H4  1340  5841 H4  2720  2635 H5   621 11649 20012  5.5  4.0  1.95  0.16  25.89  11.17  18.56  21.29  61    39  9999  4.3
  7  6137 H4  1526  5136 H4  2915  2704 H5   604 11341 19622  5.5  4.6  2.08  0.16  27.67  12.78  20.22  22.91  61    17  9999  3.6
  8  4970 H4  1506  3824 H4  2942  2471 H5   529 10113 18358  6.6  5.8  2.48  0.16  25.56  14.00  19.78  21.37  73    37  9999  3.9
  9  3897 H4  1193  3202 H4  2642  2056 H5   469  8237 16747  7.1  6.2  2.48  0.13  22.28  11.61  16.94  18.75  78    79  9999  4.2
 10  2793 H4   840  2720 H4  2277  1512 H5   384  6094 15029  6.6  5.7  1.44  0.13  14.94   4.39   9.67  11.36  72   267  9999  4.7
 11  1660 H4   660  1495 H4  2022  1088 H5   216  4286 13435  8.2  7.5  1.06  0.08   9.56   0.28   4.94   6.05  70   398  9999  4.9
 12  1203 H4   348   864 H4  1459   934 H5   174  3391 12568  8.7  8.3  1.01  0.07   5.11  -1.39   1.89   2.82  73   506  9999  5.2
 13  3748 H4  2119  3076 H4  2843  1941 H5   814  7692 16407  7.1  6.2  1.46  0.13  13.83   3.17   8.50  10.20  69  3804 99999  4.7
 1966
  1  1664 H4   544  1833 H4  2051  1044 H5   301  3822 13043  7.2  6.5  0.46  0.10  -3.00 -12.00  -7.50  -6.14  69   797  9999  4.9
  2  2379 H4   735  2198 H4  2338  1427 H5   374  5319 14491  7.5  6.9  0.61  0.09   0.28  -7.56  -3.61  -2.14  70   611  9999  3.7
  3  3303 H4  1045  2584 H4  2553  1949 H5   488  7408 16226  7.2  6.5  0.86  0.12   7.33  -2.00   2.67   3.97  66   481  9999  5.2
  4  4299 H4  1405  2889 H4  2732  2517 H5   407  9494 17928  7.9  6.9  1.11  0.12  10.94   1.78   6.39   7.52  66   358  9999  4.8
  5  5944 H4  1424  5061 H4  2949  2644 H5   653 11011 19319  5.5  4.8  1.20  0.14  16.33   3.72  10.06  12.62  59   255  9999  4.7
  6  6768 H4  1422  5970 H4  2904  2582 H5   667 11649 20012  5.0  3.8  2.17  0.17  25.83  12.44  19.17  21.74  64    41  9999  3.6
  7  6190 H4  1483  5211 H4  2848  2658 H5   563 11341 19622  5.1  4.3  2.53  0.17  28.28  14.44  21.39  23.92  66     7  9999  3.7
  8  5417 H4  1470  4784 H4  3026  2334 H5   627 10113 18358  5.2  4.6  2.49  0.15  25.61  12.50  19.06  21.35  72    23  9999  3.8
  9  4297 H4  1277  4139 H4  2887  1935 H5   490  8237 16747  5.9  5.1  1.88  0.12  20.33   7.94  14.17  16.64  75   134  9999  3.8
